ASTERDM IN Equity,price,volume,mc,pe,bm,div
2018-12-31,155.3,5542715.0,78461.8067,24.9381,2.5526,0.0
2019-01-31,155.0,1816147.0,78310.2385,24.89,2.5526,0.0
2019-02-28,156.5,1190883.0,79068.0795,25.1308,2.5526,0.0
2019-03-31,154.15,1088106.0,77880.7952,23.2716,2.4234,0.0
2019-04-30,146.75,777066.0,74142.1129,22.1545,2.307,0.0
2019-05-31,149.75,823570.0,75657.7949,22.6074,2.3542,0.0
2019-06-30,125.75,48853550.0,63532.3386,19.1184,1.9903,0.0
2019-07-31,123.5,6568918.0,62395.5771,18.7763,1.9903,0.0
2019-08-31,118.15,1967079.0,59692.6108,17.9629,1.9903,0.0
2019-09-30,118.05,2040941.0,59642.0881,16.8188,1.845,0.0
2019-10-31,135.05,1906282.0,68230.9529,19.2409,2.1106,0.0
2019-11-30,160.4,4912758.0,81038.4661,22.8525,2.5068,0.0
2019-12-31,160.75,2248985.0,81215.2957,20.6118,2.4443,0.0
2020-01-31,164.95,16435257.0,83337.2506,21.1504,2.4443,0.0
2020-02-29,162.4,5247036.0,82048.9208,20.8234,2.4443,0.0
2020-03-31,95.15,8656577.0,48072.3819,15.1909,1.4691,0.0
2020-04-30,98.75,6175504.0,49326.9147,15.7656,1.5246,0.0
2020-05-31,89.75,5063449.0,44831.2971,14.3287,1.3857,0.0
2020-06-30,123.85,11681328.0,61864.6925,28.1816,1.8913,0.0
2020-07-31,132.2,11903430.0,66035.6265,30.0816,1.8913,0.0
2020-08-31,130.35,7442659.0,65111.5274,29.6606,1.8913,0.0
2020-09-30,132.55,5656485.0,66210.4561,30.1612,2.0716,0.0
2020-10-31,134.3,3852260.0,67084.6009,30.5594,2.0989,0.0
2020-11-30,167.45,9995673.0,83643.458,38.1025,2.617,0.0
2020-12-31,165.85,5942375.0,82844.2372,47.7305,2.6108,0.0
2021-01-31,158.45,3018369.0,79147.8407,45.6008,2.6108,0.0
2021-02-28,143.25,7376950.0,71555.2426,41.2263,2.6108,0.0
2021-03-31,137.45,4261529.0,68658.0669,46.2795,2.0256,0.0
2021-04-30,143.05,21663658.0,71455.3399,48.165,2.1081,0.0
2021-05-31,146.75,20284031.0,73303.5382,49.4108,2.1627,0.0
2021-06-30,154.05,26613991.0,76949.9833,27.8571,2.2887,0.0
2021-07-31,163.4,28521317.0,81620.434,29.5479,2.2887,0.0
2021-08-31,214.2,108826152.0,106995.6975,38.7342,2.2887,0.0
2021-09-30,207.55,56036729.0,103673.9356,29.5655,2.9157,0.0
2021-10-31,187.8,12976244.0,93808.5527,26.7521,2.6382,0.0
2021-11-30,192.0,16090733.0,95906.5075,27.3504,2.6972,0.0
2021-12-31,173.8,12620822.0,86815.3698,21.3514,2.4268,0.0
2022-01-31,184.65,14082332.0,92235.0865,22.6843,2.4268,0.0
2022-02-28,170.8,10176969.0,85316.8306,20.9828,2.4268,0.0
2022-03-31,197.5,16583283.0,98653.8294,18.685,2.7564,0.0
2022-04-30,192.4,33790001.0,96106.3127,18.2025,2.6852,0.0
2022-05-31,199.65,21144038.0,99727.7824,18.8884,2.7864,0.0
2022-06-30,178.0,6380936.0,88913.3247,16.094,2.4507,0.0
2022-07-31,229.3,16766620.0,114538.3447,20.7324,2.4507,0.0
2022-08-31,221.0,16240685.0,110392.3863,19.9819,2.4507,0.0
2022-09-30,252.4,28199766.0,126077.0963,25.6504,3.0269,0.0
2022-10-31,247.3,12123054.0,123529.5797,25.1321,2.9658,0.0
2022-11-30,236.6,17536641.0,118184.79,24.0447,2.8374,0.0
2022-12-31,231.1,8267353.0,115437.4682,23.9234,2.7811,0.0
2023-01-31,212.6,3033209.0,106196.4766,22.0083,2.7811,0.0
2023-02-28,222.85,4968464.0,111316.4854,23.0694,2.7811,0.0
2023-03-31,240.7,6411617.0,120232.7935,28.185,2.9514,0.0
2023-04-30,246.95,9005951.0,123354.7502,28.9169,3.028,0.0
2023-05-31,269.35,8896948.0,134543.8427,31.5398,3.3027,0.0
2023-06-30,280.2,13964864.0,139963.5594,38.595,3.478,0.0
2023-07-31,312.6,25046987.0,156147.7826,43.0579,3.478,0.0
2023-08-31,331.7,13677563.0,165688.482,45.6887,3.478,0.0
2023-09-30,327.9,17799419.0,163790.3324,57.4256,3.7455,0.0
2023-10-31,329.65,11566499.0,164664.4802,57.732,3.7655,0.0
2023-11-30,382.4,33037393.0,191013.7941,66.9702,4.3681,0.0
2023-12-31,409.8,18004022.0,204700.452,62.9493,4.6228,0.0
2024-01-31,442.65,16247365.0,221109.456,67.9954,4.6228,0.0
2024-02-29,471.4,17136225.0,235470.4565,72.4117,4.6228,0.0
2024-03-31,409.3,69637956.0,204450.6955,109.4385,4.8847,0.0
2024-04-30,348.15,97663390.0,173905.4718,93.0882,4.1549,118.0
2024-05-31,363.95,31920362.0,181797.7782,97.3128,4.3435,118.0
2024-06-30,346.65,102471834.0,173156.2022,67.6916,4.1394,118.0
2024-07-31,347.05,29452036.0,173356.0075,67.7697,4.1394,118.0
2024-08-31,406.7,54194984.0,203151.9615,79.4177,4.1394,120.0
2024-09-30,415.1,20216470.0,207347.8712,54.0423,6.0356,120.0
2024-10-31,444.6,44491318.0,222083.5065,57.8829,6.4645,120.0
2024-11-30,499.95,31346109.0,249731.5543,65.089,7.2693,120.0
2024-12-31,513.95,32450965.0,256724.7372,95.7066,7.547,120.0
2025-01-31,491.55,17920588.0,245535.6446,91.5353,7.547,120.0
2025-02-28,402.95,17611411.0,201278.7875,75.0364,7.547,124.0
2025-03-31,483.5,44346992.0,241514.5645,76.7453,7.9087,124.0
2025-04-30,504.95,17116973.0,252229.1196,80.15,8.2596,6.0
2025-05-31,559.3,23328576.0,279377.6545,88.7769,9.1486,6.0
2025-06-30,596.05,24221239.0,308826.0393,91.8549,9.6213,6.0
2025-07-31,604.9,49104358.0,313411.4104,93.2188,9.6213,6.0
2025-08-31,601.05,14940147.0,311416.6445,92.6255,9.6213,2.0
2025-09-30,626.95,19960734.0,324835.9791,93.8683,7.1663,2.0
2025-10-31,678.05,23965887.0,351311.9637,101.5191,7.7504,2.0
2025-11-30,665.45,13630290.0,344783.6387,99.6326,7.6063,2.0
2025-12-31,616.85,12688407.0,319602.9567,96.2324,6.9879,2.0
2026-01-31,552.0,12217735.0,286002.808,86.1154,6.9879,2.0
2026-02-28,654.6,19161892.0,339162.0256,102.1217,6.9879,2.0
2026-03-31,656.95,2274387.0,340379.6163,102.4883,6.9879,2.0
