ERIS IN Equity,price,volume,mc,pe,bm,div
2017-06-30,601.3,9146415.0,82678.75,33.4986,14.5783,0.0
2017-07-31,601.35,19620573.0,82685.625,33.5014,14.5795,0.0
2017-08-31,591.0,3527836.0,81262.5,32.9248,14.3286,0.0
2017-09-30,576.75,2401418.0,79303.125,32.1309,13.9831,0.0
2017-10-31,583.8,907512.0,80272.5,32.5237,14.154,0.0
2017-11-30,802.4,7199479.0,110330.0,44.7019,19.4539,0.0
2017-12-31,794.35,3551915.0,109223.125,44.2535,19.2587,0.0
2018-01-31,782.2,2735194.0,107552.5,43.5766,18.9641,0.0
2018-02-28,753.45,1967255.0,103599.375,41.9749,18.2671,0.0
2018-03-31,799.75,4156662.0,109965.625,37.389,12.7673,0.0
2018-04-30,783.1,1498043.0,107676.25,36.6106,12.5015,0.0
2018-05-31,806.6,768755.0,110911.925,37.7092,12.8767,0.0
2018-06-30,685.05,1200528.0,94198.1332,32.0266,10.9362,0.0
2018-07-31,710.05,1051122.0,97635.7703,33.1954,11.3353,0.0
2018-08-31,725.85,862779.0,99815.5974,33.9341,11.5875,0.0
2018-09-30,729.9,935081.0,100372.535,34.1234,11.6522,0.0
2018-10-31,680.45,986921.0,93572.3954,31.8116,10.8628,0.0
2018-11-30,622.25,1010437.0,85570.3403,29.0907,9.9337,0.0
2018-12-31,687.15,219237.0,94495.234,32.1248,10.9697,0.0
2019-01-31,627.4,669049.0,86278.556,29.3315,10.0159,0.0
2019-02-28,609.25,354828.0,83783.9278,28.4829,9.7261,0.0
2019-03-31,644.9,335138.0,88686.5081,30.4917,7.7084,0.0
2019-04-30,631.95,224597.0,86905.6269,29.8794,7.5536,0.0
2019-05-31,524.25,807742.0,72094.7462,24.7872,6.2663,0.0
2019-06-30,509.95,560437.0,70128.2133,24.1111,6.0954,0.0
2019-07-31,408.15,1847404.0,56128.6994,19.2979,4.8786,0.0
2019-08-31,379.8,1792307.0,52230.0136,17.9574,4.5397,0.0
2019-09-30,451.2,3714767.0,62048.9261,21.3333,5.3931,0.0
2019-10-31,433.15,1996566.0,59566.694,20.4799,5.1774,0.0
2019-11-30,460.9,12662063.0,63382.868,21.792,5.5091,0.0
2019-12-31,474.0,3983673.0,65184.3771,22.4113,5.6657,0.0
2020-01-31,526.95,1641596.0,72466.0497,24.9149,6.2986,0.0
2020-02-29,433.65,3206027.0,59635.4539,20.5035,5.1834,0.0
2020-03-31,368.9,4522447.0,50089.4829,17.0708,3.8639,2.87
2020-04-30,500.8,1945096.0,67998.951,23.1745,5.2455,2.87
2020-05-31,499.95,610827.0,67883.5375,23.1351,5.2366,2.87
2020-06-30,457.25,2528316.0,62085.7036,21.1592,4.7893,2.87
2020-07-31,491.3,5533764.0,66709.0348,22.7348,5.146,2.87
2020-08-31,481.6,6395010.0,65391.9625,22.286,5.0444,5.5
2020-09-30,538.2,5746375.0,73077.1474,24.9051,5.6372,5.5
2020-10-31,500.8,1740374.0,68869.9098,23.1745,5.2455,5.5
2020-11-30,521.35,2095238.0,71695.9415,24.1254,5.4607,5.5
2020-12-31,579.95,6055337.0,78745.9891,26.8371,6.0745,5.5
2021-01-31,605.7,3776078.0,82242.3409,28.0287,6.3442,5.5
2021-02-28,586.4,2961325.0,79621.7743,27.1356,6.1421,5.5
2021-03-31,605.0,6429634.0,82147.2945,23.1269,5.211,5.5
2021-04-30,601.95,2057109.0,81733.1635,23.0103,5.1847,5.5
2021-05-31,709.4,9398717.0,96322.7945,27.1177,6.1102,5.5
2021-06-30,707.5,2740992.0,96064.8113,27.0451,6.0939,5.5
2021-07-31,790.75,6329496.0,107368.5514,30.2274,6.8109,5.5
2021-08-31,731.0,1717486.0,99255.6573,27.9434,6.2963,6.01
2021-09-30,760.55,1762009.0,103267.9756,29.073,6.5508,6.01
