HDFCB IN Equity,price,volume,mc,pe,bm,div
2019-03-31,579.73,303894404.0,6315075.698,28.4925,4.1094,3.25
2019-04-30,579.36,330079516.0,6315153.538,28.4747,4.1069,3.25
2019-05-31,606.34,291390632.0,6609185.8,29.8005,4.2981,3.25
2019-06-30,610.94,211272916.0,6668473.009,29.2013,4.1696,3.75
2019-07-31,562.91,298486284.0,6156619.23,26.9059,3.8418,3.75
2019-08-31,556.99,378722896.0,6091817.029,26.6227,3.8014,5.0
2019-09-30,613.73,368615360.0,6715089.142,27.8654,4.1817,5.0
2019-10-31,615.17,286576438.0,6729586.374,27.9313,4.1916,5.0
2019-11-30,637.48,233544238.0,6981100.444,28.9438,4.3435,5.0
2019-12-31,636.05,240336992.0,6967326.133,26.9513,4.1315,5.0
2020-01-31,613.15,310372116.0,6716478.294,25.9809,3.9827,5.0
2020-02-29,588.83,276434354.0,6451916.083,24.9502,3.8247,5.0
2020-03-31,430.95,1010388466.0,4726044.6,17.3421,2.6798,5.0
2020-04-30,500.9,829147364.0,5493156.376,20.1569,3.1148,5.0
2020-05-31,475.83,805552906.0,5218794.984,19.1479,2.9588,5.0
2020-06-30,532.92,973252376.0,5851813.403,20.5366,3.1873,5.0
2020-07-31,516.4,736809294.0,5670359.697,19.8998,3.0885,5.0
2020-08-31,557.92,609810156.0,6140664.325,21.5,3.3369,0.0
2020-09-30,539.3,432970286.0,5935672.843,20.0111,3.0927,0.0
2020-10-31,591.78,532692176.0,6515731.703,21.9583,3.3937,0.0
2020-11-30,720.43,531705252.0,7934191.363,26.7319,4.1314,0.0
2020-12-31,718.15,466581656.0,7910647.794,25.7401,3.9359,0.0
2021-01-31,695.25,421868370.0,7660533.366,24.9194,3.8104,0.0
2021-02-28,767.2,415923076.0,8455800.89,27.4982,4.2048,0.0
2021-03-31,746.83,374740018.0,8234158.712,25.8417,3.9246,0.0
2021-04-30,706.15,485020704.0,7789061.241,24.4343,3.7108,0.0
2021-05-31,757.93,330041832.0,8364527.677,26.2258,3.9829,0.0
2021-06-30,748.95,227100062.0,8278472.537,25.1748,3.7841,3.25
2021-07-31,713.23,310373604.0,7891291.695,23.9739,3.6036,3.25
2021-08-31,790.7,279454978.0,8755113.951,26.5782,3.995,3.25
2021-09-30,797.48,270222146.0,8831958.892,25.7666,3.9218,3.25
2021-10-31,791.43,260906482.0,8768053.909,25.5711,3.8921,3.25
2021-11-30,746.78,272044710.0,8274896.585,24.1284,3.6725,3.25
2021-12-31,739.7,239162810.0,8199425.785,22.725,3.4678,3.25
2022-01-31,742.85,323148530.0,8234767.366,22.8218,3.4826,3.25
2022-02-28,713.13,272781790.0,7906342.105,21.9086,3.3432,3.25
2022-03-31,735.18,444892716.0,8153886.174,21.4337,3.2968,3.25
2022-04-30,692.3,702487522.0,7679696.744,20.1837,3.1045,3.25
2022-05-31,694.48,416407418.0,7710435.655,20.2471,3.1143,7.75
2022-06-30,674.0,244189688.0,7487537.102,18.8418,2.9031,7.75
2022-07-31,717.1,297715306.0,7971122.319,20.0466,3.0887,7.75
2022-08-31,743.05,246534666.0,8265779.262,20.7721,3.2005,7.75
2022-09-30,710.68,310092784.0,7916861.262,18.9127,3.0181,7.75
2022-10-31,748.35,234437326.0,8336557.674,19.9153,3.1781,7.75
2022-11-30,804.23,323297728.0,8968591.316,21.4023,3.4154,7.75
2022-12-31,814.08,283877362.0,9079794.298,20.6531,3.3938,7.75
2023-01-31,801.75,313887572.0,8943990.364,20.3404,3.3424,7.75
2023-02-28,799.8,257425864.0,8922906.949,20.2909,3.3343,7.75
2023-03-31,804.78,568756744.0,8980875.001,19.483,3.1029,7.75
2023-04-30,843.8,599861544.0,9418015.464,20.4277,3.2533,7.75
2023-05-31,805.43,779976770.0,9001439.378,19.4987,3.1054,9.5
2023-06-30,850.7,623884492.0,9513886.489,19.4401,3.1349,9.5
2023-07-31,825.6,946787022.0,12458238.26,18.8665,3.0425,9.5
2023-08-31,785.73,864117290.0,11901771.16,17.9553,2.8955,9.5
2023-09-30,763.15,1053153596.0,11569563.59,17.0188,2.7623,9.5
2023-10-31,738.25,655314900.0,11204927.59,16.4635,2.6722,9.5
2023-11-30,779.4,603387080.0,11830932.13,17.3811,2.8211,9.5
2023-12-31,854.63,785104804.0,12976683.54,19.0672,2.9673,9.5
2024-01-31,731.28,1278557080.0,11106956.12,16.3152,2.539,9.5
2024-02-29,701.7,979614252.0,10659938.59,15.6554,2.4363,9.5
2024-03-31,723.95,955921360.0,10999566.95,16.0408,2.4101,9.5
2024-04-30,760.05,749079294.0,11548063.9,16.8407,2.5303,9.5
2024-05-31,765.78,766788030.0,11646161.45,16.9676,2.5493,9.75
2024-06-30,841.9,955572944.0,12810556.33,18.754,2.6922,9.75
2024-07-31,807.88,1091450650.0,12302515.53,17.9961,2.5834,9.75
2024-08-31,818.45,1164519530.0,12472160.84,18.2317,2.6172,9.75
2024-09-30,866.03,654687330.0,13213193.53,19.0314,2.7433,9.75
2024-10-31,867.85,760645494.0,13244741.91,19.0715,2.7491,9.75
2024-11-30,898.03,966630076.0,13727092.4,19.7346,2.8447,9.75
2024-12-31,886.43,447801134.0,13558260.05,19.4009,2.7,9.75
2025-01-31,849.38,538029392.0,12992576.03,18.59,2.5872,9.75
2025-02-28,866.2,452577362.0,13254059.0,18.9582,2.6384,9.75
2025-03-31,914.1,447894586.0,13989240.67,19.7004,2.6811,9.75
2025-04-30,962.5,555549522.0,14730526.72,20.7435,2.8231,9.75
2025-05-31,972.45,441420200.0,14894153.63,20.958,2.8523,9.75
2025-06-30,1000.75,439374662.0,15347329.16,21.6706,2.8283,11.0
2025-07-31,1009.1,389693474.0,15485911.36,21.8515,2.8519,13.5
2025-08-31,951.6,308735506.0,14610942.07,20.6063,2.6894,13.5
2025-09-30,951.0,419518828.0,14607690.9,20.1227,2.6891,13.5
2025-10-31,987.3,469988171.0,15181409.54,20.8908,2.7918,13.5
2025-11-30,1007.6,379042208.0,15496664.55,21.3204,2.8492,13.5
2025-12-31,991.2,369669972.0,15249192.94,20.4014,2.7002,13.5
2026-01-31,929.25,691500946.0,14298244.63,19.1263,2.5315,13.5
2026-02-28,887.75,615171053.0,13661980.12,18.2721,2.4184,13.5
2026-03-31,875.1,115813826.0,13468096.73,18.0117,2.3839,13.5
