BJHI IN Equity,price,volume,mc,pe,bm,div
2006-02-28,564.62,8000245.0,263203.5851,7.1293,1.311,25.0
2006-03-31,596.1,7990106.0,277875.1929,5.6355,1.1597,25.0
2006-04-30,653.58,5145670.0,297651.5084,6.179,1.2715,25.0
2006-05-31,594.99,6577488.0,277359.157,5.6251,1.1575,25.0
2006-06-30,596.64,5690852.0,278128.1517,5.6407,1.1607,40.0
2006-07-31,534.44,4556261.0,249134.0191,5.0526,1.0397,40.0
2006-08-31,585.17,4422868.0,272780.6036,5.5322,1.1384,40.0
2006-09-30,650.39,4776047.0,303186.246,6.1488,1.2653,40.0
2006-10-31,596.48,8627409.0,278052.264,5.6391,1.1604,40.0
2006-11-30,574.43,8127454.0,267777.0794,5.4307,1.1175,40.0
2006-12-31,568.51,4777827.0,265014.7698,5.3747,1.106,40.0
2007-01-31,601.72,5189929.0,280495.8456,5.6887,1.1706,40.0
2007-02-28,568.38,7907653.0,264954.0597,5.3735,1.1058,40.0
2007-03-31,526.93,8548472.0,245633.0699,4.2652,0.8668,40.0
2007-04-30,531.24,5573345.0,247641.5625,4.3001,0.8739,40.0
2007-05-31,482.87,18044552.0,225092.819,3.9085,0.7943,40.0
2007-06-30,464.83,5869670.0,216684.47,3.7625,0.7647,40.0
2007-07-31,511.13,8431010.0,238266.911,4.1373,0.8408,40.0
2007-08-31,508.57,4538671.0,237072.9456,4.1166,0.8366,40.0
2007-09-30,550.98,3810960.0,256845.4608,4.4599,0.9064,40.0
2007-10-31,537.2,6950652.0,250420.2769,4.3483,0.8837,40.0
2007-11-30,587.11,4831069.0,273687.5373,4.7523,0.9658,40.0
2007-12-31,570.41,4541288.0,265901.4286,4.6171,0.9383,40.0
2008-01-31,512.05,3993715.0,238698.1107,4.1448,0.8423,40.0
2008-02-29,495.32,4355427.0,230896.8245,4.0093,0.8148,40.0
2008-03-31,691.5,15476272.0,69968.7347,13.312,1.6112,40.0
2008-04-30,712.25,4181324.0,72068.3027,13.7114,1.6596,40.0
2008-05-31,633.65,7029094.0,64115.2404,12.1983,1.4764,40.0
2008-06-30,433.85,4675554.0,43898.6776,8.352,1.0109,20.0
2008-07-31,349.5,12556917.0,35363.8073,6.7282,0.8144,20.0
2008-08-31,488.95,6854459.0,49473.9159,9.4127,1.1393,20.0
2008-09-30,451.7,3847616.0,45704.8119,8.6956,1.0525,20.0
2008-10-31,335.75,3116890.0,33972.5274,6.4635,0.7823,20.0
2008-11-30,248.25,612744.0,25118.9275,4.779,0.5784,20.0
2008-12-31,242.45,2745611.0,24532.0603,4.6674,0.5649,20.0
2009-01-31,229.3,2749509.0,23201.4908,4.4142,0.5343,20.0
2009-02-28,239.8,915094.0,24263.9227,4.6164,0.5587,20.0
2009-03-31,297.9,946188.0,30142.713,9.9513,0.6646,20.0
2009-04-30,339.5,1681894.0,34351.9674,11.3409,0.7574,20.0
2009-05-31,364.45,1173710.0,36876.5081,12.1744,0.813,20.0
2009-06-30,366.3,7112583.0,37063.6985,12.2362,0.8172,20.0
2009-07-31,468.7,4077257.0,47424.9399,15.6569,1.0456,10.0
2009-08-31,469.35,1797940.0,47490.7095,15.6786,1.047,10.0
2009-09-30,511.7,3071049.0,51775.8518,17.0933,1.1415,10.0
2009-10-31,486.9,3018579.0,49266.4887,16.2648,1.0862,10.0
2009-11-30,528.3,1325407.0,53455.5062,17.6478,1.1786,10.0
2009-12-31,615.3,3113200.0,62258.514,20.554,1.3726,10.0
2010-01-31,564.75,3716866.0,57143.6629,18.8654,1.2599,10.0
2010-02-28,594.95,5710245.0,60199.4197,19.8742,1.3272,10.0
2010-03-31,604.15,3084297.0,61130.3125,4.5088,1.1532,10.0
2010-04-30,627.35,2613309.0,63477.7812,4.682,1.1975,10.0
2010-05-31,674.75,7957495.0,71552.1791,5.0357,1.2879,10.0
2010-06-30,701.3,4020170.0,74367.6076,5.2339,1.3386,10.0
2010-07-31,724.5,4427703.0,76827.7937,5.407,1.3829,30.0
2010-08-31,746.15,2940347.0,79123.6139,5.5686,1.4242,30.0
2010-09-30,830.5,4098147.0,88068.299,6.1981,1.5852,30.0
2010-10-31,874.55,2616115.0,92739.4713,6.5269,1.6693,30.0
2010-11-30,858.15,4018778.0,91000.3743,6.4045,1.638,30.0
2010-12-31,874.2,1026733.0,92702.3564,6.5243,1.6686,30.0
2011-01-31,727.45,1948538.0,77140.6191,5.4291,1.3885,30.0
2011-02-28,758.95,1278908.0,80480.9579,5.6641,1.4487,30.0
2011-03-31,795.75,2490037.0,88561.8049,3.6671,1.1886,30.0
2011-04-30,784.85,1789463.0,87348.7057,3.6168,1.1723,30.0
2011-05-31,766.1,1239853.0,85261.9525,3.5304,1.1443,30.0
2011-06-30,725.35,1174753.0,80726.7423,3.3426,1.0835,35.0
2011-07-31,772.05,2352917.0,85924.1488,3.5578,1.1532,35.0
2011-08-31,749.95,4596339.0,83464.5624,3.456,1.1202,35.0
2011-09-30,719.4,2189956.0,80064.5459,3.3152,1.0746,35.0
