BASF IN Equity,price,volume,mc,pe,bm,div
2006-03-31,220.05,1298272.0,6203.0997,13.6934,2.2451,6.0
2006-04-30,242.8,1897851.0,6803.536,15.1091,2.4773,6.0
2006-05-31,215.2,1629360.0,6066.3806,13.3916,2.1957,6.0
2006-06-30,189.1,723894.0,5330.6346,11.7674,1.9294,6.0
2006-07-31,198.1,2591273.0,5584.3401,12.3274,2.0212,7.0
2006-08-31,217.45,1495993.0,6129.807,13.5316,2.2186,7.0
2006-09-30,234.15,1764324.0,6600.5716,14.5708,2.389,7.0
2006-10-31,234.4,1637842.0,6607.619,14.5863,2.3915,7.0
2006-11-30,229.4,991586.0,6466.6715,14.2752,2.3405,7.0
2006-12-31,230.1,518223.0,6486.4041,14.3188,2.3477,7.0
2007-01-31,217.6,1937534.0,6134.0354,13.5409,2.2201,7.0
2007-02-28,205.25,390812.0,5785.895,12.7724,2.0941,7.0
2007-03-31,191.0,321580.0,5384.1947,10.7576,1.7755,7.0
2007-04-30,227.2,1071859.0,6404.6546,12.7965,2.112,7.0
2007-05-31,265.35,4005481.0,7480.084,14.9452,2.4666,7.0
2007-06-30,264.4,3114775.0,7453.304,14.8917,2.4578,7.0
2007-07-31,281.15,3098609.0,7925.4782,15.8351,2.6135,7.0
2007-08-31,267.05,996298.0,7528.0062,15.041,2.4824,7.0
2007-09-30,260.65,718481.0,7347.4626,14.6805,2.4229,7.0
2007-10-31,248.8,903094.0,7013.423,14.0131,2.3128,7.0
2007-11-30,255.5,832570.0,7202.2893,14.3904,2.3751,7.0
2007-12-31,319.8,2260430.0,9014.8419,18.012,2.9728,7.0
2008-01-31,239.95,1641499.0,6763.9504,13.5146,2.2305,7.0
2008-02-29,235.0,222876.0,6624.4148,13.2358,2.1845,7.0
2008-03-31,194.2,528439.0,5474.3036,9.5289,1.6215,7.0
2008-04-30,212.05,625817.0,5977.4773,10.4048,1.7705,7.0
2008-05-31,255.0,6510918.0,7188.1948,12.5123,2.1291,7.0
2008-06-30,263.7,2051476.0,7433.4391,12.9392,2.2018,7.0
2008-07-31,270.75,5333150.0,7632.1715,13.2851,2.2606,7.0
2008-08-31,277.85,180671.0,7832.3134,13.6335,2.3199,7.0
2008-09-30,239.0,127489.0,6737.1708,11.7272,1.9955,7.0
2008-10-31,218.85,128799.0,6169.1625,10.7385,1.8273,7.0
2008-11-30,222.0,85256.0,6257.9578,10.893,1.8536,7.0
2008-12-31,227.6,63934.0,6415.8162,11.1678,1.9003,7.0
2009-01-31,183.9,336820.0,5183.9569,9.0236,1.5355,7.0
2009-02-28,171.0,60234.0,4820.3189,8.3906,1.4278,7.0
2009-03-31,179.2,117850.0,5051.4687,10.3944,1.3911,7.0
2009-04-30,208.2,210522.0,5868.9496,12.0766,1.6162,7.0
2009-05-31,257.3,570591.0,7253.0295,14.9246,1.9973,7.0
2009-06-30,255.45,811072.0,7200.8798,14.8173,1.983,7.0
2009-07-31,287.15,534430.0,8094.4711,16.656,2.2291,7.0
2009-08-31,291.1,269164.0,8205.8177,16.8852,2.2597,7.0
2009-09-30,307.9,768657.0,8679.3928,17.8596,2.3901,7.0
2009-10-31,331.9,3696236.0,9355.9288,19.2517,2.5764,7.0
2009-11-30,346.95,454981.0,9780.1733,20.1247,2.6933,7.0
2009-12-31,413.7,9338864.0,11661.789,23.9965,3.2114,7.0
2010-01-31,361.0,3641578.0,10176.2287,20.9397,2.8023,7.0
2010-02-28,365.9,1001311.0,10314.3548,21.2239,2.8404,7.0
2010-03-31,354.0,499204.0,9978.9057,15.0227,1.7121,7.0
2010-04-30,412.8,1495494.0,16829.5664,17.518,1.9965,7.0
2010-05-31,416.9,864143.0,16996.7206,17.692,2.0164,7.0
2010-06-30,416.3,711063.0,16972.259,17.6666,2.0135,7.0
2010-07-31,471.35,3698113.0,19216.6089,20.0027,2.2797,8.0
2010-08-31,507.8,2451974.0,20702.6498,21.5496,2.456,8.0
2010-09-30,668.4,6308565.0,27250.1992,28.3649,3.2328,8.0
2010-10-31,669.95,971346.0,27313.3916,28.4307,3.2403,8.0
2010-11-30,615.1,556847.0,25077.1955,26.103,2.975,8.0
2010-12-31,634.05,564512.0,25849.7737,26.9072,3.0666,8.0
2011-01-31,572.55,158462.0,23342.4619,24.2974,2.7692,8.0
2011-02-28,475.55,1055669.0,19387.8399,20.181,2.3,8.0
2011-03-31,594.2,748242.0,24225.1172,21.8295,2.6571,8.0
2011-04-30,621.5,605237.0,26901.6274,22.8325,2.7791,8.0
2011-05-31,581.0,131722.0,25148.5849,21.3446,2.598,8.0
2011-06-30,598.35,834454.0,25899.5797,21.982,2.6756,8.0
2011-07-31,660.95,951229.0,28609.2206,24.2818,2.9556,8.0
2011-08-31,595.3,229587.0,25767.5604,21.8699,2.662,8.0
2011-09-30,604.7,232326.0,26174.4394,22.2153,2.704,8.0
2011-10-31,598.95,126374.0,25925.5507,22.004,2.6783,8.0
2011-11-30,534.3,119091.0,23127.1754,19.6289,2.3892,8.0
2011-12-31,447.85,151764.0,19385.1872,16.453,2.0026,8.0
2012-01-31,504.1,174550.0,21819.9684,18.5195,2.2542,8.0
2012-02-29,501.2,173727.0,21694.4419,18.4129,2.2412,8.0
2012-03-31,503.55,247055.0,21796.4633,21.6116,2.0784,8.0
2012-04-30,617.0,2246019.0,26707.2144,26.4807,2.5466,8.0
2012-05-31,575.65,235556.0,24917.3549,24.706,2.3759,8.0
2012-06-30,573.05,215432.0,24804.8124,24.5944,2.3652,8.0
2012-07-31,559.55,253469.0,24220.4568,24.015,2.3095,8.0
2012-08-31,624.2,2555944.0,27018.8707,26.7897,2.5763,4.0
2012-09-30,651.95,603926.0,28220.0461,27.9807,2.6909,4.0
2012-10-31,652.2,1069747.0,28230.8675,27.9914,2.6919,4.0
2012-11-30,730.45,422942.0,31617.9656,31.3498,3.0149,4.0
2012-12-31,727.05,398700.0,31470.7946,31.2039,3.0008,4.0
2013-01-31,649.55,382397.0,28116.1607,27.8777,2.681,4.0
2013-02-28,596.9,155878.0,25837.1739,25.618,2.4637,4.0
2013-03-31,578.8,233640.0,25053.7046,21.9658,2.1928,4.0
2013-04-30,581.75,358359.0,25181.3971,22.0778,2.2039,4.0
2013-05-31,604.15,493905.0,26150.9945,22.9279,2.2888,4.0
2013-06-30,551.75,214117.0,23882.8523,20.9393,2.0903,4.0
2013-07-31,512.2,438753.0,22170.9052,19.4383,1.9404,4.0
2013-08-31,511.85,362631.0,22155.7552,19.425,1.9391,4.0
2013-09-30,534.75,196526.0,23146.9964,20.2941,2.0259,4.0
2013-10-31,589.0,307281.0,25495.2424,22.3529,2.2314,4.0
2013-11-30,628.6,469205.0,27209.3538,23.8558,2.3814,4.0
2013-12-31,650.2,312877.0,28144.3236,24.6755,2.4633,4.0
2014-01-31,587.95,391735.0,25449.7925,22.3131,2.2274,4.0
2014-02-28,689.1,352097.0,29828.135,26.1518,2.6106,4.0
2014-03-31,858.9,1699799.0,37178.0368,29.0758,2.9738,4.0
2014-04-30,748.45,290952.0,32397.1378,25.3368,2.5914,4.0
2014-05-31,791.0,917575.0,34238.9418,26.7773,2.7387,4.0
2014-06-30,871.5,498136.0,37723.4359,29.5024,3.0174,4.0
2014-07-31,835.3,551744.0,36156.4957,28.2769,2.8921,4.0
2014-08-31,1190.75,2124504.0,51542.3767,40.3097,4.1228,4.0
2014-09-30,1321.7,1311011.0,57210.6286,44.7427,4.5762,4.0
2014-10-31,1217.1,575575.0,52682.9533,41.2018,4.214,4.0
2014-11-30,1267.95,470855.0,54884.0254,42.9232,4.3901,4.0
2014-12-31,1287.5,560812.0,55730.2624,43.585,4.4577,4.0
2015-01-31,1233.8,1070627.0,53405.8262,41.7671,4.2718,4.0
2015-02-28,1138.65,468088.0,49287.6031,38.546,3.9424,4.0
2015-03-31,1120.75,525358.0,48512.3818,36.8331,4.1746,4.0
2015-04-30,1113.1,797283.0,48181.2467,36.8331,4.1461,4.0
2015-05-31,1081.55,462241.0,46815.5874,36.8331,4.0286,4.0
2015-06-30,1201.45,343419.0,52005.5303,36.8331,4.4752,4.0
2015-07-31,1191.6,442903.0,51579.1695,36.8331,4.4385,4.0
2015-08-31,1196.05,1156415.0,51771.7933,36.8331,4.4551,4.0
2015-09-30,1083.55,353913.0,46902.1587,36.8331,4.0361,4.0
2015-10-31,900.55,909297.0,38980.8837,36.8331,3.3544,4.0
2015-11-30,880.6,373693.0,38117.3352,36.8331,3.2801,4.0
2015-12-31,951.25,893664.0,41175.4657,36.8331,3.5433,4.0
2016-01-31,794.15,502331.0,34375.2916,36.8331,2.9581,4.0
2016-02-29,786.0,506582.0,34022.5136,36.8331,2.9277,4.0
2016-03-31,877.5,427927.0,37983.1497,36.8331,3.4034,4.0
2016-04-30,906.4,319045.0,39234.1047,36.8331,3.5155,4.0
2016-05-31,990.95,1104807.0,42893.9057,36.8331,3.8434,4.0
2016-06-30,1132.45,703085.0,49018.8211,36.8331,4.3923,4.0
2016-07-31,1061.05,299464.0,45928.2318,36.8331,4.1153,4.0
2016-08-31,1136.3,746248.0,49185.4763,36.8331,4.4072,1.0
2016-09-30,1209.45,659770.0,52351.8155,36.8331,4.6909,1.0
2016-10-31,1238.5,393009.0,53609.266,36.8331,4.8036,1.0
2016-11-30,1049.55,295360.0,45430.4469,36.8331,4.0707,1.0
2016-12-31,1159.5,328665.0,50189.7004,36.8331,4.4972,1.0
2017-01-31,1306.0,379261.0,56531.0468,36.8331,5.0654,1.0
2017-02-28,1170.2,571939.0,50652.8541,36.8331,4.5387,1.0
2017-03-31,1370.85,525378.0,59338.1206,36.8331,5.3832,1.0
2017-04-30,1312.7,314885.0,56821.0579,36.8331,5.1549,1.0
2017-05-31,1375.6,606659.0,59543.7274,36.8331,5.4019,1.0
2017-06-30,1783.2,938244.0,77186.9545,36.8331,7.0025,1.0
2017-07-31,1480.5,455726.0,64084.3911,36.8331,5.8138,1.0
2017-08-31,1512.9,324142.0,65486.8458,36.8331,5.941,1.0
2017-09-30,1501.25,444520.0,64982.5681,36.8331,5.8953,1.0
2017-10-31,1739.3,2530838.0,75286.7149,36.8331,6.8301,1.0
2017-11-30,1986.0,1397981.0,85965.283,36.8331,7.7989,1.0
2017-12-31,2141.85,436582.0,92711.3502,36.8331,8.4109,1.0
2018-01-31,2128.35,652998.0,92126.994,36.8331,8.3579,1.0
2018-02-28,2037.0,387225.0,88172.8487,36.8331,7.9992,1.0
2018-03-31,1923.35,281774.0,83253.4357,33.7737,6.1949,1.0
2018-04-30,2137.05,218539.0,92503.577,37.5262,6.8832,1.0
2018-05-31,2027.2,316691.0,87748.6494,35.5973,6.5294,1.0
2018-06-30,1948.3,618406.0,84333.4124,34.2118,6.2753,1.0
2018-07-31,1937.75,278596.0,83876.7489,34.0265,6.2413,3.0
2018-08-31,1963.25,339083.0,84980.5327,34.4743,6.3234,3.0
2018-09-30,1868.1,172412.0,80861.9041,32.8035,6.017,3.0
2018-10-31,1664.5,197992.0,72048.9478,29.2283,5.3612,3.0
2018-11-30,1588.4,259331.0,68754.9106,27.892,5.1161,3.0
2018-12-31,1539.45,211626.0,66636.0785,27.0325,4.9584,3.0
2019-01-31,1352.7,322834.0,58552.4852,23.7532,4.3569,3.0
2019-02-28,1319.2,394545.0,57102.4163,23.1649,4.249,3.0
2019-03-31,1480.55,413916.0,64086.5543,78.4209,4.5358,3.0
2019-04-30,1363.5,244664.0,59019.9701,72.221,4.1772,3.0
2019-05-31,1383.3,278230.0,59877.0258,73.2698,4.2378,3.0
2019-06-30,1345.35,199726.0,58234.3358,71.2597,4.1216,3.0
2019-07-31,1022.75,159805.0,44270.3883,54.1724,3.1333,5.0
2019-08-31,1054.3,237347.0,45636.0503,55.8435,3.2299,5.0
2019-09-30,1001.9,308450.0,43367.8827,53.068,3.0694,5.0
2019-10-31,1004.0,359450.0,43458.7826,53.1793,3.0758,5.0
2019-11-30,1000.35,665803.0,43300.79,52.9859,3.0646,5.0
2019-12-31,988.25,534289.0,42777.0337,52.345,3.0276,5.0
2020-01-31,989.4,983957.0,42826.8122,52.4059,3.0311,5.0
2020-02-29,1026.85,4722965.0,44447.8594,54.3896,3.1458,5.0
2020-03-31,1125.25,3875628.0,48707.1664,212.9707,3.9154,5.0
2020-04-30,1054.05,657586.0,45625.2288,199.495,3.6676,5.0
2020-05-31,1086.75,493107.0,47040.6693,205.684,3.7814,5.0
2020-06-30,1137.8,1159122.0,49250.4012,215.346,3.959,5.0
2020-07-31,1332.85,2971684.0,57693.2653,252.2621,4.6377,3.0
2020-08-31,1477.05,4263451.0,63935.0546,279.5542,5.1395,3.0
2020-09-30,1511.55,1486429.0,65428.4091,286.0838,5.2595,3.0
2020-10-31,1362.8,487410.0,58989.6716,257.9306,4.7419,3.0
2020-11-30,1656.15,1624348.0,71687.5143,313.4516,5.7627,3.0
2020-12-31,1628.1,757561.0,70473.3521,308.1427,5.6651,3.0
2021-01-31,1561.5,1002738.0,67590.5284,295.5376,5.4333,3.0
2021-02-28,1926.75,2757309.0,83400.6088,364.6668,6.7042,3.0
2021-03-31,2069.75,1453609.0,89590.4555,16.212,5.0158,3.0
2021-04-30,2228.75,985822.0,96472.8724,17.4574,5.4011,3.0
2021-05-31,2424.3,2431636.0,104937.3795,18.9891,5.875,3.0
2021-06-30,2599.3,2088425.0,112512.3667,20.3599,6.2991,3.0
2021-07-31,2876.2,982452.0,124498.1578,22.5288,6.9701,10.0
2021-08-31,3586.9,6122191.0,155261.2621,28.0955,8.6924,10.0
2021-09-30,3427.75,1412798.0,148372.3525,26.849,8.3067,10.0
2021-10-31,3240.65,1118860.0,140273.6093,25.3834,7.8533,10.0
2021-11-30,2713.05,968772.0,117436.1056,21.2508,6.5747,10.0
2021-12-31,3031.1,847737.0,131203.1034,23.7421,7.3455,10.0
2022-01-31,3075.65,1015028.0,133131.4787,24.091,7.4534,10.0
2022-02-28,2749.8,956559.0,119026.8529,21.5387,6.6638,10.0
2022-03-31,3092.9,1499018.0,133878.156,22.5102,5.7308,10.0
2022-04-30,2694.5,400851.0,116633.157,19.6106,4.9926,10.0
2022-05-31,2554.7,1101756.0,110581.8245,18.5932,4.7336,10.0
2022-06-30,2728.55,617445.0,118107.033,19.8584,5.0557,10.0
2022-07-31,2691.9,603922.0,116520.6143,19.5917,4.9878,6.0
2022-08-31,3320.2,1867647.0,143716.9819,24.1645,6.152,6.0
2022-09-30,2980.75,726457.0,129023.6714,21.694,5.523,6.0
2022-10-31,2868.8,345728.0,124177.844,20.8792,5.3156,6.0
2022-11-30,2661.25,606875.0,115193.9095,19.3686,4.931,6.0
2022-12-31,2819.7,395855.0,122052.5191,20.5218,5.2246,6.0
2023-01-31,2439.35,327112.0,105588.8259,17.7536,4.5198,6.0
2023-02-28,2301.05,595821.0,99602.4219,16.7471,4.2636,6.0
2023-03-31,2275.6,296809.0,98500.8024,24.4425,3.6465,6.0
2023-04-30,2373.15,184240.0,102723.3166,25.4903,3.8028,6.0
2023-05-31,2531.55,533815.0,109579.7619,27.1917,4.0567,6.0
2023-06-30,2623.4,593283.0,113555.548,28.1783,4.2039,6.0
2023-07-31,2740.0,552068.0,118602.6536,29.4307,4.3907,8.0
2023-08-31,2632.15,355435.0,113934.2973,28.2723,4.2179,8.0
2023-09-30,2554.7,433638.0,110581.8245,27.4404,4.0938,8.0
2023-10-31,2524.0,270107.0,109252.9554,27.1106,4.0446,8.0
2023-11-30,2935.6,971585.0,127069.3248,31.5317,4.7041,8.0
2023-12-31,3066.35,717266.0,132728.9222,32.9361,4.9137,8.0
2024-01-31,3037.7,346470.0,131488.7886,32.6284,4.8678,8.0
2024-02-29,3299.4,724449.0,142816.6406,35.4393,5.2871,8.0
2024-03-31,3337.05,326591.0,144446.345,25.6438,4.481,8.0
2024-04-30,3736.65,819368.0,161743.2867,28.7146,5.0176,8.0
2024-05-31,4271.2,1698212.0,184881.6256,32.8224,5.7353,8.0
2024-06-30,5084.3,1140096.0,220077.1795,39.0707,6.8272,8.0
2024-07-31,6238.45,1314621.0,270035.3009,47.9399,8.377,15.0
2024-08-31,6592.6,2554899.0,285364.9103,50.6614,8.8525,15.0
2024-09-30,7385.25,564074.0,319675.2728,56.7526,9.9169,15.0
2024-10-31,7658.2,1404869.0,331490.0882,58.8501,10.2834,15.0
2024-11-30,6016.75,1252463.0,260438.8745,46.2362,8.0793,15.0
2024-12-31,5562.95,1844633.0,240795.851,42.749,7.4699,15.0
2025-01-31,4614.55,701180.0,199743.7501,35.4609,6.1964,15.0
2025-02-28,4286.35,962463.0,185537.403,32.9388,5.7557,15.0
2025-03-31,4423.7,626887.0,191482.6857,39.9699,5.2687,15.0
2025-04-30,4391.2,434888.0,190075.9024,39.6762,5.23,15.0
