MAXF IN Equity,price,volume,mc,pe,bm,div
2006-03-31,141.23,2462810.0,30961.9461,7.5502,3.8206,0.0
2006-04-30,133.76,681090.0,29750.5587,7.151,3.6186,0.0
2006-05-31,118.39,540370.0,25955.8089,6.3295,3.2028,0.0
2006-06-30,124.95,1878320.0,27394.1134,6.6802,3.3803,0.0
2006-07-31,105.97,1039830.0,23232.8055,5.6654,2.8668,0.0
2006-08-31,108.26,189995.0,24460.2558,5.7876,2.9287,0.0
2006-09-30,127.64,655485.0,28838.888,6.8237,3.4529,0.0
2006-10-31,149.09,507670.0,33685.246,7.9704,4.0332,0.0
2006-11-30,139.05,1549710.0,31418.5752,7.434,3.7618,0.0
2006-12-31,136.15,337900.0,30761.9603,7.2787,3.6832,0.0
2007-01-31,165.63,2273705.0,37425.0131,8.8549,4.4808,0.0
2007-02-28,158.81,6922180.0,35883.253,8.4901,4.2962,0.0
2007-03-31,165.29,1525954.0,37347.6759,8.5982,4.9344,0.0
2007-04-30,181.61,1559377.0,41035.6689,8.5982,5.4217,0.0
2007-05-31,198.33,1278456.0,44813.613,8.5982,5.9208,0.0
2007-06-30,193.51,6494121.0,53852.2713,8.5982,5.777,0.0
2007-07-31,170.22,3253696.0,47371.387,8.5982,5.0818,0.0
2007-08-31,160.67,8388645.0,44712.5627,8.5982,4.7966,0.0
2007-09-30,193.67,1446393.0,53896.6593,8.5982,5.7818,0.0
2007-10-31,207.37,2992141.0,57750.8809,8.5982,6.1906,0.0
2007-11-30,184.28,1639421.0,51320.5659,8.5982,5.5013,0.0
2007-12-31,208.84,9335268.0,58161.0907,8.5982,6.2346,0.0
2008-01-31,170.42,3959153.0,47462.3769,8.5982,5.0877,0.0
2008-02-29,159.16,3335093.0,44326.3243,8.5982,4.7514,0.0
2008-03-31,118.03,7664849.0,32873.3245,8.5982,1.6954,0.0
2008-04-30,126.31,4539633.0,35179.5263,8.5982,1.8144,0.0
2008-05-31,141.04,6544504.0,39331.3736,8.5982,2.0259,0.0
2008-06-30,123.73,3496819.0,34502.3734,8.5982,1.7772,0.0
2008-07-31,153.38,3812668.0,42772.73,8.5982,2.2032,0.0
2008-08-31,160.11,2176797.0,44648.8243,8.5982,2.2998,0.0
2008-09-30,131.37,3149411.0,36633.7942,8.5982,1.887,0.0
2008-10-31,77.23,4352953.0,21536.2305,8.5982,1.1093,0.0
2008-11-30,77.15,1697986.0,21514.0282,8.5982,1.1082,0.0
2008-12-31,92.04,4258654.0,25665.8582,8.5982,1.322,0.0
2009-01-31,91.56,2415078.0,25533.485,8.5982,1.3152,0.0
2009-02-28,82.92,3512668.0,23124.4562,8.5982,1.1911,0.0
2009-03-31,78.19,7557849.0,21803.3758,8.5982,1.3188,0.0
2009-04-30,112.38,27972390.0,31339.5774,8.5982,1.8956,0.0
2009-05-31,152.19,5897453.0,42441.0926,8.5982,2.5671,0.0
2009-06-30,168.79,15021604.0,47070.4244,8.5982,2.8471,0.0
2009-07-31,165.81,36545986.0,48388.2615,8.5982,2.7968,0.0
2009-08-31,146.98,14471764.0,42893.028,8.5982,2.4792,0.0
2009-09-30,146.98,15627225.0,42893.028,8.5982,2.4792,0.0
2009-10-31,142.88,7794499.0,41696.3915,8.5982,2.41,0.0
2009-11-30,177.07,18714513.0,51676.1074,8.5982,2.9868,0.0
2009-12-31,176.79,10295400.0,51594.7826,8.5982,2.9821,0.0
2010-01-31,166.44,8632697.0,48574.1468,8.5982,2.8075,0.0
2010-02-28,155.41,7654285.0,45356.0079,8.5982,2.6215,0.0
2010-03-31,164.97,9539451.0,48148.0368,8.5982,2.1983,0.0
2010-04-30,142.64,24857507.0,41629.9266,8.5982,1.9007,0.0
2010-05-31,129.7,11657168.0,37853.8378,8.5982,1.7283,0.0
2010-06-30,122.41,20706882.0,35727.6093,8.5982,1.6312,0.0
2010-07-31,122.61,18128044.0,35785.703,8.5982,1.6339,0.0
2010-08-31,122.85,23753296.0,35855.4154,8.5982,1.637,0.0
2010-09-30,135.11,24600341.0,39433.9857,8.5982,1.8004,0.0
2010-10-31,126.0,22319777.0,36790.6572,8.5982,1.6789,0.0
2010-11-30,118.63,21358808.0,34640.1764,8.5982,1.5808,0.0
2010-12-31,117.52,12394495.0,34314.6983,8.5982,1.566,0.0
2011-01-31,115.73,5550695.0,33791.6083,8.5982,1.5421,0.0
2011-02-28,112.38,9163910.0,32815.1738,8.5982,1.4975,0.0
2011-03-31,127.19,10262599.0,37139.3838,340.7332,2.0794,0.0
2011-04-30,133.44,6192848.0,38964.3864,357.4765,2.1816,0.0
2011-05-31,133.84,5892618.0,39080.6286,358.543,2.1881,0.0
2011-06-30,145.98,19023490.0,42626.0158,391.0699,2.3866,0.0
2011-07-31,145.22,6292510.0,46797.2895,389.0437,2.3743,0.0
2011-08-31,154.74,13953013.0,49863.2303,414.532,2.5298,0.0
2011-09-30,150.4,12295308.0,48464.956,402.9076,2.4589,0.0
2011-10-31,150.96,6410408.0,48644.5509,404.4007,2.468,0.0
2011-11-30,132.05,3924658.0,42551.1538,353.7439,2.1588,0.0
2011-12-31,116.36,27608399.0,37496.8413,311.7255,1.9024,0.0
2012-01-31,129.5,17494369.0,41730.9628,346.9186,2.1172,0.0
2012-02-29,129.9,15750709.0,43164.4473,347.9851,2.1237,0.0
2012-03-31,134.63,7269384.0,44738.6334,22.3466,1.4176,0.0
2012-04-30,157.84,39205149.0,52450.8224,26.1987,1.6619,0.0
2012-05-31,146.82,6613634.0,48786.5405,24.3685,1.5458,0.0
2012-06-30,152.95,5341773.0,50823.7225,25.386,1.6104,0.0
2012-07-31,140.01,3687174.0,46667.2832,23.2386,1.4742,0.0
