ZCVCS IN Equity,price,volume,mc,pe,bm,div
2008-10-31,145.25,3765883.0,2755.0439,3.9449,1.643,0.0
2008-11-30,150.0,72157.0,2845.14,4.0739,1.6967,0.0
2008-12-31,168.0,21113.0,3186.5568,4.5627,1.9003,2.5
2009-01-31,114.7,28673.0,2175.6296,3.1152,1.2974,2.5
2009-02-28,111.2,105548.0,2109.2416,3.0201,1.2578,2.5
2009-03-31,127.0,75762.0,2408.9361,6.7806,1.2187,2.5
2009-04-30,151.15,37520.0,2867.0133,8.0699,1.4505,2.5
2009-05-31,195.25,104375.0,3703.5021,10.4245,1.8736,2.5
2009-06-30,212.4,7013766.0,4028.8033,11.3401,2.0382,2.5
2009-07-31,286.75,1050085.0,5439.0741,15.3097,2.7517,2.5
2009-08-31,335.95,99625.0,6372.2997,17.9365,3.2238,2.5
2009-09-30,400.1,129804.0,7589.097,21.3615,3.8394,2.5
2009-10-31,432.5,134136.0,8203.6602,23.0913,4.1503,2.5
2009-11-30,458.35,119815.0,8693.983,24.4714,4.3984,2.5
2009-12-31,527.65,108065.0,10008.4654,28.1714,5.0634,2.5
2010-01-31,653.85,170993.0,12402.2271,34.9092,6.2744,2.5
2010-02-28,685.0,104363.0,12993.0803,36.5723,6.5733,0.0
2010-03-31,705.5,192705.0,13381.9243,17.0287,4.9503,0.0
2010-04-30,800.25,357480.0,15179.1423,19.3157,5.6151,0.0
2010-05-31,746.4,208355.0,14157.7155,18.0159,5.2373,0.0
2010-06-30,814.1,143637.0,15441.8491,19.65,5.7123,0.0
2010-07-31,920.95,1225138.0,17468.58,22.2291,6.4621,0.0
2010-08-31,1015.1,481629.0,19254.4172,24.5016,7.1227,2.5
2010-09-30,1068.35,281641.0,20264.4632,25.7869,7.4963,2.5
2010-10-31,1119.2,760669.0,21228.9849,27.0142,7.8531,2.5
2010-11-30,1064.45,106113.0,20190.4869,25.6927,7.469,2.5
2010-12-31,1071.55,104419.0,20325.162,25.8641,7.5188,2.5
2011-01-31,939.0,114793.0,17810.9524,22.6647,6.5887,2.5
2011-02-28,932.35,46929.0,17684.8152,22.5042,6.5421,2.5
2011-03-31,1039.25,54912.0,19712.4944,15.4696,5.0971,2.5
2011-04-30,1025.75,93254.0,19456.4264,15.2687,5.0309,2.5
2011-05-31,996.35,119528.0,18898.7672,14.8311,4.8867,2.5
2011-06-30,1062.05,55856.0,20144.966,15.809,5.209,2.5
2011-07-31,1291.9,180876.0,24504.7597,19.2304,6.3363,5.0
2011-08-31,1247.5,66105.0,23662.5805,18.5695,6.1185,5.0
2011-09-30,1277.6,126231.0,24233.5173,19.0176,6.2661,5.0
2011-10-31,1383.7,109740.0,26246.021,20.5969,6.7865,5.0
2011-11-30,1256.0,32767.0,23823.8085,18.696,6.1602,5.0
2011-12-31,1169.5,16616.0,22183.0765,17.4085,5.736,5.0
2012-01-31,1343.5,370471.0,25483.5086,19.9985,6.5894,5.0
2012-02-29,1506.0,295891.0,28565.8086,22.4174,7.3864,5.0
2012-03-31,1530.7,157987.0,29033.7039,18.9279,5.4873,5.0
2012-04-30,1710.85,197151.0,32450.7182,21.1556,6.1331,5.0
2012-05-31,1479.1,175248.0,28054.977,18.2898,5.3023,5.0
2012-06-30,1524.0,85111.0,28906.6222,18.8451,5.4633,5.0
2012-07-31,1519.75,73984.0,28826.0099,18.7925,5.4481,5.0
2012-08-31,1579.65,209276.0,29962.1691,19.5332,5.6628,5.0
2012-09-30,1616.7,122169.0,30664.9175,19.9913,5.7956,5.0
2012-10-31,1603.85,91814.0,30421.185,19.8324,5.7495,5.0
2012-11-30,1582.05,88418.0,30007.6926,19.5629,5.6714,5.0
2012-12-31,1668.35,65575.0,31644.5952,20.63,5.9808,5.0
2013-01-31,1561.45,49942.0,29616.9576,19.3081,5.5975,5.0
2013-02-28,1447.4,84882.0,27453.7041,17.8979,5.1887,5.0
2013-03-31,1391.2,72861.0,26387.7238,20.1769,4.0672,5.0
2013-04-30,1350.15,86768.0,25609.105,19.5816,3.9472,5.0
2013-05-31,1644.25,109772.0,31187.4761,23.847,4.807,5.0
2013-06-30,1719.05,29675.0,32606.2275,24.9318,5.0256,5.0
2013-07-31,1716.8,163453.0,32563.5504,24.8992,5.0191,5.0
2013-08-31,1600.05,90455.0,30349.0849,23.2059,4.6777,5.0
2013-09-30,1738.95,17606.0,32983.6801,25.2204,5.0838,5.0
2013-10-31,1692.35,33677.0,32099.7918,24.5446,4.9476,5.0
2013-11-30,1705.0,25755.0,32339.7318,24.7281,4.9846,5.0
2013-12-31,2045.3,99516.0,38794.402,29.6635,5.9794,5.0
2014-01-31,1848.7,140440.0,35065.3725,26.8122,5.4047,5.0
2014-02-28,1749.4,106403.0,33181.8925,25.372,5.1144,5.0
2014-03-31,2033.95,116409.0,38579.1175,32.8374,5.1086,5.0
2014-04-30,2205.55,72658.0,41833.9574,35.6078,5.5396,5.0
2014-05-31,2568.85,148932.0,48724.8821,41.4732,6.4521,5.0
2014-06-30,3297.35,163616.0,62542.7675,53.2346,8.2818,5.0
2014-07-31,3355.0,191226.0,63636.2464,54.1653,8.4266,5.0
2014-08-31,3616.55,98332.0,68597.2193,58.388,9.0836,5.0
2014-09-30,3880.9,320913.0,73611.2967,62.6558,9.7475,5.0
2014-10-31,3643.1,93080.0,69100.8099,58.8166,9.1502,5.0
2014-11-30,4407.9,232077.0,83607.2138,71.164,11.0712,5.0
2014-12-31,4477.75,156011.0,84932.102,72.2917,11.2466,5.0
2015-01-31,5341.45,249378.0,101314.4084,86.2359,13.4159,5.0
2015-02-28,5031.4,137857.0,95435.5949,81.2302,12.6372,5.0
2015-03-31,5710.85,291885.0,108321.0329,89.7791,12.5511,5.0
2015-04-30,5594.0,209736.0,106104.6683,87.9421,12.2943,5.0
2015-05-31,5706.7,218065.0,108242.3187,89.7139,12.542,5.0
2015-06-30,5342.1,148761.0,101326.7361,83.9821,11.7407,5.0
2015-07-31,6057.5,284691.0,114896.1438,95.2287,13.313,5.0
2015-08-31,6831.6,296029.0,129578.9534,107.3982,15.0143,5.0
2015-09-30,6873.85,97308.0,130380.3338,108.0624,15.1071,5.0
2015-10-31,6632.8,139278.0,125808.1916,104.2729,14.5774,5.0
2015-11-30,6268.25,168504.0,118893.5622,98.5419,13.7762,5.0
2015-12-31,6090.3,137872.0,115518.277,95.7444,13.3851,5.0
2016-01-31,5637.5,176486.0,106929.7582,88.626,12.3899,5.0
2016-02-29,5299.45,124926.0,100517.7698,83.3116,11.647,5.0
2016-03-31,6247.9,172162.0,118507.5695,58.2718,11.0985,5.0
2016-04-30,5799.1,164110.0,109994.9223,54.086,10.3013,5.0
2016-05-31,5705.65,136936.0,108222.3968,53.2144,10.1353,5.0
2016-06-30,5821.8,87117.0,110425.4805,54.2977,10.3416,5.0
2016-07-31,6344.9,249486.0,120347.4252,59.1765,11.2708,6.0
2016-08-31,6237.2,156712.0,118304.6223,58.172,11.0795,6.0
2016-09-30,6222.6,108263.0,118027.6944,58.0358,11.0536,6.0
2016-10-31,5752.35,182059.0,109108.1877,53.65,10.2182,6.0
2016-11-30,5086.8,202247.0,96484.3058,47.4426,9.036,6.0
2016-12-31,5207.55,146800.0,98774.6417,48.5688,9.2505,6.0
2017-01-31,5533.25,679202.0,104952.3875,51.6065,9.829,6.0
2017-02-28,5452.0,155750.0,103411.2713,50.8487,9.6847,6.0
2017-03-31,5826.1,317231.0,110507.0471,51.7646,8.7259,6.0
2017-04-30,5991.25,175867.0,113639.5413,53.2319,8.9732,6.0
2017-05-31,5826.35,157311.0,110511.7866,51.7668,8.7263,6.0
2017-06-30,5516.9,137574.0,104642.2675,49.0173,8.2628,6.0
2017-07-31,5463.7,130030.0,103633.192,48.5446,8.1831,6.0
2017-08-31,5489.4,105699.0,104120.659,48.773,8.2216,6.0
2017-09-30,5989.55,186764.0,113607.2964,53.2168,8.9707,7.0
2017-10-31,6362.15,252265.0,120674.6184,56.5273,9.5287,7.0
2017-11-30,7270.9,277362.0,137911.4065,64.6015,10.8898,7.0
2017-12-31,7337.35,113375.0,139171.8025,65.1919,10.9893,7.0
2018-01-31,7423.0,198747.0,140796.376,65.9529,11.1176,7.0
2018-02-28,8092.05,158592.0,153486.6381,71.8974,12.1197,7.0
2018-03-31,7930.8,122997.0,150428.1152,55.1363,9.8584,7.0
2018-04-30,8102.9,76443.0,153692.4364,56.3327,10.0723,7.0
2018-05-31,7461.55,99192.0,141527.5764,51.874,9.2751,7.0
2018-06-30,7026.0,113378.0,133266.2452,48.8459,8.7337,7.0
2018-07-31,6661.55,89995.0,126353.5092,46.3122,8.2807,8.0
2018-08-31,7160.7,105306.0,135821.1787,49.7824,8.9011,8.0
2018-09-30,6890.2,69806.0,130690.4473,47.9018,8.5649,8.0
2018-10-31,6301.7,80586.0,119528.0241,43.8105,7.8333,8.0
2018-11-30,6769.0,72042.0,128391.5761,47.0592,8.4142,8.0
2018-12-31,6965.8,99752.0,132124.3966,48.4274,8.6589,8.0
2019-01-31,6228.4,69998.0,118137.7002,43.3009,7.7422,8.0
2019-02-28,6805.85,238503.0,129090.5316,47.3154,8.46,8.0
2019-03-31,6662.05,187347.0,126362.993,44.7839,7.0991,8.0
2019-04-30,6257.3,137281.0,118685.8634,42.0631,6.6678,8.0
2019-05-31,6283.6,143741.0,119184.7108,42.2398,6.6959,8.0
2019-06-30,6126.5,61320.0,116204.9034,41.1838,6.5285,8.0
2019-07-31,6075.3,76229.0,115233.7631,40.8396,6.4739,8.0
2019-08-31,6122.05,123778.0,116120.4976,41.1539,6.5237,9.0
2019-09-30,6286.25,84896.0,119234.9749,42.2577,6.6987,9.0
2019-10-31,6205.45,170095.0,117702.3941,41.7145,6.6126,9.0
2019-11-30,6231.75,77968.0,118201.2416,41.8913,6.6406,9.0
2019-12-31,6481.15,58815.0,122931.757,43.5678,6.9064,9.0
2020-01-31,6806.75,158848.0,129107.6024,45.7566,7.2533,9.0
2020-02-29,6771.3,66195.0,128435.2015,45.5183,7.2156,9.0
2020-03-31,6141.3,288229.0,116485.6236,73.3465,6.1485,10.0
2020-04-30,6245.5,101189.0,118462.0459,74.5909,6.2528,10.0
2020-05-31,6927.1,206307.0,131390.3511,82.7314,6.9352,10.0
2020-06-30,6880.15,233310.0,130499.8231,82.1707,6.8882,10.0
2020-07-31,6959.65,143413.0,132007.746,83.1201,6.9678,10.0
2020-08-31,6973.4,265493.0,132268.5503,83.2844,6.9815,10.0
2020-09-30,5800.0,289120.0,110011.9872,69.2703,5.8068,10.0
2020-10-31,4881.35,120729.0,92587.4162,58.2987,4.887,10.0
2020-11-30,5517.05,227493.0,104645.1093,65.891,5.5235,10.0
2020-12-31,5536.9,90458.0,105021.6158,66.128,5.5434,10.0
2021-01-31,5398.6,82132.0,102398.399,64.4763,5.4049,10.0
2021-02-28,5912.2,108936.0,112140.1501,70.6103,5.9191,10.0
2021-03-31,6590.05,1740231.0,124997.3269,120.4102,6.2611,10.0
2021-04-30,6745.25,165209.0,127941.096,123.2459,6.4086,10.0
2021-05-31,6831.3,188292.0,129573.2566,124.8182,6.4903,0.0
2021-06-30,6898.4,431659.0,130845.9815,126.0442,6.5541,0.0
2021-07-31,7277.3,214778.0,138032.799,132.9673,6.9141,0.0
2021-08-31,6986.8,366789.0,132522.7159,127.6594,6.6381,0.0
2021-09-30,7281.65,363963.0,138115.308,133.0468,6.9182,11.0
2021-10-31,7438.25,281076.0,141085.6317,135.9081,7.067,11.0
2021-11-30,8075.65,236993.0,153175.5697,147.5544,7.6726,11.0
2021-12-31,8495.7,114213.0,161142.9034,155.2293,8.0717,11.0
2022-01-31,7999.45,113181.0,151730.2398,146.1621,7.6002,11.0
2022-02-28,7559.9,90115.0,143393.0383,138.1308,7.1826,11.0
2022-03-31,7631.7,110525.0,144754.9108,101.8919,6.8472,11.0
2022-04-30,7794.6,87777.0,147844.7302,104.0668,6.9933,11.0
2022-05-31,7607.75,239155.0,144300.6372,101.5721,6.8257,11.0
2022-06-30,7716.6,304332.0,146365.2587,103.0254,6.9234,11.0
2022-07-31,8535.25,303760.0,161893.0713,113.9553,7.6579,12.0
2022-08-31,9617.65,212525.0,182423.5843,128.4065,8.629,12.0
2022-09-30,9945.25,215658.0,188637.3648,132.7804,8.9229,12.0
2022-10-31,10228.7,128214.0,194013.7265,136.5648,9.1772,12.0
2022-11-30,9736.6,109498.0,184679.7784,129.9947,8.7357,12.0
2022-12-31,8960.65,120169.0,169961.8816,119.6348,8.0395,12.0
2023-01-31,9254.1,67356.0,175527.9191,123.5527,8.3028,12.0
2023-02-28,10551.3,116572.0,200132.6691,140.8718,9.4667,12.0
2023-03-31,10408.85,121776.0,197430.7367,62.1498,8.1952,12.0
2023-04-30,10208.05,253344.0,193622.0459,60.9509,8.0371,12.0
2023-05-31,10651.95,205331.0,202041.7564,63.6013,8.3866,12.0
2023-06-30,12162.45,168908.0,230692.292,72.6203,9.5758,12.0
2023-07-31,12954.45,156697.0,245714.6185,77.3492,10.1994,13.0
2023-08-31,13820.2,116030.0,262135.8044,82.5185,10.881,13.0
2023-09-30,15550.7,464529.0,294959.2085,92.8511,12.2435,13.0
2023-10-31,15704.65,93622.0,297879.2681,93.7703,12.3647,13.0
2023-11-30,15901.1,118821.0,301605.4499,94.9433,12.5193,13.0
2023-12-31,16006.9,189049.0,303612.2203,95.575,12.6026,13.0
2024-01-31,16336.55,211230.0,309864.8844,97.5433,12.8622,13.0
2024-02-29,14524.05,268248.0,275486.1384,86.7211,11.4352,13.0
2024-03-31,15180.95,164145.0,287945.9443,70.8463,10.3195,13.0
2024-04-30,13687.7,292230.0,259622.5995,63.8776,9.3044,13.0
2024-05-31,17410.9,481088.0,330242.7083,81.253,11.8353,13.0
2024-06-30,15551.2,1979903.0,294968.6923,72.5742,10.5712,13.0
2024-07-31,15832.4,227258.0,300302.3769,73.8865,10.7623,17.0
2024-08-31,15567.85,282469.0,295284.5026,72.6519,10.5825,17.0
2024-09-30,15887.9,193275.0,301355.0778,74.1455,10.8,17.0
2024-10-31,14370.25,343598.0,272568.924,67.063,9.7684,17.0
2024-11-30,12483.6,2278271.0,236783.7316,58.2584,8.4859,17.0
2024-12-31,12043.95,401035.0,228444.6333,56.2066,8.187,17.0
2025-01-31,11034.0,450417.0,209288.3219,51.4934,7.5005,17.0
2025-02-28,10941.9,598154.0,207541.4074,51.0636,7.4379,17.0
2025-03-31,12993.55,451517.0,246456.2511,53.4934,7.6669,17.0
2025-04-30,12527.0,248680.0,237606.9248,51.5727,7.3916,17.0
2025-05-31,13368.0,205990.0,253558.6629,55.035,7.8879,17.0
2025-06-30,13392.0,455199.0,254013.8849,55.1338,7.902,17.0
2025-07-31,13186.0,214881.0,250106.5626,54.2857,7.7805,17.0
2025-08-31,14075.0,222306.0,266968.7448,57.9457,8.305,19.0
2025-09-30,12905.0,255832.0,244776.6715,53.1289,7.6147,19.0
2025-10-31,12424.0,218260.0,235653.2636,51.1486,7.3309,19.0
2025-11-30,13204.0,515746.0,250447.9791,54.3598,7.7911,19.0
2025-12-31,14878.0,964417.0,282199.7148,61.2515,8.7789,19.0
2026-01-31,14989.0,695696.0,284305.1166,61.7085,8.8443,19.0
2026-02-28,15164.0,376524.0,287624.4438,62.429,8.9476,19.0
2026-03-31,14349.0,33080.0,272165.8628,59.0737,8.4667,19.0
