PNB IN Equity,price,volume,mc,pe,bm,div
2020-03-31,32.35,645832166.0,217960.2597,19.0294,0.3412,0.0
2020-04-30,32.3,415724353.0,303851.7067,19.0,0.3407,0.0
2020-05-31,26.75,469741518.0,251641.8933,15.7353,0.2822,0.0
2020-06-30,34.75,1544672482.0,327019.3687,20.7941,0.3723,0.0
2020-07-31,31.95,769619542.0,300669.6066,20.7941,0.3423,0.0
2020-08-31,35.05,819451469.0,329842.5575,20.7941,0.3756,0.0
2020-09-30,28.55,540079473.0,268673.4669,20.7941,0.3041,0.0
2020-10-31,26.75,634126617.0,251734.3442,20.7941,0.2849,0.0
2020-11-30,33.45,937540481.0,314785.5631,20.7941,0.3563,0.0
2020-12-31,33.05,2780542845.0,346287.3911,27.0505,0.24,0.0
2021-01-31,33.35,2991853579.0,349430.6957,27.296,0.2422,0.0
2021-02-28,40.85,5185397590.0,428013.3109,33.4346,0.2967,0.0
2021-03-31,36.65,2627081956.0,384007.0464,11.7778,0.4151,0.0
2021-04-30,34.85,2208215068.0,365147.2187,11.1993,0.3947,0.0
2021-05-31,42.4,4688654762.0,466867.0597,13.6256,0.4802,0.0
2021-06-30,42.3,3533904592.0,465765.9582,11.6471,0.4845,0.0
2021-07-31,39.5,1090794593.0,434935.1146,10.8762,0.4525,0.0
2021-08-31,36.65,1118481764.0,403553.7203,10.0914,0.4198,0.0
2021-09-30,40.1,1285378099.0,441541.724,9.9707,0.4529,0.0
2021-10-31,42.1,2727603888.0,463563.7551,10.468,0.4755,0.0
2021-11-30,37.3,1064801579.0,410710.8804,9.2745,0.4213,0.0
2021-12-31,37.3,1045435298.0,410710.8804,9.5641,0.4151,0.0
2022-01-31,41.55,1137197667.0,457507.6964,10.6538,0.4624,0.0
2022-02-28,34.9,1576482430.0,384284.443,8.9487,0.3884,0.0
2022-03-31,35.05,1117721355.0,385936.0953,9.9011,0.3955,0.0
2022-04-30,35.1,706458429.0,386486.6461,9.9153,0.3961,0.0
2022-05-31,31.35,994976850.0,345195.3377,8.8559,0.3537,0.0
2022-06-30,29.0,478802339.0,319319.4512,10.7011,0.3206,0.64
2022-07-31,31.35,515098810.0,345195.3377,11.5683,0.3466,0.64
2022-08-31,35.85,797731071.0,394744.9078,13.2288,0.3963,0.64
2022-09-30,36.55,1541632452.0,402452.6186,17.0,0.3985,0.64
2022-10-31,42.65,1365015511.0,469619.8135,19.8372,0.465,0.64
2022-11-30,51.3,2842046889.0,564865.0981,23.8605,0.5594,0.64
2022-12-31,56.45,3461375146.0,621571.8282,34.2121,0.6111,0.64
2023-01-31,53.55,1957070980.0,589639.8831,32.4545,0.5797,0.64
2023-02-28,48.35,1300001300.0,532382.6022,29.303,0.5235,0.64
2023-03-31,46.6,997827597.0,513113.325,15.3795,0.4987,0.64
2023-04-30,52.25,573363002.0,575325.5629,17.2442,0.5592,0.64
2023-05-31,51.85,922552670.0,570921.1567,17.1122,0.5549,0.64
2023-06-30,51.65,700341636.0,568718.9536,12.9449,0.5457,0.65
2023-07-31,61.85,1901283903.0,681031.3123,15.5013,0.6535,0.65
2023-08-31,63.0,1056894205.0,693693.9802,15.7895,0.6656,0.65
2023-09-30,80.2,2079094753.0,883083.4478,14.9627,0.8313,0.65
2023-10-31,73.0,1336042645.0,803804.1357,13.6194,0.7566,0.65
2023-11-30,77.6,800603640.0,854454.8073,14.4776,0.8043,0.65
2023-12-31,95.75,1411634301.0,1054304.74,13.8167,0.97,0.65
2024-01-31,114.4,1609220291.0,1259660.18,16.5079,1.1589,0.65
2024-02-29,121.85,1895321073.0,1341692.246,17.583,1.2344,0.65
2024-03-31,124.4,900255497.0,1369770.335,15.0242,1.2409,0.65
2024-04-30,141.05,981930820.0,1553103.745,17.035,1.407,0.65
2024-05-31,129.45,1134935694.0,1425375.964,15.6341,1.2913,0.65
2024-06-30,123.26,1130154987.0,1357217.778,11.552,1.1651,1.5
2024-07-31,123.95,840955078.0,1364815.378,11.6167,1.1716,1.5
2024-08-31,116.57,494459731.0,1283554.084,10.925,1.1018,1.5
2024-09-30,107.21,629553487.0,1180490.978,8.1653,0.9728,1.5
2024-10-31,97.9,1112717054.0,1125159.146,7.4562,0.8883,1.5
2024-11-30,104.9,855857204.0,1205609.749,7.9893,0.9518,1.5
2024-12-31,102.78,617716361.0,1181244.709,6.8066,0.9006,1.5
2025-01-31,101.2,704833060.0,1163085.859,6.702,0.8867,1.5
2025-02-28,87.39,465188707.0,1004368.312,5.7874,0.7657,1.5
2025-03-31,96.13,442840382.0,1104816.636,5.8616,0.8298,1.5
2025-04-30,100.21,465232891.0,1151707.845,6.1104,0.865,1.5
2025-05-31,105.82,631462752.0,1216183.257,6.4524,0.9135,1.5
2025-06-30,110.5,602632852.0,1269970.231,7.553,0.9194,2.9
2025-07-31,105.38,556288474.0,1211126.362,7.203,0.8768,2.9
2025-08-31,100.88,228192787.0,1159408.117,6.8954,0.8394,2.9
2025-09-30,112.83,327400636.0,1296748.789,7.6134,0.9109,2.9
2025-10-31,122.89,463049934.0,1412367.798,8.2922,0.9921,2.9
2025-11-30,124.5,286123838.0,1430871.437,8.4008,1.0051,2.9
2025-12-31,123.58,393181230.0,1420297.929,7.9884,0.9537,2.9
2026-01-31,125.19,466247704.0,1438801.568,8.0924,0.9661,2.9
2026-02-28,129.44,419879541.0,1487646.577,8.3672,0.9989,2.9
2026-03-31,122.15,64739424.0,1403863.038,7.8959,0.9427,2.9
