DALBHARA IN Equity,price,volume,mc,pe,bm,div
2018-12-31,1099.85,47997.0,62581.707,72.4539,1.1877,1.7
2019-01-31,1031.35,165437.0,198769.5618,67.9414,1.1138,1.7
2019-02-28,1153.2,4448776.0,222253.4141,75.9684,1.2454,1.7
2019-03-31,989.5,3943232.0,190932.4882,61.9599,1.7946,1.7
2019-04-30,1148.35,3529855.0,221583.9543,71.9067,2.0828,1.7
2019-05-31,1181.7,3665524.0,228019.1221,73.995,2.1432,1.7
2019-06-30,1047.85,1135711.0,202191.6198,65.6137,1.9005,1.7
2019-07-31,921.55,1113732.0,177820.9545,57.7051,1.6714,1.7
2019-08-31,900.15,1104715.0,173691.6415,56.3651,1.6326,2.0
2019-09-30,822.6,6931919.0,158727.7057,51.5091,1.4919,2.0
2019-10-31,809.8,2354904.0,156257.8362,50.7076,1.4687,2.0
2019-11-30,880.9,8276447.0,169977.1893,55.1597,1.5977,2.0
2019-12-31,800.3,2064116.0,154424.73,50.1127,1.4515,2.0
2020-01-31,873.55,3965098.0,168558.944,54.6994,1.5843,2.0
2020-02-29,782.1,2691228.0,150912.8843,48.9731,1.4185,2.0
2020-03-31,490.6,4991852.0,94665.4661,42.2567,0.8964,2.0
2020-04-30,521.65,4516601.0,100656.8292,44.9311,0.9531,2.0
2020-05-31,554.85,9084631.0,105943.8225,47.7907,1.0138,2.0
2020-06-30,673.3,7190616.0,126343.2267,57.9931,1.2302,2.0
2020-07-31,760.65,2995474.0,142403.5426,65.5168,1.3898,2.0
2020-08-31,749.75,3047684.0,140047.3117,64.578,1.3699,2.0
2020-09-30,781.45,2915249.0,145968.6186,67.3084,1.4278,2.0
2020-10-31,842.85,6204297.0,157437.6515,72.5969,1.54,2.0
2020-11-30,1101.7,5835313.0,205788.7651,94.8923,2.0129,2.0
2020-12-31,1079.75,4610154.0,201688.6804,93.0017,1.9728,2.0
2021-01-31,1154.95,3169815.0,215735.44,99.4789,2.1102,2.0
2021-02-28,1436.15,5558830.0,268261.3552,123.6994,2.624,2.0
2021-03-31,1589.0,5195577.0,296812.515,25.4037,2.3211,2.0
2021-04-30,1506.35,3488074.0,281864.4717,24.0823,2.2003,0.0
2021-05-31,1765.0,4378472.0,330262.4175,28.2174,2.5782,0.0
2021-06-30,1891.15,3080461.0,353867.2923,30.2342,2.7624,0.0
2021-07-31,2139.1,6097080.0,400263.0721,34.1982,3.1246,0.0
2021-08-31,2199.8,6655409.0,411621.1051,35.1687,3.2133,0.0
2021-09-30,2105.75,7211014.0,394022.703,33.6651,3.0759,1.33
2021-10-31,2012.25,6547159.0,376527.2155,32.1703,2.9393,1.33
2021-11-30,1873.4,5190084.0,350566.856,29.9504,2.7365,5.33
2021-12-31,1847.9,6946734.0,345795.0748,29.5428,2.6993,5.33
2022-01-31,1781.8,5104978.0,333425.8696,28.486,2.6027,5.33
2022-02-28,1567.0,6087567.0,293606.7106,25.052,2.2889,5.33
2022-03-31,1495.6,8160923.0,280228.5873,24.6533,1.7864,5.33
2022-04-30,1519.15,3695943.0,284641.1196,25.0415,1.8145,5.33
2022-05-31,1362.5,4459772.0,255289.817,22.4593,1.6274,5.33
2022-06-30,1283.65,6924657.0,240515.7971,21.1596,1.5332,10.0
2022-07-31,1599.65,5404856.0,299724.2978,26.3685,1.9107,10.0
2022-08-31,1536.35,5661482.0,288017.4958,25.3251,1.835,10.0
2022-09-30,1598.0,7681863.0,299574.9395,26.3413,1.9087,10.0
2022-10-31,1600.95,3953489.0,300127.972,26.3899,1.9122,10.0
2022-11-30,1820.7,6529517.0,341344.5319,30.0123,2.1747,9.0
2022-12-31,1862.8,8530516.0,349237.4329,30.7062,2.225,9.0
2023-01-31,1767.75,4491599.0,331417.4748,29.1394,2.1114,9.0
2023-02-28,1833.9,6878483.0,343820.234,30.2299,2.1904,9.0
2023-03-31,1968.25,6150524.0,369008.2205,35.5023,2.3612,9.0
2023-04-30,1996.2,6884877.0,374248.2966,36.0065,2.3947,9.0
2023-05-31,2129.95,5373029.0,399323.7949,38.419,2.5552,9.0
2023-06-30,2166.2,5944931.0,406119.958,39.0729,2.5987,9.0
2023-07-31,1953.8,4933866.0,366299.1293,35.2417,2.3439,9.0
2023-08-31,2085.05,4779994.0,391010.1792,37.6091,2.5013,9.0
2023-09-30,2404.35,8708922.0,450888.6235,43.3685,2.8844,9.0
2023-10-31,2104.25,8548571.0,394610.7621,37.9554,2.5244,9.0
2023-11-30,2217.55,7679201.0,415895.0738,39.9991,2.6603,9.0
2023-12-31,2275.2,8501366.0,426708.3655,41.039,2.7294,9.0
2024-01-31,2279.8,9202452.0,427571.0846,41.1219,2.7349,9.0
2024-02-29,2024.9,8133739.0,379765.194,36.5242,2.4292,9.0
2024-03-31,1942.15,6997811.0,364245.6277,44.0297,2.2214,9.0
2024-04-30,1838.15,12160007.0,344740.6742,41.672,2.1025,9.0
2024-05-31,1775.7,7392100.0,333028.3248,40.2562,2.031,9.0
2024-06-30,1813.45,12705208.0,340108.2478,41.112,2.0742,9.0
2024-07-31,1850.55,13384885.0,347066.2648,41.9531,2.1166,9.0
2024-08-31,1891.05,10341203.0,354661.9438,42.8712,2.163,9.0
2024-09-30,1933.2,7511852.0,362567.0764,43.8268,2.2112,9.0
2024-10-31,1833.2,7134110.0,343812.3135,41.5597,2.0968,9.0
2024-11-30,1820.35,3993459.0,341432.7991,41.2684,2.0821,9.0
2024-12-31,1767.25,7777099.0,331474.5308,40.0646,2.0214,9.0
2025-01-31,1866.35,11780865.0,350062.2382,42.3113,2.1347,9.0
2025-02-28,1689.65,5230298.0,316919.4743,38.3054,1.9326,9.0
2025-03-31,1821.55,5235260.0,341659.319,50.0151,1.9665,9.0
2025-04-30,1942.7,9239126.0,364382.8383,53.3416,2.0973,9.0
2025-05-31,2016.4,8663150.0,378206.3906,55.3652,2.1769,9.0
2025-06-30,2207.6,6157751.0,414068.8494,60.615,2.3833,9.0
2025-07-31,2235.5,9266759.0,419301.9174,61.3811,2.4134,9.0
2025-08-31,2401.5,7185383.0,450437.7341,65.939,2.5926,9.0
2025-09-30,2227.2,10961094.0,417745.1266,61.1532,2.4044,9.0
2025-10-31,2096.8,8033699.0,393286.6296,57.5728,2.2637,9.0
2025-11-30,2009.4,3821585.0,376893.4345,55.173,2.1693,9.0
