CAMPUS IN Equity,price,volume,mc,pe,bm,div
2022-05-31,368.05,129647927.0,112007.1858,103.0952,26.1952,0.0
2022-06-30,325.85,10621814.0,99164.6284,91.2745,23.1917,0.0
2022-07-31,440.3,20237904.0,133994.7396,123.3333,31.3374,0.0
2022-08-31,493.8,31222388.0,150417.5745,138.3193,35.1452,0.0
2022-09-30,571.5,30834360.0,174085.9535,160.084,40.6753,0.0
2022-10-31,578.05,20445354.0,176081.1643,161.9188,41.1415,0.0
2022-11-30,450.55,28972765.0,137243.0907,126.2045,32.0669,0.0
2022-12-31,413.35,11329834.0,125928.1853,115.7843,29.4193,0.0
2023-01-31,391.85,6887210.0,119378.1527,109.7619,27.8891,0.0
2023-02-28,404.55,17878006.0,123260.8338,113.3193,28.793,0.0
2023-03-31,333.3,54599838.0,101551.9365,86.5714,18.3931,0.0
2023-04-30,356.45,13174838.0,108605.4238,92.5844,19.6706,0.0
2023-05-31,304.05,14670139.0,92676.364,78.974,16.7789,0.0
2023-06-30,310.0,14504990.0,94545.4582,80.5195,17.1073,0.0
2023-07-31,302.15,15733239.0,92151.3232,78.4805,16.6741,0.0
2023-08-31,301.8,57192506.0,92076.4161,78.3896,16.6548,0.0
2023-09-30,288.7,25605978.0,88116.3332,74.987,15.9318,0.0
2023-10-31,266.1,23845850.0,81218.4145,69.1169,14.6847,0.0
2023-11-30,275.15,33620377.0,83991.1254,71.4675,15.1841,0.0
2023-12-31,279.95,21644423.0,85456.3531,72.7143,15.449,0.0
2024-01-31,275.8,16399340.0,84189.5416,71.6364,15.22,0.0
2024-02-29,243.7,54233597.0,74390.8314,63.2987,13.4485,0.0
2024-03-31,214.5,33212903.0,65477.3629,73.2082,10.0478,0.0
2024-04-30,247.35,19260122.0,75505.015,84.4198,11.5866,0.0
2024-05-31,277.35,78130891.0,84662.6881,94.6587,12.9918,0.0
2024-06-30,291.65,34602727.0,89042.1942,99.5392,13.6617,0.0
2024-07-31,313.95,31225886.0,95850.495,107.1502,14.7063,0.0
2024-08-31,278.4,14124899.0,84996.9034,95.0171,13.041,0.0
2024-09-30,339.9,57905573.0,103773.159,116.0068,15.9219,0.0
2024-10-31,295.0,18834411.0,90064.9659,100.6826,13.8186,0.0
2024-11-30,284.8,14898743.0,86977.4526,97.2014,13.3408,0.0
2024-12-31,322.75,23226033.0,98567.3204,110.1536,15.1185,0.0
2025-01-31,272.7,14127641.0,83282.1325,93.0717,12.774,0.0
2025-02-28,260.65,36133090.0,79602.0823,88.959,12.2096,0.7
2025-03-31,230.55,22384574.0,70409.5917,58.073,9.3072,0.7
2025-04-30,242.68,9519380.0,74114.0738,61.1285,9.7968,0.7
2025-05-31,291.68,10874178.0,89078.5934,73.471,11.7749,0.7
2025-06-30,279.5,7345488.0,85374.9481,70.403,11.2832,0.7
2025-07-31,267.35,22551796.0,81663.6579,67.3426,10.7928,0.7
2025-08-31,264.3,8488866.0,80736.3009,66.5743,10.6696,0.7
2025-09-30,269.6,16147987.0,82355.3035,67.9093,10.8836,1.0
2025-10-31,279.85,5351313.0,85486.3935,70.4912,11.2974,1.0
2025-11-30,275.9,8011770.0,84279.7783,69.4962,11.1379,1.0
2025-12-31,261.95,6449701.0,80033.6705,65.9824,10.5748,1.0
2026-01-31,252.55,4563334.0,77177.5639,63.6146,10.1953,1.0
2026-02-28,259.55,11905808.0,79316.7164,65.3778,10.4779,0.3
2026-03-31,240.05,1189920.0,73357.6498,60.466,9.6907,0.3
