IDFCFB IN Equity,price,volume,mc,pe,bm,div
2019-09-30,40.2,316574379.0,192267.1882,21.1004,1.0562,0.0
2019-10-31,44.65,417605977.0,213550.4964,21.1004,1.1731,0.0
2019-11-30,46.85,385581456.0,224131.658,21.1004,1.2309,0.0
2019-12-31,45.15,308030859.0,216244.0303,21.1004,1.1863,0.0
2020-01-31,40.7,431415089.0,194930.9421,21.1004,1.0693,0.0
2020-02-29,36.8,284885699.0,176252.0557,21.1004,0.9669,0.0
2020-03-31,21.1,874604694.0,101488.9536,21.1004,0.6589,0.0
2020-04-30,21.9,550523933.0,105336.8761,21.1004,0.6838,0.0
2020-05-31,22.1,802931287.0,106298.8567,21.1004,0.6901,0.0
2020-06-30,25.7,1464233852.0,145779.2336,21.1004,0.8025,0.0
2020-07-31,26.6,947872016.0,150884.343,21.1004,0.8306,0.0
2020-08-31,32.0,1073683861.0,181514.999,21.1004,0.9992,0.0
2020-09-30,29.95,937557755.0,169886.6944,21.1004,0.9352,0.0
2020-10-31,30.6,587260488.0,173573.9459,21.1004,0.9555,0.0
2020-11-30,36.75,760484571.0,208458.9056,21.1004,1.1476,0.0
2020-12-31,37.05,632719690.0,210162.7818,21.1004,1.1569,0.0
2021-01-31,47.2,1390161275.0,267761.3594,21.1004,1.4739,0.0
2021-02-28,63.45,1474266287.0,359986.2766,21.1004,1.9813,0.0
2021-03-31,55.7,939630577.0,316144.845,63.2955,1.7662,0.0
2021-04-30,54.7,978996967.0,339129.7224,62.1591,1.7345,0.0
2021-05-31,58.5,812471378.0,362809.2304,66.4773,1.855,0.0
2021-06-30,54.2,827785251.0,336410.4866,61.5909,1.7186,0.0
2021-07-31,52.0,654419237.0,322755.4467,59.0909,1.6489,0.0
2021-08-31,42.95,921240932.0,266753.929,48.8068,1.3619,0.0
2021-09-30,47.65,724249422.0,295944.6965,54.1477,1.5109,0.0
2021-10-31,49.5,773441543.0,307434.6795,56.25,1.5696,0.0
2021-11-30,44.6,555679658.0,277066.117,50.6818,1.4142,0.0
2021-12-31,48.35,648173352.0,300440.9353,54.9432,1.5331,0.0
2022-01-31,46.75,568064988.0,290562.546,53.125,1.4824,0.0
2022-02-28,42.1,526276458.0,261722.6519,47.8409,1.335,0.0
2022-03-31,39.7,990466070.0,246843.0199,189.0476,1.1709,0.0
2022-04-30,39.5,614559848.0,245613.1279,188.0952,1.165,0.0
2022-05-31,36.3,684542654.0,225723.9981,172.8571,1.0706,0.0
2022-06-30,31.45,760638778.0,195590.2683,149.7619,0.9275,0.0
2022-07-31,37.55,482695287.0,233534.1867,178.8095,1.1075,0.0
2022-08-31,49.15,1242739177.0,305726.8343,234.0476,1.4496,0.0
2022-09-30,49.85,848486078.0,310133.6737,237.381,1.4702,0.0
2022-10-31,56.1,1008098028.0,349071.1779,267.1429,1.6545,0.0
2022-11-30,58.6,679505096.0,365212.9345,279.0476,1.7283,0.0
2022-12-31,58.8,997450335.0,366717.5479,280.0,1.7342,0.0
2023-01-31,58.2,638436468.0,363087.1816,277.1429,1.7165,0.0
2023-02-28,55.15,567353422.0,344059.4169,262.619,1.6265,0.0
2023-03-31,55.05,503287495.0,343546.1837,13.8317,1.4095,0.0
2023-04-30,61.45,468868351.0,406746.4511,15.4397,1.5734,0.0
2023-05-31,71.65,853512498.0,474261.7286,18.0025,1.8346,0.0
2023-06-30,79.4,984055784.0,526060.2984,19.9497,2.033,0.0
2023-07-31,87.2,1004569255.0,577977.6722,21.9095,2.2327,0.0
2023-08-31,93.35,1170447485.0,619177.3556,23.4548,2.3902,0.0
2023-09-30,95.5,1165793378.0,641994.2009,23.995,2.4452,0.0
2023-10-31,82.7,690445674.0,583437.1153,20.7789,2.1175,0.0
2023-11-30,85.2,543615202.0,601323.1089,21.407,2.1815,0.0
2023-12-31,88.9,1000607620.0,628239.9837,22.3367,2.2762,0.0
2024-01-31,84.35,1080358511.0,596193.3021,21.1935,2.1597,0.0
2024-02-29,81.05,748069940.0,572868.6086,20.3643,2.0752,0.0
2024-03-31,75.4,929019040.0,533072.2585,17.5349,1.6517,0.0
2024-04-30,82.15,1041516861.0,580903.9586,19.1047,1.7996,0.0
2024-05-31,76.4,904511368.0,540703.9508,17.7674,1.6736,0.0
2024-06-30,82.16,993856652.0,614076.2826,19.107,1.7998,0.0
2024-07-31,75.99,789695950.0,568315.4087,17.6721,1.6647,0.0
2024-08-31,73.84,592355280.0,552347.7176,17.1721,1.6176,0.0
2024-09-30,74.35,691736053.0,556341.1235,17.2907,1.6287,0.0
2024-10-31,65.93,1090682332.0,482361.6494,15.3326,1.4443,0.0
2024-11-30,64.08,571675111.0,469013.9021,14.9023,1.4038,0.0
2024-12-31,63.14,511847043.0,462174.3186,14.6837,1.3832,0.0
2025-01-31,63.24,766020482.0,462949.297,14.707,1.3853,0.0
2025-02-28,58.39,490816704.0,427485.8453,13.5791,1.2791,0.0
2025-03-31,54.96,732490580.0,402401.4432,26.9412,1.0547,0.0
2025-04-30,64.89,1274866194.0,475149.7301,31.8088,1.2452,0.0
2025-05-31,67.97,625390542.0,498260.4326,33.3186,1.3043,0.0
2025-06-30,72.84,669225543.0,534143.721,35.7059,1.3978,0.0
2025-07-31,68.76,672670625.0,504353.9046,33.7059,1.3195,0.25
2025-08-31,67.99,305885212.0,498816.7126,33.3284,1.3047,0.25
2025-09-30,69.77,403395143.0,512020.0575,34.201,1.3389,0.25
2025-10-31,81.77,771028486.0,702334.1699,40.0833,1.5692,0.25
2025-11-30,80.13,505128672.0,688564.4119,39.2794,1.5377,0.25
2025-12-31,85.61,609062261.0,735876.921,41.9657,1.6429,0.25
2026-01-31,83.58,583797467.0,718508.3081,40.9706,1.6039,0.25
2026-02-28,73.48,1699090570.0,631868.6311,36.0196,1.4101,0.25
2026-03-31,70.4,146442236.0,605383.1327,34.5098,1.351,0.25
