RELIANCE IN Equity,price,volume,mc,pe,bm,div
2015-03-31,186.36,316069004.0,2672678.077,9.3946,1.0137,2.3527
2015-04-30,194.56,389736720.0,2790648.393,9.808,1.0583,2.3527
2015-05-31,197.87,295200008.0,2838057.216,9.9747,1.0763,2.4765
2015-06-30,225.64,460186297.0,3236761.632,11.3464,1.216,2.4765
2015-07-31,226.04,328591555.0,3243681.869,11.3663,1.216,2.4765
2015-08-31,193.11,336717203.0,2771529.994,9.7104,1.216,2.4765
2015-09-30,194.55,326114083.0,2792496.025,8.5659,1.0985,2.4765
2015-10-31,213.82,252407741.0,3069436.951,9.4142,1.2072,2.4765
2015-11-30,217.91,238364862.0,3128444.743,9.5945,1.2304,2.4765
2015-12-31,228.91,290768363.0,3286503.665,9.3831,1.2796,2.4765
2016-01-31,233.6,553489906.0,3354075.923,9.5754,1.2796,2.4765
2016-02-29,218.09,372552238.0,3131367.096,8.9396,1.2796,2.4765
2016-03-31,235.82,323322676.0,3386840.003,9.4147,1.2123,2.6004
2016-04-30,221.71,344050462.0,3184316.752,8.8517,1.1398,2.6004
2016-05-31,216.11,295310998.0,3104664.987,8.6279,1.111,2.6004
2016-06-30,218.66,262344947.0,3142415.165,8.4296,1.1215,2.6004
2016-07-31,228.98,239498168.0,3290757.004,8.8276,1.1215,2.6004
2016-08-31,239.15,274923120.0,3436991.255,9.2198,1.1215,2.6004
2016-09-30,244.5,460595011.0,3513836.989,10.1319,1.1433,2.6004
2016-10-31,237.17,279323766.0,3408457.54,9.8281,1.109,2.6004
2016-11-30,223.37,285050807.0,3210182.257,9.2563,1.0445,2.6004
2016-12-31,244.21,295132619.0,3510864.554,11.5195,1.1241,2.6004
2017-01-31,235.82,272792053.0,3390202.709,11.1236,1.1241,2.6004
2017-02-28,279.33,511175837.0,4016062.418,13.176,1.1241,2.6004
2017-03-31,298.02,5415348733.0,4294611.598,13.603,1.3502,2.6004
2017-04-30,314.78,455130443.0,4536259.609,14.3681,1.4262,2.6004
2017-05-31,302.49,320740937.0,4359198.328,13.8069,1.3705,0.0
2017-06-30,311.35,385214415.0,4487159.282,13.2138,1.4236,0.0
2017-07-31,364.42,487308047.0,5252204.123,15.4659,1.4236,2.7242
2017-08-31,359.75,280304326.0,5185156.341,15.2677,1.4236,2.7242
2017-09-30,352.37,383842447.0,4945089.307,14.5082,1.5242,2.7242
2017-10-31,424.55,328996055.0,5957980.887,17.4799,1.8364,2.7242
2017-11-30,415.84,284453032.0,5835762.647,17.1213,1.7988,2.7242
2017-12-31,415.61,265585894.0,5832596.371,14.3104,1.8039,2.7242
2018-01-31,433.77,291690225.0,6088999.244,14.9357,1.8039,2.7242
2018-02-28,430.73,307117419.0,6046243.817,14.8309,1.8039,2.7242
2018-03-31,398.31,281846505.0,5591596.457,13.1895,1.6225,2.7242
2018-04-30,434.68,271631556.0,6102611.594,14.3938,1.7706,2.7242
2018-05-31,415.75,279199136.0,5837188.011,13.767,1.6935,2.7242
2018-06-30,438.8,359759613.0,6161831.163,14.3936,1.7369,2.9718
2018-07-31,535.17,425434240.0,7515099.401,17.5545,1.7369,2.9718
2018-08-31,560.28,320495444.0,7869142.925,18.3782,1.7369,2.9718
2018-09-30,567.63,382755906.0,7973441.027,17.9234,2.2314,2.9718
2018-10-31,478.87,592832556.0,6726705.914,15.1208,1.8825,2.9718
2018-11-30,526.84,365361882.0,7400587.89,16.6354,2.0711,2.9718
2018-12-31,505.95,328813868.0,7107112.477,15.6526,1.9966,2.9718
2019-01-31,553.73,460160037.0,7778463.788,17.1309,1.9966,2.9718
2019-02-28,555.49,380404817.0,7803214.795,17.1854,1.9966,2.9718
2019-03-31,615.15,406688866.0,8641224.354,18.5866,1.9012,2.9718
2019-04-30,628.48,360279886.0,8828611.747,18.9895,1.9424,2.9718
2019-05-31,600.21,534890716.0,8431871.968,18.1353,1.855,2.9718
2019-06-30,565.44,283315432.0,7943449.057,16.8131,1.7769,2.9718
2019-07-31,526.25,336215235.0,7392961.957,15.6478,1.7769,2.9718
2019-08-31,563.39,505086199.0,7914668.94,16.752,1.7769,3.2195
2019-09-30,601.16,384642513.0,8445296.922,17.2623,1.8979,3.2195
2019-10-31,660.77,346806608.0,9282729.847,18.974,2.0861,3.2195
2019-11-30,699.93,353527063.0,9832986.426,20.0987,2.2098,3.2195
2019-12-31,683.19,366641403.0,9597871.105,19.3266,2.1999,3.2195
2020-01-31,636.99,420384939.0,8948736.663,18.0195,2.1999,3.2195
2020-02-29,599.53,391014744.0,8422626.442,16.96,2.1999,3.2195
2020-03-31,502.56,1392126799.0,7060359.189,15.8962,1.4189,3.2195
2020-04-30,661.51,997971026.0,9293405.592,20.9238,1.8676,3.2195
2020-05-31,667.05,964641048.0,9283422.355,21.0991,1.8833,3.2195
2020-06-30,776.24,839513068.0,10982947.46,23.2154,2.216,3.2195
2020-07-31,941.59,1291818948.0,13322489.6,28.1606,2.216,3.25
2020-08-31,947.79,801041210.0,13410140.76,28.3459,2.216,3.25
2020-09-30,1017.78,791422060.0,14400432.19,32.0982,2.1387,3.25
2020-10-31,935.85,541535592.0,13241294.85,29.5145,1.9665,3.25
2020-11-30,879.05,900150858.0,12437658.82,27.7231,1.8472,3.25
2020-12-31,904.33,487373286.0,12795359.13,27.5884,1.9101,3.25
2021-01-31,839.03,635370126.0,11871461.12,25.5963,1.9101,3.25
2021-02-28,950.11,516574244.0,13443086.73,28.985,1.9101,3.25
2021-03-31,912.44,408648012.0,12910083.63,23.9415,1.7624,3.25
2021-04-30,908.52,323579570.0,12854656.18,23.8387,1.7548,3.25
2021-05-31,984.04,368334312.0,14151397.82,25.8204,1.9007,3.25
2021-06-30,961.43,486198552.0,13826157.39,25.7583,1.8369,3.5
2021-07-31,927.11,215999336.0,13332564.91,24.8387,1.8369,3.5
2021-08-31,1028.62,271654404.0,14792380.22,27.5584,1.8369,3.5
2021-09-30,1147.55,327847584.0,16502758.39,28.4435,2.0268,3.5
2021-10-31,1155.29,243706920.0,16624011.04,28.6354,2.0405,3.5
2021-11-30,1095.69,312079578.0,15765687.54,27.158,1.9352,3.5
2021-12-31,1078.72,277704722.0,16021149.34,24.5775,1.898,3.5
2022-01-31,1087.13,270029972.0,16145968.38,24.769,1.898,3.5
2022-02-28,1074.81,255216830.0,15962968.11,24.4883,1.898,3.5
2022-03-31,1200.16,303102882.0,17824822.74,26.3161,2.0835,3.5
2022-04-30,1271.0,281803262.0,18877049.07,27.8693,2.2065,3.5
2022-05-31,1199.21,391452000.0,17810994.8,26.2951,2.0818,3.5
2022-06-30,1182.35,334713462.0,17560942.96,23.9509,2.0403,3.5
2022-07-31,1143.09,418767450.0,16977831.91,23.1555,2.0403,3.5
2022-08-31,1201.62,232753942.0,17847412.19,24.3412,2.0403,4.0
2022-09-30,1083.1,253765504.0,16087310.04,22.1557,1.8551,4.0
2022-10-31,1161.38,208978476.0,17250017.71,23.757,1.9892,4.0
