COFORGE IN Equity,price,volume,mc,pe,bm,div
2022-11-30,807.26,21916410.0,246176.5606,33.1007,8.7016,10.4
2022-12-31,776.82,34093085.0,237175.1401,30.105,7.7515,10.4
2023-01-31,875.78,50761880.0,267422.6897,33.9401,8.739,10.4
2023-02-28,859.73,82386840.0,262545.4049,33.3181,8.5789,11.6
2023-03-31,762.82,32345700.0,232992.2318,33.5398,7.5585,11.6
2023-04-30,836.9,39902275.0,255655.4881,36.797,8.2926,11.6
2023-05-31,911.02,50562335.0,278297.6016,40.0559,9.027,12.8
2023-06-30,942.26,27166870.0,287840.7697,40.5417,9.0276,12.8
2023-07-31,940.74,33618645.0,287380.7877,40.4763,9.0131,12.8
2023-08-31,1093.29,172175735.0,334039.7978,47.04,10.4746,14.0
2023-09-30,1020.89,40996445.0,313455.6378,45.2528,9.4348,14.0
2023-10-31,996.85,45772355.0,307002.2072,44.1872,9.2126,14.0
2023-11-30,1152.17,31010370.0,354836.4679,51.072,10.648,15.2
2023-12-31,1254.88,47846910.0,386938.7155,55.0573,11.5935,15.2
2024-01-31,1250.02,48252425.0,385958.9377,54.844,11.5935,15.2
2024-02-29,1310.81,35478050.0,404988.6703,57.5112,11.5935,15.2
2024-03-31,1100.49,43567895.0,340166.9174,41.8242,9.3798,15.2
2024-04-30,1020.65,38795500.0,315487.9774,38.7899,8.6993,15.2
2024-05-31,994.2,115695845.0,331518.7588,37.7847,8.4738,15.2
2024-06-30,1091.76,55702040.0,364050.4126,50.0619,6.2103,15.2
2024-07-31,1261.1,75039010.0,420537.6172,57.8268,7.1735,15.2
2024-08-31,1268.81,34964360.0,423108.6623,58.1804,7.2174,15.2
2024-09-30,1403.29,50886945.0,467953.5586,81.6723,39.14,15.2
2024-10-31,1524.82,76549210.0,508480.0328,88.7454,42.5297,15.2
2024-11-30,1737.17,39095680.0,579884.3182,101.1043,48.4525,15.2
2024-12-31,1932.59,43493710.0,646058.8943,121.9385,54.7677,15.2
2025-01-31,1652.77,66721325.0,552515.9287,104.283,54.7677,15.2
2025-02-28,1472.43,49519465.0,492329.7858,92.9043,54.7677,15.2
2025-03-31,1621.84,69892030.0,542334.0191,99.299,8.5016,15.2
2025-04-30,1461.0,100317215.0,488550.0431,89.4514,7.6585,15.2
2025-05-31,1710.1,63834080.0,571901.894,104.7029,8.9643,15.2
2025-06-30,1924.5,41074809.0,643602.8274,84.3521,19.4888,15.2
2025-07-31,1748.2,50720689.0,584815.4337,76.6248,17.7035,15.4
2025-08-31,1724.3,33739575.0,576820.3022,75.5772,17.4615,15.4
2025-09-30,1591.0,41293977.0,532342.3315,48.6049,7.7188,15.4
2025-10-31,1778.1,36182801.0,594945.2543,54.3208,8.6265,15.6
2025-11-30,1908.7,27380309.0,639022.3557,58.3106,9.2602,15.6
2025-12-31,1663.0,52776224.0,557174.5267,49.1806,8.0288,15.6
2026-01-31,1653.8,43075396.0,555317.1349,48.9085,8.0288,15.8
2026-02-28,1185.8,85829031.0,398170.9146,35.0682,8.0288,15.8
2026-03-31,1151.0,9096773.0,386485.6828,34.039,8.0288,15.8
