COFORGE IN Equity,price,volume,mc,pe,bm,div
2009-03-31,10.56,24246940.0,3100.7857,2.698,0.8,1.3
2009-04-30,13.92,36999825.0,4087.3993,3.5565,1.0545,1.3
2009-05-31,21.85,49117985.0,6415.9249,5.5825,1.6553,1.3
2009-06-30,20.0,60494925.0,5872.7001,6.0314,1.5613,1.3
2009-07-31,20.05,65054765.0,5887.3819,6.0464,1.5613,1.3
2009-08-31,25.32,253460350.0,7434.8384,7.6357,1.5613,1.3
2009-09-30,24.62,88029475.0,7231.0539,7.7911,1.5613,1.3
2009-10-31,27.31,158851135.0,8021.1243,8.6424,1.5613,1.3
2009-11-30,32.47,93470630.0,9536.6498,10.2753,1.5613,1.3
2009-12-31,35.94,97583085.0,10556.0993,9.4778,1.5613,1.3
2010-01-31,33.96,59530160.0,9978.6026,8.9557,1.5613,1.3
2010-02-28,34.37,35626600.0,10101.6522,9.0638,1.5613,1.3
2010-03-31,33.95,20509050.0,9978.2104,8.9531,1.5613,1.3
2010-04-30,37.42,31669370.0,10999.1973,9.8681,1.5613,1.3
2010-05-31,35.85,23870875.0,10538.7709,9.4541,1.5613,1.3
2010-06-30,34.18,13864305.0,10057.1062,9.1113,1.5613,1.4
2010-07-31,36.02,36533650.0,10603.0089,9.1113,1.5613,1.4
2010-08-31,36.22,13574195.0,10661.8818,9.1113,1.5613,1.4
2010-09-30,40.56,23913295.0,11941.8575,9.1113,2.1888,1.4
2010-10-31,43.88,35653520.0,12919.3469,9.1113,2.368,1.4
2010-11-30,41.88,8306875.0,12358.4949,9.1113,2.2601,1.4
2010-12-31,39.62,9267620.0,11694.4768,9.1113,2.1381,1.4
2011-01-31,39.75,17997340.0,11751.9285,9.1113,2.1451,1.4
2011-02-28,39.77,7353675.0,11759.3525,9.1113,2.1462,1.4
2011-03-31,36.9,5245560.0,10913.1197,9.1113,1.9913,1.4
2011-04-30,37.64,27647070.0,11151.0568,9.1113,2.0312,1.4
2011-05-31,36.98,13164120.0,10961.8889,9.1113,1.9956,1.4
2011-06-30,35.95,13488520.0,10659.013,9.1113,1.8969,1.5
2011-07-31,44.56,88053600.0,13211.8393,9.1113,1.8969,1.5
2011-08-31,38.7,23466900.0,11476.5045,9.1113,1.8969,1.5
2011-09-30,39.3,11573905.0,11654.4348,9.1113,1.8883,1.5
2011-10-31,46.18,20110370.0,13701.8139,9.1113,2.2189,1.5
2011-11-30,41.39,4904165.0,12287.1392,9.1113,1.9887,1.5
2011-12-31,36.83,6091810.0,10944.6422,9.1113,1.7297,1.5
2012-01-31,41.81,14754550.0,12449.0525,9.1113,1.7297,1.5
2012-02-29,49.31,27992750.0,14693.9112,9.1113,1.7297,1.5
2012-03-31,54.52,10472290.0,16254.2658,9.1113,1.7297,1.5
2012-04-30,52.17,7620185.0,15555.0858,9.1113,1.7297,1.5
2012-05-31,62.72,28631695.0,18714.6133,9.1113,1.7297,1.5
2012-06-30,57.16,8187235.0,17072.6055,9.1113,1.7297,1.6
2012-07-31,58.4,16597705.0,17498.5086,9.1113,1.7297,1.6
2012-08-31,55.6,49867940.0,16677.3594,9.1113,1.7297,1.6
2012-09-30,59.6,22714840.0,17905.0921,9.1113,1.7398,1.6
2012-10-31,58.86,13890510.0,17682.7806,9.1113,1.7182,1.6
2012-11-30,55.89,7415185.0,16802.8534,9.1113,1.6315,1.6
2012-12-31,48.47,9532235.0,14579.3156,9.1113,1.3276,1.6
2013-01-31,52.79,19097570.0,15885.0125,9.1113,1.446,1.6
2013-02-28,52.83,8778685.0,15897.0489,9.1113,1.4471,1.6
2013-03-31,56.48,9011855.0,17010.9858,7.947,1.5548,1.6
2013-04-30,52.02,14607740.0,15667.6962,7.3194,1.432,1.6
2013-05-31,53.06,17544660.0,15995.1761,7.4658,1.4606,1.6
2013-06-30,54.28,7754875.0,16379.9245,7.8088,1.4551,1.7
2013-07-31,48.04,10768875.0,14496.897,6.9111,1.4551,1.7
2013-08-31,56.4,6632430.0,17027.8499,8.1138,1.4551,1.7
2013-09-30,56.35,5765970.0,17012.7542,7.4329,1.3723,1.7
2013-10-31,56.09,17274105.0,16947.5422,7.3986,1.366,1.7
2013-11-30,63.7,12761815.0,19289.5815,8.4025,1.5513,1.7
2013-12-31,72.21,13832120.0,21892.5265,9.6575,1.6701,1.7
2014-01-31,80.47,30092235.0,24396.7817,10.7622,1.8611,1.7
2014-02-28,89.13,18670240.0,27036.1278,11.9204,2.0614,1.7
2014-03-31,80.51,17616055.0,24435.2567,10.5598,1.8457,1.7
2014-04-30,81.16,11291775.0,24632.5355,10.6451,1.8606,1.7
2014-05-31,78.28,19030125.0,23767.9704,10.2673,1.7946,1.7
2014-06-30,88.63,15844780.0,26920.6424,12.1675,1.9899,1.8
2014-07-31,75.35,37900600.0,22886.9503,10.3443,1.9899,1.8
2014-08-31,71.92,8728315.0,21856.622,9.8734,1.9899,1.8
2014-09-30,80.05,18730805.0,24343.2049,12.2435,1.7237,1.8
2014-10-31,77.29,9390450.0,23503.8889,11.8213,1.6643,1.8
2014-11-30,76.11,5939565.0,23194.9685,11.6408,1.6389,1.8
2014-12-31,74.13,10141260.0,22611.0116,11.6517,1.5506,1.8
2015-01-31,70.06,18034725.0,21369.5868,11.0119,1.4655,1.8
2015-02-28,79.85,10549950.0,24372.2155,12.5507,1.6703,1.8
2015-03-31,69.86,11058705.0,21322.9819,18.605,1.5709,1.8
2015-04-30,70.17,6954165.0,21417.6015,18.6876,1.5779,1.8
2015-05-31,76.37,14250720.0,23309.9932,20.3387,1.7173,1.8
2015-06-30,78.01,4919050.0,23816.2184,18.3514,1.6695,1.8
2015-07-31,96.45,36322075.0,29451.6825,22.6893,2.0642,1.9
2015-08-31,93.27,22985300.0,28480.6472,21.9412,1.9961,1.9
2015-09-30,94.54,12271110.0,28885.9399,18.7174,1.937,1.9
2015-10-31,113.15,70021835.0,34572.0764,22.4019,2.3182,1.9
2015-11-30,113.96,35913235.0,34819.5654,22.5623,2.3348,1.9
2015-12-31,115.91,19397820.0,35432.7581,20.1913,2.2576,1.9
2016-01-31,110.34,43621265.0,33730.0537,19.221,2.1491,1.9
2016-02-29,83.91,20718555.0,25670.8059,14.617,1.6343,1.9
2016-03-31,99.34,24408155.0,30391.3462,11.1706,1.9105,1.9
2016-04-30,93.93,11807320.0,28736.2507,10.5622,1.8065,1.9
2016-05-31,97.12,21628105.0,29712.1758,10.9209,1.8678,1.9
2016-06-30,102.55,20817680.0,31383.1327,12.83,1.9437,1.9
2016-07-31,90.01,34472355.0,27545.5463,11.2611,1.706,2.0
2016-08-31,80.0,31700675.0,24482.2098,10.0087,1.5163,2.0
2016-09-30,83.79,39518900.0,25681.705,10.7519,1.5536,2.0
2016-10-31,81.85,30694750.0,25087.0934,10.503,1.5177,2.0
2016-11-30,85.04,26284470.0,26091.1984,10.9123,1.5768,2.0
2016-12-31,84.94,21538670.0,26060.5173,11.2445,1.5258,2.0
2017-01-31,82.02,36447215.0,25164.6295,10.858,1.4734,2.0
2017-02-28,83.24,17577780.0,25538.9388,11.0195,1.4953,2.0
2017-03-31,87.12,21291315.0,26729.3651,10.6788,1.5849,2.0
2017-04-30,91.77,31456915.0,28156.0357,11.2488,1.6695,2.0
2017-05-31,104.51,61314665.0,32064.8065,12.8104,1.9013,2.0
2017-06-30,115.49,58693575.0,35453.2193,13.1116,2.1221,2.0
2017-07-31,103.1,50046215.0,31649.7264,11.705,1.8944,2.0
2017-08-31,99.71,37618685.0,30609.0613,11.3201,1.8321,2.0
2017-09-30,108.51,46520775.0,33322.0768,11.9554,1.9895,2.5
2017-10-31,135.39,76828885.0,41576.5918,14.917,2.4824,2.5
2017-11-30,127.8,45672945.0,39255.3841,14.0807,2.3432,2.5
2017-12-31,129.01,32940010.0,39627.0509,13.5748,2.2639,2.5
2018-01-31,171.23,146730520.0,52595.4571,18.0173,3.0047,2.5
2018-02-28,166.9,119258015.0,51263.2457,17.5617,2.9287,2.5
2018-03-31,173.0,177923245.0,53151.9949,18.9666,2.9966,2.5
2018-04-30,232.42,275460920.0,71412.0828,25.4811,4.0258,2.5
2018-05-31,223.42,253778750.0,68654.6123,24.4943,3.8699,2.5
2018-06-30,219.58,134746315.0,67496.7983,21.4365,3.7121,2.5
2018-07-31,245.38,138922145.0,75437.3906,23.9552,4.1482,2.5
2018-08-31,281.34,105689415.0,86492.6052,27.4658,4.7562,2.5
2018-09-30,219.42,88939950.0,67527.4869,18.771,3.6147,3.0
2018-10-31,245.51,157949190.0,75556.8012,21.003,4.0446,3.0
2018-11-30,217.96,78112930.0,67139.0307,18.6461,3.5907,3.0
2018-12-31,229.86,74693710.0,70827.6606,18.4134,3.613,3.0
2019-01-31,262.15,111324460.0,80777.3045,21.0001,4.1206,3.0
2019-02-28,264.14,62295975.0,81564.7838,21.1595,4.1518,3.0
2019-03-31,265.17,64531140.0,81904.7576,20.2509,3.9529,3.0
2019-04-30,258.7,47520170.0,79906.3273,19.7568,3.8565,3.0
2019-05-31,261.34,58980780.0,80721.761,19.9584,3.8958,3.0
2019-06-30,269.02,37605025.0,83093.9318,20.4761,7.7294,3.0
2019-07-31,240.71,74734330.0,74418.6763,18.3213,6.916,3.0
2019-08-31,299.11,43172980.0,92474.3431,22.7664,8.5939,3.0
2019-09-30,278.98,32952035.0,87054.3141,20.8907,3.7803,3.0
2019-10-31,309.74,37124680.0,96653.317,23.1941,4.1971,3.0
2019-11-30,298.19,20809615.0,93049.1786,22.3292,4.0406,2.0
2019-12-31,317.97,76652795.0,99221.4606,22.638,4.1889,2.0
2020-01-31,388.49,94433510.0,121345.477,27.6587,5.118,2.0
2020-02-29,337.95,45529550.0,105559.2266,24.0605,4.4521,2.0
2020-03-31,229.55,74054430.0,71718.2686,15.7161,2.993,2.0
2020-04-30,240.69,57750540.0,75198.737,16.4788,3.1383,2.0
2020-05-31,290.34,99733725.0,90710.8783,19.8781,3.7857,6.2
2020-06-30,281.84,66441515.0,88055.2247,19.6623,4.2133,6.2
2020-07-31,385.24,119538665.0,116592.2638,26.876,5.7591,6.2
2020-08-31,384.8,51796785.0,116530.8637,26.8453,5.7525,6.2
2020-09-30,464.44,52013060.0,140648.634,32.0968,6.5,6.2
2020-10-31,441.13,126000385.0,133608.5016,30.4858,6.1738,6.2
2020-11-30,480.13,54302520.0,145420.7373,33.1811,6.7196,4.2
2020-12-31,541.03,49417360.0,163898.1593,37.1781,7.0624,4.2
2021-01-31,478.56,43013175.0,144973.6671,32.8853,6.2469,4.2
2021-02-28,508.41,30528315.0,154016.3451,34.9365,6.6366,2.2
2021-03-31,585.39,48285585.0,177336.4573,39.1094,7.1915,2.2
2021-04-30,573.81,65417710.0,173842.4703,38.3358,7.0493,2.2
2021-05-31,705.88,176762205.0,213854.626,47.1593,8.6718,2.6
2021-06-30,831.46,51483515.0,251900.56,50.4404,10.4941,2.6
2021-07-31,1016.78,57328540.0,308002.7078,61.6828,12.8331,2.6
2021-08-31,1041.75,93526085.0,315566.6131,63.1976,13.1483,5.2
2021-09-30,1048.26,44995895.0,317538.6204,58.7984,12.8239,5.2
2021-10-31,974.09,49288880.0,295071.0652,54.6381,11.9166,5.2
2021-11-30,1086.32,40294515.0,329210.3189,60.9333,13.2895,7.8
2021-12-31,1178.07,37501995.0,358476.6049,59.3365,13.592,7.8
2022-01-31,962.7,43795770.0,293009.8558,48.4889,11.1072,7.8
2022-02-28,907.1,32744230.0,276188.1205,45.6884,10.4657,10.4
2022-03-31,891.5,103135440.0,271438.3303,40.0062,9.9345,10.4
2022-04-30,840.04,27707155.0,255847.421,37.6969,9.3611,10.4
2022-05-31,782.3,45509385.0,238261.794,35.1058,8.7176,10.4
2022-06-30,707.86,49540310.0,215618.9765,30.6194,7.8861,10.4
2022-07-31,790.86,52053770.0,240901.3418,34.2096,8.8108,10.4
2022-08-31,712.07,31036715.0,216967.3623,30.8015,7.933,10.4
2022-09-30,672.39,32064895.0,204893.6965,27.5705,7.2478,10.4
2022-10-31,761.92,25844925.0,232251.9478,31.2416,8.2129,10.4
