LPC IN Equity,price,volume,mc,pe,bm,div
2002-03-31,11.7,14479820.0,3925.4668,6.482,1.4446,0.25
2002-04-30,14.25,68740220.0,4779.3398,7.892,1.7588,0.25
2002-05-31,11.28,14807820.0,3782.8751,6.2465,1.3921,0.25
2002-06-30,11.02,6511970.0,3697.3201,6.1053,1.3606,0.25
2002-07-31,10.33,9042500.0,3465.8182,5.723,1.2754,0.25
2002-08-31,10.6,2516630.0,3556.4059,5.8726,1.3088,0.5
2002-09-30,9.45,6948140.0,3168.8918,5.2327,1.1662,0.5
2002-10-31,9.55,4880500.0,3204.1204,5.2909,1.1791,0.5
2002-11-30,9.87,4027920.0,3309.806,5.4654,1.218,0.5
2002-12-31,14.57,39544100.0,5846.5365,8.0693,1.7983,0.5
2003-01-31,14.72,63440930.0,5906.748,8.1524,1.8169,0.5
2003-02-28,15.07,52373970.0,6047.2415,8.3463,1.8601,0.5
2003-03-31,12.53,31064820.0,5029.6672,6.8098,1.3364,0.5
2003-04-30,15.58,30146880.0,6251.9606,8.4647,1.6611,0.5
2003-05-31,19.62,67546280.0,7875.664,10.663,2.0925,0.5
2003-06-30,30.01,76734730.0,12044.3067,16.3071,3.2001,0.5
2003-07-31,36.95,129035760.0,14830.092,20.0788,3.9403,0.75
2003-08-31,46.08,62914630.0,18494.9652,25.0408,4.9141,0.5
2003-09-30,47.86,108026610.0,19211.482,26.0109,5.1044,0.5
2003-10-31,52.66,9344700.0,21138.25,28.6196,5.6164,0.5
2003-11-30,68.19,24436290.0,27370.1401,37.0571,7.2722,0.5
2003-12-31,70.0,3981830.0,28096.6921,38.0408,7.4652,0.5
2004-01-31,61.64,3575590.0,24742.9117,33.5,6.5741,0.5
2004-02-29,67.47,3011160.0,27083.1319,36.6685,7.1959,0.5
2004-03-31,65.0,2132220.0,26091.6492,31.3678,6.0571,0.5
2004-04-30,80.73,8184690.0,32405.8284,38.9588,7.523,0.5
2004-05-31,70.02,4246290.0,28106.7274,33.7904,6.5249,0.5
2004-06-30,63.47,10761790.0,25477.492,30.6295,5.9146,0.5
2004-07-31,62.03,4047040.0,24899.4616,29.9345,5.7804,0.65
2004-08-31,67.2,6301300.0,26972.7442,32.4271,6.2617,0.65
