PATANJAL IN Equity,price,volume,mc,pe,bm,div
2006-05-31,2059.67,355937.0,9245.6067,10.4239,1.2055,13.3333
2006-06-30,1866.33,205367.0,8377.7556,9.4454,1.0923,13.3333
2006-07-31,1712.67,135437.0,7687.9636,8.6677,1.0024,13.3333
2006-08-31,1739.67,737281.0,7809.1635,8.8044,1.0182,13.3333
2006-09-30,2003.67,662168.0,8994.2291,10.1405,1.1727,13.3333
2006-10-31,1934.0,160005.0,8681.5034,9.7879,1.1319,13.3333
2006-11-30,2129.0,485624.0,9556.836,10.7748,1.246,0.0
2006-12-31,2166.33,601541.0,9724.421,10.9637,1.2679,14.6667
2007-01-31,2468.0,587853.0,11078.568,12.4904,1.4444,14.6667
2007-02-28,2255.0,220679.0,10122.4355,11.4125,1.3198,14.6667
2007-03-31,2098.0,190847.0,9417.6806,11.3047,1.3373,14.6667
2007-04-30,2260.33,172281.0,10146.3762,12.1795,1.4408,14.6667
2007-05-31,2689.67,854422.0,12073.6042,14.4928,1.7144,14.6667
2007-06-30,2562.33,83940.0,11502.0195,13.8067,1.6333,14.6667
2007-07-31,2802.33,248792.0,14413.6752,15.0999,1.7863,14.6667
2007-08-31,2589.0,60804.0,13316.4048,13.9504,1.6503,14.6667
2007-09-30,2499.0,450572.0,12853.6068,13.4655,1.5929,16.0
2007-10-31,3133.33,454547.0,16116.2997,16.8835,1.9973,16.0
2007-11-30,3373.33,712292.0,17350.7397,18.1767,2.1502,16.0
2007-12-31,5250.0,779675.0,27003.3745,28.2888,3.3465,16.0
2008-01-31,3878.33,424790.0,19948.2071,20.8978,2.4721,16.0
2008-02-29,4000.0,144723.0,20573.9996,21.5534,2.5497,16.0
2008-03-31,2913.33,234931.0,14984.7297,9.9283,1.4662,16.0
2008-04-30,3475.0,411016.0,17873.6622,11.8424,1.7489,16.0
2008-05-31,3255.0,285689.0,16742.0922,11.0927,1.6382,16.0
2008-06-30,2973.33,180170.0,15293.3397,10.1328,1.4964,16.0
2008-07-31,2803.33,240570.0,14418.9447,9.5535,1.4109,16.0
2008-08-31,2605.0,173767.0,13398.8173,8.8776,1.3111,16.0
2008-09-30,2356.67,332067.0,12121.5148,8.0313,1.1861,16.6667
2008-10-31,1116.67,269121.0,5743.5749,3.8055,0.562,16.6667
2008-11-30,756.67,663380.0,3891.9149,2.5786,0.3808,16.6667
2008-12-31,921.67,619067.0,4739.9899,3.1409,0.4639,16.6667
2009-01-31,760.0,639547.0,4054.9457,2.59,0.3825,16.6667
2009-02-28,730.0,110019.0,3894.8821,2.4878,0.3674,16.6667
2009-03-31,746.67,245465.0,3983.8063,4.5144,0.3642,16.6667
2009-04-30,928.33,354575.0,4953.0806,5.6128,0.4528,16.6667
2009-05-31,1553.33,466774.0,8287.7399,9.3916,0.7576,16.6667
2009-06-30,1335.0,1083397.0,7122.8322,8.0715,0.6511,16.6667
2009-07-31,2030.0,2264791.0,10830.9734,12.2735,0.9901,16.6667
2009-08-31,2800.0,3411235.0,14939.2736,16.929,1.3657,16.6667
2009-09-30,3341.67,1978352.0,17829.3117,20.2039,1.6299,16.6667
2009-10-31,2663.33,702777.0,14210.0948,16.1027,1.299,16.6667
2009-11-30,2761.67,1504437.0,14751.219,16.6972,1.347,16.6667
2009-12-31,3095.0,1133952.0,19317.192,18.7126,1.5096,16.6667
2010-01-31,2903.33,1343804.0,18120.92,17.5537,1.4161,16.6667
2010-02-28,3465.0,2957658.0,21626.5171,20.9496,1.6901,16.6667
2010-03-31,3246.67,1600811.0,20263.8072,13.8725,1.3299,16.6667
2010-04-30,4048.33,2145477.0,28029.8468,17.2979,1.6583,16.6667
2010-05-31,3260.0,832328.0,22571.5852,13.9294,1.3354,16.6667
2010-06-30,3555.0,1009238.0,24614.1059,15.1899,1.4562,16.6667
2010-07-31,3398.33,388662.0,23529.3774,14.5205,1.392,16.6667
2010-08-31,4275.0,1618072.0,32312.2407,18.2664,1.7511,16.6667
2010-09-30,4328.33,1391705.0,34663.1064,18.4943,1.773,16.6667
2010-10-31,4403.33,905991.0,36950.6816,18.8147,1.8037,16.6667
2010-11-30,3971.67,534425.0,35750.6579,16.9703,1.6269,16.6667
2010-12-31,4010.0,3790091.0,36123.2506,17.1341,1.6426,16.6667
2011-01-31,3583.33,908642.0,32279.7128,15.311,1.4678,16.6667
2011-02-28,3383.33,644366.0,30478.0544,14.4564,1.3859,16.6667
2011-03-31,3521.67,357911.0,32880.1803,15.1144,1.5927,16.6667
2011-04-30,3441.67,189597.0,34333.36,14.7711,1.5565,16.6667
2011-05-31,3358.33,192823.0,33502.0438,14.4134,1.5188,16.6667
2011-06-30,3285.0,335247.0,32818.9635,14.0987,1.4856,16.6667
2011-07-31,3248.33,206574.0,32452.6433,13.9413,1.469,16.6667
2011-08-31,3393.33,303659.0,33901.2733,14.5637,1.5346,16.6667
2011-09-30,3750.0,1108737.0,37464.5702,16.0944,1.6959,16.6667
2011-10-31,3660.0,312789.0,36565.4206,15.7082,1.6552,16.6667
2011-11-30,3308.33,457802.0,33052.0764,14.1989,1.4962,16.6667
2011-12-31,3118.33,362287.0,31185.6982,13.3834,1.4102,16.6667
2012-01-31,3151.67,1031211.0,31519.0568,13.5265,1.4253,16.6667
2012-02-29,3086.67,661016.0,30869.0075,13.2475,1.3959,16.6667
2012-03-31,3041.67,792901.0,30418.9734,34.9617,1.3722,16.6667
2012-04-30,2953.33,551717.0,29535.573,33.9464,1.3323,16.6667
2012-05-31,3146.67,673455.0,31469.053,36.1686,1.4196,16.6667
2012-06-30,2973.33,213518.0,29742.8128,34.1762,1.3414,16.6667
2012-07-31,2835.0,235450.0,28359.0385,32.5862,1.279,16.6667
2012-08-31,2785.0,145691.0,27858.8791,32.0115,1.2564,16.6667
2012-09-30,2485.0,842166.0,24857.9226,28.5632,1.1211,10.6667
2012-10-31,2215.0,149018.0,22157.0618,25.4598,0.9993,10.6667
2012-11-30,2055.0,54782.0,20586.3287,23.6207,0.9271,10.6667
2012-12-31,2148.33,97796.0,21521.312,24.6935,0.9692,10.6667
2013-01-31,2321.67,86994.0,23257.7096,26.6858,1.0474,10.6667
2013-02-28,2035.0,23675.0,20385.9752,23.3908,0.918,10.6667
2013-03-31,2086.67,186702.0,20903.5552,7.6435,0.8638,10.6667
2013-04-30,2298.33,88093.0,23023.9638,8.4188,0.9514,10.6667
2013-05-31,2233.33,43511.0,22372.8147,8.1807,0.9245,10.6667
2013-06-30,2033.33,89730.0,20376.8315,7.4481,0.8417,10.6667
2013-07-31,1761.67,15255.0,17654.3532,6.453,0.7293,10.6667
2013-08-31,1266.67,655946.0,12693.7639,4.6398,0.5244,10.6667
2013-09-30,1180.0,173262.0,11825.2432,4.3223,0.4885,10.6667
2013-10-31,1161.67,35305.0,11641.5176,4.2552,0.4809,10.6667
2013-11-30,1008.33,248646.0,10104.9041,3.6935,0.4174,10.6667
2013-12-31,1273.33,263129.0,12760.5731,4.6642,0.5271,10.6667
2014-01-31,1041.67,243168.0,10438.9505,3.8156,0.4312,10.6667
2014-02-28,1013.33,99969.0,10155.0111,3.7118,0.4195,10.6667
2014-03-31,975.0,249034.0,9770.8577,20103.0928,0.4131,10.6667
2014-04-30,1201.67,421932.0,12042.3733,24776.6323,0.5091,10.6667
2014-05-31,1471.67,791337.0,14748.1493,30343.6426,0.6235,10.6667
2014-06-30,1638.33,743420.0,16418.3814,33780.0687,0.6941,10.6667
2014-07-31,1313.33,244015.0,13161.9807,27079.0378,0.5564,10.6667
2014-08-31,1323.33,433282.0,13262.1989,27285.2234,0.5607,10.6667
2014-09-30,1270.0,414816.0,12727.7022,26185.567,0.5381,5.3333
2014-10-31,1260.0,216991.0,12627.4841,25979.3814,0.5338,5.3333
2014-11-30,1238.33,307825.0,12410.3448,25532.646,0.5246,5.3333
2014-12-31,1203.33,218761.0,12059.5813,24810.9966,0.5098,5.3333
2015-01-31,1145.0,113707.0,11474.9756,23608.2474,0.4851,5.3333
2015-02-28,1433.33,442457.0,14364.5799,29553.2646,0.6073,5.3333
2015-03-31,1495.0,411715.0,14982.6101,18.7504,0.6646,5.3333
2015-04-30,1356.67,148291.0,13596.2593,17.0154,0.6031,5.3333
2015-05-31,1350.0,88955.0,13529.4472,16.9318,0.6002,5.3333
2015-06-30,1306.67,75551.0,13095.1687,16.3883,0.5809,5.3333
2015-07-31,1221.67,235393.0,12244.7921,15.3222,0.5431,5.3333
2015-08-31,1125.0,213004.0,11275.8999,14.1098,0.5001,5.3333
2015-09-30,1060.0,245810.0,10624.4035,13.2946,0.4712,5.3333
2015-10-31,1056.67,221821.0,10590.9934,13.2528,0.4698,5.3333
2015-11-30,993.33,126817.0,9956.202,12.4585,0.4416,5.3333
2015-12-31,980.0,211014.0,9822.5617,12.2912,0.4357,5.3333
2016-01-31,800.0,291722.0,8018.4177,10.0337,0.3557,5.3333
2016-02-29,793.33,199448.0,7951.5976,9.95,0.3527,5.3333
2016-03-31,1095.0,405394.0,10975.2093,13.4409,0.4512,5.3333
2016-04-30,951.67,574085.0,9538.5761,13.4409,0.3922,5.3333
2016-05-31,735.0,410322.0,7366.9213,13.4409,0.3029,5.3333
2016-06-30,750.0,392970.0,7517.2666,13.4409,0.3091,5.3333
2016-07-31,785.0,444390.0,7868.0724,13.4409,0.3235,5.3333
2016-08-31,676.67,487570.0,6782.245,13.4409,0.2788,5.3333
2016-09-30,695.0,355256.0,6966.0004,13.4409,0.2864,5.3333
2016-10-31,768.33,280837.0,7701.022,13.4409,0.3166,0.0
2016-11-30,688.33,256954.0,6899.1803,13.4409,0.2837,0.0
2016-12-31,631.67,388353.0,6331.209,13.4409,0.2603,0.0
2017-01-31,778.33,1245935.0,7801.2522,13.4409,0.3207,0.0
2017-02-28,873.33,1068926.0,8753.4393,13.4409,0.3599,0.0
2017-03-31,905.0,983060.0,9070.8351,13.4409,0.9609,0.0
2017-04-30,846.67,480002.0,8486.1588,13.4409,0.8989,0.0
2017-05-31,730.0,659703.0,7316.8062,13.4409,0.7751,0.0
2017-06-30,708.33,345144.0,7099.6407,13.4409,0.7521,0.0
2017-07-31,776.67,630137.0,7784.5472,13.4409,0.8246,0.0
2017-08-31,636.67,490329.0,6381.3241,13.4409,0.676,0.0
2017-09-30,808.33,1530135.0,8101.9429,13.4409,0.8582,0.0
2017-10-31,806.67,548902.0,8085.2379,13.4409,0.8565,0.0
2017-11-30,760.0,7223554.0,7617.4967,13.4409,0.8069,0.0
2017-12-31,621.67,4936105.0,6230.9787,13.4409,0.66,0.0
2018-01-31,570.0,2501229.0,5713.1225,13.4409,0.6052,0.0
2018-02-28,598.33,1414328.0,5997.108,13.4409,0.6353,0.0
2018-03-31,531.67,870504.0,5328.9065,13.4409,0.5804,0.0
2018-04-30,508.33,1396120.0,5095.036,13.4409,0.5804,0.0
2018-05-31,491.67,6325948.0,4927.9856,13.4409,0.5804,0.0
2018-06-30,370.0,3470827.0,3708.518,13.4409,0.5804,0.0
2018-07-31,333.33,1593332.0,3341.0072,13.4409,0.5804,0.0
2018-08-31,326.67,4765419.0,3274.1871,13.4409,0.5804,0.0
2018-09-30,228.33,2925654.0,2288.5899,13.4409,0.5804,0.0
2018-10-31,188.33,1601893.0,1887.6691,13.4409,0.5804,0.0
2018-11-30,203.33,944170.0,2038.0144,13.4409,0.5804,0.0
2018-12-31,298.33,1089107.0,2990.2015,13.4409,0.5804,0.0
2019-01-31,230.0,1411076.0,2305.295,13.4409,0.5804,0.0
2019-02-28,198.33,457742.0,1987.8993,13.4409,0.5804,0.0
2019-03-31,220.0,1399192.0,2205.0648,13.4409,0.5804,0.0
2019-04-30,248.33,4236185.0,2489.0504,13.4409,0.5804,0.0
2019-05-31,243.33,2531837.0,2438.9353,13.4409,0.5804,0.0
2019-06-30,178.33,1226980.0,1787.4389,13.4409,0.5804,0.0
2019-07-31,150.0,1295881.0,1503.4532,13.4409,0.5804,0.0
2019-08-31,156.67,1611723.0,1570.2734,13.4409,0.5804,0.0
2019-09-30,116.67,2799102.0,1169.3525,13.4409,0.5804,0.0
2019-10-31,120.0,1300497.0,1202.7626,13.4409,0.5804,0.0
2019-11-30,111.67,824880.0,1119.2374,13.4409,0.5804,0.0
2020-01-31,6.84,383946.0,68.5575,13.4409,0.5804,0.0
2020-02-29,20.67,120168.0,18342.1424,13.4409,0.5804,0.0
2020-03-31,57.35,146592.0,50899.4453,0.1973,1.5096,0.0
2020-04-30,137.85,84273.0,122345.0484,0.4742,3.6285,0.0
2020-05-31,191.0,1774794.0,169516.897,0.6571,5.0275,0.0
2020-06-30,457.18,5996457.0,405760.7332,1.5728,12.0341,0.0
2020-07-31,214.65,10691274.0,190506.8165,0.7384,5.6501,0.0
2020-08-31,209.73,2753802.0,186143.1616,0.7215,5.5206,0.0
2020-09-30,172.17,1476921.0,152801.8801,0.5923,4.5318,0.0
2020-10-31,170.55,1330188.0,151367.0558,0.5867,4.4892,0.0
2020-11-30,237.12,2226360.0,210446.5067,0.8157,6.2414,0.0
2020-12-31,224.75,1622196.0,199470.805,0.7732,5.9159,0.0
2021-01-31,201.4,1002165.0,178747.1419,0.6929,5.3013,0.0
2021-02-28,244.82,3222210.0,217280.4342,0.8422,6.4441,0.0
2021-03-31,214.0,1684767.0,189929.9323,27.8888,4.6729,0.0
2021-04-30,227.68,2325141.0,202074.206,29.672,4.9717,0.0
2021-05-31,362.45,10135155.0,321682.7287,47.235,7.9144,0.0
2021-06-30,386.88,10811073.0,343367.8752,50.4192,8.448,0.0
2021-07-31,367.95,3333144.0,326564.0956,47.9518,8.0345,0.0
2021-08-31,352.37,4095039.0,312733.5285,45.9209,7.6943,0.0
2021-09-30,352.52,1558374.0,312866.657,45.9405,7.6975,0.0
2021-10-31,309.35,1928340.0,274555.2465,40.3149,6.755,0.0
2021-11-30,305.93,1826568.0,271522.8762,39.8697,6.6803,0.0
2021-12-31,284.2,1044621.0,252234.0426,37.0374,6.2058,0.0
2022-01-31,280.55,1559721.0,248994.5835,36.5617,6.1261,0.0
2022-02-28,277.65,2300913.0,246420.7668,36.1838,6.0628,0.0
2022-03-31,319.28,34385784.0,283371.3086,35.1376,4.5897,0.0
2022-04-30,366.13,604389426.0,397615.1465,40.2935,5.2632,0.0
2022-05-31,364.93,375229167.0,396311.9651,40.1614,5.246,0.0
2022-06-30,353.9,30703227.0,384329.9354,38.9472,5.0874,0.0
2022-07-31,377.88,20805273.0,410375.4651,41.5866,5.4321,0.0
2022-08-31,407.03,23417733.0,442031.915,44.7946,5.8512,0.0
2022-09-30,458.65,39195186.0,498086.818,50.4751,6.5932,1.6667
2022-10-31,469.93,17055915.0,510340.3438,51.7168,6.7554,1.6667
2022-11-30,420.32,17537904.0,456457.4099,46.2564,6.0421,1.6667
2022-12-31,397.8,16424928.0,432004.6576,43.7784,5.7184,1.6667
2023-01-31,348.03,12427554.0,377958.826,38.3015,5.003,1.6667
2023-02-28,307.93,19853343.0,334410.8452,33.8885,4.4266,1.6667
2023-03-31,323.07,35528823.0,350845.4115,39.5791,3.5616,1.6667
2023-04-30,314.3,10556037.0,341324.9469,38.5051,3.465,1.6667
2023-05-31,349.17,12788598.0,379189.6085,42.7766,3.8494,1.6667
2023-06-30,396.23,19048242.0,430303.2818,48.5428,4.3683,1.6667
2023-07-31,443.67,56373402.0,481815.1493,54.3539,4.8912,1.6667
2023-08-31,409.02,17233572.0,444185.7844,50.1089,4.5092,1.6667
2023-09-30,413.05,14135409.0,448565.9221,50.603,4.5536,2.0
2023-10-31,455.97,18457878.0,495172.7594,55.8608,5.0268,2.0
2023-11-30,466.73,36135744.0,506865.1932,57.1798,5.1455,2.0
2023-12-31,525.0,60573636.0,570141.8935,64.3181,5.7878,2.0
2024-01-31,527.37,38853150.0,572712.0569,64.608,5.8139,2.0
2024-02-29,512.57,43074603.0,556639.4855,62.7949,5.6508,2.0
2024-03-31,446.13,32825031.0,484493.9113,62.6521,4.7455,2.0
2024-04-30,503.57,49357659.0,546865.6244,70.7176,5.3564,2.0
2024-05-31,476.7,29285292.0,517688.8393,66.9446,5.0706,2.0
2024-06-30,530.47,43578063.0,576078.6091,74.4953,5.6425,2.0
2024-07-31,573.37,74066049.0,622667.3466,80.5199,6.0988,2.0
2024-08-31,647.38,50368209.0,703048.3038,90.9143,6.8862,2.0
2024-09-30,561.15,81089778.0,609400.2353,78.8043,5.9689,2.0
2024-10-31,597.75,38360850.0,649147.2701,83.9441,6.3582,2.0
2024-11-30,603.43,31532892.0,655319.2824,84.7423,6.4187,4.6667
2024-12-31,593.98,28569633.0,645056.7283,83.4152,6.3181,4.6667
2025-01-31,608.2,46377171.0,660495.8088,85.4117,6.4694,4.6667
2025-02-28,586.85,69891756.0,637310.0384,82.4134,6.2423,4.6667
2025-03-31,602.8,39895971.0,654961.8344,50.3172,5.76,2.6667
2025-04-30,635.33,66844656.0,690310.3607,53.0328,6.0709,2.6667
2025-05-31,557.1,56374953.0,605856.8026,46.5025,5.3233,2.6667
2025-06-30,550.2,52117908.0,598352.9219,45.9265,5.2574,2.6667
2025-07-31,624.57,107941785.0,679228.0805,52.1341,5.968,2.6667
2025-08-31,592.53,26550270.0,644574.4961,49.4602,5.6619,2.6667
2025-09-30,575.8,26697119.0,626371.5035,48.0634,5.502,3.3333
2025-10-31,602.4,16931492.0,655307.7348,50.2838,5.7562,3.3333
2025-11-30,568.15,26882459.0,618049.6174,47.4249,5.4289,2.4167
2025-12-31,545.5,76356877.0,593410.3076,45.5342,5.2125,2.4167
2026-01-31,500.4,52005905.0,544349.2538,41.7696,4.7815,2.4167
2026-02-28,508.0,62434715.0,552662.4014,42.404,4.8541,2.4167
2026-03-31,499.55,6664238.0,543469.4801,41.6987,4.7734,2.4167
