PATANJAL IN Equity,price,volume,mc,pe,bm,div
2002-03-31,176.33,3189.0,506.5677,1.8556,0.2315,10.0
2002-04-30,180.0,1673.0,517.1013,1.8942,0.2363,10.0
2002-05-31,200.0,1987.0,574.557,2.1047,0.2626,10.0
2002-06-30,263.67,6334.0,757.4576,2.7747,0.3462,10.0
2002-07-31,214.0,13512.0,614.776,2.252,0.281,10.0
2002-08-31,227.67,2244.0,654.0374,2.3958,0.2989,10.0
2002-09-30,236.33,1462.0,678.9348,2.487,0.3103,10.6667
2002-10-31,217.33,1349.0,624.3519,2.2871,0.2854,10.6667
2002-11-30,220.0,1049.0,632.0127,2.3152,0.2889,10.6667
2002-12-31,223.0,2004.0,640.631,2.3467,0.2928,10.6667
2003-01-31,213.0,2167.0,611.9032,2.2415,0.2797,10.6667
2003-02-28,206.67,963.0,593.7089,2.1748,0.2714,10.6667
2003-03-31,211.67,2140.0,608.0728,1.9989,0.2619,10.6667
2003-04-30,205.0,1429.0,588.9209,1.936,0.2536,10.6667
2003-05-31,246.0,3628.0,706.7051,2.3232,0.3044,10.6667
2003-06-30,254.33,3732.0,730.645,2.4019,0.3147,10.6667
2003-07-31,296.33,12684.0,851.3019,2.7985,0.3666,10.6667
2003-08-31,340.0,22170.0,976.7469,3.2109,0.4207,10.6667
2003-09-30,289.33,8746.0,831.1924,2.7324,0.358,10.6667
2003-10-31,312.0,14112.0,896.3089,2.9465,0.386,10.6667
2003-11-30,602.67,72838.0,1731.3317,5.6915,0.7456,10.6667
2003-12-31,808.0,79700.0,2321.2102,7.6306,0.9997,10.6667
2004-01-31,574.67,69305.0,1650.8937,5.4271,0.711,10.6667
2004-02-29,501.0,18744.0,1439.2652,4.7314,0.6199,10.6667
2004-03-31,481.67,22851.0,1520.9998,4.1268,0.5276,10.6667
2004-04-30,512.0,19680.0,1616.786,4.3867,0.5609,10.6667
2004-05-31,356.67,15080.0,1126.2767,3.0559,0.3907,10.6667
2004-06-30,394.33,9194.0,1245.2199,3.3786,0.432,10.6667
2004-07-31,419.33,11986.0,1324.1646,3.5928,0.4594,10.6667
2004-08-31,482.33,23201.0,1523.105,4.1325,0.5284,10.6667
2004-09-30,529.0,208872.0,1670.4683,4.5324,0.5795,10.6667
2004-10-31,487.33,53876.0,1538.894,4.1754,0.5339,10.6667
2004-11-30,650.67,419400.0,2054.6655,5.5748,0.7128,10.6667
2004-12-31,832.33,388619.0,2628.3298,7.1313,0.9118,10.6667
2005-01-31,951.67,1039625.0,3005.1588,8.1537,1.0425,10.6667
2005-02-28,973.67,513012.0,3074.6301,8.3422,1.0666,10.6667
2005-03-31,1597.0,4419308.0,5042.9829,6.8117,1.526,10.6667
2005-04-30,1508.0,1824875.0,4761.94,6.4321,1.441,10.6667
2005-05-31,1903.0,2582523.0,6009.2651,8.1168,1.8184,10.6667
2005-06-30,1654.0,963157.0,5222.9766,7.0548,1.5805,10.6667
2005-07-31,1635.0,340726.0,5162.9787,6.9737,1.5623,10.6667
2005-08-31,1847.67,912391.0,5834.5343,7.8808,1.7655,10.6667
2005-09-30,1919.0,948951.0,6059.7897,8.1851,1.8337,13.3333
2005-10-31,1671.33,399904.0,5277.7115,7.1287,1.597,13.3333
2005-11-30,1742.67,226774.0,5502.9669,7.433,1.6652,13.3333
2005-12-31,1696.67,231810.0,5357.7088,7.2368,1.6212,13.3333
2006-01-31,1975.67,986831.0,6238.7308,8.4268,1.8878,13.3333
2006-02-28,2098.33,1268972.0,6626.0858,8.95,2.0051,13.3333
2006-03-31,2355.67,1275457.0,7438.6892,11.9219,1.3787,13.3333
2006-04-30,2369.67,423270.0,7285.0103,11.9928,1.3869,13.3333
