AIIL IN Equity,price,volume,mc,pe,bm,div
2017-03-31,0.35,1087058.0,267.4517,3.2044,0.4204,0.0
2017-04-30,0.4,998065.0,304.3416,3.6464,0.4783,0.0
2017-05-31,0.5,1745418.0,377.5449,4.5235,0.5934,0.0
2017-06-30,0.44,124209.0,334.3146,4.0055,0.5254,0.0
2017-07-31,0.35,655278.0,268.0281,3.2113,0.4213,0.0
2017-08-31,0.42,763616.0,319.9045,3.8329,0.5028,0.0
2017-09-30,0.63,36691281.0,477.2629,5.7182,0.7501,0.0
2017-10-31,0.6,708857.0,453.0539,5.4282,0.7121,0.0
2017-11-30,0.94,2575598.0,713.0124,8.5428,1.1206,0.0
2017-12-31,0.93,2298259.0,705.5191,8.453,1.1089,0.0
2018-01-31,1.06,5211201.0,800.0494,9.5856,1.2574,0.0
2018-02-28,0.97,70440765.0,731.4573,8.7638,1.1496,0.0
2018-03-31,0.81,50198577.0,613.2944,10.2308,0.881,0.0
2018-04-30,0.86,2420435.0,649.0315,10.8269,0.9323,0.0
2018-05-31,0.46,5194478.0,351.0303,5.8558,0.5042,0.0
2018-06-30,0.47,1001279.0,359.1,5.9904,0.5158,0.0
2018-07-31,0.54,20728400.0,407.518,6.7981,0.5854,0.0
2018-08-31,0.44,6191560.0,332.009,5.5385,0.4769,0.0
2018-09-30,0.43,837525.0,323.9393,5.4038,0.4653,0.0
2018-10-31,0.45,856084.0,336.6202,5.6154,0.4835,0.0
2018-11-30,0.26,2274650.0,193.6719,3.2308,0.2782,0.0
2018-12-31,0.5,156165131.0,376.3921,6.2788,0.5407,0.0
2019-01-31,0.4,1492868.0,303.1888,5.0577,0.4355,0.0
2019-02-28,0.37,154114.0,282.4382,4.7115,0.4057,0.0
2019-03-31,0.28,14899433.0,214.4225,3.6635,0.4371,0.0
2019-04-30,0.43,19429059.0,327.9742,3.6635,0.6686,0.0
2019-05-31,0.45,8920615.0,338.9258,3.6635,0.6909,0.0
2019-06-30,0.43,713972.0,324.5157,3.6635,0.6615,0.0
2019-07-31,0.52,6676001.0,396.5663,3.6635,0.8084,0.0
2019-08-31,0.34,3336984.0,253.618,3.6635,0.517,0.0
2019-09-30,0.55,1756369.0,412.7056,3.6635,0.8413,0.0
2019-10-31,0.49,33032692.0,367.1697,3.6635,0.7485,0.0
2019-11-30,1.02,9236384.0,770.6528,3.6635,1.5709,0.0
2019-12-31,1.51,3150015.0,1144.1629,3.6635,2.3323,0.0
2020-01-31,2.22,18853854.0,1681.9483,3.6635,3.4286,0.0
2020-02-29,1.66,1036627.0,1253.1034,3.6635,2.5544,0.0
2020-03-31,1.54,416434.0,1164.328,3.6635,0.275,0.0
2020-04-30,1.03,310850.0,776.4108,3.6635,0.1834,0.0
2020-05-31,1.17,347247.0,887.656,3.6635,0.2097,0.0
2020-06-30,1.2,43063842.0,907.83,3.6635,0.2144,0.0
2020-07-31,1.56,61988523.0,1175.856,3.6635,0.2778,0.0
2020-08-31,2.24,502148.0,1694.616,3.6635,0.4003,0.0
2020-09-30,2.19,4738171.0,1657.15,3.6635,0.3914,0.0
2020-10-31,2.82,866380.0,2132.68,3.6635,0.5038,0.0
2020-11-30,3.03,173853.0,2294.072,3.6635,0.5419,0.0
2020-12-31,3.25,4818638.0,2458.9224,3.6635,0.5808,0.0
2021-01-31,4.96,16028790.0,3752.9404,3.6635,0.8865,0.0
2021-02-28,7.44,2800633.0,4289.6023,3.6635,1.329,0.0
2021-03-31,6.62,227900.0,5340.503,2.8469,0.3598,0.0
2021-04-30,6.16,8730100.0,4970.9124,2.6499,0.3349,0.0
2021-05-31,8.71,68800.0,7030.2904,3.7477,0.4736,0.0
2021-06-30,13.46,1020950.0,10858.5385,5.7885,0.7315,0.0
2021-07-31,35.32,11824000.0,28503.6636,15.1949,1.9201,0.0
2021-08-31,28.14,9451350.0,22706.4177,12.1044,1.5296,0.0
2021-09-30,26.4,1541850.0,22415.3058,11.3546,1.4348,0.0
2021-10-31,36.91,3668755.0,31344.9141,15.878,2.0064,0.0
2021-11-30,30.1,1698835.0,25561.6883,12.9485,1.6362,0.0
2021-12-31,33.97,2798450.0,28848.1911,14.6133,1.8466,0.0
2022-01-31,34.23,1992785.0,29068.9897,14.7251,1.8607,0.0
2022-02-28,30.56,1728405.0,25952.332,13.1463,1.6612,0.0
2022-03-31,36.4,2186530.0,30911.8091,4.5637,0.9903,0.0
2022-04-30,35.6,1935545.0,30232.4287,4.4634,0.9686,0.0
2022-05-31,32.0,1410650.0,27175.2168,4.012,0.8706,0.0
2022-06-30,28.18,437135.0,23931.1753,3.5331,0.7667,0.0
2022-07-31,28.85,487910.0,24500.1557,3.6171,0.7849,0.0
2022-08-31,34.38,3205515.0,29196.3727,4.3104,0.9354,0.0
2022-09-30,50.15,17432615.0,42588.6588,6.2876,1.3644,0.0
2022-10-31,42.38,1697295.0,35990.1767,5.3134,1.153,0.0
2022-11-30,48.18,4149695.0,40915.6846,6.0406,1.3109,0.0
2022-12-31,44.57,1796045.0,37849.9805,5.588,1.2126,0.0
2023-01-31,38.14,991880.0,32389.4606,4.7818,1.0377,0.0
2023-02-28,35.2,1102200.0,29892.7376,4.4132,0.9577,0.0
2023-03-31,38.95,2018985.0,33077.3332,0.7683,0.9682,0.0
2023-04-30,43.95,3114400.0,37323.4607,0.8669,1.0925,0.0
2023-05-31,57.2,6373390.0,48575.6986,1.1283,1.4218,0.0
2023-06-30,67.74,2507470.0,57526.5354,1.3362,1.6838,0.0
2023-07-31,75.76,2475115.0,64337.3239,1.4944,1.8832,0.0
2023-08-31,96.45,6682500.0,81907.7995,1.9025,2.3975,0.0
2023-09-30,96.52,28051030.0,81967.2453,1.9039,2.3992,0.0
2023-10-31,157.32,9341365.0,133600.1557,3.1033,3.9105,0.0
2023-11-30,139.1,1692215.0,118127.267,2.7438,3.4576,0.0
2023-12-31,197.62,3046570.0,167823.9433,3.8982,4.9123,0.0
2024-01-31,188.49,1805905.0,160070.5145,3.7181,4.6853,0.0
2024-02-29,164.54,2524890.0,139731.5638,3.2457,4.09,0.0
2024-03-31,145.06,3043600.0,123188.651,2.9134,1.1908,0.0
2024-04-30,166.61,4018540.0,141489.4606,3.3462,1.3677,0.0
2024-05-31,165.11,4702980.0,140215.6223,3.3161,1.3554,0.0
2024-06-30,231.45,14046540.0,196553.242,4.6484,1.9,0.0
2024-07-31,206.61,3975315.0,175458.4806,4.1496,1.6961,0.0
2024-08-31,338.08,23853000.0,287106.157,6.79,2.7753,0.0
2024-09-30,357.86,6815320.0,303903.8374,7.1873,2.9377,0.0
2024-10-31,331.47,13829110.0,281492.7765,6.6573,2.721,0.0
2024-11-30,316.15,4780015.0,268482.6418,6.3496,2.5953,0.0
2024-12-31,340.94,6485685.0,289534.942,6.8474,2.7988,0.0
2025-01-31,337.62,18406175.0,286715.5133,6.7808,2.7715,0.0
2025-02-28,281.92,9879365.0,239413.653,5.6621,2.3143,0.0
2025-03-31,346.09,12346360.0,293908.4533,6.9277,2.0008,0.2
2025-04-30,344.42,8964865.0,292490.2467,6.8942,1.9912,0.2
2025-05-31,475.84,28390975.0,404095.4619,9.5249,2.7509,0.3
2025-06-30,526.14,20230685.0,446811.5046,10.5317,3.0417,0.3
2025-07-31,555.24,83952880.0,471523.9666,11.1142,3.21,0.3
2025-08-31,646.58,51044280.0,549092.2238,12.9425,3.738,0.3
2025-09-30,616.44,29140410.0,523496.5672,12.3392,3.5638,0.3
2025-10-31,581.62,10273905.0,493926.5353,11.6422,3.3625,0.3
