AGARWALE IN Equity,price,volume,mc,pe,bm,div
2025-03-31,445.85,9727452.0,140835.0293,159.2321,7.552,0.0
2025-04-30,364.9,4623506.0,115264.5558,130.3214,6.1808,0.0
2025-05-31,338.5,12818236.0,107019.6038,120.8929,5.7337,0.0
2025-06-30,404.8,9957962.0,127980.9029,144.5714,6.8567,0.0
2025-07-31,456.85,7732463.0,144436.9454,163.1607,7.7383,0.0
2025-08-31,432.45,6504429.0,136722.6815,154.4464,7.325,0.0
2025-09-30,507.35,7229337.0,160402.9424,181.1964,8.5937,0.0
2025-10-31,506.25,9360064.0,160055.1682,180.8036,8.5751,0.0
2025-11-30,533.75,6311517.0,168756.2072,190.625,9.0409,0.0
2025-12-31,508.35,3332261.0,160877.5255,181.5536,8.6106,0.0
2026-01-31,432.75,5580238.0,137098.4482,154.5536,7.3301,0.0
2026-02-28,451.7,2351448.0,143101.9505,161.3214,7.6511,0.0
2026-03-31,446.1,1165355.0,141327.8304,159.3214,7.5562,0.0
