SAIL IN Equity,price,volume,mc,pe,bm,div
2011-03-31,169.6,63037163.0,700515.8234,13.9703,1.8624,2.9
2011-04-30,159.3,36905691.0,657972.7044,13.1219,1.7493,2.9
2011-05-31,140.6,56362156.0,580734.2263,11.5815,1.544,2.9
2011-06-30,137.5,60853620.0,567929.9866,11.3262,1.5099,2.9
2011-07-31,126.35,53975451.0,521876.0277,10.4077,1.3875,2.9
2011-08-31,107.9,74506117.0,445670.1495,8.888,1.1849,2.4
2011-09-30,105.65,72823754.0,436376.7497,8.7026,1.1602,2.4
2011-10-31,112.2,64799464.0,463430.869,9.2422,1.2321,2.4
2011-11-30,80.2,128908633.0,331258.0722,6.6063,0.8807,2.4
2011-12-31,81.5,140645511.0,336627.592,6.7133,0.895,2.4
2012-01-31,101.65,105291948.0,419855.1501,8.3731,1.1163,2.4
2012-02-29,103.15,121436528.0,426050.7499,8.4967,1.1327,2.4
2012-03-31,94.25,82345412.0,389302.0181,10.8333,1.0839,2.4
2012-04-30,94.7,69340540.0,391160.7545,10.8851,1.0891,2.4
2012-05-31,95.35,88354155.0,393845.596,10.9598,1.0965,2.4
2012-06-30,90.6,69521203.0,374225.6004,10.4138,1.0419,2.4
2012-07-31,85.8,84595067.0,354399.0785,9.8621,0.9867,2.4
2012-08-31,78.2,57571569.0,323007.0855,8.9885,0.8993,2.0
2012-09-30,85.45,73034796.0,352953.3946,9.8218,0.9827,2.0
2012-10-31,80.25,60079283.0,331474.6626,9.2241,0.9229,2.0
2012-11-30,80.8,39437296.0,333746.4516,9.2874,0.9292,2.0
2012-12-31,90.65,73808909.0,374432.1267,10.4195,1.0425,2.0
2013-01-31,86.6,106877747.0,357703.4988,9.954,0.9959,2.0
2013-02-28,70.9,80858990.0,292854.2502,8.1494,0.8154,2.4
2013-03-31,62.55,110312863.0,258335.9591,11.0904,0.6204,2.4
2013-04-30,61.65,78388731.0,254618.895,10.9309,0.6115,2.4
2013-05-31,56.2,72806821.0,232110.0064,9.9645,0.5574,2.4
2013-06-30,50.75,62431595.0,209601.1179,8.9982,0.5034,2.4
2013-07-31,41.7,76553314.0,172223.9728,7.3936,0.4136,2.4
2013-08-31,46.25,125019840.0,191015.7971,8.2004,0.4587,2.0
2013-09-30,49.95,111807541.0,206297.0609,8.8564,0.4954,2.0
2013-10-31,61.7,113577753.0,254825.3985,10.9397,0.612,2.0
2013-11-30,68.05,116583857.0,281051.3512,12.0656,0.675,2.0
2013-12-31,72.45,73523525.0,299223.6649,12.8457,0.7186,2.0
2014-01-31,64.15,63042097.0,264944.0732,11.3741,0.6363,2.0
2014-02-28,55.7,56412790.0,230044.9708,9.8759,0.5525,2.42
2014-03-31,71.4,126946668.0,294887.09,11.1215,0.6814,2.42
2014-04-30,67.45,135519473.0,278573.3084,10.5062,0.6437,2.42
2014-05-31,87.5,261500129.0,361381.2378,13.6293,0.835,2.42
2014-06-30,94.95,270770428.0,392150.2689,14.7897,0.9061,2.42
2014-07-31,87.85,162988646.0,362826.7627,13.6838,0.8383,2.02
2014-08-31,81.05,85698718.0,334742.278,12.6246,0.7734,2.02
2014-09-30,69.6,126958129.0,287452.9617,10.8411,0.6642,2.02
2014-10-31,83.1,80159497.0,343208.9241,12.9439,0.793,2.02
2014-11-30,89.05,97916253.0,367782.8483,13.8707,0.8498,2.02
2014-12-31,82.55,155340395.0,340937.3849,12.8583,0.7878,2.02
2015-01-31,77.15,72724711.0,318635.0,12.0171,0.7362,2.02
2015-02-28,70.45,64557149.0,290963.4879,10.9735,0.6723,1.75
2015-03-31,67.4,66883136.0,278368.22,13.6783,0.636,1.75
2015-04-30,69.45,71640211.0,286834.9092,14.0943,0.6554,1.75
2015-05-31,65.9,54656171.0,272173.0816,13.3739,0.6219,1.75
2015-06-30,61.45,49407785.0,253794.1709,12.4708,0.5799,1.75
2015-07-31,56.2,68811669.0,232111.1864,11.4054,0.5303,1.75
2015-08-31,49.75,109505676.0,205472.0912,10.0964,0.4695,2.0
2015-09-30,51.35,79863213.0,212080.2388,10.4211,0.4846,2.0
2015-10-31,53.35,68209380.0,220340.4234,10.827,0.5034,2.0
2015-11-30,45.7,82095494.0,188745.2174,9.2745,0.4313,2.0
2015-12-31,48.35,101677312.0,199689.962,9.8123,0.4563,2.0
2016-01-31,42.8,87150670.0,176767.9498,8.6859,0.4039,2.0
2016-02-29,34.9,110155528.0,144140.2208,7.0827,0.3293,0.25
2016-03-31,43.1,120098739.0,178006.9775,8.8178,0.4434,0.25
2016-04-30,47.4,95681267.0,195766.3743,8.8178,0.4876,0.25
2016-05-31,42.8,107137394.0,176767.9498,8.8178,0.4403,0.25
2016-06-30,45.35,123102002.0,187299.6851,8.8178,0.4665,0.25
2016-07-31,46.95,136697349.0,193907.8328,8.8178,0.483,0.25
2016-08-31,48.2,205245236.0,199070.4481,8.8178,0.4959,0.25
2016-09-30,46.3,213372147.0,191223.2728,8.8178,0.4763,0.0
2016-10-31,51.8,139765866.0,213938.7804,8.8178,0.5329,0.0
2016-11-30,51.2,191207144.0,211460.725,8.8178,0.5267,0.0
2016-12-31,49.3,127652771.0,203613.5497,8.8178,0.5072,0.0
2017-01-31,63.55,160955279.0,262467.3647,8.8178,0.6538,0.0
2017-02-28,61.2,155902860.0,252761.6479,8.8178,0.6296,0.0
2017-03-31,61.3,128616046.0,253174.6571,8.8178,0.6835,0.0
2017-04-30,60.35,141337371.0,249251.0694,8.8178,0.673,0.0
2017-05-31,57.15,193461988.0,236034.7741,8.8178,0.6373,0.0
2017-06-30,58.35,98416128.0,240990.8848,8.8178,0.6507,0.0
2017-07-31,63.25,114681024.0,261228.337,8.8178,0.7053,0.0
2017-08-31,60.8,120821462.0,251109.6109,8.8178,0.678,0.0
2017-09-30,53.65,120594162.0,221579.4511,8.8178,0.5982,0.0
2017-10-31,78.0,288612942.0,322147.1982,8.8178,0.8698,0.0
2017-11-30,76.8,422815688.0,317191.08,8.8178,0.8564,0.0
2017-12-31,92.15,314887825.0,380587.9951,8.8178,1.0276,0.0
2018-01-31,88.9,326960702.0,367165.1955,8.8178,0.9913,0.0
2018-02-28,83.2,353851620.0,343659.704,8.8178,0.9278,0.0
2018-03-31,70.2,364706291.0,289962.8753,8.8178,0.7848,0.0
2018-04-30,77.65,246921589.0,320735.2887,8.8178,0.8681,0.0
2018-05-31,75.95,271144628.0,313713.3957,8.8178,0.8491,0.0
2018-06-30,83.0,452600380.0,342833.599,8.8178,0.9279,0.0
2018-07-31,77.5,276850340.0,320115.7099,8.8178,0.8664,0.0
2018-08-31,79.85,306842971.0,329822.4443,8.8178,0.8927,0.0
2018-09-30,68.25,217956801.0,281908.351,8.8178,0.763,0.0
2018-10-31,64.45,223854675.0,266212.3549,8.8178,0.7205,0.0
2018-11-30,55.3,202367930.0,228418.0485,8.8178,0.6182,0.0
2018-12-31,56.35,300285487.0,232755.1,8.8178,0.63,0.0
2019-01-31,47.0,242376190.0,194134.6886,8.8178,0.5254,0.0
2019-02-28,48.25,390042373.0,199297.8452,8.8178,0.5394,0.0
2019-03-31,53.75,505301469.0,222015.7343,9.4464,0.56,0.0
2019-04-30,55.8,549080637.0,230483.3111,9.8067,0.5814,0.0
2019-05-31,50.15,511718658.0,207145.8432,8.8137,0.5225,0.0
2019-06-30,50.75,465139692.0,209624.1584,8.9192,0.5287,0.0
2019-07-31,42.75,511337889.0,176579.9561,7.5132,0.4454,0.0
2019-08-31,31.2,625334307.0,128872.389,5.4833,0.3251,0.5
2019-09-30,33.45,741469158.0,138166.0709,5.8787,0.3485,0.5
2019-10-31,36.6,643401483.0,151177.2256,6.4323,0.3813,0.5
2019-11-30,39.35,693547949.0,162536.1701,6.9156,0.41,0.5
2019-12-31,42.9,632111033.0,177199.5349,7.5395,0.447,0.5
2020-01-31,46.5,682424867.0,192069.4259,8.1722,0.4845,0.5
2020-02-29,35.55,487391561.0,146840.174,6.2478,0.3704,0.5
2020-03-31,23.05,784488904.0,95208.6079,4.4932,0.2294,0.5
2020-04-30,31.85,467759640.0,131557.2305,6.2086,0.3169,0.5
2020-05-31,30.15,439270808.0,124535.3375,5.8772,0.3,0.5
2020-06-30,30.4,748373895.0,125567.9688,5.9259,0.3025,0.5
2020-07-31,34.0,1148156278.0,140437.8598,6.6277,0.3383,0.5
2020-08-31,38.5,877709486.0,159025.2236,7.5049,0.3831,0.5
2020-09-30,33.75,714112581.0,139405.2285,6.5789,0.3358,0.5
2020-10-31,34.35,452238204.0,141868.6667,6.6959,0.3418,0.0
2020-11-30,48.45,677914213.0,200102.9665,9.4444,0.4821,0.0
2020-12-31,74.1,1378889369.0,306039.8311,14.4444,0.7373,0.0
2021-01-31,57.65,1972180367.0,238099.8146,11.2378,0.5737,0.0
2021-02-28,76.55,1464257677.0,316158.557,14.922,0.7617,1.0
2021-03-31,78.8,1200411218.0,325451.2644,7.8486,0.7168,1.0
2021-04-30,119.5,1915573493.0,493546.0165,11.9024,1.0871,1.0
2021-05-31,126.6,2107802866.0,522869.671,12.6096,1.1517,1.0
2021-06-30,130.6,1472685283.0,539390.0398,13.008,1.188,1.0
2021-07-31,142.05,1186387513.0,586741.1173,14.1484,1.2922,1.0
2021-08-31,121.6,1215950864.0,502271.8751,12.1116,1.1062,1.0
2021-09-30,113.65,889816562.0,469434.1991,11.3197,1.0339,2.8
2021-10-31,115.1,1002839118.0,475423.4608,11.4641,1.047,2.8
2021-11-30,100.05,964423466.0,413259.0552,9.9651,0.9101,6.8
2021-12-31,107.2,844291845.0,442792.311,10.6773,0.9752,6.8
2022-01-31,98.45,829614526.0,406650.2147,9.8058,0.8956,6.8
2022-02-28,96.35,861648555.0,397976.1116,9.5966,0.8765,5.8
2022-03-31,98.55,957087173.0,407063.2672,3.3249,0.7509,8.3
2022-04-30,96.75,690958949.0,399628.3217,3.2642,0.7372,8.3
2022-05-31,75.95,912006400.0,313713.3957,2.5624,0.5787,8.3
2022-06-30,68.55,760491431.0,283147.5086,2.3128,0.5223,8.3
2022-07-31,77.15,704810484.0,318636.6097,2.6029,0.5878,10.55
2022-08-31,81.3,501558646.0,335776.4921,2.7429,0.6194,10.55
2022-09-30,76.75,414719776.0,316984.5728,2.5894,0.5848,8.75
2022-10-31,78.7,294044484.0,325038.2525,2.6552,0.5996,8.75
2022-11-30,84.85,452835291.0,350438.3193,2.8627,0.6465,4.75
2022-12-31,82.65,379346129.0,341352.1165,2.7885,0.6297,4.75
2023-01-31,90.6,599464617.0,374186.3492,3.0567,0.6903,4.75
2023-02-28,82.75,369646200.0,341765.1257,2.7918,0.6305,4.75
2023-03-31,82.7,338547346.0,341558.6211,15.6926,0.624,3.25
2023-04-30,82.8,189115095.0,341971.6304,15.7116,0.6247,3.25
2023-05-31,82.5,314565349.0,340732.6027,15.6546,0.6224,3.25
2023-06-30,85.5,318851434.0,353122.8792,16.2239,0.6451,3.25
2023-07-31,94.6,317011851.0,390706.7178,17.9507,0.7137,1.0
2023-08-31,90.7,330158876.0,374599.3584,17.2106,0.6843,1.0
2023-09-30,93.85,475801769.0,387609.1487,17.8083,0.7081,1.0
2023-10-31,83.85,263053609.0,346308.2271,15.9108,0.6326,1.0
2023-11-30,92.3,345448720.0,381207.5058,17.5142,0.6964,1.0
2023-12-31,123.65,1222434527.0,510685.8948,23.463,0.9329,1.0
2024-01-31,122.5,773338316.0,505936.2889,23.2448,0.9242,1.0
2024-02-29,121.2,1254102524.0,500567.1691,22.9981,0.9144,1.5
2024-03-31,134.25,1010269154.0,554464.8717,18.093,0.9711,1.5
2024-04-30,164.2,1254093462.0,678161.1317,22.1294,1.1878,1.5
2024-05-31,158.5,754167533.0,654619.6064,21.3612,1.1465,1.5
2024-06-30,148.65,832728533.0,613938.1987,20.0337,1.0753,1.5
2024-07-31,153.04,677847184.0,632069.3032,20.6253,1.107,1.5
2024-08-31,133.69,553254030.0,552152.0201,18.0175,0.9671,1.5
2024-09-30,141.36,473903058.0,583829.8269,19.0512,1.0226,2.0
2024-10-31,115.75,507476199.0,478058.1668,15.5997,0.8373,2.0
2024-11-30,117.11,379572147.0,483675.0922,15.783,0.8471,2.0
2024-12-31,113.13,389547920.0,467237.3254,15.2466,0.8183,2.0
2025-01-31,107.43,309867001.0,443695.8001,14.4784,0.7771,2.0
2025-02-28,105.02,446838271.0,433742.278,14.1536,0.7597,2.0
2025-03-31,115.18,498949528.0,475704.0143,20.0662,0.8077,2.0
2025-04-30,113.71,384320246.0,469632.7788,19.8101,0.7973,1.0
2025-05-31,129.18,410022379.0,533525.3045,22.5052,0.9058,1.0
2025-06-30,131.99,281506136.0,545130.8634,22.9948,0.9255,1.0
2025-07-31,124.2,295693551.0,512957.4455,21.6376,0.8709,1.0
2025-08-31,118.66,162950350.0,490076.735,20.6725,0.8321,1.0
2025-09-30,134.48,253234224.0,555414.7929,23.4286,0.943,1.6
2025-10-31,136.85,594843098.0,565203.1113,23.8415,0.9596,1.6
2025-11-30,134.91,411972549.0,557190.7325,23.5035,0.946,1.6
2025-12-31,146.99,396695524.0,607082.2457,25.608,1.0307,1.6
2026-01-31,151.13,515818975.0,624180.8272,26.3293,1.0597,1.6
2026-02-28,165.71,555700877.0,684397.5708,28.8693,1.162,1.6
2026-03-31,155.95,89396784.0,644087.8588,27.169,1.0935,1.6
