SAIL IN Equity,price,volume,mc,pe,bm,div
2004-03-31,32.3,173154542.0,133411.9484,5.1329,3.217,0.0
2004-04-30,35.05,154696560.0,144770.5508,5.5699,3.4909,0.0
2004-05-31,29.55,125788442.0,122053.346,4.6959,2.9431,0.0
2004-06-30,27.35,117356218.0,112966.464,4.3463,2.724,0.0
2004-07-31,39.85,314605276.0,164596.475,6.3327,3.9689,0.0
2004-08-31,40.1,268415722.0,165629.0752,6.3724,3.9938,0.0
2004-09-30,46.6,249744415.0,192476.6582,7.4053,4.6412,0.0
2004-10-31,49.35,177845768.0,203835.2593,7.8423,4.9151,0.0
2004-11-30,54.75,142832323.0,226139.4214,8.7004,5.4529,0.0
2004-12-31,62.6,180894217.0,258563.0645,9.9479,6.2347,0.0
2005-01-31,63.95,694889533.0,264139.105,10.1624,6.3692,3.0
2005-02-28,65.5,569803855.0,270541.2256,10.4088,6.5236,3.0
2005-03-31,63.25,585519504.0,261247.8247,3.7894,2.7561,3.0
2005-04-30,53.0,315017492.0,218911.2207,3.1753,2.3095,3.0
2005-05-31,54.6,352297773.0,225519.8613,3.2711,2.3792,3.0
2005-06-30,48.1,260511523.0,198672.2588,2.8817,2.096,3.0
2005-07-31,52.8,217488199.0,218085.1406,3.1633,2.3008,3.0
2005-08-31,62.15,442915631.0,256704.3843,3.7235,2.7082,3.3
2005-09-30,65.1,248423103.0,268889.0654,3.9002,2.8368,3.3
2005-10-31,51.25,277112209.0,211683.02,3.0704,2.2332,3.3
2005-11-30,50.85,144910649.0,210030.8599,3.0465,2.2158,3.3
2005-12-31,54.1,183561137.0,223454.6611,3.2412,2.3574,3.3
2006-01-31,56.25,203819968.0,232335.022,3.37,2.4511,3.3
2006-02-28,63.75,203689404.0,263313.0249,3.8193,2.7779,3.05
2006-03-31,83.15,552254469.0,343442.7925,8.4359,2.7038,3.05
2006-04-30,84.0,324814295.0,339931.9522,8.5221,2.7314,3.05
2006-05-31,79.5,455157140.0,328366.8311,8.0656,2.5851,3.05
2006-06-30,81.25,375317739.0,335595.0318,8.2431,2.642,3.05
2006-07-31,70.25,275391654.0,290160.6275,7.1271,2.2843,3.05
2006-08-31,72.35,181326287.0,298834.4683,7.3402,2.3526,2.0
2006-09-30,77.95,189848566.0,321964.7105,7.9083,2.5347,2.0
2006-10-31,86.35,323869738.0,356660.0738,8.7605,2.8078,2.0
2006-11-30,87.95,162933585.0,363268.7144,8.9228,2.8598,2.0
2006-12-31,89.05,144690435.0,367812.1548,9.0344,2.8956,2.0
2007-01-31,108.15,322093641.0,446702.8023,10.9722,3.5167,2.0
2007-02-28,108.75,289475442.0,449181.0425,11.0331,3.5362,2.35
2007-03-31,114.3,285662986.0,472104.7647,6.724,2.6994,2.35
2007-04-30,130.45,253015278.0,538810.731,7.6741,3.0808,2.35
2007-05-31,140.3,220095652.0,579495.1749,8.2535,3.3134,2.35
2007-06-30,130.9,177125893.0,540669.4112,7.7005,3.0914,2.35
2007-07-31,150.35,257578537.0,621005.6988,8.8447,3.5508,2.35
2007-08-31,168.4,206337783.0,695559.4258,9.9066,3.977,3.1
2007-09-30,207.15,230462341.0,855612.3397,12.1862,4.8922,3.1
2007-10-31,261.0,402571112.0,1078034.374,15.354,6.1639,3.1
2007-11-30,258.6,209518527.0,1068121.415,15.2129,6.1072,3.1
2007-12-31,284.55,237741541.0,1175305.292,16.7394,6.7201,3.1
2008-01-31,214.8,223312505.0,887209.8989,12.6362,5.0728,3.1
2008-02-29,254.45,246530112.0,1050980.255,14.9687,6.0092,3.4
2008-03-31,185.3,334327448.0,765363.1018,10.0761,3.3257,3.4
2008-04-30,184.95,363635657.0,763917.4619,10.0571,3.3194,3.4
2008-05-31,162.0,309458794.0,669124.7842,8.8091,2.9075,3.4
2008-06-30,139.5,231330408.0,576190.7864,7.5856,2.5037,3.4
2008-07-31,140.65,262022557.0,580940.7463,7.6482,2.5244,3.7
2008-08-31,156.1,230471518.0,644755.4248,8.4883,2.8017,3.7
2008-09-30,127.7,193725832.0,527452.0675,6.944,2.2919,3.7
2008-10-31,84.6,222898136.0,349431.8317,4.6003,1.5184,3.7
2008-11-30,66.65,315594125.0,275291.1535,3.6243,1.1962,3.7
2008-12-31,77.5,383879684.0,320105.9924,4.2142,1.391,3.7
2009-01-31,83.05,333544710.0,343029.7119,4.516,1.4906,3.1
2009-02-28,76.05,258719050.0,314116.9126,4.1354,1.3649,3.1
2009-03-31,96.45,340785488.0,398377.0706,6.379,1.4005,3.1
2009-04-30,109.2,347053464.0,451039.6693,7.2222,1.5857,3.1
2009-05-31,172.7,329103477.0,713320.0631,11.422,2.5077,3.1
2009-06-30,151.15,345071923.0,624309.9452,9.9967,2.1948,3.1
2009-07-31,175.3,321695303.0,724059.1029,11.5939,2.5455,2.6
2009-08-31,162.65,149958866.0,671809.5441,10.7573,2.3618,2.6
2009-09-30,170.9,143521957.0,705885.3433,11.3029,2.4816,2.6
2009-10-31,164.55,154721736.0,679657.3039,10.8829,2.3894,2.6
2009-11-30,197.15,156995151.0,814308.3407,13.039,2.8627,2.6
2009-12-31,241.7,202104006.0,998317.6564,15.9854,3.5096,2.6
2010-01-31,214.5,161168548.0,885970.7791,14.1865,3.1147,2.6
2010-02-28,218.5,138076579.0,902492.3787,14.4511,3.1728,2.9
2010-03-31,252.55,114059627.0,1043132.495,15.223,3.0914,2.9
2010-04-30,218.3,137449818.0,901666.2987,13.1585,2.6721,2.9
2010-05-31,206.5,95624572.0,852927.5798,12.4473,2.5277,2.9
2010-06-30,192.7,90994481.0,795928.0612,11.6154,2.3588,2.9
2010-07-31,204.0,72340465.0,842601.5801,12.2966,2.4971,3.3
2010-08-31,186.7,46666056.0,771145.6618,11.2538,2.2853,3.3
2010-09-30,205.1,67568937.0,847145.02,12.3629,2.5105,3.3
2010-10-31,194.15,98405171.0,801917.141,11.7028,2.3765,3.3
2010-11-30,176.65,62603517.0,729635.1427,10.648,2.1623,3.3
2010-12-31,182.5,76983032.0,753797.9822,11.0006,2.2339,3.3
2011-01-31,160.9,94684701.0,664581.3443,9.6986,1.9695,2.9
2011-02-28,152.55,56157512.0,630092.5051,9.1953,1.8673,2.9
