MRPL IN Equity,price,volume,mc,pe,bm,div
2014-03-31,47.7,7695145.0,83598.9664,13.9067,1.1826,0.0
2014-04-30,59.7,20658947.0,104630.153,17.4052,1.4802,0.0
2014-05-31,66.9,26919288.0,117248.8649,19.5044,1.6587,0.0
2014-06-30,72.05,31894343.0,126274.7491,21.0058,1.7863,0.0
2014-07-31,65.0,15942320.0,113918.927,18.9504,1.6116,0.0
2014-08-31,61.55,10417351.0,107872.4609,17.9446,1.526,0.0
2014-09-30,61.55,30263716.0,107872.4609,17.9446,1.526,0.0
2014-10-31,58.8,9068186.0,103052.814,17.1429,1.4578,0.0
2014-11-30,55.0,21822802.0,96392.9382,16.035,1.3636,0.0
2014-12-31,47.05,7101400.0,82459.7772,13.7172,1.1665,0.0
2015-01-31,59.05,16330496.0,103490.9637,17.2157,1.464,0.0
2015-02-28,62.3,23503365.0,109186.9176,18.1633,1.5446,0.0
2015-03-31,67.4,14156212.0,118125.1643,19.621,2.2583,0.0
2015-04-30,69.95,14134508.0,122594.2914,19.621,2.3437,0.0
2015-05-31,70.5,13243935.0,123558.2208,19.621,2.3621,0.0
2015-06-30,75.05,38324675.0,131532.5457,19.621,2.5146,0.0
2015-07-31,72.7,69998738.0,127413.9384,19.621,2.4359,0.0
2015-08-31,55.4,69697427.0,97093.9778,19.621,1.8562,0.0
2015-09-30,53.75,23748254.0,94202.1896,19.621,1.8009,0.0
2015-10-31,54.75,18925115.0,95954.7885,19.621,1.8344,0.0
2015-11-30,66.8,25557579.0,117073.605,19.621,2.2382,0.0
2015-12-31,67.85,14581056.0,118913.8338,19.621,2.2734,0.0
2016-01-31,65.25,14665083.0,114357.0767,19.621,2.1862,0.0
2016-02-29,57.6,8316941.0,100949.6953,19.621,1.9299,0.0
2016-03-31,67.4,17510983.0,118125.1643,14.3404,1.9577,0.0
2016-04-30,67.6,16860033.0,118475.6841,14.383,1.9635,0.0
2016-05-31,67.85,27019238.0,118913.8338,14.4362,1.9708,0.0
2016-06-30,68.0,11357038.0,119176.7236,14.4681,1.9751,0.0
2016-07-31,80.95,49669651.0,141872.8791,17.2234,2.3513,0.0
2016-08-31,78.15,27351417.0,136965.6022,16.6277,2.2699,0.0
2016-09-30,86.4,28447583.0,151424.543,18.383,2.5096,0.0
2016-10-31,91.85,21868344.0,160976.2068,19.5426,2.6679,0.0
2016-11-30,99.05,19260320.0,173594.9188,21.0745,2.877,0.0
2016-12-31,98.2,34066257.0,172105.2097,20.8936,2.8523,0.0
2017-01-31,97.7,42964914.0,171228.9103,20.7872,2.8378,0.0
2017-02-28,108.25,36231814.0,189718.8284,23.0319,3.1442,0.0
2017-03-31,106.65,19207649.0,186914.6702,5.3836,1.9671,0.0
2017-04-30,133.6,44195601.0,234147.21,6.7441,2.4641,0.0
2017-05-31,131.15,53506398.0,229853.3427,6.6204,2.4189,0.0
2017-06-30,118.25,30165676.0,207244.8172,5.9692,2.181,0.0
2017-07-31,124.25,85666011.0,217760.4105,6.2721,2.2917,0.0
2017-08-31,138.85,84711622.0,243348.3541,7.0091,2.561,6.0
2017-09-30,126.9,45895491.0,222404.7975,6.4059,2.3406,6.0
2017-10-31,142.35,36887148.0,249482.4501,7.1858,2.6255,6.0
2017-11-30,122.3,37526629.0,214342.8367,6.1736,2.2557,6.0
2017-12-31,128.85,29621115.0,225822.359,6.5043,2.3765,6.0
2018-01-31,128.95,40474739.0,225997.6189,6.5093,2.3784,6.0
2018-02-28,119.25,33806417.0,208997.4042,6.0197,2.1995,6.0
2018-03-31,109.85,23261085.0,192522.9757,9.6614,1.8813,6.0
2018-04-30,108.05,25560871.0,189368.2979,9.5031,1.8505,6.0
2018-05-31,92.8,34623847.0,162641.1665,8.1618,1.5893,6.0
2018-06-30,81.05,38157426.0,142048.1309,7.1284,1.3881,3.0
2018-07-31,80.95,33743953.0,141872.871,7.1196,1.3864,3.0
2018-08-31,80.85,25027580.0,141697.6111,7.1108,1.3847,3.0
2018-09-30,71.8,31542370.0,125836.5922,6.3149,1.2297,3.0
2018-10-31,81.7,73928420.0,143187.3201,7.1856,1.3992,3.0
2018-11-30,73.9,48675289.0,129517.0496,6.4996,1.2656,3.0
2018-12-31,75.5,24508596.0,132321.2077,6.6403,1.293,3.0
2019-01-31,67.85,21670930.0,118913.827,5.9675,1.162,3.0
2019-02-28,65.15,22180912.0,114181.8103,5.73,1.1158,3.0
2019-03-31,74.3,23314533.0,130218.0891,38.299,1.3093,3.0
2019-04-30,71.85,16662757.0,125924.2221,37.0361,1.2661,3.0
2019-05-31,63.3,42055906.0,110939.5026,32.6289,1.1154,1.0
2019-06-30,60.4,20610414.0,105856.9661,31.134,1.0643,1.0
2019-07-31,59.85,11436747.0,104893.0368,30.8505,1.0546,1.0
2019-08-31,45.95,7775832.0,80531.9138,23.6856,0.8097,1.0
2019-09-30,48.5,12562424.0,85001.0407,25.0,0.8546,1.0
2019-10-31,54.65,14733920.0,95779.5232,28.1701,0.963,1.0
2019-11-30,47.65,6221524.0,83511.3317,24.5619,0.8397,1.0
2019-12-31,44.95,8540048.0,78779.315,23.1701,0.7921,1.0
2020-01-31,46.05,40329830.0,80707.1737,23.7371,0.8115,1.0
2020-02-29,38.0,8770991.0,66598.7535,19.5876,0.6696,1.0
2020-03-31,23.15,10781700.0,40572.6617,11.4948,0.638,1.0
2020-04-30,32.45,13137866.0,56871.8303,11.4948,0.8942,1.0
2020-05-31,28.7,8624176.0,50299.5849,11.4948,0.7909,1.0
2020-06-30,36.65,63807692.0,64232.7452,11.4948,1.01,1.0
2020-07-31,36.4,53305823.0,63794.5955,11.4948,1.0031,0.0
2020-08-31,31.9,41288736.0,55907.901,11.4948,0.8791,0.0
2020-09-30,25.7,24273119.0,45041.7886,11.4948,0.7082,0.0
2020-10-31,28.9,30990101.0,50650.1061,11.4948,0.7964,0.0
2020-11-30,29.5,23384487.0,51701.6654,11.4948,0.8129,0.0
2020-12-31,35.45,95881138.0,62129.6285,11.4948,0.9769,0.0
2021-01-31,35.9,87152190.0,62918.2979,11.4948,0.9893,0.0
2021-02-28,40.35,64236300.0,70717.3627,11.4948,1.1119,0.0
2021-03-31,38.85,87522084.0,68088.4645,11.4948,1.6028,0.0
2021-04-30,43.25,55701465.0,75799.8993,11.4948,1.7843,0.0
2021-05-31,49.25,183345826.0,86315.4923,11.4948,2.0319,0.0
2021-06-30,51.3,131555755.0,89908.3199,11.4948,2.1164,0.0
2021-07-31,44.7,46302384.0,78341.1653,11.4948,1.8441,0.0
2021-08-31,42.95,35643859.0,75274.1175,11.4948,1.7719,0.0
2021-09-30,46.7,32490708.0,81846.3629,11.4948,1.9267,0.0
2021-10-31,49.15,137211804.0,86140.2299,11.4948,2.0277,0.0
2021-11-30,44.4,22541354.0,77815.3857,11.4948,1.8318,0.0
2021-12-31,43.1,17867231.0,75537.0073,11.4948,1.7781,0.0
2022-01-31,45.9,58879496.0,80444.2839,11.4948,1.8937,0.0
2022-02-28,40.2,32884089.0,70454.4708,11.4948,1.6585,0.0
2022-03-31,41.6,39651948.0,72908.1091,2.4645,1.0113,0.0
2022-04-30,73.75,432825436.0,129254.1598,4.3691,1.7929,0.0
2022-05-31,81.15,332443578.0,142223.3908,4.8075,1.9728,0.0
2022-06-30,90.6,582833468.0,158785.4492,5.3673,2.2025,0.0
2022-07-31,72.8,159611272.0,127589.191,4.3128,1.7698,0.0
2022-08-31,73.0,137841928.0,127939.7107,4.3246,1.7746,0.0
2022-09-30,59.35,81705435.0,104016.7374,3.516,1.4428,0.0
2022-10-31,54.05,60782213.0,94727.9639,3.202,1.314,0.0
2022-11-30,58.85,62584115.0,103140.438,3.4864,1.4306,0.0
2022-12-31,56.1,93417290.0,98320.7914,3.3235,1.3638,0.0
2023-01-31,57.6,65678245.0,100949.6896,3.4123,1.4003,0.0
2023-02-28,49.85,28714669.0,87367.049,2.9532,1.2119,0.0
2023-03-31,52.55,106638318.0,92099.0657,3.4686,0.9336,0.0
2023-04-30,64.25,119883058.0,112604.4714,4.2409,1.1415,0.0
2023-05-31,65.45,183227862.0,114707.59,4.3201,1.1628,0.0
2023-06-30,77.05,204412934.0,135037.7358,5.0858,1.3689,0.0
