JYOTICNC IN Equity,price,volume,mc,pe,bm,div
2024-03-31,821.45,9063269.0,186816.7022,104.1128,13.69,0.0
2024-04-30,849.8,9659885.0,193264.147,107.706,14.1624,0.0
2024-05-31,1008.6,9028316.0,229378.9346,127.8327,16.8089,0.0
2024-06-30,1354.5,8982969.0,308044.5835,171.673,22.5736,0.0
2024-07-31,1140.7,13100110.0,259421.5256,144.5754,19.0104,0.0
2024-08-31,1242.15,10096490.0,282493.5987,157.4335,20.7012,0.0
2024-09-30,1145.2,4155241.0,260444.9295,145.1458,19.0854,0.0
2024-10-31,1048.35,3329977.0,238419.0027,132.8707,17.4714,0.0
2024-11-30,1242.15,5542689.0,282493.5987,157.4335,20.7012,0.0
2024-12-31,1350.6,14136117.0,307157.6335,171.1787,22.5086,0.0
2025-01-31,1075.8,8712460.0,244661.7667,136.3498,17.9289,0.0
2025-02-28,798.65,14433455.0,181631.4556,101.2231,13.31,0.0
2025-03-31,1058.55,30526138.0,240738.7183,76.1547,14.2774,0.0
2025-04-30,1076.6,5451613.0,244843.7052,77.4532,14.5209,0.0
2025-05-31,1295.6,7928337.0,294649.3632,93.2086,17.4747,0.0
2025-06-30,1059.0,24250773.0,240841.0587,76.1871,14.2835,0.0
2025-07-31,1020.0,8807854.0,231971.5579,73.3813,13.7575,0.0
2025-08-31,911.2,4708290.0,207227.9251,65.554,12.29,0.0
2025-09-30,849.9,4188547.0,193286.8893,61.1439,11.4632,0.0
2025-10-31,864.0,18447243.0,196493.5549,62.1583,11.6534,0.0
2025-11-30,1010.25,24029561.0,229754.1827,72.6799,13.626,0.0
2025-12-31,989.3,12849381.0,224989.6689,71.1727,13.3434,0.0
2026-01-31,806.35,5574779.0,183382.6135,58.0108,10.8758,0.0
2026-02-28,820.45,10523095.0,186589.2791,59.0252,11.066,0.0
2026-03-31,793.6,936663.0,180482.9634,57.0935,10.7038,0.0
