SUF IN Equity,price,volume,mc,pe,bm,div
2001-10-31,21.0,103568.0,2232.0,2.8576,0.4021,0.0
2001-11-30,21.68,30232.0,2304.0,2.9498,0.4151,0.0
2001-12-31,21.23,34656.0,2256.0,2.8884,0.4064,0.0
2002-01-31,21.78,79932.0,2314.8,2.9636,0.417,0.0
2002-02-28,21.35,90472.0,2269.2,2.9053,0.4088,0.0
2002-03-31,22.6,131512.0,2402.4,5.2032,0.4957,0.0
2002-04-30,38.54,385676.0,4096.8,8.873,0.8453,0.0
2002-05-31,30.13,890808.0,3202.8,6.9368,0.6608,0.0
2002-06-30,29.2,434812.0,3103.2,6.721,0.6403,0.0
2002-07-31,26.64,527992.0,2832.0,6.1337,0.5843,0.0
2002-08-31,26.51,91252.0,2817.6,6.1025,0.5814,0.0
2002-09-30,26.76,126440.0,2844.0,6.1597,0.5868,0.0
2002-10-31,25.59,197072.0,2720.4,5.892,0.5613,0.0
2002-11-30,24.54,82056.0,2608.8,5.6503,0.5383,0.0
2002-12-31,25.36,252124.0,2695.2,5.8374,0.5561,0.0
2003-01-31,24.39,184720.0,2592.0,5.6139,0.5348,0.0
2003-02-28,24.63,60100.0,2618.4,5.671,0.5403,0.0
2003-03-31,24.06,629696.0,2557.2,4.5755,0.4859,0.0
2003-04-30,24.06,74392.0,2557.2,4.5755,0.4859,0.0
2003-05-31,29.43,357220.0,3128.4,5.5975,0.5945,0.0
2003-06-30,30.99,333296.0,3294.0,5.8938,0.6259,0.0
2003-07-31,32.5,470740.0,3454.8,6.1815,0.6565,0.0
2003-08-31,32.53,423692.0,3457.2,6.1858,0.6569,0.0
2003-09-30,30.98,337900.0,3292.8,5.8917,0.6257,0.0
2003-10-31,39.97,814536.0,4248.0,7.6008,0.8072,0.0
2003-11-30,38.31,522704.0,4071.6,7.2852,0.7737,0.0
2003-12-31,45.08,1064032.0,4791.6,8.5734,0.9105,0.0
2004-01-31,58.13,1731900.0,6178.8,11.0555,1.1741,0.0
2004-02-29,57.56,370880.0,6117.6,10.946,1.1625,0.0
2004-03-31,50.13,191628.0,5328.0,6.4157,0.9056,0.0
2004-04-30,49.71,87920.0,5283.6,6.3622,0.898,0.0
2004-05-31,44.84,137264.0,4766.4,5.7394,0.8101,0.0
2004-06-30,44.51,114136.0,4730.4,5.6961,0.804,0.0
2004-07-31,48.07,152256.0,5109.6,6.1527,0.8685,0.0
2004-08-31,49.99,162080.0,5313.6,6.3983,0.9031,0.0
2004-09-30,55.83,332584.0,5934.0,7.1454,1.0086,0.0
2004-10-31,51.29,129228.0,5451.6,6.5645,0.9266,0.0
2004-11-30,55.1,599296.0,5856.0,7.0514,0.9953,0.0
2004-12-31,59.09,1070328.0,6280.8,7.563,1.0675,0.0
2005-01-31,63.42,790564.0,6740.4,8.1164,1.1457,0.0
2005-02-28,61.02,326132.0,6486.0,7.81,1.1024,0.0
2005-03-31,63.54,608368.0,6753.6,7.9425,0.8708,0.0
2005-04-30,63.55,161108.0,6754.8,7.9439,0.871,0.0
2005-05-31,69.55,420896.0,7392.0,8.6933,0.9531,0.0
2005-06-30,68.1,1295452.0,7238.4,8.5126,0.9333,0.0
2005-07-31,74.48,979492.0,7916.4,9.31,1.0207,0.0
2005-08-31,76.72,1088520.0,8154.0,9.5894,1.0514,0.0
2005-09-30,88.34,1431768.0,9390.0,11.043,1.2107,0.0
2005-10-31,82.02,468824.0,8718.0,10.2527,1.1241,0.0
2005-11-30,86.48,295448.0,9192.0,10.8102,1.1852,0.0
2005-12-31,90.38,1357812.0,9606.0,11.297,1.2386,0.0
2006-01-31,91.46,879292.0,9721.2,11.4325,1.2535,0.0
2006-02-28,90.94,1193796.0,9666.0,11.3676,1.2463,0.0
2006-03-31,87.61,309108.0,9312.0,4.9154,1.1359,0.0
2006-04-30,89.38,2725424.0,9682.8,5.0148,1.1589,0.0
2006-05-31,83.93,2764576.0,8920.8,4.7089,1.0882,0.0
2006-06-30,79.33,1679400.0,8432.4,4.4511,1.0286,0.0
2006-07-31,75.44,410396.0,8018.4,4.2325,0.9781,0.0
2006-08-31,77.51,326880.0,8238.0,4.3485,1.0049,0.0
2006-09-30,79.92,310332.0,8494.8,4.484,1.0362,0.0
2006-10-31,97.09,2707152.0,10320.0,5.4475,1.2589,0.0
2006-11-30,90.5,739604.0,9619.2,5.0775,1.1734,0.0
2006-12-31,92.86,1027180.0,11422.8796,5.2099,1.204,0.0
2007-01-31,96.97,879224.0,11928.4028,5.4405,1.2573,0.0
2007-02-28,93.31,1403256.0,11478.4316,5.2353,1.2099,0.0
2007-03-31,89.33,596428.0,10988.1852,7.0792,1.0573,2.125
2007-04-30,90.09,1772904.0,11082.6236,7.1401,1.0664,2.125
