PVRINOX IN Equity,price,volume,mc,pe,bm,div
2006-01-31,275.68,37956163.0,6422.8299,102.6633,9.0107,0.0
2006-02-28,274.4,4944164.0,6393.0893,102.1879,8.969,0.0
2006-03-31,302.53,1517789.0,7048.5268,122.3029,4.0819,0.0
2006-04-30,314.37,1553117.0,7278.4446,127.0862,4.2416,0.0
2006-05-31,262.32,594405.0,6111.6973,106.0474,3.5394,0.9819
2006-06-30,214.9,514370.0,5006.7189,86.8743,2.8995,0.9819
2006-07-31,230.51,826735.0,5370.4695,93.186,3.1101,0.9819
2006-08-31,231.25,979819.0,5387.6276,93.4837,3.1201,0.9819
2006-09-30,250.93,4255037.0,5846.3194,101.4427,3.3857,0.9819
2006-10-31,236.25,585494.0,5504.3023,95.5082,3.1876,0.9819
2006-11-30,244.55,1416654.0,5697.6163,98.8625,3.2996,0.9819
2006-12-31,224.86,660005.0,5238.9245,90.9035,3.034,0.9819
2007-01-31,233.65,793299.0,5443.6772,94.4562,3.1525,0.9819
2007-02-28,178.37,559261.0,4162.5823,72.1075,2.4066,0.9819
2007-03-31,167.96,1046372.0,3919.6791,42.5951,2.1869,0.9819
2007-04-30,198.4,431703.0,4649.9586,50.3147,2.5832,0.9819
2007-05-31,206.94,3278761.0,4850.1796,52.4812,2.6944,0.9819
2007-06-30,204.93,2304274.0,4803.0011,51.9707,2.6682,0.9819
2007-07-31,201.94,2746834.0,4732.8087,51.2112,2.6292,0.9819
2007-08-31,215.58,1142033.0,5052.7019,54.6726,2.8069,0.9819
2007-09-30,202.67,1278156.0,4750.0896,51.398,2.6388,0.9819
2007-10-31,183.77,1367320.0,4307.0701,46.6043,2.3927,0.9819
2007-11-30,270.03,9835294.0,6328.85,68.4808,3.5159,0.9819
2007-12-31,337.54,4750299.0,7911.0625,85.601,4.3948,0.9819
2008-01-31,264.93,961571.0,6209.1772,67.1859,3.4494,0.9819
2008-02-29,273.27,535239.0,6404.7962,69.3026,3.558,0.9819
2008-03-31,185.93,1331886.0,4357.7009,20.1513,2.0656,0.9819
2008-04-30,194.23,519016.0,4552.1692,21.0506,2.1578,0.9819
2008-05-31,185.14,724668.0,4339.2897,20.0662,2.0569,0.9819
2008-06-30,158.34,3690277.0,3711.0075,17.1608,1.7591,0.9819
