PVRINOX IN Equity,price,volume,mc,pe,bm,div
2008-07-31,173.36,1642467.0,4063.1217,18.7891,1.926,0.9819
2008-08-31,183.28,1415063.0,4295.5631,19.864,2.0361,0.9819
2008-09-30,145.08,756317.0,3400.3185,15.7241,1.6118,0.9819
2008-10-31,90.83,1632251.0,2128.795,9.8442,1.0091,0.9819
2008-11-30,66.04,1168845.0,1547.6915,7.157,0.7336,0.9819
2008-12-31,97.6,2966155.0,2287.5916,10.5785,1.0843,0.9819
2009-01-31,88.72,899675.0,2079.3149,9.6154,0.9856,0.9819
2009-02-28,77.52,299195.0,1816.9553,8.4021,0.8613,0.9819
2009-03-31,72.32,1102390.0,1694.9811,19.452,0.6308,0.9819
2009-04-30,78.51,1127648.0,1839.9693,21.1159,0.6848,0.9819
2009-05-31,116.26,3740951.0,2724.8576,31.2711,1.0141,0.9819
2009-06-30,109.54,4600801.0,2567.2117,29.4619,0.9554,0.0
2009-07-31,100.8,2666633.0,2362.3871,27.1113,0.8792,0.0
2009-08-31,122.99,9124705.0,2882.5035,33.0803,1.0728,0.0
2009-09-30,142.18,9992423.0,3332.4272,38.2437,1.2402,0.9819
2009-10-31,120.34,4962896.0,2820.3657,32.3672,1.0497,0.9819
2009-11-30,143.02,5351681.0,3351.9891,38.4682,1.2475,0.9819
2009-12-31,182.05,5695984.0,4266.7956,48.9667,1.588,0.9819
2010-01-31,174.44,518739.0,4088.4371,46.9198,1.5216,0.9819
2010-02-28,168.89,236025.0,3958.408,45.4276,1.4732,0.9819
2010-03-31,173.07,1149382.0,4056.2175,309.2105,1.4614,0.9819
2010-04-30,178.12,1037483.0,4184.4084,318.2456,1.5041,0.9819
2010-05-31,145.33,696399.0,3792.3964,259.6491,1.2271,0.9819
2010-06-30,155.69,2494029.0,4063.9379,278.1579,1.3146,0.9819
2010-07-31,150.97,2451174.0,3940.9047,269.7368,1.2748,0.9819
2010-08-31,163.05,5270518.0,4256.1771,291.3158,1.3768,0.9819
2010-09-30,170.81,4584528.0,4464.1658,305.1754,1.4423,0.9819
2010-10-31,164.82,2327646.0,4552.6963,294.4737,1.3917,0.9819
2010-11-30,146.06,1955198.0,4034.6355,260.9649,1.2334,0.9819
2010-12-31,144.44,875688.0,3993.2355,258.0702,1.2197,0.9819
2011-01-31,130.94,545664.0,3620.1058,233.9474,1.1057,0.9819
2011-02-28,107.33,704558.0,2967.2108,191.7544,0.9063,0.9819
2011-03-31,104.38,4159650.0,2885.9813,35.1987,0.8454,0.9819
2011-04-30,102.22,2423943.0,2826.2526,34.4702,0.8279,0.9819
2011-05-31,108.11,10386990.0,2989.149,36.457,0.8756,0.9819
2011-06-30,100.5,4303421.0,2778.7412,33.8907,0.814,0.9819
2011-07-31,123.72,5397333.0,3420.8245,41.7219,1.0021,0.9819
2011-08-31,109.98,1293505.0,3040.7329,37.0861,0.8908,0.9819
2011-09-30,119.89,1580847.0,3148.6904,40.4305,0.9711,0.9819
2011-10-31,131.33,1812808.0,3449.1182,44.2881,1.0637,4.9097
2011-11-30,133.49,2319523.0,3509.4814,45.0166,1.0812,4.9097
2011-12-31,127.26,704862.0,3359.5949,42.9139,1.0307,4.9097
2012-01-31,136.15,1167738.0,3594.1962,45.9106,1.1027,4.9097
2012-02-29,139.78,1535726.0,3690.1106,47.1358,1.1321,4.9097
2012-03-31,144.79,989577.0,3822.3169,15.5211,1.3494,4.9097
2012-04-30,145.82,268553.0,3849.5358,15.6316,1.359,4.9097
2012-05-31,149.79,662811.0,3954.5231,16.0579,1.396,4.9097
2012-06-30,152.05,251998.0,4014.1456,16.3,1.4171,4.9097
2012-07-31,162.95,1171027.0,4301.8887,17.4684,1.5187,4.9097
2012-08-31,183.33,2635443.0,4848.767,19.6526,1.7086,4.9097
2012-09-30,189.51,863811.0,5014.97,20.3158,1.7662,5.8916
2012-10-31,229.18,4972124.0,6065.4823,24.5684,2.1359,1.9639
2012-11-30,293.3,11024139.0,8624.2156,31.4421,2.7335,1.9639
2012-12-31,275.29,14975006.0,8112.2918,29.5105,2.5656,1.9639
2013-01-31,259.43,7352394.0,7655.1951,27.8105,2.4178,1.9639
2013-02-28,260.7,2425177.0,7695.1991,27.9474,2.4297,1.9639
2013-03-31,299.79,1967561.0,12095.0703,20.4214,1.8818,1.9639
2013-04-30,333.42,1801663.0,13451.9525,22.7124,2.0929,1.9639
2013-05-31,333.76,2073003.0,13465.8185,22.7358,2.095,1.9639
2013-06-30,317.02,795505.0,12790.3474,21.5953,1.9899,1.9639
2013-07-31,345.25,1133927.0,13958.6356,23.5184,2.1671,1.9639
2013-08-31,384.38,1366464.0,15540.6937,26.1839,2.4128,1.9639
2013-09-30,483.16,1336140.0,19534.5468,32.913,3.0328,0.9819
2013-10-31,566.33,2545828.0,22897.1647,38.5786,3.5549,0.9819
2013-11-30,615.92,2175995.0,24902.0313,41.9565,3.8662,0.9819
2013-12-31,636.98,1957422.0,25863.4109,43.3913,3.9984,0.9819
2014-01-31,525.97,2425041.0,21379.3648,35.8294,3.3016,0.9819
2014-02-28,523.32,3179055.0,21278.5813,35.6488,3.2849,0.9819
2014-03-31,460.38,1399195.0,18753.349,34.1727,4.8266,0.9819
2014-04-30,484.98,2266299.0,20302.3622,35.9985,5.0845,0.9819
2014-05-31,571.68,3840300.0,23984.1663,42.4344,5.9935,0.9819
2014-06-30,656.92,3685440.0,27559.9575,48.7609,6.8871,0.9819
2014-07-31,606.25,2093057.0,25434.2568,45.0,6.3559,0.9819
2014-08-31,668.6,1629862.0,28055.8624,49.6283,7.0096,0.9819
2014-09-30,686.67,4314914.0,28825.5577,50.9694,7.199,2.4548
2014-10-31,690.4,2770926.0,29003.0762,51.2464,7.2381,2.4548
2014-11-30,688.19,862220.0,29013.0095,51.0824,7.2149,2.4548
2014-12-31,688.19,1374562.0,29013.0095,51.0824,7.2149,2.4548
2015-01-31,667.91,1677005.0,28158.1637,49.5773,7.0024,2.4548
2015-02-28,650.44,1975276.0,27508.8092,48.2799,6.8191,2.4548
2015-03-31,650.93,1114742.0,27529.5003,214.5307,6.7278,2.4548
2015-04-30,603.99,1071741.0,25544.4194,199.0615,6.2427,2.4548
2015-05-31,653.72,1283387.0,27661.0384,215.4531,6.7567,2.4548
2015-06-30,623.53,2314297.0,26383.4162,205.5016,6.4446,2.4548
2015-07-31,828.41,21281716.0,35052.5498,273.0259,8.5622,2.4548
2015-08-31,817.76,4953787.0,38765.7465,269.5146,8.4521,2.4548
2015-09-30,801.56,3013629.0,38011.1641,264.1748,8.2847,0.9819
2015-10-31,813.49,2520543.0,38576.9311,268.1068,8.408,0.9819
2015-11-30,832.54,2985576.0,39480.2958,274.3851,8.6049,0.9819
2015-12-31,787.27,2572071.0,37333.6406,259.466,8.137,0.9819
2016-01-31,740.14,2272809.0,35098.5115,243.932,7.6498,0.9819
2016-02-29,687.9,2773351.0,32686.2171,226.7152,7.1099,0.9819
2016-03-31,721.18,2275861.0,34274.239,33.5719,3.8911,0.9819
2016-04-30,827.28,1868637.0,39333.7463,38.5109,4.4636,0.9819
2016-05-31,867.59,1870399.0,41250.2452,40.3873,4.681,0.9819
2016-06-30,992.44,4150474.0,47220.8537,46.1994,5.3547,0.9819
2016-07-31,1120.64,6986559.0,53320.2724,52.1669,6.0463,0.9819
2016-08-31,1166.34,3736801.0,55495.135,54.2947,6.293,0.9819
2016-09-30,1163.79,4720287.0,55373.6547,54.1759,6.2792,1.9639
2016-10-31,1206.8,1855701.0,57420.0348,56.178,6.5112,1.9639
2016-11-30,1128.49,3274184.0,53714.3248,52.5326,6.0887,1.9639
2016-12-31,1128.0,2884492.0,53690.9555,52.5097,6.0861,1.9639
2017-01-31,1207.59,6467689.0,57479.1212,56.2145,6.5155,1.9639
2017-02-28,1272.15,1822848.0,60552.1835,59.22,6.8638,1.9639
2017-03-31,1405.4,4985160.0,66894.6073,69.8171,6.932,1.9639
2017-04-30,1583.96,5263607.0,75394.0199,78.6878,7.8128,1.9639
2017-05-31,1428.67,4459657.0,68002.3119,70.9732,7.0468,1.9639
2017-06-30,1383.11,5037295.0,65833.6413,68.7098,6.8221,1.9639
2017-07-31,1316.34,5053557.0,62655.4171,65.3927,6.4927,1.9639
2017-08-31,1297.58,5134805.0,61762.7101,64.461,6.4002,1.9639
2017-09-30,1183.14,4629124.0,56315.3274,58.7756,5.8357,1.9639
2017-10-31,1362.09,6183240.0,64833.4355,67.6659,6.7184,1.9639
2017-11-30,1292.18,4343382.0,61505.6462,64.1927,6.3736,1.9639
2017-12-31,1385.56,4298225.0,65950.486,68.8317,6.8342,1.9639
2018-01-31,1434.22,6001647.0,68266.3831,71.2488,7.0742,1.9639
2018-02-28,1296.6,4516116.0,61715.9685,64.4122,6.3954,1.9639
2018-03-31,1193.3,4589780.0,56799.0691,45.5491,5.2819,1.9639
2018-04-30,1415.66,6212806.0,67383.0223,54.0367,6.2661,1.9639
2018-05-31,1299.05,5362192.0,61832.815,49.5858,5.75,1.9639
2018-06-30,1349.48,8526721.0,64232.8415,51.5105,5.9731,1.9639
2018-07-31,1083.47,19503005.0,51571.358,41.3568,4.7957,1.9639
2018-08-31,1347.95,14770204.0,64160.3967,51.4524,5.9664,1.9639
2018-09-30,1180.04,8342161.0,56168.0981,45.0431,5.2232,1.9639
2018-10-31,1337.74,7276296.0,63674.3154,51.0626,5.9212,1.9639
2018-11-30,1410.06,7005838.0,67116.6124,53.8231,6.2413,1.9639
2018-12-31,1575.57,8907838.0,74994.4014,60.1406,6.9739,1.9639
2019-01-31,1576.35,9736759.0,75031.7922,60.1705,6.9774,1.9639
2019-02-28,1475.46,7558088.0,70229.4023,56.3193,6.5308,1.9639
2019-03-31,1616.96,10425635.0,76964.4329,41.4056,5.1457,1.9639
2019-04-30,1737.49,8644491.0,82701.5945,44.4921,5.5293,1.9639
2019-05-31,1750.45,9741034.0,83318.5439,44.824,5.5706,1.9639
2019-06-30,1644.5,6379969.0,78275.4503,42.1109,5.2334,1.9639
2019-07-31,1489.89,11669249.0,70965.0132,38.1519,4.7414,1.9639
2019-08-31,1500.74,14433480.0,71491.7624,38.4297,4.7759,1.9639
2019-09-30,1809.91,9147671.0,86219.5286,46.3465,5.7598,1.9639
2019-10-31,1744.9,9463095.0,85975.2796,44.6819,5.5529,1.9639
2019-11-30,1778.78,7628438.0,92913.3657,45.5494,5.6607,1.9639
2019-12-31,1864.11,9008274.0,97449.3237,47.7345,5.9323,1.9639
2020-01-31,1921.5,10397438.0,100449.6993,49.2042,6.1149,1.9639
2020-02-29,1872.95,6827793.0,97943.3592,47.9608,5.9604,1.9639
2020-03-31,1162.42,35847758.0,60787.1179,215.2364,4.1066,5.8916
2020-04-30,994.55,35365322.0,52008.9815,184.1545,3.5136,5.8916
2020-05-31,885.61,59401126.0,46311.7939,163.9818,3.1287,5.8916
2020-06-30,983.61,97917482.0,51436.4385,182.1273,3.4749,5.8916
2020-07-31,1084.55,39524856.0,55690.7152,200.8183,3.8315,3.9277
2020-08-31,1311.55,51317146.0,72362.1704,242.8502,4.6335,3.9277
2020-09-30,1213.2,70353306.0,66935.8836,224.6395,4.286,3.9277
2020-10-31,1068.5,47320508.0,58952.3505,197.8464,3.7748,3.9277
2020-11-30,1306.1,49058613.0,72061.4553,241.8411,4.6142,3.9277
2020-12-31,1320.2,43054370.0,72839.4144,244.4519,4.664,3.9277
2021-01-31,1418.55,41407569.0,78265.6804,262.6627,5.0115,3.9277
2021-02-28,1363.15,35770036.0,82782.1516,252.4046,4.8158,3.9277
2021-03-31,1226.15,29689040.0,74503.5347,230.8702,4.0637,3.9277
2021-04-30,1136.4,39489761.0,69050.13,230.8702,3.7663,3.9277
2021-05-31,1310.1,23714270.0,79604.5189,230.8702,4.3419,0.0
2021-06-30,1334.65,17431068.0,81096.2302,230.8702,4.4233,0.0
2021-07-31,1400.2,15798535.0,85079.1932,230.8702,4.6405,0.0
2021-08-31,1327.95,19590988.0,80698.422,230.8702,4.4011,0.0
2021-09-30,1599.35,35430131.0,97191.1752,230.8702,5.3006,0.0
2021-10-31,1677.65,22878587.0,102066.8369,230.8702,5.5601,0.0
2021-11-30,1371.6,20017274.0,83553.465,230.8702,4.5458,0.0
2021-12-31,1298.3,35194233.0,79137.3403,230.8702,4.3028,0.0
2022-01-31,1588.35,35166669.0,96817.2183,230.8702,5.2641,0.0
2022-02-28,1635.75,15042999.0,99744.9058,230.8702,5.4212,0.0
2022-03-31,1922.3,34093571.0,117253.7392,230.8702,8.5564,0.0
2022-04-30,1828.95,15683353.0,111568.8525,230.8702,8.1408,0.0
2022-05-31,1840.05,17496189.0,112275.411,230.8702,8.1903,0.0
2022-06-30,1860.85,10744803.0,113638.639,230.8702,8.2828,0.0
2022-07-31,2144.25,14753357.0,130949.637,230.8702,9.5443,0.0
2022-08-31,1830.0,14014039.0,111784.8821,230.8702,8.1455,0.0
2022-09-30,1788.5,35939238.0,109328.7425,230.8702,7.9608,0.0
2022-10-31,1775.0,11925697.0,108517.0834,230.8702,7.9007,0.0
2022-11-30,1849.4,12134271.0,113133.1335,230.8702,8.2319,0.0
2022-12-31,1720.15,11171573.0,105359.3337,230.8702,7.6566,0.0
2023-01-31,1697.6,18506417.0,103978.1443,230.8702,7.5562,0.0
2023-02-28,1518.2,8303992.0,148711.9622,230.8702,6.7577,0.0
2023-03-31,1534.0,12079938.0,150259.6167,230.8702,2.0502,0.0
2023-04-30,1463.15,9050774.0,143348.9213,230.8702,1.9555,0.0
2023-05-31,1415.35,14542195.0,138665.8209,230.8702,1.8916,0.0
2023-06-30,1373.45,11673109.0,134560.76,230.8702,1.8356,0.0
2023-07-31,1557.1,20716788.0,152559.6488,230.8702,2.081,0.0
2023-08-31,1790.95,19722274.0,175471.5195,230.8702,2.3936,0.0
2023-09-30,1716.95,13207559.0,168470.1902,230.8702,2.2947,0.0
2023-10-31,1598.25,11486082.0,156837.7844,230.8702,2.136,0.0
2023-11-30,1717.6,6433129.0,168553.148,230.8702,2.2956,0.0
2023-12-31,1659.05,13722082.0,162807.4641,230.8702,2.2173,0.0
2024-01-31,1455.0,20193896.0,142783.4364,230.8702,1.9446,0.0
2024-02-29,1371.05,12490221.0,134547.2322,230.8702,1.8324,0.0
2024-03-31,1326.25,10523119.0,130150.809,230.8702,1.7772,0.0
2024-04-30,1361.15,13824493.0,133575.7012,230.8702,1.8239,0.0
2024-05-31,1309.05,13310778.0,128462.8965,230.8702,1.7541,0.0
2024-06-30,1427.35,13389425.0,140073.9857,230.8702,1.9126,0.0
2024-07-31,1500.25,15744050.0,147228.0779,230.8702,2.0103,0.0
2024-08-31,1514.55,9249577.0,148714.1128,230.8702,2.0295,0.0
2024-09-30,1663.65,11655886.0,163359.2769,230.8702,2.2293,0.0
2024-10-31,1570.2,11647047.0,154183.1134,230.8702,2.1041,0.0
2024-11-30,1540.05,10142415.0,151232.8515,230.8702,2.0637,0.0
2024-12-31,1304.9,16454139.0,128141.1304,230.8702,1.7486,0.0
2025-01-31,1090.5,15976532.0,107087.0586,230.8702,1.4613,0.0
2025-02-28,903.95,15064075.0,88767.8556,230.8702,1.2113,0.0
2025-03-31,912.55,9797969.0,89612.3753,230.8702,1.2708,0.0
2025-04-30,942.4,8442329.0,92543.6442,230.8702,1.3124,0.0
2025-05-31,985.25,7011541.0,96751.5126,230.8702,1.3721,0.0
2025-06-30,970.1,7541418.0,95263.7831,230.8702,1.351,0.0
2025-07-31,999.8,8711074.0,98180.322,230.8702,1.3923,0.0
2025-08-31,1119.9,11607166.0,109974.1374,230.8702,1.5596,0.0
2025-09-30,1075.0,7344569.0,105564.9592,230.8702,1.4971,0.0
2025-10-31,1206.6,8934220.0,118488.0741,230.8702,1.6803,0.0
2025-11-30,1067.9,4995069.0,104867.7394,230.8702,1.4872,0.0
2025-12-31,1015.2,10510879.0,99692.6014,230.8702,1.4138,0.0
2026-01-31,974.8,9262108.0,95725.323,230.8702,1.3575,0.0
2026-02-28,1022.2,8033477.0,100380.0012,230.8702,1.4235,0.0
2026-03-31,1029.5,972015.0,101096.8609,230.8702,1.4337,0.0
