MMFS IN Equity,price,volume,mc,pe,bm,div
2006-03-31,28.73,477016326.0,20825.0219,16.4662,2.9447,0.0
2006-04-30,27.5,31970113.0,20184.3182,15.7624,2.8188,0.0
2006-05-31,25.38,52441311.0,18399.8077,14.5486,2.6017,0.0
2006-06-30,22.01,7084230.0,15957.3934,12.6174,2.2564,0.2373
2006-07-31,24.41,3500015.0,17690.3036,13.9876,2.5014,0.2373
2006-08-31,26.58,12231439.0,19264.1128,15.232,2.724,0.2373
2006-09-30,27.88,4425676.0,20210.1183,15.98,2.8577,0.2373
2006-10-31,28.96,5589263.0,20988.4229,16.5954,2.9678,0.2373
2006-11-30,29.07,5523563.0,21070.1234,16.66,2.9793,0.2373
2006-12-31,33.26,14329544.0,24110.2412,19.0638,3.4092,0.2373
2007-01-31,28.68,15887734.0,20786.3217,16.4356,2.9392,0.2373
2007-02-28,26.97,13743566.0,19547.9145,15.4564,2.7641,0.2373
2007-03-31,27.76,5189418.0,20124.1178,14.4938,4.6393,0.4746
2007-04-30,27.89,11696461.0,20218.7184,14.5619,4.6611,0.4746
2007-05-31,28.05,20060540.0,20330.519,14.6425,4.6869,0.4746
2007-06-30,29.32,19166924.0,21255.0244,15.3083,4.9,0.4746
2007-07-31,28.48,19357718.0,20644.4209,14.8685,4.7593,0.4746
2007-08-31,27.28,9800654.0,19775.8158,14.243,4.559,0.4746
2007-09-30,28.85,13773892.0,20915.4431,15.0636,4.8217,0.4746
2007-10-31,27.68,12418651.0,20064.0332,14.4504,4.6254,0.4746
2007-11-30,30.73,56569329.0,22274.2589,16.0423,5.135,0.4746
2007-12-31,38.33,19691509.0,27786.9229,20.0126,6.4058,0.4746
2008-01-31,36.18,17711368.0,26221.7047,18.8853,6.045,0.4746
2008-02-29,37.66,11313245.0,27296.7172,19.6595,6.2928,0.4746
2008-03-31,33.25,26684443.0,27156.3644,13.1635,4.7217,0.4746
2008-04-30,33.29,6570315.0,27190.4209,13.1799,4.7276,0.4746
2008-05-31,33.16,8304532.0,27083.8298,13.1282,4.7091,0.2373
2008-06-30,32.27,5102175.0,26352.2272,12.7736,4.5819,0.5339
2008-07-31,29.63,2430051.0,24196.1799,11.7285,4.207,0.5339
2008-08-31,28.71,1406149.0,23450.0422,11.3668,4.0773,0.5339
2008-09-30,30.82,1600095.0,25174.8801,12.2029,4.3772,0.5339
2008-10-31,21.9,3928609.0,17883.0797,8.6684,3.1094,0.5339
2008-11-30,21.36,471461.0,17442.1802,8.4547,3.0327,0.5339
2008-12-31,30.08,18553713.0,24564.4037,11.907,4.2711,0.5339
2009-01-31,23.21,3097111.0,18953.8358,9.1874,3.2955,0.5339
2009-02-28,23.38,896212.0,19094.3422,9.2555,3.32,0.5339
2009-03-31,24.8,1848962.0,20252.3092,9.083,1.3662,0.5339
2009-04-30,24.15,3077397.0,19724.1987,8.8462,1.3306,0.5339
2009-05-31,31.27,21893732.0,25538.2588,11.4537,1.7228,0.5339
2009-06-30,32.14,76863976.0,26245.6361,11.771,1.7705,0.5339
2009-07-31,28.81,6047028.0,23532.4081,10.5541,1.5875,0.6526
2009-08-31,25.3,5486352.0,20659.2934,9.2655,1.3937,0.6526
2009-09-30,27.34,24887982.0,22325.9906,10.013,1.5061,0.6526
2009-10-31,29.96,54502248.0,24467.5027,10.9735,1.6506,0.6526
2009-11-30,34.98,94584902.0,28566.4151,12.8118,1.9271,0.6526
2009-12-31,40.65,19475413.0,33198.2829,14.8892,2.2396,0.6526
2010-01-31,37.35,18378857.0,30504.4351,13.681,2.0578,0.6526
2010-02-28,40.03,5028519.0,32689.5527,14.661,2.2052,0.6526
2010-03-31,44.23,26870239.0,36124.6932,10.035,2.0587,0.6526
2010-04-30,53.18,18840103.0,43435.8737,12.0659,2.4753,0.6526
2010-05-31,49.58,11628241.0,40494.9283,11.249,2.3077,0.6526
2010-06-30,53.29,28776134.0,43523.0846,12.0902,2.4803,0.8898
2010-07-31,67.06,31379719.0,54768.4458,15.214,3.1211,0.8898
2010-08-31,69.73,48324065.0,56953.5633,15.821,3.2456,0.8898
2010-09-30,76.7,86043430.0,62641.6521,17.4011,3.5698,0.8898
2010-10-31,87.64,81575384.0,71575.9244,19.8829,4.0789,0.8898
2010-11-30,93.52,56917920.0,76377.369,21.2167,4.3526,0.8898
2010-12-31,87.84,40758319.0,71740.6561,19.9287,4.0883,0.8898
2011-01-31,82.62,36573115.0,67477.012,18.7443,3.8453,0.8898
2011-02-28,84.15,22747161.0,73763.9155,19.0915,3.9166,0.8898
2011-03-31,92.09,18569845.0,80726.8964,15.2435,3.172,0.8898
2011-04-30,86.83,32177217.0,76114.3766,14.3725,2.9908,0.8898
2011-05-31,76.04,32963842.0,66655.3309,12.5864,2.6191,0.8898
2011-06-30,74.39,21770390.0,65204.4933,12.3125,2.5621,0.8898
2011-07-31,75.58,17004804.0,66249.7204,12.5098,2.6032,1.1865
2011-08-31,73.26,15009500.0,64216.4676,12.1259,2.5233,1.1865
2011-09-30,78.19,12205605.0,68542.98,12.9429,2.6933,1.1865
2011-10-31,79.97,12391098.0,70097.8203,13.2364,2.7544,1.1865
2011-11-30,81.21,31170930.0,71189.8487,13.4427,2.7973,1.1865
2011-12-31,72.4,14981837.0,63467.6482,11.9845,2.4938,1.1865
2012-01-31,83.49,24307836.0,73186.7006,13.8197,2.8757,1.1865
2012-02-29,90.09,20019164.0,78974.4509,14.9126,3.1031,1.1865
2012-03-31,79.54,28908410.0,69723.4106,10.6846,2.3003,1.1865
2012-04-30,82.15,33215186.0,72011.47,11.0352,2.3758,1.1865
2012-05-31,75.35,25315986.0,66046.9151,10.1212,2.179,1.1865
2012-06-30,76.55,38962305.0,67102.5426,10.283,2.2138,1.1865
2012-07-31,84.2,12470115.0,73805.5166,11.3101,2.435,1.661
2012-08-31,87.51,12726179.0,76707.192,11.7548,2.5307,1.661
2012-09-30,106.47,15639247.0,93332.0237,14.3024,3.0792,1.661
2012-10-31,102.82,9908934.0,90133.9407,13.8123,2.9737,1.661
2012-11-30,118.67,42212442.0,113775.749,15.9408,3.4319,1.661
2012-12-31,130.33,64261139.0,124957.6687,17.5075,3.7692,1.661
2013-01-31,123.0,45253715.0,117927.7263,16.5225,3.5571,1.661
2013-02-28,110.7,35937967.0,106131.529,14.8698,3.2013,1.661
2013-03-31,115.68,48395407.0,110909.1541,11.1876,2.4218,1.661
2013-04-30,135.11,51012249.0,129536.2043,13.0666,2.8286,1.661
2013-05-31,149.61,61641060.0,143442.5059,14.4693,3.1322,1.661
2013-06-30,154.89,65363674.0,148504.5294,14.9799,3.2428,1.661
2013-07-31,138.61,61288391.0,132891.9314,13.405,2.9019,2.1356
2013-08-31,149.91,115660435.0,143726.9038,14.498,3.1384,2.1356
2013-09-30,152.85,49823068.0,146542.2903,14.782,3.1999,2.1356
2013-10-31,167.56,36266121.0,160647.6611,16.2048,3.5079,2.1356
2013-11-30,175.45,20835546.0,168212.235,16.9679,3.6731,2.1356
2013-12-31,190.22,30128211.0,182374.4824,18.3964,3.9824,2.1356
2014-01-31,144.01,92250596.0,138067.6925,13.9271,3.0149,2.1356
2014-02-28,147.24,41058943.0,141167.4615,14.2398,3.0826,2.1356
2014-03-31,149.49,75246471.0,143328.7683,14.8673,2.7075,2.1356
2014-04-30,145.96,91252892.0,139944.6168,14.5162,2.6436,2.1356
2014-05-31,179.66,78699147.0,172250.4662,17.8673,3.2539,2.1356
2014-06-30,167.32,51703326.0,160420.1552,16.6401,3.0304,2.1356
2014-07-31,139.56,67407312.0,133801.9553,13.8791,2.5276,2.2543
2014-08-31,165.69,57732604.0,158856.0515,16.4779,3.0009,2.2543
2014-09-30,162.31,60188104.0,155614.0913,16.1416,2.9396,2.2543
2014-10-31,174.26,36627026.0,167074.7051,17.3304,3.1561,2.2543
2014-11-30,184.11,51007686.0,176516.2034,18.3097,3.3345,2.2543
2014-12-31,195.53,48886607.0,187464.9287,19.4454,3.5413,2.2543
2015-01-31,151.42,106050510.0,145177.2544,15.059,2.7425,2.2543
2015-02-28,147.09,69028036.0,141025.2854,14.6283,2.664,2.2543
2015-03-31,150.62,107312139.0,144409.4217,15.6825,2.43,2.2543
2015-04-30,158.78,67236088.0,152229.9398,16.5318,2.5616,2.2543
2015-05-31,160.35,33040669.0,153737.167,16.6955,2.587,2.2543
2015-06-30,166.28,48494552.0,159424.8165,17.3132,2.6827,2.2543
2015-07-31,152.99,59955128.0,146684.4815,15.9296,2.4683,2.3729
2015-08-31,149.88,36919019.0,143698.4655,15.6053,2.4181,2.3729
2015-09-30,141.99,46647116.0,136133.8916,14.7838,2.2908,2.3729
2015-10-31,134.72,52994304.0,129166.521,14.0272,2.1735,2.3729
2015-11-30,138.13,27075527.0,132436.9194,14.3823,2.2286,2.3729
2015-12-31,143.65,34265955.0,137726.4335,14.9568,2.3176,2.3729
2016-01-31,123.3,45627947.0,118217.7956,12.8382,1.9893,2.3729
2016-02-29,122.29,39793375.0,117250.8952,12.7332,1.973,2.3729
2016-03-31,144.78,37439547.0,138807.0869,17.8269,2.1456,2.3729
2016-04-30,177.97,102007158.0,170629.4861,21.9138,2.6375,2.3729
2016-05-31,190.75,68931300.0,182886.3708,23.4879,2.8269,2.3729
2016-06-30,198.23,53335369.0,190052.8092,24.4083,2.9377,2.3729
2016-07-31,196.21,107055371.0,188119.0084,24.16,2.9078,2.3729
2016-08-31,211.34,64185482.0,202622.5147,26.0226,3.132,2.3729
2016-09-30,216.11,61595247.0,207201.0726,26.6107,3.2028,2.3729
2016-10-31,214.9,80484496.0,206035.1044,26.4609,3.1848,2.3729
2016-11-30,177.17,100494873.0,169861.6534,21.8152,2.6256,2.3729
2016-12-31,160.32,87314088.0,153708.7287,19.7407,2.3759,2.3729
2017-01-31,158.45,68858121.0,151917.1191,19.5106,2.3482,2.3729
2017-02-28,173.02,71914398.0,165880.2987,21.3039,2.5641,2.3729
2017-03-31,186.81,143225521.0,179104.0839,34.7572,2.5733,2.3729
2017-04-30,200.04,105481784.0,191787.5424,37.2185,2.7555,2.3729
2017-05-31,212.91,75047616.0,204129.7419,39.6137,2.9328,2.3729
2017-06-30,204.63,99445515.0,196195.4707,38.074,2.8188,2.3729
2017-07-31,237.89,104196262.0,228074.7464,44.2605,3.2769,1.4238
2017-08-31,253.61,88013107.0,243147.0177,47.1854,3.4934,1.4238
2017-09-30,244.62,55599419.0,234530.2286,45.5132,3.3696,1.4238
2017-10-31,256.07,73486079.0,245507.3922,47.6435,3.5273,1.4238
2017-11-30,260.07,61550519.0,249346.5501,48.3885,3.5825,1.4238
2017-12-31,280.66,64372711.0,292264.5936,52.2185,3.866,1.4238
2018-01-31,274.96,75992964.0,286334.0502,51.1589,3.7876,1.4238
2018-02-28,256.66,53772700.0,267276.0099,47.7539,3.5355,1.4238
2018-03-31,274.81,67120169.0,286179.6177,22.7083,2.9039,1.4238
2018-04-30,313.31,73032778.0,326272.5636,25.8897,3.3107,1.4238
2018-05-31,289.29,52950422.0,301253.0827,23.9044,3.0569,1.4238
2018-06-30,278.61,50328730.0,290133.3135,23.0221,2.944,1.4238
2018-07-31,304.83,63862323.0,317438.5247,25.1887,3.2211,2.3729
2018-08-31,290.18,46122678.0,302179.7302,23.9779,3.0663,2.3729
2018-09-30,237.41,89128697.0,247229.537,19.6176,2.5087,2.3729
2018-10-31,242.63,99126529.0,252665.8686,20.049,2.5638,2.3729
2018-11-30,266.51,54265107.0,277530.9083,22.0221,2.8161,2.3729
2018-12-31,280.98,73477516.0,292604.3733,23.2181,2.9691,2.3729
2019-01-31,239.96,57647099.0,249885.9263,19.8284,2.5356,2.3729
2019-02-28,235.13,52795449.0,244851.1419,19.4289,2.4845,2.3729
2019-03-31,249.87,66808318.0,260202.6012,14.1675,2.309,2.3729
2019-04-30,237.68,64300304.0,247507.5312,13.4763,2.1964,2.3729
2019-05-31,250.14,85071775.0,260480.5954,14.1826,2.3115,2.3729
2019-06-30,230.41,56878446.0,239939.9105,13.0642,2.1292,2.3729
2019-07-31,180.82,128140917.0,188294.7598,10.2523,1.6709,3.856
2019-08-31,189.8,81135171.0,197653.899,10.7619,1.754,3.856
2019-09-30,194.58,70270170.0,202626.9069,11.0326,1.7981,3.856
2019-10-31,209.41,73671058.0,218071.0309,11.8735,1.9351,3.856
2019-11-30,208.73,51578781.0,217360.6012,11.8348,1.9288,3.856
2019-12-31,191.29,78090031.0,199198.3114,10.8459,1.7677,3.856
2020-01-31,219.11,102208998.0,228171.488,12.4235,2.0248,3.856
2020-02-29,203.63,69697271.0,212047.8225,11.5456,1.8817,3.856
2020-03-31,87.32,157805442.0,90935.0021,8.4211,0.7598,3.856
2020-04-30,98.45,255709260.0,102518.0951,9.4937,0.8565,3.856
2020-05-31,82.87,494576385.0,86301.7649,7.992,0.721,3.856
2020-06-30,99.54,630462535.0,103660.9603,9.5995,0.8661,3.856
2020-07-31,126.73,963788090.0,125313.6221,12.2214,1.1026,3.856
2020-08-31,131.06,263174085.0,166425.8802,12.639,1.1403,0.0
2020-09-30,119.78,210412161.0,152093.7332,11.5505,1.0421,0.0
2020-10-31,119.0,199086767.0,151105.3047,11.4755,1.0353,0.0
2020-11-30,166.38,276711851.0,211275.61,16.045,1.4476,0.0
2020-12-31,170.18,242837779.0,216094.1765,16.411,1.4806,0.0
2021-01-31,150.57,226619010.0,191198.2494,14.5203,1.31,0.0
2021-02-28,198.2,284137862.0,251677.4372,19.1133,1.7244,0.0
2021-03-31,193.58,186391290.0,245808.6702,28.4621,1.5581,0.0
2021-04-30,157.48,228267237.0,199970.5116,23.1545,1.2675,0.0
2021-05-31,158.6,243250422.0,201391.3709,23.319,1.2765,0.0
2021-06-30,152.86,201980780.0,194101.7446,22.475,1.2303,0.0
2021-07-31,147.31,170488105.0,187059.2299,21.6595,1.1857,0.7784
2021-08-31,155.82,185464123.0,197870.1167,22.9113,1.2542,0.7784
2021-09-30,180.2,174168208.0,228820.1412,26.495,1.4504,0.7784
2021-10-31,174.65,127642476.0,221777.6206,25.6795,1.4058,0.7784
2021-11-30,151.01,100075337.0,191754.2436,22.2031,1.2155,0.7784
2021-12-31,144.93,96033808.0,184032.1816,21.309,1.1665,0.7784
2022-01-31,157.19,99362149.0,199599.8586,23.1116,1.2652,0.7784
2022-02-28,141.33,186501926.0,179460.7209,20.7797,1.1375,0.7784
2022-03-31,154.85,121004229.0,196634.5868,17.2427,1.1638,0.7784
2022-04-30,178.2,105129634.0,226287.3048,19.8429,1.3393,0.7784
2022-05-31,173.48,103302537.0,220294.9847,19.3174,1.3038,0.7784
2022-06-30,170.66,64268826.0,216711.948,19.0033,1.2826,0.7784
2022-07-31,181.66,129242472.0,230673.4361,20.2275,1.3652,3.5028
2022-08-31,200.05,90141341.0,254024.9516,22.2752,1.5034,3.5028
2022-09-30,180.25,172555470.0,228881.9177,20.0704,1.3546,3.5028
2022-10-31,196.54,99857629.0,249577.0438,21.8852,1.4771,3.5028
2022-11-30,209.19,128020705.0,265638.9328,23.2936,1.5722,3.5028
2022-12-31,228.26,92842020.0,289855.3192,25.4171,1.7155,3.5028
2023-01-31,226.46,68311948.0,287569.5889,25.2167,1.702,3.5028
2023-02-28,245.0,80978642.0,311106.4339,27.2806,1.8413,3.5028
2023-03-31,225.39,81690515.0,286210.506,13.7805,1.5421,3.5028
2023-04-30,252.0,58099048.0,320002.2493,15.4075,1.7241,3.5028
2023-05-31,276.62,124667327.0,351261.1563,16.9126,1.8926,3.5028
2023-06-30,327.36,105921544.0,415694.0416,20.0149,2.2397,3.5028
2023-07-31,289.42,115742950.0,367508.3747,17.6948,1.9801,5.838
2023-08-31,289.61,90037532.0,367755.4807,17.7067,1.9814,5.838
2023-09-30,293.21,90833692.0,372326.9414,17.9268,2.0061,5.838
2023-10-31,238.72,103890005.0,303137.2659,14.5955,1.6333,5.838
2023-11-30,266.89,50982657.0,338905.8571,16.3177,1.826,5.838
2023-12-31,269.23,102765266.0,341871.1289,16.4604,1.842,5.838
2024-01-31,281.39,120556268.0,357315.2529,17.204,1.9252,5.838
2024-02-29,275.75,67808546.0,350149.1793,16.859,1.8866,5.838
2024-03-31,271.27,54083659.0,344465.7417,17.8033,1.7281,5.838
2024-04-30,254.1,100174885.0,322658.6386,16.6762,1.6187,5.838
2024-05-31,260.37,91448878.0,330627.8066,17.0881,1.6587,5.838
2024-06-30,292.48,86302272.0,371400.294,19.1954,1.8632,5.838
2024-07-31,295.06,71855129.0,374674.4482,19.3646,1.8796,6.1298
2024-08-31,305.86,59878984.0,388388.8304,20.0734,1.9484,6.1298
2024-09-30,329.21,88707285.0,418041.5484,21.606,2.0972,6.1298
2024-10-31,263.29,104918223.0,334334.3964,17.2797,1.6773,6.1298
2024-11-30,266.02,23579404.0,337793.8801,17.4585,1.6946,6.1298
2024-12-31,257.79,34061634.0,327353.6523,16.9189,1.6422,6.1298
2025-01-31,277.25,50452830.0,352064.2507,18.196,1.7662,6.1298
2025-02-28,263.29,36672694.0,334334.3964,17.2797,1.6773,6.1298
2025-03-31,275.36,29126977.0,349654.9674,15.4476,1.6241,6.1298
2025-04-30,254.97,57524520.0,323770.6155,14.304,1.5038,6.1298
2025-05-31,261.1,71287626.0,332813.1501,14.6478,1.54,6.1298
2025-06-30,269.95,68185503.0,375222.7146,15.1443,1.5922,6.1298
2025-07-31,257.5,79861237.0,357917.5737,14.4458,1.5188,6.5
2025-08-31,253.95,27333080.0,352983.1761,14.2467,1.4978,6.5
