PGEL IN Equity,price,volume,mc,pe,bm,div
2016-03-31,11.7,22474450.0,1920.477,100.8621,1.6055,0.0
2016-04-30,11.92,14744050.0,1956.5885,102.7586,1.6357,0.0
2016-05-31,11.29,12573590.0,1852.3575,97.2845,1.5485,0.0
2016-06-30,17.54,24816950.0,2879.8948,151.25,2.4075,0.0
2016-07-31,18.29,35177570.0,3001.3609,157.6293,2.5091,0.0
2016-08-31,15.83,16584390.0,2597.5683,136.4224,2.1715,0.0
2016-09-30,15.28,13525900.0,2507.2894,131.681,2.0961,0.0
2016-10-31,18.54,20336990.0,3044.0381,159.8707,2.5448,0.0
2016-11-30,13.67,4116400.0,2243.8394,117.8448,1.8758,0.0
2016-12-31,13.14,4979590.0,2156.0227,113.2328,1.8024,0.0
2017-01-31,15.99,28148720.0,2624.6519,137.8448,2.1942,0.0
2017-02-28,18.48,27433080.0,3032.5481,159.2672,2.5352,0.0
2017-03-31,18.49,57014830.0,3034.1895,90.2549,2.4635,0.0
2017-04-30,18.57,8108440.0,3048.1417,90.6699,2.4748,0.0
2017-05-31,20.11,15483640.0,3300.1017,98.1647,2.6793,0.0
2017-06-30,28.79,90906390.0,4724.8659,140.5457,3.8361,0.0
2017-07-31,34.54,45350060.0,5668.69,168.6207,4.6024,0.0
2017-08-31,31.92,15697040.0,5239.4552,155.8527,4.2539,0.0
2017-09-30,38.98,37605780.0,6397.4864,190.2994,5.1941,0.0
2017-10-31,43.7,31027970.0,7173.0637,213.3697,5.8238,0.0
2017-11-30,40.14,14348160.0,6589.534,196.0121,5.35,0.0
2017-12-31,42.36,23032780.0,6952.2907,206.8026,5.6445,0.0
2018-01-31,40.5,21380190.0,6647.8049,197.7454,5.3973,0.0
2018-02-28,31.03,22132540.0,5093.3672,151.5072,4.1353,0.0
2018-03-31,31.62,69567140.0,5189.3911,69.3295,3.9667,0.0
2018-04-30,27.37,20170690.0,4491.782,60.0095,3.4335,0.0
2018-05-31,23.88,12628320.0,3918.9218,52.3562,2.9956,0.0
2018-06-30,18.9,19825820.0,3102.3087,41.4464,2.3714,0.0
2018-07-31,17.38,13696480.0,2853.6316,38.1241,2.1813,0.0
2018-08-31,17.18,10290280.0,2819.1615,37.6636,2.1549,0.0
2018-09-30,12.72,16230710.0,2087.0823,27.8831,1.5953,0.0
2018-10-31,10.76,31118070.0,1765.3614,23.585,1.3494,0.0
2018-11-30,10.55,20065940.0,1731.712,23.1354,1.3237,0.0
2018-12-31,10.0,31932510.0,1642.2539,21.9403,1.2553,0.0
2019-01-31,8.79,66465230.0,1441.9991,19.2649,1.1022,0.0
2019-02-28,8.48,18691220.0,1391.9354,18.596,1.064,0.0
2019-03-31,8.15,93121300.0,1336.9473,13.4851,0.8989,0.0
2019-04-30,6.79,26083640.0,1266.6291,11.2417,0.7494,0.0
2019-05-31,6.99,38401360.0,1303.0051,11.5646,0.7709,0.0
2019-06-30,5.14,29212660.0,957.8999,8.5017,0.5667,0.0
2019-07-31,4.47,13981850.0,834.7814,7.4089,0.4939,0.0
2019-08-31,4.6,21878910.0,857.1666,7.6076,0.5071,0.0
2019-09-30,4.94,16798960.0,921.524,8.1788,0.5452,0.0
2019-10-31,4.13,38936190.0,770.4239,6.8377,0.4558,0.0
2019-11-30,3.64,14487360.0,678.085,6.0182,0.4012,0.0
2019-12-31,5.69,55071540.0,1060.4988,9.4123,0.6274,0.0
2020-01-31,7.07,27022520.0,1318.8613,11.7053,0.7803,0.0
2020-02-29,7.07,18804560.0,1317.9286,11.697,0.7797,0.0
2020-03-31,2.7,6251920.0,503.667,20.1614,0.2992,0.0
2020-04-30,3.91,4360980.0,762.6042,29.1594,0.4327,0.0
2020-05-31,3.42,2237340.0,666.9125,25.5005,0.3784,0.0
2020-06-30,4.46,9760140.0,870.9897,33.3037,0.4942,0.0
2020-07-31,4.17,6410040.0,814.3558,31.1382,0.4621,0.0
2020-08-31,4.79,19224860.0,935.4351,35.7678,0.5308,0.0
2020-09-30,8.4,19871500.0,1640.4289,62.7244,0.9309,0.0
2020-10-31,10.58,8840750.0,2065.1828,78.9655,1.1719,0.0
2020-11-30,14.46,8478760.0,2822.9047,107.9382,1.6019,0.0
2020-12-31,14.04,7809220.0,2740.8832,104.802,1.5553,0.0
2021-01-31,17.34,11555320.0,3386.3139,129.4811,1.9216,0.0
2021-02-28,30.21,14480900.0,5899.6852,225.5838,3.3478,0.0
2021-03-31,40.7,14140320.0,7947.292,68.395,4.164,0.0
2021-04-30,33.33,7660820.0,6508.9874,56.0168,3.4104,0.0
2021-05-31,40.88,22685450.0,8049.8882,68.6975,4.1824,0.0
2021-06-30,42.21,13046520.0,8312.8019,70.9412,4.319,0.0
2021-07-31,37.54,8578720.0,7330.1786,63.084,3.8407,0.0
2021-08-31,34.77,7812320.0,6790.2041,58.437,3.5578,0.0
2021-09-30,40.69,8485520.0,7946.3159,68.3866,4.1635,0.0
2021-10-31,50.12,27237020.0,9787.8927,84.2353,5.1284,0.0
2021-11-30,53.56,16229250.0,11188.6122,90.0168,5.4804,0.0
2021-12-31,80.28,52982770.0,16770.3844,134.9244,8.2145,0.0
2022-01-31,75.63,33931760.0,16051.3049,127.1008,7.7381,0.0
2022-02-28,61.2,22196760.0,12988.5567,102.8487,6.2616,0.0
2022-03-31,73.11,10804550.0,15517.4995,40.4369,4.9688,0.0
2022-04-30,78.88,14066390.0,16742.1743,43.6283,5.361,0.0
2022-05-31,88.63,22037430.0,18810.5375,49.0183,6.0233,0.0
2022-06-30,87.56,32744610.0,18583.4314,48.4264,5.9505,0.0
2022-07-31,93.73,1852280.0,19893.0057,51.839,6.3699,0.0
2022-08-31,90.09,2599170.0,19120.4205,49.8258,6.1225,0.0
2022-09-30,102.52,12890080.0,21813.2094,56.7008,6.9673,0.0
2022-10-31,104.73,7739250.0,22283.4546,57.9231,7.1175,0.0
2022-11-30,97.83,5815860.0,20913.0931,54.1067,6.6485,0.0
2022-12-31,112.59,9121140.0,24069.5645,62.2732,7.652,0.0
2023-01-31,108.64,6341510.0,23224.062,60.0857,7.3832,0.0
2023-02-28,139.32,21303970.0,31683.8769,77.0548,9.4683,0.0
2023-03-31,133.23,8119510.0,30301.1258,37.2373,7.6532,0.0
2023-04-30,138.51,6367290.0,31499.6617,38.7102,7.9559,0.0
2023-05-31,164.68,16517760.0,37452.5417,46.0257,9.4594,0.0
2023-06-30,157.88,8395170.0,35981.0023,44.1238,9.0685,0.0
2023-07-31,150.31,7442750.0,34255.7375,42.0081,8.6337,0.0
2023-08-31,183.26,26252220.0,41819.0469,51.2186,10.5267,0.0
2023-09-30,177.61,20115890.0,46222.372,49.6395,10.2022,0.0
2023-10-31,197.03,19999850.0,51275.0568,55.0657,11.3174,0.0
2023-11-30,238.45,18306880.0,62054.4648,66.642,13.6966,0.0
2023-12-31,237.36,8116360.0,61772.0974,66.3387,13.6343,0.0
2024-01-31,193.08,13081880.0,50250.1725,53.9617,11.0905,0.0
2024-02-29,181.64,16603840.0,47272.7701,50.7644,10.4334,0.0
2024-03-31,166.2,22760010.0,43255.6192,30.3673,4.1669,0.0
2024-04-30,210.88,20805740.0,54882.8441,38.5301,5.2869,0.0
2024-05-31,259.02,43707080.0,67411.8785,47.326,6.4939,0.0
2024-06-30,355.47,45456140.0,92770.0061,64.9498,8.9122,0.0
2024-07-31,444.5,46176709.0,116004.9166,81.2169,11.1443,0.0
2024-08-31,525.15,29758649.0,137052.8278,95.9529,13.1663,0.0
2024-09-30,643.1,36852383.0,168257.1084,117.5041,16.1235,0.2
2024-10-31,637.0,26405137.0,166661.1383,116.3895,15.9705,0.2
2024-11-30,723.0,28562991.0,189161.7001,132.1031,18.1267,0.2
2024-12-31,980.6,45588571.0,277601.641,179.1705,24.5851,0.2
2025-01-31,782.5,41019694.0,221520.7874,142.9746,19.6184,0.2
2025-02-28,794.8,33945054.0,225002.8394,145.222,19.9268,0.2
2025-03-31,916.6,34855515.0,259483.6469,85.3445,9.1748,0.2
2025-04-30,844.3,35006707.0,239015.9754,78.6127,8.4511,0.2
2025-05-31,771.45,78862574.0,218587.7793,71.8296,7.7219,0.2
2025-06-30,754.65,33765072.0,213827.5555,70.2654,7.5538,0.2
2025-07-31,811.65,53835439.0,229997.7946,75.5726,8.1243,0.2
2025-08-31,533.1,211442157.0,151064.8978,49.6369,5.3361,0.2
2025-09-30,502.3,75792366.0,142691.203,46.7691,5.0278,0.25
2025-10-31,570.95,75187381.0,162192.9969,53.1611,5.715,0.25
2025-11-30,590.9,76972228.0,168385.321,55.0186,5.9147,0.25
2025-12-31,575.3,54655011.0,164143.8239,53.5661,5.7586,0.25
2026-01-31,547.7,48929210.0,156269.029,50.9963,5.4823,0.25
2026-02-28,627.9,54005233.0,179166.655,58.4637,6.2851,0.25
2026-03-31,614.85,7069507.0,175442.9263,57.2486,6.1544,0.25
