MGFL IN Equity,price,volume,mc,pe,bm,div
2009-03-31,6.35,1356800.0,1814.7823,5.8689,1.3628,0.1
2009-04-30,6.72,616660.0,1919.0555,6.2062,1.4411,0.1
2009-05-31,9.34,4808720.0,2668.9655,8.6313,2.0042,0.025
2009-06-30,13.19,8085640.0,3767.4051,12.1837,2.8291,0.025
2009-07-31,14.84,3911980.0,4238.0629,13.7058,3.1825,0.025
2009-08-31,20.09,5298320.0,5739.3114,18.5607,4.3098,0.125
2009-09-30,20.32,2191580.0,5805.732,18.7755,4.3597,0.125
2009-10-31,27.93,8270280.0,9638.2272,25.8016,5.9912,0.125
2009-11-30,25.29,3588020.0,8727.9838,23.3649,5.4254,0.125
2009-12-31,32.6,5720620.0,11249.919,30.1162,6.993,0.125
2010-01-31,33.06,5157500.0,11410.3979,30.5458,7.0928,0.125
2010-02-28,34.7,6936120.0,20081.088,32.0609,7.4446,0.125
2010-03-31,37.32,15658820.0,24236.6702,34.4769,8.0056,0.125
2010-04-30,40.09,98828900.0,26034.0839,37.0337,8.5993,0.125
2010-05-31,34.6,4943050.0,23554.6553,31.9662,7.4226,0.125
2010-06-30,37.45,4477128.0,25494.8509,34.5993,8.034,0.125
2010-07-31,47.83,23236924.0,32557.8437,44.1845,10.2597,0.25
2010-08-31,58.3,56065808.0,39688.9135,53.8622,12.5069,0.25
2010-09-30,72.95,49819460.0,49662.1996,67.397,15.6497,0.25
2010-10-31,73.85,60278886.0,52738.6947,68.2285,15.8427,0.25
2010-11-30,69.68,64168418.0,58051.8287,64.3713,14.9471,0.25
2010-12-31,75.0,61087758.0,62488.5132,69.291,16.0894,0.25
2011-01-31,57.93,54323534.0,48261.9617,53.5157,12.4264,0.25
2011-02-28,61.5,111944402.0,51240.5808,56.8186,13.1933,0.25
2011-03-31,66.4,37048482.0,55323.1637,61.3456,14.2445,0.25
2011-04-30,66.43,42526300.0,55343.9932,61.3687,14.2499,0.25
2011-05-31,55.88,49296652.0,46585.6926,51.6218,11.9866,0.25
2011-06-30,56.3,37467944.0,46940.0357,52.0144,12.0778,0.25
2011-07-31,55.05,32310503.0,45897.8501,50.8596,11.8096,0.25
2011-08-31,50.3,41524328.0,41937.5452,46.4711,10.7906,0.6
2011-09-30,52.5,36307736.0,43771.7917,48.5037,11.2626,0.6
2011-10-31,59.55,18432805.0,49649.718,55.017,12.775,0.6
2011-11-30,57.85,44070329.0,48657.8137,53.4464,12.4103,0.6
2011-12-31,46.1,24782820.0,38774.8524,42.5908,9.8896,0.6
2012-01-31,57.0,23400374.0,47942.876,52.6611,12.228,0.6
2012-02-29,41.55,136485921.0,34947.8333,38.3872,8.9135,0.5
2012-03-31,30.45,248889521.0,25611.589,28.1321,6.5323,0.5
