RECL IN Equity,price,volume,mc,pe,bm,div
2020-03-31,66.56,240160408.0,175273.9725,3.5246,0.4952,8.25
2020-04-30,71.66,158317443.0,188703.4149,3.7947,0.5331,8.25
2020-05-31,66.41,262468365.0,174878.9889,3.5167,0.4941,8.25
2020-06-30,81.08,410495960.0,213488.6358,4.0216,0.6121,8.25
2020-07-31,75.11,189633738.0,197788.0377,3.7258,0.6121,8.25
2020-08-31,79.61,273781782.0,209637.5457,3.949,0.6121,8.25
2020-09-30,74.33,195582516.0,195714.3738,3.1641,0.4821,8.25
2020-10-31,77.14,189609798.0,203120.3131,3.2838,0.5004,8.25
2020-11-30,91.09,250162943.0,239853.7873,3.8777,0.5909,12.75
2020-12-31,100.43,238007116.0,264441.516,3.9015,0.6284,12.75
2021-01-31,99.38,153026975.0,261676.6309,3.8607,0.6219,12.75
2021-02-28,101.63,193953570.0,267601.3848,3.9481,0.636,12.75
2021-03-31,98.36,226000630.0,259010.4916,3.5274,0.5918,8.25
2021-04-30,96.08,109394142.0,252986.9918,3.4453,0.5781,8.25
2021-05-31,109.43,115680892.0,288140.5317,3.9241,0.6584,8.25
2021-06-30,111.41,191700664.0,293374.0643,3.777,0.6453,8.25
2021-07-31,113.33,110444163.0,298410.1098,3.8418,0.6453,8.25
2021-08-31,113.78,121323916.0,299595.0606,3.8571,0.6453,5.25
2021-09-30,118.39,135139721.0,311740.8063,3.7745,0.6486,11.0325
2021-10-31,111.49,179621783.0,293571.5607,3.5545,0.6108,11.0325
2021-11-30,100.91,280408989.0,265725.2169,3.2173,0.5528,8.4075
2021-12-31,100.35,190667220.0,264244.0284,3.0119,0.5385,8.4075
2022-01-31,103.99,101395008.0,273822.3807,3.1211,0.5385,8.4075
2022-02-28,91.91,166661472.0,242026.2009,2.7587,0.5385,18.0
2022-03-31,92.29,99818934.0,243013.6599,2.4215,0.4736,18.0
2022-04-30,95.25,85134543.0,250814.586,2.4992,0.4888,18.0
2022-05-31,89.36,104458387.0,235311.4797,2.3447,0.4586,18.0
2022-06-30,92.81,109789777.0,244396.1025,2.391,0.4618,18.0
2022-07-31,98.25,152906603.0,258714.258,2.5311,0.4618,12.7575
2022-08-31,108.75,107012595.0,286363.11,2.8016,0.4618,11.2575
2022-09-30,94.0,130166073.0,247523.056,2.4118,0.4601,9.975
2022-10-31,102.55,173431332.0,270037.1212,2.6312,0.502,9.975
2022-11-30,110.35,250279545.0,290576.2684,2.8313,0.5401,13.1
2022-12-31,116.5,238881699.0,306770.596,2.9484,0.5556,13.1
2023-01-31,121.75,229560230.0,320595.022,3.0812,0.5806,13.1
2023-02-28,114.3,140362313.0,300977.5032,2.8927,0.5451,13.0
2023-03-31,115.45,162949109.0,304005.7108,2.7219,0.5231,13.0
2023-04-30,132.15,119584097.0,347980.5516,3.1156,0.5987,13.0
2023-05-31,141.55,237020335.0,372732.8572,3.3373,0.6413,13.0
2023-06-30,164.65,246621440.0,433560.3316,3.7115,0.7555,13.0
2023-07-31,202.95,327986239.0,534412.8108,4.5748,0.7555,15.2
2023-08-31,238.65,665704648.0,628418.9076,5.3795,0.7555,14.1333
2023-09-30,287.4,532844227.0,756788.5776,5.9414,1.1902,14.1333
2023-10-31,287.6,262662213.0,757315.2224,5.9455,1.1911,14.1333
2023-11-30,348.7,326409266.0,918205.2088,7.2086,1.4441,14.1
2023-12-31,412.85,370191598.0,1087126.528,8.2793,1.665,14.1
2024-01-31,499.05,340053067.0,1314110.437,10.008,2.0127,14.1
2024-02-29,442.05,256059950.0,1164016.669,8.8649,1.7828,14.1
2024-03-31,451.0,297479346.0,1187584.024,8.3962,1.7124,15.35
2024-04-30,507.15,279677652.0,1335439.552,9.4415,1.9256,15.35
2024-05-31,537.75,551989434.0,1416016.206,10.0112,2.0418,15.35
2024-06-30,525.4,561914291.0,1383495.89,9.4522,1.8969,16.0
2024-07-31,644.25,383657289.0,1696454.562,11.5904,2.3259,16.0
2024-08-31,619.75,207688602.0,1631940.574,11.1496,2.2375,16.5
2024-09-30,554.5,208059615.0,1460122.708,9.8098,1.9863,16.5
2024-10-31,522.6,201594207.0,1376122.862,9.2455,1.872,16.5
2024-11-30,532.6,176955019.0,1402455.102,9.4224,1.9078,17.0
2024-12-31,500.7,134717622.0,1318455.257,8.4234,1.7086,17.0
2025-01-31,449.85,188328684.0,1184555.816,7.568,1.5351,17.0
2025-02-28,360.3,203899980.0,948750.6072,6.0614,1.2295,16.8
2025-03-31,429.2,174417895.0,1130179.741,7.1156,1.442,15.4
2025-04-30,420.1,151783291.0,1106217.402,6.9647,1.4114,15.4
2025-05-31,402.3,225329664.0,1059346.015,6.6696,1.3516,15.4
2025-06-30,402.4,183972742.0,1059609.338,6.274,1.3536,15.4
2025-07-31,395.2,184225466.0,1040650.125,6.1617,1.3536,15.4
2025-08-31,350.0,106436908.0,921628.4,5.457,1.3536,19.1
2025-09-30,372.85,91131483.0,981797.5684,5.6856,1.1761,19.1
2025-10-31,374.85,132035284.0,987064.0164,5.7161,1.1824,23.7
2025-11-30,360.9,124095310.0,950330.5416,5.5034,1.1384,19.7
2025-12-31,356.8,130385203.0,939534.3232,5.4483,1.1084,19.7
2026-01-31,364.1,230709513.0,958756.8584,5.5598,1.1084,19.7
2026-02-28,349.8,203539381.0,921101.7552,5.3415,1.1084,20.0
2026-03-31,342.3,30361574.0,901352.5431,5.2269,1.1084,16.4
