EID IN Equity,price,volume,mc,pe,bm,div
2002-03-31,7.18,269630.0,1281.6085,3.56,0.246,0.2
2002-04-30,10.3,1087440.0,1837.6267,5.1045,0.3528,0.0
2002-05-31,8.48,684620.0,1513.6546,4.2046,0.2906,0.0
2002-06-30,10.03,535260.0,1790.325,4.9731,0.3437,0.0
2002-07-31,9.4,2627940.0,1677.8719,4.6608,0.3221,0.5
2002-08-31,9.6,261470.0,1713.5713,4.7599,0.3289,0.5
2002-09-30,9.3,121370.0,1660.0222,4.6112,0.3187,0.5
2002-10-31,7.88,779700.0,1405.6639,3.9046,0.2698,0.5
2002-11-30,8.65,68570.0,1543.9991,4.2889,0.2964,0.5
2002-12-31,8.55,230780.0,1526.1494,4.2393,0.293,0.5
2003-01-31,8.0,168010.0,1427.9761,3.9666,0.2741,0.5
2003-02-28,8.1,154100.0,1445.8258,4.0162,0.2775,0.5
2003-03-31,7.53,1119010.0,1343.19,3.2273,0.2486,0.5
2003-04-30,8.15,67740.0,1453.8581,3.4932,0.2691,0.5
2003-05-31,9.9,484450.0,1767.1204,4.2458,0.3271,0.5
2003-06-30,12.32,5203420.0,2198.1907,5.2816,0.4069,0.5
2003-07-31,11.27,3347020.0,2010.7688,4.8313,0.3722,0.6
2003-08-31,13.5,4430130.0,2409.7096,5.7898,0.4461,0.6
2003-09-30,15.5,4507460.0,2765.8112,6.6454,0.512,0.6
2003-10-31,14.25,1814980.0,2542.6899,6.1093,0.4707,0.6
2003-11-30,17.47,1743550.0,3117.4503,7.4903,0.5771,0.6
2003-12-31,21.8,5686660.0,3891.2348,9.3494,0.7203,0.6
2004-01-31,17.49,1825420.0,3122.8052,7.5031,0.5781,0.6
2004-02-29,19.46,753080.0,3473.5518,8.3459,0.643,0.6
2004-03-31,20.07,3233140.0,3582.435,5.6345,0.7468,0.6
2004-04-30,25.81,2150440.0,4606.1153,7.2446,0.9602,0.6
2004-05-31,20.47,1639620.0,3653.8338,5.7468,0.7617,0.6
2004-06-30,19.27,990360.0,3440.5299,5.4113,0.7172,0.6
2004-07-31,21.99,1681530.0,3926.0417,6.175,0.8184,0.75
2004-08-31,28.44,4289750.0,5076.4549,7.9844,1.0583,0.75
2004-09-30,28.63,1480840.0,5110.3694,8.0377,1.0653,0.75
2004-10-31,31.96,2339980.0,5705.6569,8.974,1.1894,0.75
2004-11-30,37.05,2371700.0,6613.3142,10.4016,1.3786,0.75
2004-12-31,40.61,3230450.0,7247.8711,11.3996,1.5109,0.75
2005-01-31,47.32,9116570.0,8446.4785,13.2848,1.7608,0.75
2005-02-28,51.46,10146170.0,9185.4561,14.4471,1.9148,0.75
2005-03-31,53.37,12765720.0,9526.3854,6.1576,1.5762,0.75
2005-04-30,52.96,4286310.0,9452.3091,6.1097,1.564,0.75
2005-05-31,60.98,7393180.0,10883.8542,7.035,1.8008,0.75
2005-06-30,57.83,5856242.0,10321.5887,6.6716,1.7078,0.75
2005-07-31,80.3,19712464.0,14333.3086,9.2646,2.3716,1.25
2005-08-31,88.1,14489860.0,15725.5852,10.1646,2.6019,1.25
2005-09-30,93.35,8982732.0,16662.6944,10.7703,2.757,1.25
2005-10-31,88.15,4430274.0,15734.51,10.1703,2.6034,1.25
2005-11-30,95.28,3766898.0,17006.3011,10.9924,2.8138,1.25
2005-12-31,103.03,9623712.0,18389.6528,11.8865,3.0427,1.25
2006-01-31,115.08,15531102.0,20540.5416,13.2768,3.3986,1.25
2006-02-28,120.8,7497010.0,21562.4369,13.9373,3.5677,1.25
2006-03-31,143.13,8135266.0,25547.3823,14.8964,3.5637,1.25
2006-04-30,144.8,4540780.0,25525.0701,15.0708,3.6054,1.25
2006-05-31,141.6,7440776.0,25275.1744,14.7377,3.5258,1.25
2006-06-30,100.93,5775332.0,18014.8091,10.5043,2.513,1.25
2006-07-31,93.85,4234530.0,16751.9429,9.7679,2.3368,2.25
2006-08-31,84.88,9488584.0,15149.9324,8.8338,2.1133,5.4
2006-09-30,81.35,7654880.0,14520.7305,8.4669,2.0256,5.4
2006-10-31,81.7,6054798.0,14583.2044,8.5033,2.0343,5.4
2006-11-30,69.8,10568220.0,12459.0902,7.2648,1.738,5.4
2006-12-31,67.55,4667830.0,12057.4719,7.0306,1.682,5.4
2007-01-31,59.45,7454578.0,10611.6463,6.1876,1.4803,5.4
2007-02-28,62.6,10673682.0,11173.9118,6.5154,1.5587,5.4
2007-03-31,64.28,7281572.0,11472.8943,3.358,1.2319,5.4
2007-04-30,60.68,1591130.0,10830.3051,3.1699,1.1629,5.4
2007-05-31,58.53,5219230.0,10446.5366,3.0576,1.1217,5.4
2007-06-30,63.48,1935106.0,11330.0967,3.3162,1.2166,5.4
2007-07-31,63.85,8806750.0,11397.0331,3.3358,1.2238,2.95
2007-08-31,67.97,4728454.0,12133.3332,3.5513,1.3028,2.95
