ADANIGR IN Equity,price,volume,mc,pe,bm,div
2021-03-31,1104.85,13762081.0,1728001.153,1624.7794,78.5455,0.0
2021-04-30,1018.95,10237713.0,1593652.328,1498.4559,72.4387,0.0
2021-05-31,1268.2,20497499.0,1983482.882,1865.0,90.1583,0.0
2021-06-30,1124.9,34076052.0,1759359.639,1654.2647,79.9709,0.0
2021-07-31,882.3,4503541.0,1379929.799,1297.5,62.7241,0.0
2021-08-31,1068.35,45382995.0,1670914.656,1571.1029,75.9507,0.0
2021-09-30,1146.6,34491212.0,1793298.773,1686.1765,81.5136,0.0
2021-10-31,1152.85,7493823.0,1803073.863,1695.3676,81.9579,0.0
2021-11-30,1295.4,36302492.0,2026024.098,1905.0,92.092,0.0
2021-12-31,1330.25,16302747.0,2080529.996,1956.25,94.5695,0.0
2022-01-31,1877.85,15800131.0,2936984.216,2761.5441,133.4993,0.0
2022-02-28,1843.4,14777491.0,2883103.924,2710.8824,131.0502,0.0
2022-03-31,1914.7,16493063.0,2994618.142,612.3963,114.5608,0.0
2022-04-30,2882.8,49095657.0,4508740.366,922.0328,172.4843,0.0
2022-05-31,1888.95,36854606.0,2992158.149,604.1605,113.0201,0.0
2022-06-30,1929.6,47137385.0,3056549.07,617.1619,115.4523,0.0
2022-07-31,2174.7,72043121.0,3444795.43,695.5546,130.1171,0.0
2022-08-31,2436.2,51317185.0,3859019.923,779.1925,145.7633,0.0
2022-09-30,2260.8,40839270.0,3581180.626,723.0927,135.2687,0.0
2022-10-31,2102.9,35923929.0,3331061.898,672.5901,125.8212,0.0
2022-11-30,2116.5,18577871.0,3352604.74,676.9399,126.6349,0.0
2022-12-31,1931.8,15165904.0,3060033.941,617.8656,115.5839,0.0
2023-01-31,1223.9,60363242.0,1938697.35,391.4513,73.2287,0.0
2023-02-28,485.3,79630556.0,768730.9616,155.218,29.0366,0.0
2023-03-31,881.15,84569460.0,1395770.218,143.0995,19.1097,0.0
2023-04-30,951.0,43129450.0,1506414.887,154.4432,20.6245,0.0
2023-05-31,977.7,57537895.0,1548708.554,158.7793,21.2036,0.0
2023-06-30,945.9,103046206.0,1498336.321,153.6149,20.5139,0.0
2023-07-31,1093.3,31532357.0,1731822.708,177.5528,23.7106,0.0
2023-08-31,928.65,98992966.0,1471011.761,150.8135,20.1398,0.0
2023-09-30,987.15,100770067.0,1563677.661,160.314,21.4085,0.0
2023-10-31,911.65,13895708.0,1444083.209,148.0527,19.7711,0.0
2023-11-30,1028.8,32207402.0,1629652.613,167.0779,22.3118,0.0
2023-12-31,1597.0,95289266.0,2529699.867,259.3541,34.6344,0.0
2024-01-31,1669.45,44461974.0,2644463.02,271.12,36.2057,0.0
2024-02-29,1895.05,47479446.0,3001820.747,307.7576,41.0983,0.0
2024-03-31,1835.15,18291813.0,2906937.202,264.267,29.5601,0.0
2024-04-30,1797.65,11823972.0,2847535.984,258.8669,28.956,0.0
2024-05-31,1908.35,50041559.0,3022888.379,274.808,30.7392,0.0
2024-06-30,1788.8,38001983.0,2833517.297,257.5925,28.8135,0.0
2024-07-31,1847.2,46241255.0,2926024.793,266.0023,29.7542,0.0
2024-08-31,1838.15,35131054.0,2911689.299,264.699,29.6084,0.0
2024-09-30,1902.7,45254296.0,3013938.596,273.9944,30.6481,0.0
2024-10-31,1598.3,16039897.0,2531759.11,230.1599,25.745,0.0
2024-11-30,1323.9,127669352.0,2097100.598,190.6455,21.325,0.0
2024-12-31,1040.7,124640752.0,1648502.6,149.8639,16.7633,0.0
2025-01-31,997.55,94218615.0,1580151.598,143.6501,16.0682,0.0
2025-02-28,774.4,108442654.0,1226674.751,111.5159,12.4738,0.0
2025-03-31,948.65,128377752.0,1502692.41,113.3393,12.3811,0.0
2025-04-30,900.7,69393439.0,1426738.053,107.6105,11.7553,0.0
2025-05-31,1014.35,92516710.0,1606763.344,121.1888,13.2386,0.0
2025-06-30,1025.6,61185598.0,1624583.709,122.5329,13.3854,0.0
2025-07-31,984.7,50164886.0,1559796.781,117.6464,12.8516,0.0
2025-08-31,913.5,31705918.0,1447013.669,109.1398,11.9223,0.0
2025-09-30,1026.85,122233837.0,1691402.835,122.6822,13.4017,0.0
2025-10-31,1140.0,96082398.0,1877780.817,136.2007,14.8784,0.0
2025-11-30,1048.2,49808582.0,1726570.046,125.233,13.6803,0.0
2025-12-31,1015.1,43705499.0,1672048.515,121.2784,13.2483,0.0
2026-01-31,852.3,84203004.0,1403888.237,101.828,11.1236,0.0
2026-02-28,947.35,60181806.0,1560452.33,113.184,12.3641,0.0
2026-03-31,884.45,11065844.0,1456844.97,105.6691,11.5432,0.0
