DFPC IN Equity,price,volume,mc,pe,bm,div
2004-03-31,32.05,875760.0,2915.172,3.2875,0.5911,2.1331
2004-04-30,37.38,1194857.0,3400.299,3.8345,0.6895,2.1331
2004-05-31,33.74,1652809.0,3069.5306,3.4615,0.6224,2.1331
2004-06-30,35.05,864860.0,3188.6072,3.5958,0.6466,2.1331
2004-07-31,30.69,1204314.0,2791.6852,3.1482,0.5661,2.1331
2004-08-31,35.25,1407230.0,3206.2482,3.6157,0.6501,2.1331
2004-09-30,40.58,3781761.0,3691.3752,4.1628,0.7485,2.1331
2004-10-31,40.0,2373822.0,3638.4522,4.1031,0.7378,2.1331
2004-11-30,45.47,4486809.0,4136.8099,4.6651,0.8388,2.1331
2004-12-31,48.48,3866890.0,4410.2451,4.9735,0.8943,2.1331
2005-01-31,51.15,10297994.0,4652.8086,5.247,0.9435,2.1331
2005-02-28,53.13,15016151.0,4833.6287,5.4509,0.9801,2.1331
2005-03-31,60.94,45048274.0,5543.6781,6.9773,1.0206,2.1331
2005-04-30,60.46,19957061.0,5499.5757,6.9218,1.0125,2.1331
2005-05-31,64.62,31665416.0,5878.8568,7.3992,1.0824,2.1331
2005-06-30,63.07,8037072.0,5737.7289,7.2215,1.0564,2.9088
2005-07-31,74.03,26683290.0,6734.4443,8.476,1.2399,2.9088
2005-08-31,88.23,27708050.0,8026.6461,10.1024,1.4778,2.9088
2005-09-30,86.68,25658288.0,7885.5183,9.9248,1.4518,2.9088
2005-10-31,72.48,5112977.0,6593.3165,8.2984,1.2139,2.9088
2005-11-30,85.62,6630923.0,7788.4929,9.8026,1.4339,2.9088
2005-12-31,88.67,10022043.0,8066.3383,10.1523,1.4851,2.9088
2006-01-31,101.86,23331858.0,9265.925,11.6622,1.7059,2.9088
2006-02-28,96.09,10067817.0,8741.1059,11.0016,1.6093,2.9088
2006-03-31,96.38,7538794.0,8767.5673,11.4008,1.4899,2.9088
2006-04-30,96.91,6229567.0,8820.4903,11.4639,1.4981,2.9088
2006-05-31,88.91,7441451.0,8088.3896,10.5176,1.3745,2.9088
2006-06-30,69.47,3783328.0,6319.8813,8.218,1.0739,2.9088
2006-07-31,74.42,6023462.0,6769.7263,8.8029,1.1504,2.9088
2006-08-31,78.64,5532278.0,7153.4176,9.3019,1.2156,2.9088
2006-09-30,84.65,4488928.0,7700.288,10.013,1.3085,2.9088
2006-10-31,80.82,5041591.0,7351.8786,9.5599,1.2493,2.9088
2006-11-30,75.24,2750192.0,6844.7004,8.9004,1.1631,2.9088
2006-12-31,84.89,4868589.0,7722.3392,10.0416,1.3123,2.9088
2007-01-31,97.98,9634460.0,8913.1054,11.59,1.5146,2.9088
2007-02-28,84.02,5212570.0,7642.9548,9.9384,1.2988,2.9088
2007-03-31,82.08,5500528.0,7466.545,8.1153,1.1519,2.9088
