SUNP IN Equity,price,volume,mc,pe,bm,div
2009-03-31,111.14,70214540.0,228932.01,12.6632,3.2676,1.05
2009-04-30,127.84,67859520.0,263319.7157,14.5653,3.7584,1.05
2009-05-31,121.38,85822720.0,250003.3675,13.8287,3.5684,1.05
2009-06-30,109.06,129081580.0,224627.1374,15.2588,3.2345,1.05
2009-07-31,117.48,103046310.0,241970.3036,16.4369,3.2345,1.05
2009-08-31,119.06,61923270.0,245224.7372,16.658,3.2345,1.375
2009-09-30,140.77,62918170.0,289942.1135,20.5286,3.2345,1.375
2009-10-31,137.87,61253070.0,283968.8095,20.1057,3.2345,1.375
2009-11-30,145.18,47400060.0,299035.9667,21.1725,3.2345,1.375
2009-12-31,150.88,41955110.0,310776.5985,23.1162,3.2345,1.375
2010-01-31,147.31,39093000.0,303412.9566,22.5685,3.2345,1.375
2010-02-28,153.97,37296070.0,317141.2311,23.5896,3.2345,1.375
2010-03-31,179.2,40042070.0,369108.9883,27.4847,4.7408,1.375
2010-04-30,157.12,62232300.0,323629.9546,24.0982,4.1567,1.375
2010-05-31,166.42,57594790.0,342775.4648,25.5238,4.4026,1.375
2010-06-30,178.51,35878910.0,367688.2987,21.1254,4.6478,1.375
2010-07-31,176.86,46409770.0,364289.6897,20.9302,4.6478,1.375
2010-08-31,176.24,26825160.0,363012.6366,20.8568,4.6478,1.375
2010-09-30,202.05,68250260.0,416175.1204,23.2509,4.5863,1.375
2010-10-31,211.01,36249010.0,434620.3112,24.2814,4.7896,1.375
2010-11-30,223.78,31272634.0,460923.4518,25.7509,5.0794,1.375
2010-12-31,242.48,43347336.0,499441.0187,27.7114,5.4755,1.375
2011-01-31,220.43,40684084.0,454023.2459,25.1914,5.4755,1.375
2011-02-28,211.75,54749800.0,436165.0901,24.2,5.4755,1.375
2011-03-31,221.25,47064768.0,455733.2996,24.5833,4.8321,1.375
2011-04-30,232.88,28857250.0,479678.6085,25.875,5.086,1.375
2011-05-31,238.73,50812784.0,491728.5059,26.525,5.2138,1.375
2011-06-30,248.95,40423934.0,512790.2003,28.6809,5.4322,1.375
2011-07-31,259.1,30417270.0,533697.2922,29.8502,5.4322,1.375
