NBCC IN Equity,price,volume,mc,pe,bm,div
2012-04-30,4.27,77145345.0,11526.0,6.0599,1.4489,0.0
2012-05-31,3.92,16534733.0,10584.0,5.5647,1.3305,0.0
2012-06-30,4.18,21507818.0,11286.0,5.9338,1.4187,0.0
2012-07-31,4.25,80403188.0,11478.0,6.0347,1.4429,0.0
2012-08-31,4.05,11248853.0,10932.0,5.7476,1.3742,0.1556
2012-09-30,4.61,22153568.0,12450.0,6.5457,1.5651,0.1556
2012-10-31,5.99,315605385.0,16164.0,8.4984,2.0319,0.1556
2012-11-30,6.75,245606198.0,18222.0,9.5804,2.2907,0.1556
2012-12-31,7.44,207874958.0,20076.0,10.5552,2.5237,0.1556
2013-01-31,7.31,151889378.0,19740.0,10.3785,2.4815,0.1556
2013-02-28,5.78,68415998.0,15594.0,8.1987,1.9603,0.1556
2013-03-31,5.41,61879185.0,14616.0,7.0445,1.5374,0.1556
2013-04-30,6.33,58537823.0,17094.0,8.2389,1.7981,0.1556
2013-05-31,5.99,30865005.0,16176.0,7.7964,1.7015,0.1556
2013-06-30,6.03,39618653.0,16290.0,7.8514,1.7135,0.1556
2013-07-31,4.95,30975300.0,13368.0,6.443,1.4061,0.1556
2013-08-31,5.07,22082693.0,13680.0,6.5934,1.4389,0.1556
2013-09-30,5.02,12798878.0,13554.0,6.5327,1.4257,0.1667
2013-10-31,5.86,58105868.0,15834.0,7.6316,1.6655,0.1667
2013-11-30,6.01,29141730.0,16224.0,7.8195,1.7065,0.1667
2013-12-31,6.74,42237023.0,18204.0,8.7739,1.9148,0.1667
2014-01-31,6.53,91166715.0,17622.0,8.4933,1.8536,0.1667
2014-02-28,6.12,15887273.0,16518.0,7.9612,1.7375,0.1667
2014-03-31,7.0,95576873.0,18888.0,7.338,1.656,0.1667
2014-04-30,9.35,229509540.0,25242.0,9.8065,2.2131,0.1667
2014-05-31,13.38,265567545.0,36126.0,14.035,3.1673,0.1667
2014-06-30,15.39,220349565.0,41544.0,16.1399,3.6424,0.1667
2014-07-31,20.66,657975060.0,55770.0,21.6667,4.8896,0.1667
2014-08-31,18.77,236920140.0,50688.0,19.6923,4.4441,0.1667
2014-09-30,30.6,1112937683.0,82608.0,32.0932,7.2426,0.2222
2014-10-31,37.48,570502395.0,101196.0,39.3147,8.8724,0.2222
2014-11-30,35.1,384488663.0,94782.0,36.8228,8.31,0.2222
2014-12-31,36.35,460385393.0,98142.0,38.1282,8.6046,0.2222
2015-01-31,39.13,291190005.0,105642.0,41.042,9.2622,0.2222
2015-02-28,38.56,410066685.0,104124.0,40.4522,9.1291,0.2222
2015-03-31,42.53,505635908.0,114840.0,41.2683,8.5804,0.2222
2015-04-30,34.83,239598158.0,94044.0,33.7951,7.0266,0.2222
2015-05-31,34.28,236319030.0,92556.0,33.2604,6.9154,0.2222
2015-06-30,40.22,429775155.0,108582.0,39.0194,8.1128,0.2222
2015-07-31,45.7,484139160.0,123383.9925,44.3386,9.2188,0.2222
2015-08-31,43.44,375691725.0,117276.0,42.1437,8.7624,0.2222
2015-09-30,42.64,176899995.0,115140.0,41.3761,8.6028,0.2444
2015-10-31,41.43,122721030.0,111864.0,40.1988,8.3581,0.2444
2015-11-30,44.77,127178550.0,120882.0,43.4395,9.0318,0.2444
2015-12-31,43.98,107139128.0,118758.0,42.6762,8.8732,0.2444
2016-01-31,42.8,96332378.0,115548.0,41.5227,8.6333,0.2444
2016-02-29,38.4,92524028.0,103668.0,37.2536,7.7457,0.2444
2016-03-31,41.91,107138903.0,113154.0,293.7539,7.3416,0.2444
2016-04-30,44.41,76954455.0,119916.0,311.3084,7.7804,0.2444
2016-05-31,42.13,82266368.0,113754.0,295.3115,7.3806,0.2444
2016-06-30,42.36,58411067.0,114360.0,296.8847,7.4199,0.2444
2016-07-31,54.93,295635231.0,148320.0,385.0467,9.6233,0.2444
2016-08-31,53.61,63006912.0,144750.0,375.7788,9.3916,0.2444
2016-09-30,55.94,80073113.0,151050.0,392.134,9.8004,0.4444
2016-10-31,53.64,195937659.0,144840.0,376.0125,9.3975,0.4444
2016-11-30,50.69,106368359.0,136860.0,355.296,8.8797,0.4444
2016-12-31,53.1,108452687.0,143370.0,372.1963,9.3021,0.4444
2017-01-31,60.17,188535263.0,162450.0,421.729,10.5401,0.4444
2017-02-28,56.28,135544169.0,151965.0,394.5093,9.8598,0.4444
2017-03-31,57.35,115081230.0,154845.0,43.6675,1.2189,0.6211
2017-04-30,66.58,105404547.0,179775.0,50.698,1.4151,0.6211
2017-05-31,64.98,84406176.0,175455.0,49.4797,1.3811,0.6211
2017-06-30,67.5,117757341.0,182250.0,51.3959,1.4346,0.6211
2017-07-31,69.83,77109903.0,188550.0,53.1726,1.4842,0.6211
2017-08-31,68.18,73505085.0,184095.0,51.9162,1.4491,0.6211
2017-09-30,70.87,92203071.0,191340.0,53.9594,1.5062,0.5433
2017-10-31,86.7,164874564.0,234090.0,66.0152,1.8427,0.5433
2017-11-30,87.62,195961491.0,236565.0,66.7132,1.8622,0.5433
2017-12-31,82.3,144403239.0,222210.0,62.665,1.7492,0.5433
2018-01-31,75.32,107512647.0,203355.0,57.3477,1.6007,0.5433
2018-02-28,65.47,139588530.0,176760.0,49.8477,1.3914,0.5433
2018-03-31,63.47,148161171.0,171360.0,48.3094,8.2935,0.3667
2018-04-30,69.93,125443763.0,188820.0,53.2317,9.1386,0.3667
2018-05-31,61.4,88613930.0,165780.0,46.7363,8.0235,0.3667
2018-06-30,49.97,143749244.0,134910.0,38.0335,6.5294,0.3667
2018-07-31,47.03,221942067.0,126990.0,35.8007,6.1461,0.3667
2018-08-31,48.03,185247815.0,129690.0,36.5619,6.2768,0.3667
2018-09-30,39.0,137279124.0,105300.0,29.6859,5.0963,0.5567
2018-10-31,36.83,266873204.0,99450.0,28.0367,4.8132,0.5567
2018-11-30,35.27,238490366.0,95220.0,26.8442,4.6085,0.5567
2018-12-31,38.5,368298714.0,103950.0,29.3053,5.031,0.5567
2019-01-31,39.13,299426643.0,105660.0,29.7874,5.1138,0.5567
2019-02-28,35.23,261603380.0,95130.0,26.8188,4.6041,0.5567
