TVSL IN Equity,price,volume,mc,pe,bm,div
2002-03-31,19.43,6627120.0,8979.0087,15.0755,2.5828,0.9
2002-04-30,23.14,8708520.0,10688.4161,17.9456,3.0746,0.9
2002-05-31,20.13,4739300.0,9297.7901,15.6108,2.6745,0.9
2002-06-30,25.36,2957360.0,11715.2155,19.6696,3.3699,0.9
2002-07-31,21.85,2994280.0,10095.8985,16.9508,2.9041,0.9
2002-08-31,20.88,6299080.0,9646.6016,16.1964,2.7749,0.9
2002-09-30,20.83,941540.0,9621.1915,16.1538,2.7676,0.9
2002-10-31,19.27,3068280.0,8903.9334,14.9495,2.5612,0.7
2002-11-30,23.99,2790260.0,11084.5828,18.6108,3.1885,0.7
2002-12-31,25.39,3175100.0,11729.0756,19.6928,3.3739,0.7
2003-01-31,25.16,2353840.0,11625.1251,19.5183,3.344,0.7
2003-02-28,25.6,5302820.0,11827.251,19.8577,3.4022,0.7
2003-03-31,20.48,3868040.0,9459.4908,6.8044,2.1259,0.7
2003-04-30,20.9,3026380.0,9654.6866,6.9448,2.1697,0.25
2003-05-31,26.96,2032120.0,12456.7287,8.9604,2.7995,0.25
2003-06-30,29.99,3999700.0,13854.2847,9.9657,3.1135,0.6
2003-07-31,29.95,5147540.0,13836.9596,9.9532,3.1096,0.6
2003-08-31,36.6,7803420.0,16910.4279,12.164,3.8003,0.6
2003-09-30,41.43,5457900.0,19138.4325,13.7667,4.3011,0.6
2003-10-31,43.46,3160820.0,20078.6065,14.4429,4.5123,0.65
2003-11-30,48.89,2751880.0,22588.4324,16.2483,5.0764,0.65
2003-12-31,53.43,4895302.0,24682.425,17.7546,5.547,0.65
2004-01-31,52.33,8379442.0,24174.2235,17.389,5.4328,0.65
2004-02-29,49.88,5886016.0,23042.32,16.5748,5.1784,0.65
2004-03-31,43.05,3558474.0,19889.1604,14.8789,3.6379,0.65
2004-04-30,43.45,4374190.0,20073.961,15.0171,3.6717,0.65
2004-05-31,32.88,2414048.0,15618.5184,11.3622,2.7781,0.65
2004-06-30,33.9,2099982.0,16105.4836,11.7165,2.8647,0.65
2004-07-31,32.1,2096564.0,15250.3252,11.0944,2.7126,0.65
2004-08-31,37.65,7887722.0,17887.0637,13.0125,3.1816,0.65
2004-09-30,41.68,6776062.0,19799.2929,14.4036,3.5217,0.65
2004-10-31,37.8,2782416.0,17958.3269,13.0644,3.1943,0.7
2004-11-30,45.28,5438562.0,21509.6098,15.6479,3.826,0.7
2004-12-31,40.9,9485646.0,19431.0997,14.1358,3.4563,0.7
2005-01-31,38.13,19873368.0,18112.7305,13.1767,3.2218,0.7
2005-02-28,36.28,18098364.0,17233.8177,12.5373,3.0654,0.7
2005-03-31,33.98,37770390.0,16141.1152,11.8154,2.4273,0.7
2005-04-30,34.15,7390274.0,16224.2556,11.8763,2.4398,0.7
2005-05-31,37.03,7307554.0,17590.1337,12.8761,2.6452,0.7
2005-06-30,35.78,34332794.0,16996.2737,12.4414,2.5559,0.9
2005-07-31,38.63,32990304.0,18350.2745,13.4326,2.7595,0.9
2005-08-31,38.63,19460674.0,18350.2427,13.4326,2.7595,0.9
2005-09-30,46.48,100701844.0,22079.6771,16.1626,3.3203,0.9
2005-10-31,42.8,61507670.0,20333.7317,14.8845,3.0577,0.7
2005-11-30,49.05,47401546.0,23303.0266,17.0581,3.5043,0.7
2005-12-31,50.08,28550454.0,23789.991,17.4145,3.5775,0.7
2006-01-31,58.4,29846170.0,27745.0918,20.3097,4.1723,0.7
2006-02-28,59.95,27139526.0,28481.477,20.8487,4.283,0.7
