TVSL IN Equity,price,volume,mc,pe,bm,div
2006-03-31,70.22,22662522.0,33362.9978,30.2009,4.4478,0.7
2006-04-30,80.38,73888380.0,36605.4679,34.5661,5.0907,0.7
2006-05-31,61.93,42607722.0,29419.7742,26.6315,3.9221,0.7
2006-06-30,48.93,41647752.0,23243.6407,21.0407,3.0987,0.7
2006-07-31,44.55,37442674.0,21165.1343,19.1592,2.8216,0.9
2006-08-31,46.43,26036250.0,22055.9227,19.9655,2.9404,0.9
2006-09-30,62.23,116637782.0,29562.3003,26.7605,3.9411,0.9
2006-10-31,54.48,31550390.0,25880.3746,23.4275,3.4503,0.975
2006-11-30,48.75,52080956.0,23160.5005,20.9654,3.0877,0.975
2006-12-31,43.63,27213284.0,20725.6786,18.7614,2.7631,0.975
2007-01-31,37.45,40284246.0,17792.0152,16.1057,2.372,0.975
2007-02-28,30.63,36430002.0,14549.5452,13.1706,1.9397,0.975
2007-03-31,29.78,43426014.0,14145.721,19.072,1.7531,0.975
2007-04-30,32.23,33922002.0,15309.6847,20.6413,1.8974,0.975
2007-05-31,32.78,46971184.0,15570.9826,20.9936,1.9298,0.975
2007-06-30,30.48,44942690.0,14478.2821,19.5204,1.7943,0.975
2007-07-31,29.13,38501668.0,13836.9144,18.6557,1.7148,0.975
2007-08-31,32.9,19737342.0,15630.3685,21.0737,1.9371,0.075
2007-09-30,35.03,88072540.0,16639.9576,22.4348,2.0622,0.075
2007-10-31,29.05,47215760.0,13801.3068,18.6076,1.7104,0.075
2007-11-30,32.6,64231542.0,15487.8692,20.8815,1.9194,0.075
2007-12-31,36.17,100195232.0,17186.3089,23.1715,2.1299,0.075
2008-01-31,19.88,125198596.0,9442.3743,12.7307,1.1702,0.075
2008-02-29,21.9,96375994.0,10404.4275,14.0278,1.2894,0.075
2008-03-31,17.45,46113970.0,8290.2858,11.5457,1.1026,0.075
2008-04-30,21.6,88487936.0,10261.9011,11.5457,1.3648,0.075
2008-05-31,18.15,76964736.0,8622.8474,11.5457,1.1468,0.075
2008-06-30,13.23,30570096.0,6283.039,11.5457,0.8356,0.075
2008-07-31,16.02,50181756.0,7613.2854,11.5457,1.0126,0.075
2008-08-31,16.35,25988408.0,7767.689,11.5457,1.0331,0.35
2008-09-30,16.33,24099170.0,7755.8118,11.5457,1.0315,0.35
2008-10-31,14.7,28327202.0,6983.7938,11.5457,0.9288,0.35
2008-11-30,11.43,11415882.0,5427.8805,11.5457,0.7219,0.35
2008-12-31,11.28,25895078.0,5356.6173,11.5457,0.7124,0.35
2009-01-31,8.32,30931444.0,3955.1077,11.5457,0.526,0.35
2009-02-28,9.68,38768880.0,4596.4765,11.5457,0.6113,0.35
2009-03-31,11.35,86901838.0,5392.2489,11.5457,0.8423,0.35
2009-04-30,16.52,162024308.0,7850.8294,11.5457,1.2263,0.35
2009-05-31,22.38,136627316.0,10630.0943,11.5457,1.6605,0.35
2009-06-30,22.58,97596992.0,10725.1119,11.5457,1.6753,0.35
2009-07-31,29.48,93017524.0,14003.2192,11.5457,2.1874,0.35
2009-08-31,24.18,58742712.0,11485.2527,11.5457,1.7941,0.35
2009-09-30,31.65,99439010.0,15036.5356,11.5457,2.3488,0.35
2009-10-31,26.95,48445112.0,12803.6219,11.5457,2.0,0.35
2009-11-30,28.7,34577040.0,13635.026,11.5457,2.1299,0.35
2009-12-31,32.33,38227964.0,15357.22,11.5457,2.3989,0.35
2010-01-31,36.83,120733730.0,17495.1161,11.5457,2.7328,0.7
2010-02-28,35.17,29942334.0,16711.2208,11.5457,2.6104,0.7
2010-03-31,41.18,57355412.0,19561.7489,58.4043,3.1546,0.7
2010-04-30,48.23,93343900.0,22911.1194,68.4043,3.6947,0.7
2010-05-31,52.05,74692642.0,24728.3311,73.8298,3.9878,0.7
2010-06-30,59.75,124703114.0,28386.5088,84.7518,4.5777,0.7
2010-07-31,69.55,207761882.0,33042.3713,98.6525,5.3285,0.75
2010-08-31,71.13,64613486.0,33790.6349,100.8865,5.4492,0.75
2010-09-30,71.55,53262813.0,33992.4818,101.4894,5.4818,0.75
2010-10-31,73.05,50018723.0,34705.1124,103.617,5.5967,0.75
2010-11-30,81.7,122766018.0,38814.6158,115.8865,6.2594,0.75
2010-12-31,70.7,70253823.0,33588.6578,100.2837,5.4167,0.75
2011-01-31,54.45,86711888.0,25868.4924,77.234,4.1717,1.125
2011-02-28,50.65,66289712.0,24063.1615,71.844,3.8805,1.125
2011-03-31,59.85,76149995.0,28433.9628,22.1667,4.165,1.125
2011-04-30,56.35,69481791.0,26771.1579,20.8704,3.9214,1.125
2011-05-31,54.2,51715291.0,25749.7207,20.0741,3.7718,1.125
2011-06-30,53.7,25807314.0,25512.1771,19.8889,3.737,1.125
2011-07-31,49.4,29396006.0,23469.3026,18.2963,3.4378,1.125
2011-08-31,55.25,49071052.0,26248.5621,20.463,3.8449,1.35
2011-09-30,60.95,57841628.0,28956.5586,22.5741,4.2415,1.1
2011-10-31,68.65,40216850.0,32614.7292,25.4259,4.7774,1.1
2011-11-30,59.25,53188636.0,28148.9105,21.9444,4.1232,1.1
2011-12-31,52.0,31683928.0,24704.5291,19.2593,3.6187,1.1
2012-01-31,52.45,55160202.0,24918.3182,19.4259,3.65,1.1
2012-02-29,47.25,73369225.0,22447.8653,17.5,3.2881,1.1
2012-03-31,41.0,53706525.0,19478.571,14.6953,2.697,1.2
2012-04-30,41.0,52319116.0,19478.571,14.6953,2.697,1.2
2012-05-31,33.95,49385057.0,16129.2069,12.1685,2.2332,1.2
2012-06-30,36.45,42637941.0,17316.9247,13.0645,2.3977,1.9
2012-07-31,37.9,83804612.0,18005.801,13.5842,2.493,1.9
2012-08-31,38.7,25102342.0,18385.8707,13.871,2.5457,1.9
2012-09-30,42.3,41942145.0,20096.1842,15.1613,2.7825,1.9
2012-10-31,38.6,29764569.0,18338.362,13.8351,2.5391,1.3
2012-11-30,39.0,15454446.0,18528.3968,13.9785,2.5654,1.3
2012-12-31,41.85,23901453.0,19882.395,15.0,2.7529,1.3
2013-01-31,43.85,30192359.0,20832.5692,15.7168,2.8844,1.3
2013-02-28,38.45,12732299.0,18267.0989,13.7814,2.5292,1.9
2013-03-31,32.3,9690127.0,15345.3132,7.7644,1.7083,1.9
2013-04-30,38.35,69259094.0,18219.5902,9.2188,2.0283,1.9
2013-05-31,35.9,17764795.0,17055.6268,8.6298,1.8987,1.9
2013-06-30,32.85,7022818.0,15606.6111,7.8966,1.7374,1.9
2013-07-31,31.15,8560739.0,14798.9631,7.488,1.6475,1.9
2013-08-31,30.65,7024966.0,14561.4195,7.3678,1.621,1.2
2013-09-30,36.85,15668097.0,17506.9595,8.8582,1.9489,1.2
2013-10-31,50.75,52589595.0,24110.6702,12.1995,2.6841,1.85
2013-11-30,54.75,24424874.0,26011.0186,13.1611,2.8956,1.85
2013-12-31,75.95,48511181.0,36082.865,18.2572,4.0169,1.85
2014-01-31,77.7,54713761.0,36914.2674,18.6779,4.1094,1.85
2014-02-28,86.0,51972152.0,40857.4904,20.6731,4.5484,1.85
2014-03-31,97.1,41393134.0,46130.9571,24.7704,3.974,1.85
2014-04-30,95.4,39530798.0,45323.3091,24.3367,3.9044,1.25
2014-05-31,130.1,73305979.0,61808.8313,33.1888,5.3245,2.0
2014-06-30,162.5,56838563.0,77201.6533,41.4541,6.6506,2.0
2014-07-31,147.3,74759251.0,69980.3294,37.5765,6.0285,1.4
2014-08-31,186.5,67153569.0,88603.7436,47.5765,7.6328,1.4
2014-09-30,227.95,112719710.0,108296.1038,58.1505,9.3292,1.4
2014-10-31,259.15,56174743.0,123118.8212,66.1097,10.6061,1.4
2014-11-30,229.2,57756338.0,108889.9627,58.4694,9.3804,1.4
2014-12-31,268.45,76474359.0,127537.1312,68.4821,10.9867,0.75
2015-01-31,308.2,81554873.0,146421.8433,78.6224,12.6135,0.75
2015-02-28,278.35,63999399.0,132240.468,71.0077,11.3919,1.5
2015-03-31,263.85,53223978.0,125351.7306,38.1838,9.4632,1.5
2015-04-30,235.65,60896357.0,111954.2744,34.1027,8.4517,1.5
2015-05-31,238.15,47827586.0,113141.9922,34.4645,8.5414,1.9
2015-06-30,244.1,34584193.0,115968.7604,35.3256,8.7548,1.9
2015-07-31,238.0,49876707.0,113070.7291,34.4428,8.536,1.9
2015-08-31,223.65,31839736.0,106253.2293,32.3661,8.0214,1.9
2015-09-30,230.05,28272866.0,109293.7867,33.2923,8.2509,1.9
2015-10-31,265.5,51546417.0,126135.6243,38.4226,9.5223,1.9
2015-11-30,307.0,54911449.0,145851.7388,44.4284,11.0108,1.9
2015-12-31,289.8,37357503.0,137680.2408,41.9392,10.3939,1.9
2016-01-31,292.25,35537665.0,138844.2041,42.2938,10.4817,1.9
2016-02-29,268.15,28164001.0,127394.6051,38.8061,9.6174,2.0
2016-03-31,322.8,40168372.0,153358.115,35.7475,8.4333,2.5
2016-04-30,319.8,34917388.0,151932.8537,35.4153,8.3549,2.5
2016-05-31,284.65,58156782.0,135233.5422,31.5227,7.4366,2.5
2016-06-30,309.5,33817681.0,147039.4566,34.2746,8.0858,2.5
2016-07-31,291.75,51802200.0,138606.6606,32.309,7.6221,2.5
2016-08-31,326.05,35443913.0,154902.148,36.1074,8.5182,2.5
2016-09-30,365.85,53384511.0,173810.579,40.515,9.558,2.5
2016-10-31,409.1,47149065.0,194358.0917,45.3045,10.6879,2.5
2016-11-30,374.1,39556131.0,177730.0467,41.4286,9.7736,2.75
2016-12-31,360.5,27320680.0,171268.8635,39.9225,9.4182,2.75
2017-01-31,386.2,31286914.0,183478.5994,42.7685,10.0897,2.75
2017-02-28,428.7,27079522.0,203669.7969,47.4751,11.2,2.75
2017-03-31,430.8,24633532.0,204667.4796,40.0372,9.2357,2.5
2017-04-30,496.0,34232280.0,235643.152,46.0967,10.6335,2.5
2017-05-31,538.3,25562567.0,255739.3321,50.0279,11.5404,2.5
2017-06-30,549.2,24540237.0,260917.7804,51.0409,11.7741,2.5
2017-07-31,582.1,18588329.0,276548.1427,54.0985,12.4794,2.5
2017-08-31,603.7,29556779.0,286810.0219,56.1059,12.9425,2.5
2017-09-30,657.05,25924363.0,312155.9134,61.0641,14.0862,2.5
2017-10-31,723.3,20538263.0,343630.4271,67.2212,15.5065,2.5
2017-11-30,716.3,26642135.0,340304.8181,66.5706,15.3564,3.25
2017-12-31,770.7,19846217.0,366149.5509,71.6264,16.5227,3.25
2018-01-31,696.8,26395015.0,331040.6216,64.7584,14.9384,3.25
2018-02-28,680.95,19604920.0,323510.4927,63.2853,14.5986,3.25
2018-03-31,619.3,15747429.0,294221.3791,45.1056,10.9899,2.6
2018-04-30,667.4,23644397.0,317073.0638,48.6089,11.8435,2.6
2018-05-31,587.35,40433003.0,279042.3495,42.7786,10.4229,2.6
2018-06-30,552.85,21097508.0,262651.848,40.2658,9.8107,2.6
2018-07-31,516.6,30624854.0,245429.9442,37.6256,9.1674,2.6
2018-08-31,569.35,62686443.0,270490.8484,41.4676,10.1035,2.6
2018-09-30,560.05,29493825.0,266072.5382,40.7902,9.9385,2.6
2018-10-31,544.65,40323607.0,258756.1966,39.6686,9.6652,3.4
2018-11-30,557.4,20801031.0,264813.5573,40.5972,9.8914,3.4
2018-12-31,571.25,37719403.0,271393.5139,41.606,10.1372,3.4
2019-01-31,500.0,41656837.0,237543.557,36.4166,8.8728,3.4
2019-02-28,452.95,29367176.0,215190.6567,32.9898,8.0379,3.4
2019-03-31,470.9,26448567.0,223718.4683,31.7532,7.057,3.5
2019-04-30,492.25,26007389.0,233861.5758,33.1929,7.3769,3.5
2019-05-31,479.3,34219403.0,227709.2537,32.3196,7.1829,3.5
2019-06-30,428.2,29820115.0,203432.3022,28.8739,6.4171,3.5
2019-07-31,368.05,50105883.0,174855.8123,24.8179,5.5157,3.5
2019-08-31,352.95,40244085.0,167681.9969,23.7997,5.2894,3.5
2019-09-30,422.0,54477636.0,200486.7621,28.4558,6.3242,3.5
2019-10-31,486.65,56660307.0,231201.144,32.8152,7.293,3.5
2019-11-30,477.25,38486072.0,226735.3252,32.1814,7.1522,3.5
2019-12-31,468.45,36143019.0,222554.5586,31.588,7.0203,1.4
2020-01-31,467.05,32104422.0,221889.4366,31.4936,6.9993,1.4
2020-02-29,435.7,42144607.0,206995.4556,29.3796,6.5295,3.5
2020-03-31,297.55,41219005.0,141362.1708,22.6274,4.3071,3.5
2020-04-30,328.35,94261442.0,155994.8539,24.9696,4.7529,3.5
2020-05-31,335.9,77023775.0,159581.7616,25.5437,4.8622,3.5
2020-06-30,378.35,67358520.0,179749.2096,28.7719,5.4767,3.5
2020-07-31,387.5,59937455.0,184096.2567,29.4677,5.6091,3.5
2020-08-31,432.85,84412635.0,205641.4573,32.9163,6.2655,3.5
2020-09-30,468.3,58840331.0,222483.2955,35.6122,6.7787,3.5
2020-10-31,455.5,74928719.0,216402.1777,34.6388,6.5934,3.5
2020-11-30,499.65,49689140.0,237377.2735,37.9962,7.2325,3.5
2020-12-31,485.0,60710484.0,230417.2474,36.8821,7.0204,3.5
2021-01-31,560.7,107792795.0,266381.3415,42.6388,8.1162,3.5
2021-02-28,594.75,70889091.0,282558.0575,45.2281,8.6091,3.5
2021-03-31,585.05,43939117.0,277949.7125,46.7666,7.2636,3.5
2021-04-30,630.9,77427748.0,299732.4564,50.4317,7.8328,3.5
2021-05-31,615.2,56940964.0,292273.5888,49.1767,7.6379,3.5
2021-06-30,620.5,38384627.0,294791.5505,49.6003,7.7037,3.5
2021-07-31,579.3,45376810.0,275217.9651,46.307,7.1922,3.5
2021-08-31,525.15,39545923.0,249491.9979,41.9784,6.5199,3.5
2021-09-30,549.45,34448943.0,261036.6148,43.9209,6.8216,3.5
2021-10-31,662.55,74444693.0,314768.9674,52.9616,8.2258,3.5
2021-11-30,686.5,82118985.0,326147.3038,54.8761,8.5231,3.5
2021-12-31,627.0,47291694.0,297879.6205,50.1199,7.7844,3.5
2022-01-31,606.3,30245915.0,288045.3172,48.4652,7.5274,3.5
2022-02-28,617.6,69954231.0,293413.8016,49.3685,7.6677,1.4
2022-03-31,625.65,34067008.0,297238.2529,39.275,6.7563,3.75
2022-04-30,654.85,35836548.0,311110.7966,41.108,7.0716,3.75
2022-05-31,736.55,40994099.0,349925.4138,46.2367,7.9538,3.75
2022-06-30,841.95,44693483.0,399999.5956,52.8531,9.092,3.75
2022-07-31,908.05,42050647.0,431402.8539,57.0025,9.8058,3.75
2022-08-31,985.6,29558000.0,468245.8596,61.8707,10.6433,3.75
2022-09-30,1032.25,40982249.0,490408.6734,64.7991,11.147,3.75
2022-10-31,1146.05,30353963.0,544473.587,71.9429,12.3759,3.75
2022-11-30,1048.15,64837906.0,497962.5585,65.7972,11.3187,3.75
2022-12-31,1085.4,36431324.0,515659.5535,68.1356,11.721,3.75
2023-01-31,1036.75,37003725.0,492546.5654,65.0816,11.1956,3.75
2023-02-28,1080.3,28869229.0,513236.6093,67.8154,11.6659,8.75
2023-03-31,1077.2,20731966.0,511763.8392,38.5127,9.2963,5.0
2023-04-30,1138.35,24523448.0,540815.4162,40.699,9.8241,5.0
2023-05-31,1302.8,25345000.0,618943.4921,46.5785,11.2433,5.0
2023-06-30,1325.65,20926665.0,629799.2327,47.3954,11.4405,5.0
2023-07-31,1376.7,27946473.0,654052.4298,49.2206,11.8811,5.0
2023-08-31,1419.9,25904446.0,674576.1932,50.7651,12.2539,5.0
2023-09-30,1521.8,23229091.0,722987.5701,54.4083,13.1333,5.0
2023-10-31,1590.8,19284187.0,755768.581,56.8752,13.7288,5.0
2023-11-30,1864.5,20258244.0,885799.9241,66.6607,16.0908,5.0
2023-12-31,2025.8,19127077.0,962431.4755,72.4276,17.4829,5.0
2024-01-31,2001.35,26065420.0,950815.5956,71.5535,17.2719,5.0
2024-02-29,2139.2,15282747.0,1016306.354,76.4819,18.4615,5.0
2024-03-31,2151.85,19687106.0,1022316.206,61.5342,15.0706,8.0
2024-04-30,2060.0,20806273.0,978679.4548,58.9076,14.4273,8.0
2024-05-31,2179.25,26682307.0,1035333.593,62.3177,15.2625,8.0
2024-06-30,2364.85,21745425.0,1123509.762,67.6251,16.5624,8.0
2024-07-31,2531.0,22218569.0,1202445.486,72.3763,17.726,8.0
2024-08-31,2813.3,26948807.0,1336562.578,80.449,19.7031,8.0
2024-09-30,2839.85,16065799.0,1349176.141,81.2082,19.8891,8.0
2024-10-31,2493.7,23610891.0,1184724.736,71.3097,17.4648,8.0
2024-11-30,2434.45,10802413.0,1156575.825,69.6154,17.0498,8.0
2024-12-31,2368.5,14107567.0,1125243.83,67.7295,16.5879,8.0
2025-01-31,2457.9,20039440.0,1167716.618,70.286,17.214,8.0
2025-02-28,2225.5,17229429.0,1057306.372,63.6403,15.5864,8.0
2025-03-31,2419.85,14475459.0,1149639.553,52.1295,13.5198,10.0
2025-04-30,2672.0,17762324.0,1269432.769,57.5614,14.9286,10.0
2025-05-31,2780.8,17596893.0,1321122.247,59.9052,15.5364,10.0
2025-06-30,2918.0,18541002.0,1386304.199,62.8608,16.303,10.0
2025-07-31,2801.8,14638938.0,1331099.076,60.3576,15.6538,10.0
2025-08-31,3276.6,24769520.0,1556670.438,70.586,18.3065,10.0
2025-09-30,3438.7,15963792.0,1633682.059,74.078,19.2121,10.0
2025-10-31,3508.7,16029387.0,1666938.157,75.586,19.6032,10.0
2025-11-30,3531.5,17900738.0,1677770.143,76.0771,19.7306,10.0
2025-12-31,3719.8,13397428.0,1767229.047,80.1336,20.7827,10.0
2026-01-31,3677.4,15957998.0,1747085.353,79.2202,20.5458,10.0
2026-02-28,3869.7,13525968.0,1838444.605,83.3628,21.6202,10.0
2026-03-31,3818.75,2984269.0,1814238.917,82.2652,21.3355,10.0
