MOTHERSO IN Equity,price,volume,mc,pe,bm,div
2002-04-30,0.21,15858270.0,1503.2928,7.5398,1.3509,0.0104
2002-05-31,0.2,463242.0,1409.337,7.0685,1.2664,0.0104
2002-06-30,0.24,2379260.0,1687.2896,8.4626,1.5162,0.0104
2002-07-31,0.2,2623759.0,1424.9963,7.1471,1.2805,0.0104
2002-08-31,0.22,181068.0,1581.5893,7.9325,1.4212,0.013
2002-09-30,0.2,461320.0,1414.8177,7.096,1.2714,0.013
2002-10-31,0.23,485347.0,1597.2486,8.011,1.4353,0.013
2002-11-30,0.25,896307.0,1738.1823,8.7179,1.5619,0.013
2002-12-31,0.23,1182133.0,1617.6057,8.1131,1.4536,0.013
2003-01-31,0.28,6520955.0,1973.0718,9.8959,1.773,0.013
2003-02-28,0.29,2712948.0,2029.4453,10.1787,1.8237,0.013
2003-03-31,0.25,1973874.0,1785.1602,4.8751,1.3354,0.013
2003-04-30,0.4,2681809.0,2840.597,7.7573,2.125,0.013
2003-05-31,0.63,52009636.0,4466.0323,12.1962,3.3409,0.013
2003-06-30,0.74,16322858.0,5198.8876,14.1976,3.8891,0.013
2003-07-31,0.84,28651451.0,5950.5339,16.2502,4.4514,0.013
2003-08-31,0.84,6203797.0,5941.1384,16.2246,4.4444,0.013
2003-09-30,0.88,10970389.0,6224.5717,16.9986,4.6564,0.0195
2003-10-31,0.84,20281563.0,5956.7977,16.2673,4.4561,0.0195
2003-11-30,1.21,42360738.0,8537.4503,23.3148,6.3866,0.0195
2003-12-31,1.38,27280946.0,9727.5571,26.5648,7.2768,0.0195
2004-01-31,1.29,16863180.0,9082.3939,24.803,6.7942,0.0195
2004-02-29,1.21,6462136.0,8573.4667,23.4132,6.4135,0.0195
2004-03-31,1.09,14399076.0,7673.0474,10.0184,4.0623,0.0195
2004-04-30,1.06,86038968.0,7516.4546,9.8139,3.9794,0.0195
2004-05-31,0.86,18278164.0,6099.2897,7.9636,3.2291,0.0195
2004-06-30,0.92,4478959.0,6467.2828,8.4441,3.424,0.0195
2004-07-31,0.97,10027912.0,6882.2537,8.9859,3.6436,0.0195
2004-08-31,1.33,23224172.0,9434.7164,12.3185,4.995,0.0195
2004-09-30,1.67,66301955.0,11783.6085,15.3854,6.2386,0.026
2004-10-31,1.8,17213475.0,12707.506,16.5917,6.7277,0.026
2004-11-30,2.04,68193407.0,14398.7083,18.7998,7.6231,0.026
2004-12-31,2.31,49616691.0,16301.3109,21.284,8.6304,0.026
2005-01-31,2.04,292803078.0,14414.3676,18.8203,7.6314,0.026
2005-02-28,2.15,87300807.0,15209.0761,19.8579,8.0521,0.026
2005-03-31,1.98,45510940.0,14011.1411,14.2083,5.4256,0.026
2005-04-30,1.97,203988717.0,13937.7239,14.1368,5.3983,0.026
2005-05-31,2.17,99625146.0,15335.0189,15.554,5.9395,0.026
2005-06-30,2.39,99072048.0,16884.9595,17.1261,6.5398,0.026
2005-07-31,2.66,100003813.0,18787.1594,19.0555,7.2765,0.026
2005-08-31,2.75,64462491.0,19444.71,19.7224,7.5312,0.039
2005-09-30,2.85,172648794.0,20149.2285,20.437,7.8041,0.039
2005-10-31,2.56,105866297.0,18082.6409,18.3409,7.0037,0.039
2005-11-30,2.69,52032087.0,19021.9989,19.2937,7.3675,0.039
2005-12-31,2.79,71269144.0,19738.2594,20.0202,7.6449,0.039
2006-01-31,2.66,39187648.0,18798.9014,19.0674,7.2811,0.039
2006-02-28,2.83,112990287.0,19984.8408,20.2703,7.7404,0.039
2006-03-31,3.51,64350647.0,24787.3085,20.5267,7.3409,0.039
2006-04-30,3.44,27402273.0,24435.0492,20.1086,7.1914,0.039
2006-05-31,3.06,32212818.0,21593.4914,17.8819,6.395,0.039
2006-06-30,2.9,19260866.0,20489.7457,16.9678,6.0681,0.039
2006-07-31,2.72,6541086.0,19245.0964,15.9371,5.6995,0.0449
2006-08-31,2.94,13672458.0,20748.0692,17.1817,6.1446,0.0449
2006-09-30,3.27,47272979.0,23119.9481,19.1459,6.8471,0.0449
2006-10-31,3.12,27441895.0,22016.2024,18.2319,6.5202,0.0449
2006-11-30,3.4,46849871.0,24059.306,19.9238,7.1253,0.0449
2006-12-31,3.65,23845006.0,25761.8924,21.3338,7.6295,0.0449
2007-01-31,3.66,21149512.0,25832.3442,21.3921,7.6504,0.0449
2007-02-28,3.52,29992766.0,24857.7603,20.585,7.3617,0.0449
2007-03-31,3.57,39849284.0,25198.2776,16.5753,5.6553,0.0449
2007-04-30,3.66,9823585.0,25832.3442,16.9924,5.7976,0.0449
2007-05-31,4.12,80658807.0,29120.0971,19.155,6.5354,0.0449
2007-06-30,4.04,16946627.0,28521.2564,18.7611,6.401,0.0449
2007-07-31,4.26,13747627.0,30082.939,19.7884,6.7515,0.0585
2007-08-31,4.79,26820215.0,33852.1078,22.2677,7.5974,0.0585
2007-09-30,5.51,10792093.0,38924.6198,25.6044,8.7359,0.0585
2007-10-31,4.79,8505807.0,33834.4772,22.2561,7.5935,0.0585
2007-11-30,4.86,6970994.0,34412.3165,22.5689,7.7002,0.0585
2007-12-31,5.74,42902857.0,40683.5303,26.6819,9.1035,0.0585
