IDBI IN Equity,price,volume,mc,pe,bm,div
2020-12-31,31.1,192955015.0,334399.7129,30.7921,0.9043,0.0
2021-01-31,27.75,273582458.0,298379.165,27.4752,0.8069,0.0
2021-02-28,31.55,459263492.0,339238.294,31.2376,0.9174,0.0
2021-03-31,38.55,922873834.0,414505.1104,26.7708,1.1016,0.0
2021-04-30,35.25,289905368.0,379022.1826,24.4792,1.0073,0.0
2021-05-31,38.45,561570006.0,413429.8701,26.7014,1.0987,0.0
2021-06-30,37.9,342941348.0,407516.0488,20.4865,1.0657,0.0
2021-07-31,37.95,215427884.0,408053.6625,20.5135,1.0671,0.0
2021-08-31,38.5,212953713.0,413967.4837,20.8108,1.0826,0.0
2021-09-30,46.3,632041392.0,497836.2207,22.2596,1.2823,0.0
2021-10-31,51.05,872987806.0,548910.131,24.5433,1.4138,0.0
2021-11-30,45.45,273596924.0,488696.6789,21.851,1.2587,0.0
2021-12-31,46.4,290550936.0,498911.4609,20.4405,1.2653,0.0
2022-01-31,48.25,270395578.0,518803.4049,21.2555,1.3157,0.0
2022-02-28,44.0,219677196.0,473105.6957,19.3833,1.1998,0.0
2022-03-31,42.8,167605314.0,460202.8131,18.1356,1.081,0.0
2022-04-30,45.3,177245097.0,487083.8185,19.1949,1.1441,0.0
2022-05-31,36.65,159268703.0,394075.5397,15.5297,0.9257,0.0
2022-06-30,30.8,109282746.0,331173.987,12.2709,0.7639,0.0
2022-07-31,35.35,156659129.0,380097.4169,14.0837,0.8767,0.0
2022-08-31,43.95,403042794.0,472568.0756,17.51,1.09,0.0
2022-09-30,41.25,230940975.0,443536.5897,15.3918,1.0045,0.0
2022-10-31,43.9,210712386.0,472030.4555,16.3806,1.069,0.0
2022-11-30,53.45,417861041.0,574715.8963,19.944,1.3015,0.0
2022-12-31,54.35,613634293.0,584393.0582,18.1773,1.2961,0.0
2023-01-31,52.2,407139737.0,561275.3935,17.4582,1.2448,0.0
2023-02-28,48.3,139276356.0,519341.0251,16.1538,1.1518,0.0
2023-03-31,45.0,165881374.0,483858.0979,13.0814,1.0446,0.0
2023-04-30,54.65,148850666.0,587618.7789,15.8866,1.2686,0.0
2023-05-31,55.05,177667407.0,591919.7397,16.0029,1.2779,0.0
2023-06-30,55.35,125481935.0,595145.4604,14.3023,1.2513,0.0
2023-07-31,57.95,242719798.0,623101.706,14.9742,1.3101,1.0
2023-08-31,59.8,364321216.0,642993.6501,15.4522,1.3519,1.0
2023-09-30,70.75,492579111.0,760732.4539,15.9347,1.588,1.0
2023-10-31,61.85,245621334.0,665036.0745,13.9302,1.3883,1.0
2023-11-30,62.5,165003879.0,672025.1359,14.0766,1.4029,1.0
2023-12-31,67.4,257799994.0,724711.9066,13.5887,1.4671,1.0
2024-01-31,86.6,694117372.0,931158.0284,17.4597,1.8851,1.0
2024-02-29,86.45,585095889.0,929545.168,17.4294,1.8818,1.0
2024-03-31,81.0,190833100.0,870944.5762,15.0558,1.7053,1.0
2024-04-30,90.35,245232953.0,971479.5365,16.7937,1.9021,1.0
2024-05-31,85.6,190244386.0,920405.6262,15.9108,1.8021,1.0
2024-06-30,83.97,210201922.0,902879.2106,14.3538,1.6627,1.0
2024-07-31,103.68,816086018.0,1114809.058,17.7231,2.053,1.5
2024-08-31,94.75,324807707.0,1018790.106,16.1966,1.8761,1.5
2024-09-30,87.19,225393143.0,937501.9456,13.8617,1.7146,1.5
2024-10-31,83.55,182859355.0,898363.2017,13.283,1.643,1.5
2024-11-30,81.99,123540791.0,881589.4543,13.035,1.6123,1.5
2024-12-31,76.49,124323144.0,822451.2424,11.4164,1.4536,1.5
2025-01-31,81.12,283069615.0,872234.8644,12.1075,1.5416,1.5
2025-02-28,69.24,85666315.0,744496.3266,10.3343,1.3158,1.5
2025-03-31,77.7,128698953.0,835461.649,10.9591,1.3558,1.5
2025-04-30,79.83,155856651.0,858364.2656,11.2595,1.393,1.5
2025-05-31,96.81,270773145.0,1040940.055,13.6544,1.6893,1.5
2025-06-30,103.43,356272259.0,1112120.957,14.053,1.746,1.5
2025-07-31,92.67,184753805.0,996425.1096,12.591,1.5643,2.1
2025-08-31,85.67,163557005.0,921158.2943,11.6399,1.4462,2.1
2025-09-30,91.42,172751886.0,982984.6068,10.5933,1.443,2.1
2025-10-31,103.8,353590566.0,1116099.346,12.0278,1.6384,2.1
2025-11-30,100.38,251169321.0,1079326.13,11.6315,1.5844,2.1
2025-12-31,102.99,185985556.0,1107389.9,11.9201,1.5904,2.1
2026-01-31,99.57,442742600.0,1070616.685,11.5243,1.5376,2.1
2026-02-28,116.01,550874473.0,1247386.176,13.4271,1.7915,2.1
2026-03-31,110.45,62785889.0,1187602.787,12.7836,1.7056,2.1
