ABREL IN Equity,price,volume,mc,pe,bm,div
2010-03-31,222.18,18245565.0,47351.1082,6.0905,1.1646,4.5
2010-04-30,228.82,17387768.0,48765.4074,6.2724,1.1993,4.5
2010-05-31,199.59,15338855.0,42535.9778,5.4712,1.0461,4.5
2010-06-30,201.25,11418135.0,42889.5526,5.5167,1.0548,4.5
2010-07-31,195.07,11418801.0,41572.9517,5.3473,1.0224,5.5
2010-08-31,209.48,24801470.0,44643.4697,5.7423,1.098,5.5
2010-09-30,219.48,15410961.0,46774.223,6.0163,1.1504,5.5
2010-10-31,218.49,12994414.0,46564.8695,5.9894,1.1452,5.5
2010-11-30,190.25,11860360.0,40544.7935,5.2151,0.9972,5.5
2010-12-31,186.93,8115239.0,39837.6439,5.1241,0.9798,5.5
2011-01-31,143.7,10422656.0,30626.0901,3.9393,0.7532,5.5
2011-02-28,132.77,12384226.0,28295.2879,3.6395,0.6959,5.5
2011-03-31,153.05,10754161.0,32617.2745,5.9972,0.7291,5.5
2011-04-30,156.93,9517085.0,33445.3838,6.1494,0.7476,5.5
2011-05-31,144.49,9180582.0,30793.5729,5.6619,0.6884,5.5
2011-06-30,153.9,15704867.0,32798.7142,6.0305,0.7332,5.5
2011-07-31,150.56,10244650.0,32086.9123,5.8997,0.7173,5.5
2011-08-31,124.36,9002916.0,26504.1524,4.8732,0.5925,5.5
2011-09-30,133.88,11752797.0,28532.5552,5.2461,0.6378,5.5
2011-10-31,140.89,9556643.0,30025.9434,5.5207,0.6712,5.5
2011-11-30,113.75,12358748.0,24243.1347,4.4575,0.5419,5.5
2011-12-31,99.08,12124438.0,21116.7892,3.8826,0.472,5.5
2012-01-31,122.09,15761933.0,26020.3132,4.7842,0.5817,5.5
2012-02-29,138.23,16157105.0,29458.3628,5.4164,0.6585,5.5
2012-03-31,161.04,42382689.0,34319.9065,67.6627,0.7891,5.5
2012-04-30,142.96,26424743.0,30467.8145,60.0682,0.7005,5.5
2012-05-31,118.53,26370994.0,25261.9076,49.8046,0.5808,5.5
2012-06-30,135.17,18895599.0,28806.9487,56.7938,0.6623,5.5
2012-07-31,126.7,14128415.0,27001.8622,53.235,0.6208,5.5
2012-08-31,136.78,22026634.0,29151.2178,57.4725,0.6702,5.5
2012-09-30,156.82,16847712.0,33422.0155,65.8925,0.7684,5.5
2012-10-31,168.79,22472150.0,35971.4676,70.9188,0.827,5.5
2012-11-30,180.95,16971658.0,38562.7904,76.0277,0.8866,5.5
2012-12-31,181.01,19917575.0,38576.7473,76.0552,0.8869,5.5
2013-01-31,170.25,18527446.0,36283.1707,71.5334,0.8342,5.5
2013-02-28,141.67,13919899.0,30193.3297,59.5271,0.6942,5.5
2013-03-31,125.32,13833794.0,26708.7682,51.6849,0.646,5.5
2013-04-30,125.78,11339069.0,26806.4662,51.6849,0.6484,5.5
2013-05-31,122.01,20380504.0,26001.6209,51.6849,0.6289,5.5
2013-06-30,115.13,11862701.0,24536.1451,51.6849,0.5935,5.5
2013-07-31,95.37,23446511.0,20325.8282,51.6849,0.4917,5.5
2013-08-31,94.78,19205526.0,20200.2165,51.6849,0.4886,5.5
2013-09-30,105.26,17360703.0,22433.3128,51.6849,0.5426,5.5
2013-10-31,120.43,16114049.0,25666.6501,51.6849,0.6208,5.5
2013-11-30,119.23,15933308.0,25410.7744,51.6849,0.6147,5.5
2013-12-31,136.92,29621324.0,29179.1244,51.6849,0.7058,5.5
2014-01-31,129.28,38128308.0,27550.825,51.6849,0.6664,5.5
2014-02-28,139.62,19998584.0,29756.0076,51.6849,0.7198,5.5
2014-03-31,158.61,19653755.0,33803.4945,546.9456,0.8446,5.5
2014-04-30,146.26,14296942.0,31170.3019,504.3402,0.7788,5.5
2014-05-31,208.6,51722514.0,44457.2246,719.3246,1.1108,5.5
2014-06-30,257.33,20578505.0,54841.1221,887.3376,1.3702,5.5
2014-07-31,263.46,33609915.0,56148.4139,908.4898,1.4029,5.5
2014-08-31,259.1,18146009.0,55217.9571,893.4349,1.3796,5.5
2014-09-30,237.51,24903229.0,50616.8484,818.9882,1.2647,5.5
2014-10-31,242.61,14835262.0,51705.4828,836.6025,1.2919,5.5
2014-11-30,236.5,13690450.0,50402.8433,815.5256,1.2593,5.5
2014-12-31,228.88,18133920.0,48779.1963,789.2548,1.2188,5.5
2015-01-31,250.71,16729412.0,53431.4801,864.5294,1.335,5.5
2015-02-28,231.77,19159570.0,49393.4678,799.191,1.2341,5.5
2015-03-31,278.18,36693052.0,59284.0532,167.5754,1.368,5.5
2015-04-30,319.08,60863993.0,68002.4332,192.2193,1.5692,5.5
2015-05-31,293.87,46224589.0,68330.2031,177.0306,1.4452,5.5
2015-06-30,307.89,36616489.0,71588.8564,185.4731,1.5141,5.5
