WPRO IN Equity,price,volume,mc,pe,bm,div
2001-06-30,23.41,744017616.0,325363.3571,39.5859,13.8396,0.0094
2001-07-31,24.16,710141191.0,335835.7345,40.8599,14.285,0.0094
2001-08-31,24.84,403444460.0,345249.4088,42.0053,14.6855,0.0094
2001-09-30,17.64,1203597860.0,245232.7803,27.905,9.522,0.0094
2001-10-31,17.96,1209704100.0,249637.4489,28.4062,9.693,0.0094
2001-11-30,24.21,837882571.0,336512.1196,38.2915,13.0661,0.0094
2001-12-31,26.8,917669394.0,372484.297,40.3927,13.1556,0.0094
2002-01-31,27.54,731129617.0,382734.8789,41.5043,13.5176,0.0094
2002-02-28,26.46,329668357.0,367768.2278,39.8798,12.9885,0.0094
2002-03-31,28.46,276091400.0,395546.963,43.4323,12.853,0.0094
2002-04-30,25.75,346581209.0,358000.5591,39.3075,11.6324,0.0094
2002-05-31,25.42,197925483.0,353361.0815,38.797,11.4813,0.0094
2002-06-30,24.79,121401274.0,344625.7692,36.9275,10.553,0.0188
2002-07-31,19.12,213858283.0,265802.9768,28.4813,8.1393,0.0188
2002-08-31,21.23,233495135.0,295186.0113,31.6288,9.0388,0.0188
2002-09-30,22.13,390891074.0,307730.2544,32.7149,8.8412,0.0188
2002-10-31,22.92,441594965.0,318716.4543,33.8828,9.1568,0.0188
2002-11-30,28.2,426455499.0,392051.1268,41.6759,11.2629,0.0188
2002-12-31,27.27,412952033.0,379153.8433,40.2466,10.1595,0.0188
2003-01-31,23.46,353950596.0,326297.4839,34.6316,8.7421,0.0188
2003-02-28,24.55,143625486.0,341420.1912,36.2359,9.147,0.0188
2003-03-31,20.54,147419033.0,285661.8867,29.3674,7.2,0.0188
2003-04-30,14.5,313263344.0,201642.4424,20.7294,5.0823,0.0188
2003-05-31,13.47,340269476.0,187366.5597,19.2615,4.7224,0.0188
2003-06-30,15.83,268053533.0,220216.4654,23.1613,5.2683,0.0188
2003-07-31,15.77,312100038.0,219297.8309,23.0646,5.2463,0.0188
2003-08-31,17.82,220360469.0,247810.4008,26.0635,5.9284,0.0188
2003-09-30,20.96,386719981.0,291509.4676,29.9377,6.6286,0.0188
2003-10-31,22.47,355646382.0,312428.7672,32.086,7.1042,0.0188
2003-11-30,25.73,278941586.0,357895.3624,36.7554,8.1381,0.0188
2003-12-31,29.06,290654545.0,404128.5719,39.6171,8.5807,0.0188
2004-01-31,26.05,302580838.0,362369.6748,35.5143,7.692,0.0188
2004-02-29,24.37,207870123.0,339192.3152,33.2309,7.1975,0.0188
2004-03-31,22.73,171589858.0,316384.7715,26.3954,6.0586,0.0188
2004-04-30,25.83,177702338.0,359483.7081,29.9896,6.8836,0.0188
2004-05-31,25.54,183057058.0,355520.4308,29.6556,6.807,0.5438
2004-06-30,26.69,179063795.0,371608.7378,27.7554,8.4547,0.5438
2004-07-31,27.43,158112881.0,381887.2551,28.5223,8.6883,0.5438
2004-08-31,29.02,193136613.0,404070.9865,30.1786,9.1928,0.5438
2004-09-30,29.93,120459603.0,416972.5667,27.6662,8.541,0.5438
2004-10-31,32.99,116088474.0,459683.5162,30.4903,9.4129,0.5438
2004-11-30,38.44,69463623.0,535950.2161,35.5288,10.9683,0.5438
2004-12-31,37.53,54184068.0,524267.2375,30.6873,9.0535,0.5438
2005-01-31,35.39,339933867.0,495241.9745,28.9376,8.5373,0.5438
2005-02-28,35.09,245887117.0,491741.797,28.6976,8.4665,0.5438
2005-03-31,33.66,268317604.0,471877.2021,25.7444,7.4005,0.5438
2005-04-30,31.65,370179821.0,443808.303,24.2038,6.9577,0.5438
2005-05-31,35.91,240056504.0,503683.0257,27.4634,7.8946,0.075
2005-06-30,38.44,326612161.0,539445.6406,27.4803,7.7639,0.2813
2005-07-31,36.94,259878778.0,519031.9198,26.4062,7.4604,0.2813
2005-08-31,36.59,215552096.0,514811.1073,26.1534,7.389,0.2813
