HSCH IN Equity,price,volume,mc,pe,bm,div
2008-03-31,43.61,12598500.0,13741.947,11.0163,4.0303,0.5
2008-04-30,39.99,2084140.0,12599.6732,10.1006,3.6953,0.5
2008-05-31,41.06,1316910.0,12938.4165,10.3722,3.7947,0.5
2008-06-30,35.66,1752040.0,11235.2469,9.0068,3.2952,0.5
2008-07-31,30.5,1010070.0,9610.8549,7.7046,2.8187,0.5
2008-08-31,29.99,643070.0,9550.6121,7.5745,2.7711,0.5
2008-09-30,32.48,1920020.0,10345.302,8.2048,3.0017,0.2
2008-10-31,13.13,1972430.0,4182.0363,3.3168,1.2134,0.2
2008-11-30,11.5,2452600.0,3662.865,2.905,1.0628,0.2
2008-12-31,11.72,57185960.0,3732.9372,2.9606,1.0831,0.2
2009-01-31,8.68,38153110.0,2763.0742,2.1914,0.8017,0.2
2009-02-28,8.0,4814600.0,2548.08,2.0209,0.7393,0.2
2009-03-31,9.2,1872390.0,2930.292,6.2585,0.7635,0.2
2009-04-30,11.18,2912440.0,3560.9418,7.6054,0.9278,0.2
2009-05-31,20.16,5250060.0,6419.569,13.7109,1.6726,0.2
2009-06-30,27.01,12219600.0,8604.5476,18.3776,2.2418,0.2
2009-07-31,33.21,7871150.0,10576.1245,22.5884,2.7555,0.2
2009-08-31,37.01,16042790.0,11939.0348,25.1735,3.0709,0.2
2009-09-30,35.96,2844040.0,11603.4965,24.466,2.9846,0.1
2009-10-31,33.81,3782910.0,10906.6092,22.9966,2.8053,0.1
2009-11-30,33.36,3344480.0,10761.4243,22.6905,2.768,0.1
2009-12-31,43.73,34860180.0,14108.7419,29.7483,3.6289,0.1
2010-01-31,40.01,11819670.0,12906.9339,27.2143,3.3198,0.1
2010-02-28,39.32,3826920.0,15165.0927,26.7449,3.2626,0.1
2010-03-31,47.77,37462030.0,18424.5365,14.7735,2.4876,0.1
2010-04-30,54.37,12223570.0,20972.3029,16.8164,2.8316,0.1
2010-05-31,52.18,3505100.0,20125.619,16.1375,2.7173,0.1
2010-06-30,49.95,2805060.0,19265.4344,15.4477,2.6012,0.1
2010-07-31,52.98,1584340.0,20434.2054,16.3849,2.759,0.1
2010-08-31,47.72,3491130.0,18407.1785,14.7596,2.4853,0.1
2010-09-30,48.55,1588670.0,18727.3369,15.0163,2.5285,0.1
2010-10-31,49.66,1682340.0,19153.5718,15.358,2.5861,0.1
2010-11-30,51.4,4691452.0,19826.6559,15.8978,2.6769,0.1
2010-12-31,49.55,1109248.0,19113.0506,15.3256,2.5806,0.1
2011-01-31,38.25,496726.0,14754.2721,11.8305,1.9921,0.1
2011-02-28,35.65,923809.0,13751.3674,11.0264,1.8567,0.1
2011-03-31,43.6,1404756.0,16817.9416,14.8299,1.9884,0.1
2011-04-30,39.9,1757544.0,15390.7309,13.5714,1.8196,0.1
2011-05-31,39.2,850311.0,15120.7181,13.3333,1.7877,0.1
2011-06-30,40.7,1013052.0,15699.317,13.8435,1.8561,0.1
2011-07-31,56.6,8933400.0,21832.4654,19.2517,2.5812,0.1
2011-08-31,51.25,2095307.0,19768.796,17.432,2.3372,0.1
2011-09-30,48.8,829536.0,18823.7511,16.5986,2.2255,0.1
2011-10-31,53.35,726617.0,20578.8345,18.1463,2.433,0.1
2011-11-30,53.8,2163923.0,20752.4141,18.2993,2.4535,0.1
2011-12-31,47.75,763991.0,18418.7319,16.2415,2.1776,0.1
2012-01-31,42.75,293483.0,16490.0689,14.5408,1.9496,0.1
2012-02-29,41.9,626579.0,16162.1961,14.2517,1.9108,0.1
2012-03-31,37.85,591722.0,14599.9791,25.5743,1.633,0.1
2012-04-30,34.2,443783.0,13192.0551,23.1081,1.4756,0.1
2012-05-31,27.5,306250.0,10607.6466,18.5811,1.1865,0.1
2012-06-30,33.1,1620327.0,12767.7492,22.3649,1.4281,0.1
2012-07-31,30.7,713392.0,11841.991,20.7432,1.3245,0.1
2012-08-31,26.05,493202.0,10048.3344,17.6014,1.1239,0.1
2012-09-30,29.7,912511.0,11456.2584,20.0676,1.2814,0.1
2012-10-31,28.1,1420104.0,10839.0862,18.9865,1.2124,0.1
2012-11-30,25.85,789299.0,9971.1878,17.4662,1.1153,0.1
2012-12-31,23.95,673871.0,9238.2959,16.1824,1.0333,0.1
2013-01-31,22.05,866826.0,8505.4039,14.8986,0.9513,0.1
2013-02-28,17.65,594792.0,6808.1805,11.9257,0.7615,0.1
2013-03-31,12.95,606902.0,4995.2372,53.9583,0.5634,0.1
2013-04-30,13.55,509360.0,5226.6768,56.4583,0.5895,0.1
2013-05-31,17.05,2956337.0,6576.7409,71.0417,0.7417,0.1
2013-06-30,14.55,256642.0,5612.409,60.625,0.633,0.1
2013-07-31,13.75,238137.0,5303.8229,57.2917,0.5982,0.1
2013-08-31,13.15,390267.0,5072.3834,54.7917,0.5721,0.1
2013-09-30,14.15,211913.0,5458.1159,58.9583,0.6156,0.1
2013-10-31,15.35,389357.0,5920.995,63.9583,0.6678,0.1
2013-11-30,16.0,249378.0,6171.7212,66.6667,0.696,0.1
2013-12-31,18.5,841581.0,7136.0526,77.0833,0.8048,0.1
2014-01-31,16.0,365133.0,6171.7212,66.6667,0.696,0.1
2014-02-28,17.4,1061262.0,6711.7468,72.5,0.7569,0.1
2014-03-31,20.7,1311384.0,7984.6643,85.625,1.0034,0.1
2014-04-30,20.1,752788.0,7753.2247,85.625,0.9743,0.1
2014-05-31,24.1,2112453.0,9296.155,85.625,1.1682,0.1
2014-06-30,29.15,1693752.0,11244.1045,85.625,1.413,0.1
2014-07-31,27.45,3269006.0,10588.3592,85.625,1.3306,0.1
2014-08-31,27.8,1398458.0,10723.3656,85.625,1.3475,0.1
2014-09-30,31.1,4355923.0,11996.2831,85.625,1.5075,0.1
2014-10-31,28.75,820115.0,11089.8115,85.625,1.3936,0.1
2014-11-30,28.85,2709118.0,11128.3848,85.625,1.3984,0.1
2014-12-31,23.8,1742254.0,9180.4353,85.625,1.1536,0.1
2015-01-31,23.85,1491880.0,9199.7219,85.625,1.1561,0.1
2015-02-28,19.4,903006.0,7483.2202,85.625,0.9404,0.1
2015-03-31,15.1,2533733.0,5824.5619,85.625,0.7387,0.1
2015-04-30,19.2,1355012.0,7406.0654,85.625,0.9393,0.1
2015-05-31,16.55,349792.0,6383.8741,85.625,0.8096,0.1
2015-06-30,15.3,410807.0,5901.7084,85.625,0.7485,0.1
2015-07-31,18.3,1670881.0,7058.9061,85.625,0.8952,0.1
2015-08-31,15.9,2574079.0,6133.1479,85.625,0.7778,0.1
2015-09-30,15.35,476900.0,5920.995,85.625,0.7509,0.1
2015-10-31,16.5,1023611.0,6364.5875,85.625,0.8072,0.1
2015-11-30,14.95,1271846.0,5766.702,85.625,0.7313,0.0
2015-12-31,15.05,13265468.0,5805.2752,85.625,0.7362,0.0
2016-01-31,14.3,158545919.0,5515.9758,85.625,0.6995,0.0
2016-02-29,14.75,95572779.0,5689.5555,85.625,0.7216,0.0
2016-03-31,15.75,22978403.0,6075.288,85.625,0.75,0.0
2016-04-30,18.15,31897910.0,7001.0462,85.625,0.8642,0.0
2016-05-31,19.45,30442276.0,7502.4986,85.625,0.9262,0.0
2016-06-30,33.0,106909910.0,13807.4596,85.625,1.5714,0.0
2016-07-31,33.25,56939107.0,13912.0616,85.625,1.5833,0.0
2016-08-31,35.65,58399359.0,14916.2405,85.625,1.6975,0.0
2016-09-30,39.55,39882200.0,16548.0312,85.625,1.8833,0.05
2016-10-31,47.15,31020038.0,19727.9309,85.625,2.2451,0.05
2016-11-30,37.4,25384426.0,15648.4542,85.625,1.7809,0.05
2016-12-31,33.25,12825949.0,13912.0616,85.625,1.5833,0.05
2017-01-31,42.05,20502098.0,17594.0508,85.625,2.0023,0.05
2017-02-28,43.4,23947745.0,18158.9014,85.625,2.0666,0.05
2017-03-31,43.75,17722753.0,18305.3442,22.096,1.777,0.05
2017-04-30,56.05,37832403.0,23451.761,28.3081,2.2766,0.05
2017-05-31,60.1,41441152.0,25146.3128,30.3535,2.4411,0.05
2017-06-30,78.6,21888717.0,32886.8584,39.697,3.1926,0.05
2017-07-31,86.5,22969964.0,36192.2805,43.6869,3.5135,0.05
2017-08-31,105.1,37942883.0,43974.6669,53.0808,4.269,0.05
2017-09-30,139.75,70138922.0,58472.4995,70.5808,5.6764,0.1
2017-10-31,173.45,66582027.0,72572.8446,87.601,7.0452,0.1
2017-11-30,164.4,48219749.0,68786.2523,83.0303,6.6776,0.1
2017-12-31,153.75,21818810.0,64330.2086,77.6515,6.245,0.1
