HSCH IN Equity,price,volume,mc,pe,bm,div
2018-01-31,176.4,75910017.0,73807.1467,89.0909,7.165,0.1
2018-02-28,160.3,40958104.0,67070.7811,80.9596,6.5111,0.1
2018-03-31,146.15,24376824.0,61150.3098,24.6875,4.3226,0.1
2018-04-30,147.5,28386127.0,61715.1604,24.9155,4.3625,0.1
2018-05-31,134.4,34001822.0,56234.0173,22.7027,3.9751,0.1
2018-06-30,125.9,16224335.0,52677.5505,21.2669,3.7237,0.1
2018-07-31,138.1,10940916.0,57782.1264,23.3277,4.0845,0.1
2018-08-31,128.45,13371983.0,53744.4905,21.6976,3.7991,0.1
2018-09-30,114.55,25972127.0,47928.6212,19.3497,3.388,0.1
2018-10-31,125.1,13348284.0,52342.8242,21.1318,3.7,0.1
2018-11-30,132.15,16935224.0,55292.5996,22.3226,3.9085,0.1
2018-12-31,131.4,11755338.0,54978.7937,22.1959,3.8864,0.1
2019-01-31,117.45,10998679.0,49142.004,19.8395,3.4738,0.1
2019-02-28,117.2,9678126.0,49057.4289,19.7973,3.4664,0.1
2019-03-31,116.3,7805879.0,48680.708,15.0065,2.9833,0.1
2019-04-30,110.55,4744114.0,46273.8803,14.2645,2.8358,0.1
2019-05-31,100.7,10474554.0,42154.0075,12.9935,2.5831,0.1
2019-06-30,105.0,9418647.0,43954.0296,13.5484,2.6934,0.1
2019-07-31,80.85,8021731.0,33844.6028,10.4323,2.0739,0.1
2019-08-31,77.7,9862565.0,32525.9819,10.0258,1.9931,0.1
2019-09-30,81.0,20014448.0,33907.3943,10.4516,2.0778,0.15
2019-10-31,75.4,10481361.0,31563.1794,9.729,1.9341,0.15
2019-11-30,68.55,23230573.0,28702.1296,8.8452,1.7584,0.15
2019-12-31,60.65,24707281.0,25394.3714,7.8258,1.5558,0.15
2020-01-31,65.8,42192881.0,27550.6948,8.4903,1.6879,0.15
2020-02-29,49.25,18939381.0,20621.1507,6.3548,1.2633,0.15
2020-03-31,29.45,17637596.0,12333.8892,5.998,0.7112,0.15
2020-04-30,49.8,30710511.0,20856.6275,10.1426,1.2027,0.15
2020-05-31,43.9,13086045.0,18385.6616,8.9409,1.0602,0.15
2020-06-30,46.75,44216369.0,19579.2638,9.5214,1.129,0.15
2020-07-31,42.8,44689783.0,17924.9731,8.7169,1.0336,0.15
2020-08-31,51.35,75833310.0,21505.7796,10.4582,1.2401,0.15
2020-09-30,53.85,44808238.0,22552.7991,10.9674,1.3005,0.15
2020-10-31,47.15,17847197.0,19746.786,9.6029,1.1387,0.15
2020-11-30,41.0,94057988.0,17171.1183,8.3503,0.9902,0.15
2020-12-31,43.75,88498935.0,18322.8396,8.9104,1.0566,0.15
2021-01-31,44.85,129643721.0,18783.5282,9.1344,1.0832,0.15
2021-02-28,52.3,350477750.0,21903.646,10.6517,1.2631,0.15
2021-03-31,41.65,286101695.0,17443.3433,36.8584,0.9733,0.15
2021-04-30,44.6,168788646.0,18685.8516,39.469,1.0422,0.15
2021-05-31,50.85,267281227.0,21304.3846,45.0,1.1883,0.15
2021-06-30,57.05,438459809.0,23901.9694,50.4867,1.3331,0.15
2021-07-31,51.9,193297937.0,21744.2979,45.9292,1.2128,0.15
2021-08-31,47.1,122426991.0,19733.2646,41.6814,1.1006,0.15
2021-09-30,51.55,162695422.0,21597.6601,45.6195,1.2046,0.15
2021-10-31,52.65,270464960.0,22058.5219,46.5929,1.2303,0.15
2021-11-30,44.35,97567007.0,18581.1101,39.2478,1.0364,0.15
2021-12-31,45.15,68153725.0,18916.2823,39.9558,1.0551,0.15
2022-01-31,56.25,361260336.0,23566.7969,49.7788,1.3144,0.15
2022-02-28,54.8,362651141.0,22959.2972,48.4956,1.2806,0.15
2022-03-31,74.3,297841212.0,31129.1202,75.8163,1.6668,0.15
2022-04-30,69.3,192933135.0,29034.2938,70.7143,1.5546,0.15
2022-05-31,67.05,188489567.0,28116.7235,68.4184,1.5041,0.15
2022-06-30,59.65,122801113.0,25013.6101,60.8673,1.3381,0.15
2022-07-31,81.3,368193230.0,34092.3135,82.9592,1.8238,0.15
2022-08-31,98.85,225774194.0,41451.7244,100.8673,2.2175,0.15
2022-09-30,99.45,159573747.0,41703.3282,101.4796,2.231,0.2
2022-10-31,103.8,93940029.0,43527.4557,105.9184,2.3285,0.2
2022-11-30,102.95,81531478.0,43171.017,105.051,2.3095,0.2
2022-12-31,100.8,68514746.0,42276.2456,102.8571,2.2612,0.2
2023-01-31,92.55,31909951.0,38816.1362,94.4388,2.0762,0.2
2023-02-28,83.5,27309526.0,35020.501,85.2041,1.8731,0.2
2023-03-31,87.3,35508364.0,37775.3384,17.0175,1.6564,0.2
2023-04-30,103.55,42494245.0,44806.8304,20.1852,1.9648,0.2
2023-05-31,127.85,123759495.0,55331.0073,24.922,2.4258,0.2
2023-06-30,132.7,62167954.0,57429.9934,25.8674,2.5179,0.25
2023-07-31,140.05,78501161.0,60610.9313,27.3002,2.6573,0.25
2023-08-31,224.45,191069512.0,98532.5757,43.7524,4.2588,0.25
2023-09-30,243.4,119285853.0,106964.2376,47.4464,4.6183,0.25
2023-10-31,238.75,47106252.0,105055.3893,46.54,4.5301,0.25
2023-11-30,273.7,33974925.0,120434.1782,53.3528,5.1932,0.25
2023-12-31,309.5,52269796.0,136394.9703,60.3314,5.8725,0.25
2024-01-31,374.35,39220434.0,164974.0134,72.9727,7.103,0.25
2024-02-29,368.3,12293696.0,162307.8112,71.7934,6.9882,0.25
2024-03-31,302.3,12236876.0,144724.4844,33.0022,4.8894,0.25
2024-04-30,375.0,14685586.0,184722.9649,40.9389,6.0653,0.25
2024-05-31,332.9,14937688.0,164026.0512,36.3428,5.3844,0.25
2024-06-30,394.2,26961262.0,194229.7068,43.0349,6.3758,0.5
2024-07-31,429.2,36470188.0,211816.6955,46.8559,6.9419,0.5
2024-08-31,523.25,45878886.0,258231.7939,57.1234,8.4631,0.5
2024-09-30,661.65,72019333.0,326605.1445,72.2325,10.7016,0.5
2024-10-31,573.05,43083524.0,282870.2155,62.56,9.2686,0.5
2024-11-30,527.1,19337790.0,260206.1957,57.5437,8.5254,0.5
2024-12-31,584.7,28080404.0,288655.4117,63.8319,9.457,0.5
2025-01-31,493.7,21659652.0,243730.4203,53.8974,7.9852,0.5
2025-02-28,408.25,16420819.0,201545.3597,44.5688,6.6031,0.5
2025-03-31,424.35,18579470.0,209493.6274,37.6865,5.6301,0.5
2025-04-30,437.7,36225310.0,216084.2717,38.8721,5.8072,0.5
2025-05-31,472.4,20358024.0,233215.0102,41.9538,6.2676,0.6
2025-06-30,517.8,94813591.0,255680.4356,45.9858,6.8699,0.6
2025-07-31,473.05,47579779.0,233615.5055,42.0115,6.2762,0.6
2025-08-31,445.9,19258765.0,220207.4916,39.6004,5.916,0.6
2025-09-30,440.55,51630044.0,217565.3968,39.1252,5.845,0.6
2025-10-31,482.25,32756742.0,238307.4539,42.8286,6.3983,0.6
2025-11-30,437.6,17429707.0,216248.7701,38.8632,5.8059,0.6
2025-12-31,487.85,36814435.0,241230.9703,43.3259,6.4726,0.6
2026-01-31,460.75,18691519.0,232446.0482,40.9192,6.113,0.6
2026-02-28,484.85,31831011.0,244616.0129,43.0595,6.4328,0.6
2026-03-31,455.25,8451144.0,229682.252,40.4307,6.04,0.6
