RPWR IN Equity,price,volume,mc,pe,bm,div
2008-03-31,198.75,219911485.0,762182.4155,2120.0,5.3103,0.0
2008-04-30,246.66,205573219.0,945897.1393,2631.0,6.5902,0.0
2008-05-31,234.2,274941110.0,561330.5714,2498.1333,6.2574,0.0
2008-06-30,136.65,190749561.0,327522.7267,1457.6,3.6511,0.0
2008-07-31,165.6,380741000.0,396910.0881,1766.4,4.4246,0.0
2008-08-31,157.35,153136198.0,377136.4877,1678.4,4.2041,0.0
2008-09-30,153.3,204975699.0,367429.4475,1635.2,4.0959,0.0
2008-10-31,102.4,125044342.0,245432.325,1092.2667,2.736,0.0
2008-11-30,110.5,118043174.0,264846.4054,1178.6667,2.9524,0.0
2008-12-31,119.95,134595159.0,287496.1659,1279.4667,3.2049,0.0
2009-01-31,106.4,113109987.0,255019.5252,1134.9333,2.8428,0.0
2009-02-28,99.95,63762129.0,239560.1649,1066.1333,2.6705,0.0
2009-03-31,102.35,104393864.0,245312.485,100.3431,1.7803,0.0
2009-04-30,123.3,181975295.0,295525.446,120.8824,2.1447,0.0
2009-05-31,180.9,212428861.0,433581.1289,177.3529,3.1466,0.0
2009-06-30,167.5,300741113.0,401464.0082,164.2157,2.9136,0.0
2009-07-31,168.2,168962184.0,403141.7682,164.902,2.9257,0.0
2009-08-31,161.4,95138708.0,386843.5279,158.2353,2.8075,0.0
2009-09-30,167.85,87278796.0,402302.8882,164.5588,2.9196,0.0
2009-10-31,138.45,60012740.0,331836.9668,135.7353,2.4083,0.0
2009-11-30,142.8,61645121.0,342263.047,140.0,2.4839,0.0
2009-12-31,155.1,75873404.0,371743.6876,152.0588,2.6979,0.0
2010-01-31,145.95,54439346.0,349812.9671,143.0882,2.5387,0.0
2010-02-28,138.1,31593741.0,330998.0867,135.3922,2.4022,0.0
2010-03-31,149.45,45462940.0,358201.7673,52.4386,2.4767,0.0
2010-04-30,162.85,60966489.0,390318.888,57.1404,2.6987,0.0
2010-05-31,156.3,107054656.0,374619.8476,54.8421,2.5902,0.0
2010-06-30,171.4,181044468.0,410811.5284,60.1404,2.8404,0.0
2010-07-31,163.8,125320890.0,392595.848,57.4737,2.7145,0.0
2010-08-31,152.3,47965017.0,365032.6474,53.4386,2.5239,0.0
2010-09-30,160.8,42485041.0,385405.4479,56.4211,2.6648,0.0
2010-10-31,157.05,46175008.0,376417.4477,55.1053,2.6026,0.0
2010-11-30,160.2,162305025.0,449374.2196,56.2105,2.6548,0.0
2010-12-31,158.15,60430347.0,443623.8005,55.4912,2.6208,0.0
2011-01-31,135.1,62952799.0,378966.6484,47.4035,2.2389,0.0
2011-02-28,110.35,112864375.0,309540.856,38.7193,1.8287,0.0
2011-03-31,130.4,120670912.0,365782.7605,44.3537,2.173,0.0
2011-04-30,130.7,45217461.0,366630.029,44.4558,2.178,0.0
2011-05-31,118.0,53978492.0,331004.9229,40.1361,1.9664,0.0
2011-06-30,115.9,51136186.0,325114.1007,39.4218,1.9314,0.0
2011-07-31,111.95,39689712.0,314033.8531,38.0782,1.8655,0.0
2011-08-31,84.85,78273502.0,238014.9391,28.8605,1.4139,0.0
2011-09-30,76.75,101781093.0,215293.4187,26.1054,1.279,0.0
2011-10-31,95.5,56166436.0,267889.5308,32.483,1.5914,0.0
2011-11-30,85.45,81693261.0,239698.0147,29.0646,1.4239,0.0
2011-12-31,70.95,83118991.0,199023.688,24.1327,1.1823,0.0
2012-01-31,101.15,139774669.0,283738.4925,34.4048,1.6856,0.0
2012-02-29,119.45,232894283.0,335072.2979,40.6293,1.9905,0.0
2012-03-31,117.15,321321328.0,328620.594,37.9126,1.8704,0.0
2012-04-30,107.05,112281841.0,300288.8142,34.644,1.7091,0.0
2012-05-31,93.6,113051287.0,262559.86,30.2913,1.4944,0.0
2012-06-30,106.85,135367456.0,299727.7889,34.5793,1.7059,0.0
2012-07-31,91.25,109735905.0,255967.8122,29.5307,1.4569,0.0
2012-08-31,76.2,134557365.0,213750.6552,24.6602,1.2166,0.0
2012-09-30,98.2,141561941.0,275463.4428,31.7799,1.5678,0.0
