BHFC IN Equity,price,volume,mc,pe,bm,div
2005-03-31,137.63,15659710.0,54433.2152,26.9185,11.0983,0.9915
2005-04-30,129.65,10520740.0,51277.0933,25.3578,10.4548,0.9915
2005-05-31,137.19,11768810.0,54257.2159,26.8315,11.0624,0.9915
2005-06-30,145.05,24061430.0,62642.6056,28.3698,11.6967,0.9915
2005-07-31,156.07,19327640.0,67403.9523,30.5261,12.5857,1.25
2005-08-31,162.7,22920388.0,70265.0844,31.8219,13.1199,1.25
2005-09-30,175.43,39966116.0,75760.6172,34.3107,14.1461,1.25
2005-10-31,160.95,27468292.0,69509.3136,31.4796,12.9788,1.25
2005-11-30,179.35,18077034.0,77455.703,35.0784,14.4626,1.25
2005-12-31,196.2,25747416.0,84732.6955,38.374,15.8213,1.25
2006-01-31,192.78,27836596.0,85017.1283,37.7041,15.5451,1.25
2006-02-28,208.38,39886468.0,91896.9997,40.7553,16.8031,1.25
2006-03-31,222.68,60611666.0,98203.5484,38.6593,7.8904,1.25
2006-04-30,220.38,29029854.0,97189.3429,38.26,7.8089,1.25
2006-05-31,169.18,41855302.0,75202.3455,29.371,5.9946,1.25
2006-06-30,156.9,53788916.0,69745.8135,27.2399,5.5597,1.25
2006-07-31,150.45,34727514.0,66878.6338,26.1201,5.3311,1.5
2006-08-31,161.9,56301814.0,71968.4335,28.1079,5.7369,1.5
2006-09-30,179.28,31922984.0,79692.0377,31.1245,6.3525,1.5
2006-10-31,179.4,17524482.0,79747.6032,31.1462,6.357,1.5
2006-11-30,181.7,37690278.0,80770.0084,31.5455,6.4385,1.5
2006-12-31,181.48,27086486.0,80811.3968,31.5064,6.4305,1.5
2007-01-31,167.25,27756450.0,74476.9589,29.0368,5.9264,1.5
2007-02-28,164.48,35001454.0,73241.2425,28.555,5.8281,1.5
2007-03-31,157.78,24055094.0,70257.7111,24.2544,4.7478,1.5
2007-04-30,161.85,14047046.0,72072.3216,24.8809,4.8704,1.5
2007-05-31,164.13,35867520.0,73085.3864,25.2306,4.9389,1.5
2007-06-30,154.25,32210164.0,68688.0174,23.7125,4.6417,1.5
2007-07-31,142.9,38921870.0,63633.8262,21.9677,4.3002,1.75
2007-08-31,132.25,21995038.0,58891.3472,20.3305,3.9797,1.75
2007-09-30,142.95,30568238.0,63656.2047,21.9754,4.3017,1.75
