DRRD IN Equity,price,volume,mc,pe,bm,div
2002-03-31,109.79,16780030.0,83878.8156,18.2421,5.9518,0.5
2002-04-30,99.93,18244740.0,76345.4994,16.6037,5.4172,0.5
2002-05-31,94.84,14584840.0,72460.417,15.7588,5.1416,0.5
2002-06-30,94.57,8118190.0,72250.3093,15.7131,5.1267,0.5
2002-07-31,85.25,23931570.0,65133.3883,14.1653,4.6217,0.5
2002-08-31,89.63,8968410.0,68476.0109,14.8922,4.8588,0.25
2002-09-30,83.41,15622760.0,63723.7566,13.8587,4.5216,0.25
2002-10-31,69.45,29943450.0,53140.2923,11.5399,3.7651,0.25
2002-11-30,76.21,22428550.0,58308.9413,12.6623,4.1313,0.25
2002-12-31,89.82,37409840.0,68722.7553,14.9238,4.8691,0.25
2003-01-31,90.35,23381990.0,69135.9411,15.0135,4.8984,0.25
2003-02-28,87.69,8728030.0,67096.7924,14.5707,4.7539,0.25
2003-03-31,91.67,5625260.0,70142.1252,19.2578,4.0532,0.25
2003-04-30,87.35,8677170.0,66840.4641,18.3513,3.8624,0.25
2003-05-31,89.02,14898290.0,68114.4539,18.7011,3.936,0.25
2003-06-30,109.47,16268310.0,83762.2763,22.9971,4.8402,0.25
2003-07-31,114.87,16157660.0,87894.1509,24.1316,5.079,0.25
2003-08-31,115.26,18503220.0,88192.5689,24.2135,5.0962,0.5
2003-09-30,105.74,17658500.0,80908.2269,22.2136,4.6753,0.5
2003-10-31,119.52,15970510.0,91452.1541,25.1084,5.2846,0.5
2003-11-30,127.17,30385410.0,97301.8222,26.7145,5.6226,0.5
2003-12-31,142.81,12250360.0,109268.9602,30.0001,6.3141,0.5
2004-01-31,139.94,13201570.0,107076.7664,29.3982,6.1874,0.5
2004-02-29,124.01,21299450.0,94883.9151,26.0506,5.4829,0.5
2004-03-31,97.4,24315010.0,74525.7739,29.6343,3.8432,0.5
2004-04-30,86.95,24258160.0,66533.3543,26.4562,3.431,0.5
2004-05-31,79.63,18243250.0,60928.3305,24.2275,3.142,0.5
2004-06-30,73.54,15832600.0,56272.1435,22.376,2.9019,0.5
2004-07-31,75.98,6739950.0,58139.2094,23.1184,2.9981,0.5
2004-08-31,70.47,23335580.0,53923.0072,21.4419,2.7807,0.5
2004-09-30,73.69,15899190.0,56383.0962,22.4201,2.9076,0.5
2004-10-31,75.16,18488290.0,57507.9269,22.8674,2.9656,0.5
2004-11-30,79.4,9930930.0,60752.3366,24.1575,3.1329,0.5
2004-12-31,86.53,11662430.0,66211.9741,26.3284,3.4144,0.5
2005-01-31,73.65,56609410.0,56352.4885,22.4079,2.906,0.5
2005-02-28,72.03,43800850.0,55116.7051,21.9165,2.8423,0.5
2005-03-31,73.91,71488960.0,56559.0901,171.8512,2.9127,0.5
2005-04-30,63.73,37269840.0,48761.7942,148.1596,2.5112,0.5
2005-05-31,72.48,67675660.0,55475.3964,168.5148,2.8562,0.5
2005-06-30,75.34,42421760.0,57660.582,175.1527,2.9687,0.5
2005-07-31,83.73,39985940.0,64082.1959,194.6593,3.2993,0.5
2005-08-31,80.02,31416630.0,61246.4296,186.0452,3.1533,0.5
2005-09-30,85.17,41571390.0,65188.1831,198.0189,3.3563,0.5
2005-10-31,80.79,72584570.0,61835.7792,187.8355,3.1837,0.5
2005-11-30,91.39,62186710.0,69945.0759,212.4687,3.6012,0.5
2005-12-31,97.82,59663850.0,74866.5273,227.4183,3.8546,0.5
2006-01-31,112.13,57791540.0,85819.2442,260.6888,4.4185,0.5
2006-02-28,130.61,114143170.0,100056.4056,303.6661,5.1469,0.5
2006-03-31,142.14,104157240.0,108889.193,74.1522,5.2692,0.5
2006-04-30,143.23,85823410.0,110316.8978,74.7209,5.3096,0.5
2006-05-31,135.71,103312760.0,103980.457,70.7978,5.0308,0.5
2006-06-30,126.8,87129340.0,97149.8198,66.147,4.7004,0.5
2006-07-31,139.8,73108720.0,107274.3498,72.9289,5.1823,0.5
2006-08-31,144.47,67775055.0,110891.9897,75.3678,5.3556,0.5
2006-09-30,146.28,67301925.0,112204.1436,76.312,5.4227,0.5
2006-10-31,149.95,57180295.0,115019.2189,78.2266,5.5587,0.5
2006-11-30,150.15,91859305.0,124557.004,78.3309,5.5661,0.5
2006-12-31,162.24,97490660.0,136046.4317,84.6381,6.0143,0.5
2007-01-31,148.61,67603300.0,124627.3968,77.5275,5.5091,0.5
2007-02-28,135.38,64103985.0,113532.4472,70.6256,5.0186,0.5
2007-03-31,145.65,86939935.0,122196.6407,11.9544,3.0591,0.5
2007-04-30,141.69,74180570.0,118882.6578,11.6294,2.976,0.5
2007-05-31,129.43,117111655.0,108596.107,10.6231,2.7185,0.5
2007-06-30,131.45,58408210.0,110290.9547,10.7889,2.7609,0.5
2007-07-31,126.81,48413245.0,106485.1449,10.4081,2.6634,0.75
2007-08-31,128.13,37014315.0,107624.0776,10.5164,2.6912,0.75
2007-09-30,130.01,30727770.0,109203.2025,10.6707,2.7307,0.75
2007-10-31,124.32,77854875.0,104423.8299,10.2037,2.6111,0.75
2007-11-30,125.97,34508905.0,105831.8014,10.3391,2.6458,0.75
2007-12-31,146.46,51082265.0,123061.4752,12.0209,3.0762,0.75
2008-01-31,105.85,55155240.0,88940.989,8.6877,2.2232,0.75
2008-02-29,116.74,26609490.0,98091.3657,9.5816,2.4519,0.75
2008-03-31,118.25,37181645.0,99382.3262,22.6793,2.2111,0.75
2008-04-30,124.6,25599675.0,104719.4498,23.8972,2.3299,0.75
2008-05-31,142.83,47223775.0,120048.1835,27.3936,2.6707,0.75
2008-06-30,133.96,71087060.0,112592.9753,25.6924,2.5049,0.75
2008-07-31,113.83,68748065.0,95685.4431,21.8316,2.1285,0.75
2008-08-31,115.83,52682670.0,97429.8806,22.2152,2.1659,0.75
2008-09-30,101.99,40041770.0,85788.4272,19.5608,1.9071,0.75
2008-10-31,85.98,61327580.0,72359.2624,16.4902,1.6077,0.75
2008-11-30,85.44,44068155.0,71904.8079,16.3867,1.5976,0.75
2008-12-31,93.73,50102465.0,78891.5596,17.9766,1.7526,0.75
2009-01-31,89.96,40025595.0,75721.5335,17.2535,1.6821,0.75
2009-02-28,78.37,42883290.0,65965.9469,15.0307,1.4654,0.75
2009-03-31,98.04,55331915.0,82522.6672,17.8884,2.3421,0.75
2009-04-30,108.95,28572905.0,91727.5096,17.8884,2.6027,0.75
2009-05-31,129.5,49697405.0,109029.0271,17.8884,3.0936,0.75
2009-06-30,155.97,79591405.0,131314.7286,17.8884,3.7259,0.75
2009-07-31,164.06,52356105.0,138288.7164,17.8884,3.9192,1.25
2009-08-31,158.58,23255530.0,133669.5395,17.8884,3.7883,1.25
2009-09-30,198.55,90233700.0,167429.8718,17.8884,4.7431,1.25
2009-10-31,202.28,64869535.0,170583.8389,17.8884,4.8322,1.25
2009-11-30,225.79,61675925.0,190473.6097,17.8884,5.3939,1.25
2009-12-31,229.32,53407830.0,193451.4841,17.8884,5.4782,1.25
2010-01-31,223.92,61369015.0,188922.1985,17.8884,5.3492,1.25
2010-02-28,228.46,38150410.0,192752.6252,17.8884,5.4576,1.25
2010-03-31,254.99,34934845.0,215162.0813,201.4139,5.0162,1.25
2010-04-30,251.99,45975630.0,212630.6633,199.0442,4.9572,1.25
2010-05-31,280.77,58928865.0,236915.4106,221.7773,5.5233,1.25
