ELCN IN Equity,price,volume,mc,pe,bm,div
2011-03-31,33.95,4647926.0,6305.3298,7.0072,1.507,0.75
2011-04-30,36.75,9958758.0,6825.357,7.5851,1.6313,0.75
2011-05-31,35.25,3822364.0,6546.771,7.2755,1.5647,0.75
2011-06-30,32.78,3866230.0,6087.1041,6.7647,1.4549,0.75
2011-07-31,40.9,18807950.0,7596.1116,8.4417,1.8155,0.9
2011-08-31,35.03,5896826.0,6504.9831,7.2291,1.5548,0.9
2011-09-30,38.55,3639588.0,7159.6602,7.9567,1.7112,0.9
2011-10-31,34.78,2895448.0,6458.5521,7.1775,1.5437,0.9
2011-11-30,29.53,2983640.0,5483.5011,6.0939,1.3106,0.9
2011-12-31,27.23,1434336.0,5056.3359,5.6192,1.2085,0.9
2012-01-31,30.5,4371142.0,5664.582,6.2951,1.3539,0.9
2012-02-29,31.25,7814550.0,5803.875,6.4499,1.3872,0.9
2012-03-31,30.75,5138788.0,5710.9825,9.3465,1.2451,0.9
2012-04-30,28.15,2145928.0,5228.1027,8.5562,1.1398,0.9
2012-05-31,26.65,2359164.0,4949.5181,8.1003,1.079,0.9
2012-06-30,26.8,10151044.0,4977.3766,8.1459,1.0851,0.9
2012-07-31,26.15,8533828.0,4856.6566,7.9483,1.0588,0.9
2012-08-31,20.95,5119834.0,3890.897,6.3678,0.8483,0.9
2012-09-30,24.73,8350398.0,4592.0014,7.5152,1.0011,0.9
2012-10-31,23.68,4575504.0,4396.9922,7.196,0.9586,0.9
2012-11-30,23.93,7894756.0,4443.4229,7.272,0.9687,0.9
2012-12-31,23.43,10959654.0,4350.5614,7.1201,0.9485,0.9
2013-01-31,20.68,7298730.0,3839.8232,6.2842,0.8371,0.9
2013-02-28,17.15,8416826.0,3185.1496,5.2128,0.6944,0.9
2013-03-31,15.38,5533818.0,2855.4912,18.6364,0.531,0.9
2013-04-30,16.77,5218520.0,3115.5034,20.3333,0.5793,0.9
2013-05-31,16.0,8777890.0,2971.5681,19.3939,0.5526,0.9
2013-06-30,14.03,8912838.0,3055.6502,17.0,0.4843,0.9
2013-07-31,10.88,2563162.0,2369.3545,13.1818,0.3756,0.9
2013-08-31,11.28,7283620.0,2456.5031,13.6667,0.3894,0.5
2013-09-30,13.3,4853552.0,2897.6933,16.1212,0.4593,0.5
2013-10-31,15.55,6129524.0,3387.9045,18.8485,0.537,0.5
2013-11-30,14.95,2674638.0,3257.1815,18.1212,0.5163,0.5
2013-12-31,16.2,9518500.0,3529.5211,19.6364,0.5595,0.5
2014-01-31,15.0,7734246.0,3268.0751,18.1818,0.518,0.5
2014-02-28,14.15,7161420.0,3082.8842,17.1515,0.4887,0.5
2014-03-31,16.88,23861876.0,3676.5845,26.7857,0.691,0.5
2014-04-30,18.68,24228114.0,4068.7535,29.6429,0.7647,0.5
2014-05-31,33.23,48362524.0,7238.7864,52.7381,1.3604,0.5
2014-06-30,32.35,25141404.0,7048.1486,51.3492,1.3246,0.5
2014-07-31,28.33,14126664.0,6171.2152,44.9603,1.1598,0.5
2014-08-31,21.98,12818028.0,4787.73,34.881,0.8998,0.5
2014-09-30,23.38,52052700.0,5092.7504,37.1032,0.9571,0.5
