SUEL IN Equity,price,volume,mc,pe,bm,div
2005-10-31,131.23,454900361.0,205469.9403,49.7554,7.8664,0.0
2005-11-30,156.34,285693313.0,244775.483,59.2735,9.3712,0.0
2005-12-31,164.3,236939570.0,257239.9693,62.2918,9.8484,0.0
2006-01-31,214.38,119336631.0,335649.7828,81.2791,12.8503,0.0
2006-02-28,201.69,102592244.0,315795.7395,76.4713,12.0902,0.4591
2006-03-31,239.14,139821937.0,374423.3924,46.8472,13.754,0.4591
2006-04-30,235.24,90380674.0,362188.9313,46.0827,13.5295,0.4591
2006-05-31,179.86,88910603.0,281608.2557,35.2344,10.3445,0.4591
2006-06-30,191.3,109796017.0,299521.4621,37.4756,11.0026,0.4591
2006-07-31,198.99,200485540.0,311693.6663,38.9812,11.4446,0.9182
2006-08-31,221.01,114062386.0,346198.4471,43.2964,12.7115,0.9182
2006-09-30,226.8,80561661.0,355259.7276,44.4297,13.0442,0.9182
2006-10-31,240.22,111084459.0,376397.5515,47.0595,13.8163,0.9182
2006-11-30,266.61,74540031.0,417753.855,52.2292,15.3341,0.9182
2006-12-31,239.62,86905890.0,375475.2336,46.9408,13.7814,0.9182
2007-01-31,209.84,64163490.0,328814.4499,41.1073,12.0688,0.9182
2007-02-28,191.41,125602806.0,299937.2521,37.4972,11.0089,0.9182
2007-03-31,183.92,82869021.0,288196.4482,33.41,8.2082,1.3773
2007-04-30,218.08,91599959.0,341721.426,39.6149,9.7326,1.3773
2007-05-31,236.72,129420516.0,370944.0035,43.0026,10.5649,1.3773
2007-06-30,274.59,132469691.0,430281.2314,49.8814,12.2549,1.3773
2007-07-31,233.42,100726949.0,366031.2521,42.4021,10.4174,0.9182
2007-08-31,232.46,115360085.0,364533.7796,42.2287,10.3748,0.9182
2007-09-30,266.48,87914800.0,417881.9927,48.4086,11.8931,0.9182
2007-10-31,362.43,151272617.0,568381.617,65.8375,16.175,0.9182
2007-11-30,348.36,106171829.0,546321.6,63.2821,15.5472,0.9182
2007-12-31,355.68,79849262.0,579851.7831,64.6115,15.8738,0.9182
2008-01-31,283.64,118135299.0,462403.2396,51.5244,12.6586,0.9182
2008-02-29,258.39,98801663.0,421237.3537,46.9374,11.5316,0.9182
2008-03-31,242.22,208955687.0,394891.3074,37.3126,4.8835,0.9182
2008-04-30,263.71,179617877.0,429919.4333,40.6223,5.3166,0.9182
2008-05-31,254.71,153145941.0,415253.6456,39.2362,5.1352,0.0
2008-06-30,198.29,257366558.0,323266.1311,30.5446,3.9977,0.0
2008-07-31,204.85,247860872.0,334259.575,31.5559,4.13,0.9182
2008-08-31,200.22,126043726.0,326693.4125,30.8416,4.0365,0.9182
2008-09-30,139.66,269781201.0,227883.825,21.5134,2.8157,0.9182
2008-10-31,40.77,504238754.0,66524.3,6.2801,0.8219,0.9182
2008-11-30,38.24,1178939468.0,62403.9886,5.8911,0.771,0.9182
2008-12-31,57.2,1363437027.0,93343.7812,8.8119,1.1533,0.9182
2009-01-31,43.39,923793109.0,70794.4408,6.6832,0.8747,0.9182
2009-02-28,37.33,511132898.0,60905.6935,5.7496,0.7525,0.9182
2009-03-31,38.89,717127501.0,63452.7951,26.8038,0.7353,0.9182
2009-04-30,58.4,1224028908.0,95291.5648,40.2532,1.1043,0.9182
2009-05-31,89.89,1462822659.0,146683.0848,61.962,1.6998,0.9182
2009-06-30,95.26,2143028062.0,155448.1108,65.6646,1.8014,0.9182
2009-07-31,91.64,1847291269.0,149531.4413,63.1646,1.7328,0.9182
2009-08-31,86.04,1303568833.0,145863.8263,59.3038,1.6269,0.0
2009-09-30,84.11,1254239262.0,142595.9183,57.9747,1.5905,0.0
2009-10-31,61.38,654061750.0,104066.9993,42.3101,1.1607,0.0
2009-11-30,72.36,1727848433.0,122670.4571,49.8734,1.3682,0.0
2009-12-31,82.96,1069829743.0,140650.7081,57.1835,1.5687,0.0
2010-01-31,70.93,664217989.0,120257.5513,48.8924,1.3413,0.0
2010-02-28,65.97,537470055.0,111851.1982,45.4747,1.2475,0.0
2010-03-31,65.97,537190266.0,111851.1982,45.6646,1.6944,0.0
2010-04-30,63.31,364959520.0,107337.2055,45.6646,1.626,0.0
2010-05-31,51.65,552717789.0,87566.6245,45.6646,1.3265,0.0
2010-06-30,53.16,492173657.0,102153.2767,45.6646,1.3654,0.0
2010-07-31,51.88,346078424.0,98613.5771,45.6646,1.3324,0.0
2010-08-31,42.47,404739540.0,80723.5034,45.6646,1.0907,0.0
2010-09-30,48.11,559914479.0,91457.5477,45.6646,1.2357,0.0
2010-10-31,50.91,487293349.0,96780.9354,45.6646,1.3076,0.0
2010-11-30,43.84,354165994.0,83341.563,45.6646,1.1261,0.0
2010-12-31,50.23,471312526.0,97221.8984,45.6646,1.29,0.0
2011-01-31,45.36,614866765.0,87801.8607,45.6646,1.165,0.0
2011-02-28,42.83,496241110.0,82914.1053,45.6646,1.1001,0.0
2011-03-31,40.95,478505323.0,79270.5058,45.6646,1.2148,0.0
2011-04-30,48.8,710961470.0,94466.9817,45.6646,1.4476,0.0
2011-05-31,49.49,475366543.0,95800.0059,45.6646,1.4681,0.0
2011-06-30,44.03,346621075.0,85224.6981,45.6646,1.306,0.0
2011-07-31,48.11,390147706.0,93133.9767,45.6646,1.4272,0.0
2011-08-31,33.84,663868074.0,65495.9359,45.6646,1.0037,0.0
2011-09-30,33.47,396387619.0,64784.9895,45.6646,0.9928,0.0
2011-10-31,35.4,223533812.0,68517.458,45.6646,1.05,0.0
2011-11-30,21.3,727304647.0,41234.8904,45.6646,0.6319,0.0
2011-12-31,16.53,530257585.0,31992.5874,45.6646,0.4903,0.0
2012-01-31,25.71,839109721.0,49766.2471,45.6646,0.7626,0.0
2012-02-29,24.42,870262346.0,47277.9347,45.6646,0.7245,0.0
2012-03-31,23.18,915670346.0,44878.4814,45.6646,0.8662,0.0
2012-04-30,20.89,446171471.0,40435.0674,45.6646,0.7805,0.0
2012-05-31,16.44,709514709.0,31814.8443,45.6646,0.6141,0.0
2012-06-30,17.08,588993365.0,33059.0002,45.6646,0.6381,0.0
2012-07-31,16.94,515550047.0,32792.3953,45.6646,0.633,0.0
2012-08-31,13.77,342927191.0,26660.484,45.6646,0.5146,0.0
2012-09-30,16.3,351550731.0,31548.2394,45.6646,0.6089,0.0
2012-10-31,14.51,365211848.0,28082.3765,45.6646,0.542,0.0
2012-11-30,17.95,458184440.0,34747.4975,45.6646,0.6707,0.0
2012-12-31,17.03,733294764.0,32970.1319,45.6646,0.6364,0.0
2013-01-31,22.54,1328963379.0,43634.3255,45.6646,0.8422,0.0
