JKI IN Equity,price,volume,mc,pe,bm,div
2006-09-30,35.83,38260714.0,5032.6571,20.9163,1.2825,0.5333
2006-10-31,31.96,25966523.0,4920.957,18.6589,1.1441,0.5333
2006-11-30,37.91,20054149.0,5836.5794,22.1306,1.357,0.5333
2006-12-31,32.43,10338386.0,4992.8108,18.9313,1.1608,0.5333
2007-01-31,30.24,24177405.0,4656.1285,17.6547,1.0826,0.5333
2007-02-28,30.24,24177405.0,4656.1285,17.6547,1.0826,0.5333
2007-03-31,22.37,6477000.0,3444.3649,13.06,0.8008,0.5
2007-04-30,26.1,9721390.0,4018.6823,15.2377,0.9343,0.5
2007-05-31,27.73,6767355.0,4269.6575,16.1893,0.9927,0.5
2007-06-30,26.67,5103160.0,4106.4466,15.5705,0.9548,0.5
2007-07-31,31.53,12675870.0,4854.753,18.4078,1.1287,0.5
2007-08-31,27.1,6073160.0,4172.6548,15.8215,0.9701,0.5
2007-09-30,25.33,3058155.0,3900.1868,5.5756,1.0544,0.5
2007-10-31,27.14,18402885.0,4178.8815,5.974,1.1298,0.5
2007-11-30,25.56,14903890.0,3935.601,5.6262,1.064,0.5
2007-12-31,37.4,23971750.0,5758.665,8.2324,1.5569,0.5
2008-01-31,27.33,12951385.0,4208.1368,6.0158,1.1377,0.5
2008-02-29,28.09,4491480.0,4325.1578,6.1831,1.1693,0.5
2008-03-31,23.05,6906460.0,3549.1238,5.0957,0.9637,0.54
2008-04-30,26.3,6354255.0,4049.5425,5.0957,0.9637,0.54
2008-05-31,23.96,7244145.0,3689.241,5.0957,0.9637,0.54
2008-06-30,18.86,3346495.0,2903.9685,5.0957,0.9637,0.54
2008-07-31,18.78,9917060.0,3855.5341,5.0957,0.9637,0.54
2008-08-31,17.57,5225040.0,3607.1211,5.0957,0.9637,0.54
2008-09-30,15.76,3684190.0,3235.4728,5.0957,0.9637,0.54
2008-10-31,9.54,2974235.0,1958.5142,5.0957,0.9637,0.54
2008-11-30,8.89,2221980.0,1825.0725,5.0957,0.9637,0.54
2008-12-31,8.58,3259630.0,1761.431,5.0957,0.9637,0.54
2009-01-31,7.23,3765905.0,1484.2828,5.0957,0.9637,0.54
2009-02-28,6.16,2469200.0,1264.6171,5.0957,0.9637,0.54
2009-03-31,7.06,1818595.0,1449.3826,5.0957,0.2096,0.54
2009-04-30,10.49,4245775.0,2153.5445,5.0957,0.3114,0.54
2009-05-31,14.07,9583605.0,2888.5005,5.0957,0.4176,0.0
2009-06-30,13.87,6175470.0,2847.4415,5.0957,0.4117,0.0
2009-07-31,17.58,18226515.0,3609.0859,5.0957,0.5218,0.0
2009-08-31,18.18,6688025.0,3732.2629,5.0957,0.5396,0.54
2009-09-30,26.56,63237570.0,5452.6349,5.0957,0.7884,0.54
2009-10-31,29.66,37042315.0,6089.0494,5.0957,0.8804,0.54
2009-11-30,31.06,28281270.0,6376.4624,5.0957,0.9219,0.54
2009-12-31,30.86,21381850.0,6335.4034,5.0957,0.916,0.54
2010-01-31,34.41,53679645.0,7064.2006,5.0957,1.0214,0.54
2010-02-28,34.31,49337640.0,7043.6711,5.0957,1.0184,0.54
2010-03-31,39.07,143722205.0,8020.8753,3.6502,0.9437,0.54
2010-04-30,39.49,43751650.0,8107.0992,3.6894,0.9538,0.54
2010-05-31,35.91,30306600.0,7372.1431,3.355,0.8674,0.54
2010-06-30,32.01,19913240.0,6571.4926,2.9906,0.7732,0.54
2010-07-31,32.92,13060810.0,6758.3111,3.0756,0.7951,0.54
2010-08-31,33.49,47454775.0,6875.3292,3.1289,0.8089,0.7
2010-09-30,36.99,78848215.0,7593.8617,3.4559,0.8934,0.7
2010-10-31,32.7,20637805.0,6713.1462,3.0551,0.7898,0.7
2010-11-30,29.02,33118000.0,5957.6606,2.7113,0.7009,0.7
2010-12-31,26.89,16273865.0,5520.3823,2.5123,0.6495,0.7
2011-01-31,20.53,11611810.0,4214.7062,1.9181,0.4959,0.7
2011-02-28,17.4,20899310.0,3572.1328,1.6256,0.4203,0.7
2011-03-31,18.78,52661185.0,3855.4399,5.8505,0.4492,0.7
2011-04-30,19.11,25065730.0,3923.1873,5.9533,0.4571,0.7
2011-05-31,19.49,13527925.0,4001.1994,6.0717,0.4662,0.7
2011-06-30,19.16,26817525.0,3933.452,5.9688,0.4583,0.7
2011-07-31,20.67,40981835.0,4243.4475,6.4393,0.4944,0.6
2011-08-31,17.29,9648230.0,3549.5504,5.3863,0.4135,0.6
2011-09-30,14.88,9780470.0,3054.7895,4.6355,0.3559,0.6
2011-10-31,14.5,14581670.0,2976.7774,4.5171,0.3468,0.6
2011-11-30,13.38,8711075.0,2746.847,4.1682,0.32,0.6
2011-12-31,12.15,5753855.0,2494.3341,3.785,0.2906,0.6
2012-01-31,15.17,9589300.0,3114.325,4.7259,0.3628,0.6
2012-02-29,15.96,14808355.0,3276.508,4.972,0.3817,0.6
2012-03-31,16.12,11860540.0,3309.3795,4.6542,0.4381,0.6
2012-04-30,17.37,35790825.0,3566.0002,4.6542,0.4721,0.6
2012-05-31,15.72,14285770.0,3227.2609,4.6542,0.4273,0.6
2012-06-30,18.75,19158300.0,3849.3093,4.6542,0.5096,0.6
2012-07-31,18.47,20270915.0,3791.8263,4.6542,0.502,0.5
2012-08-31,21.3,56039550.0,4372.8154,4.6542,0.5789,0.5
2012-09-30,21.71,16756600.0,4456.987,4.6542,0.5901,0.5
2012-10-31,25.01,31799820.0,5134.4654,4.6542,0.6798,0.5
2012-11-30,23.03,8708900.0,4727.9783,4.6542,0.626,0.5
2012-12-31,24.24,12615960.0,4976.3871,4.6542,0.6588,0.5
2013-01-31,23.24,7756620.0,4771.0906,4.6542,0.6317,0.5
2013-02-28,20.82,5598935.0,4274.2731,4.6542,0.5659,0.5
2013-03-31,20.24,4052825.0,4155.2011,2.044,0.4584,0.5
2013-04-30,22.17,5489500.0,4551.4233,2.2389,0.5021,0.5
2013-05-31,23.54,8693830.0,4832.6795,2.3773,0.5331,0.5
2013-06-30,20.74,2326910.0,4257.8541,2.0945,0.4697,0.5
2013-07-31,18.97,9756175.0,3894.4789,1.9158,0.4296,0.5
2013-08-31,16.76,12656845.0,3440.7731,1.6926,0.3796,0.7
2013-09-30,17.82,7046085.0,3658.3877,1.7996,0.4036,0.7
2013-10-31,24.79,49236685.0,5089.3058,2.5035,0.5615,0.7
2013-11-30,31.93,116078665.0,6555.1245,3.2246,0.7232,0.7
2013-12-31,35.06,145778710.0,7197.7032,3.5407,0.7941,0.7
2014-01-31,28.98,66721835.0,5949.4991,2.9267,0.6564,0.7
2014-02-28,27.39,46170310.0,5623.0773,2.7661,0.6203,0.7
2014-03-31,35.47,156926540.0,7281.8749,2.7685,0.6637,0.7
2014-04-30,40.19,136817875.0,8250.8754,3.1369,0.752,0.7
2014-05-31,41.82,85522760.0,8585.5091,3.2641,0.7825,0.7
2014-06-30,64.76,145964900.0,13295.016,5.0546,1.2118,0.7
2014-07-31,62.03,87252360.0,12734.5559,4.8416,1.1607,0.7
