SONACOMS IN Equity,price,volume,mc,pe,bm,div
2021-06-30,342.3,90374573.0,199660.1136,91.0372,15.0419,0.0
2021-07-31,439.25,73504911.0,256210.0613,116.8218,19.3022,0.0
2021-08-31,500.1,97690706.0,291703.248,133.0053,21.9762,0.0
2021-09-30,555.85,67823845.0,324221.6565,147.8324,24.426,0.0
2021-10-31,647.7,68798064.0,377796.8281,172.2606,28.4622,0.0
2021-11-30,748.3,45531437.0,437271.1329,199.016,32.883,0.0
2021-12-31,743.55,61775080.0,434495.4575,197.7527,32.6742,0.0
2022-01-31,642.35,41204064.0,375358.9633,170.8378,28.2271,0.0
2022-02-28,636.1,28078544.0,371706.7588,169.1755,27.9525,0.77
2022-03-31,679.45,26995489.0,397038.4488,109.2363,19.849,0.77
2022-04-30,635.55,18324647.0,371385.3648,102.1785,18.5665,0.77
2022-05-31,557.4,20821652.0,325718.2006,89.6141,16.2835,0.77
2022-06-30,553.8,16240331.0,323614.5308,89.0354,16.1783,1.54
2022-07-31,568.35,10812589.0,332116.8627,91.3746,16.6034,1.54
2022-08-31,522.0,207221796.0,305032.1146,83.9228,15.2493,1.54
2022-09-30,463.75,40885325.0,270993.5693,74.5579,13.5477,1.54
2022-10-31,465.4,17843381.0,271957.7512,74.8232,13.5959,1.54
2022-11-30,454.45,19922594.0,265832.4435,73.0627,13.276,1.54
2022-12-31,419.5,21449766.0,245388.2936,67.4437,12.255,1.54
2023-01-31,450.0,37576580.0,263229.3972,72.3473,13.146,1.54
2023-02-28,448.1,20631923.0,262319.7932,72.0418,13.0905,2.05
2023-03-31,413.5,182512280.0,242064.7947,61.1686,10.5696,2.05
2023-04-30,480.0,28412941.0,280994.1994,71.0059,12.2694,2.05
2023-05-31,541.55,167224064.0,317031.8084,80.1109,13.8427,2.05
2023-06-30,515.85,37829355.0,301986.628,76.3092,13.1858,3.06
2023-07-31,570.1,40701913.0,333745.4233,84.3343,14.5725,3.06
2023-08-31,595.6,34323360.0,348673.5206,88.1065,15.2243,3.06
2023-09-30,583.4,23015150.0,341531.4505,86.3018,14.9125,3.06
2023-10-31,541.5,26866332.0,317558.2401,80.1036,13.8414,3.06
2023-11-30,558.0,23242472.0,327234.53,82.5444,14.2632,3.06
2023-12-31,644.5,47777804.0,377961.7465,95.3402,16.4742,3.06
2024-01-31,618.2,38213959.0,362538.3269,91.4497,15.802,3.06
2024-02-29,689.35,44279978.0,404263.6617,101.9749,17.6207,3.06
2024-03-31,705.95,41032010.0,413998.5958,79.949,15.6208,3.06
2024-04-30,625.35,39923043.0,366735.118,70.8211,13.8373,3.06
2024-05-31,651.1,44738864.0,381844.4615,73.7373,14.4071,3.06
2024-06-30,641.0,23730933.0,375921.21,72.5934,14.1836,3.06
2024-07-31,679.25,45723740.0,398353.3259,76.9253,15.03,3.06
2024-08-31,683.35,29461884.0,400765.9706,77.3896,15.1207,3.06
2024-09-30,743.4,53378259.0,461841.0339,84.1903,16.4495,3.06
2024-10-31,685.7,71074379.0,425994.6152,77.6557,15.1727,3.06
2024-11-30,671.6,22723553.0,417356.0986,76.0589,14.8607,3.06
2024-12-31,594.8,35002465.0,369632.5863,67.3613,13.1614,3.06
2025-01-31,504.3,51433916.0,313392.255,57.1121,11.1588,3.06
2025-02-28,493.9,49627295.0,307066.5079,55.9343,10.9287,3.13
2025-03-31,461.2,37122072.0,286736.3301,46.4919,5.2183,3.13
2025-04-30,481.15,61436671.0,299139.6037,48.503,5.4441,3.13
2025-05-31,543.95,41863796.0,338183.4925,54.8337,6.1546,3.13
2025-06-30,481.35,47453168.0,299263.9473,48.5232,5.4463,3.13
2025-07-31,449.55,117922393.0,279494.6643,45.3175,5.0865,3.2
2025-08-31,443.05,107667009.0,275453.478,44.6623,5.013,3.2
2025-09-30,411.75,66349041.0,255993.6115,41.5071,4.6588,3.2
2025-10-31,472.75,74125980.0,293918.5909,47.6563,5.349,3.2
2025-11-30,511.75,37883566.0,318165.709,51.5877,5.7903,3.2
2025-12-31,479.4,33403880.0,298053.0354,48.3266,5.4243,3.2
2026-01-31,495.75,38299720.0,308218.1734,49.9748,5.6093,3.2
2026-02-28,534.5,48025204.0,332309.8611,53.881,6.0477,3.2
2026-03-31,511.5,3690186.0,318010.2787,51.5625,5.7875,3.2
