AADHARHF IN Equity,price,volume,mc,pe,bm,div
2024-05-31,343.5,137684483.0,146509.1065,19.5439,3.2925,0.0
2024-06-30,408.75,42283659.0,174339.4389,23.2564,3.918,0.0
2024-07-31,446.45,33515195.0,190419.1866,25.4014,4.2793,0.0
2024-08-31,384.45,16826479.0,165075.6773,21.8738,3.685,0.0
2024-09-30,469.25,36165342.0,201654.846,26.6987,4.4979,0.0
2024-10-31,439.5,19800642.0,188916.6643,25.006,4.2127,0.0
2024-11-30,432.75,19536627.0,186134.8705,24.6219,4.148,0.0
2024-12-31,422.6,12256569.0,182005.166,24.0444,4.0507,0.0
2025-01-31,398.5,13227414.0,171625.7895,22.6732,3.8197,0.0
2025-02-28,380.7,12106195.0,164144.6217,21.6605,3.6491,0.0
2025-03-31,424.85,20942960.0,183273.6874,19.825,2.8761,0.0
2025-04-30,467.05,16343244.0,201478.1116,21.7942,3.1618,0.0
2025-05-31,444.25,9882322.0,191804.001,20.7303,3.0074,0.0
2025-06-30,454.6,8358608.0,196414.1796,21.2133,3.0775,0.0
2025-07-31,507.05,32558376.0,219075.6924,23.6608,3.4325,0.0
2025-08-31,502.95,9392870.0,217304.2491,23.4694,3.4048,0.0
2025-09-30,510.25,13538645.0,220985.5665,23.8101,3.4542,0.0
2025-10-31,509.85,7027754.0,220812.3294,23.7914,3.4515,0.0
2025-11-30,481.15,6502780.0,208598.8444,22.4522,3.2572,0.0
2025-12-31,485.05,5801577.0,210412.9011,22.6342,3.2836,0.0
2026-01-31,491.3,6981315.0,213124.1281,22.9258,3.3259,0.0
2026-02-28,458.95,11199933.0,199090.8174,21.4162,3.1069,0.0
2026-03-31,452.95,1628021.0,196848.7285,21.1363,3.0663,0.0
