HONASA IN Equity,price,volume,mc,pe,bm,div
2025-03-31,231.86,17013914.0,75397.0718,103.5089,6.3905,0.0
2025-04-30,246.44,16934620.0,80138.2488,110.0179,6.7924,0.0
2025-05-31,316.45,42803170.0,102904.3534,141.2723,8.722,0.0
2025-06-30,310.7,14286600.0,101034.5476,138.7054,8.5635,0.0
2025-07-31,271.95,11151223.0,88433.6827,121.4062,7.4955,0.0
2025-08-31,292.95,33234852.0,95262.5385,130.7812,8.0743,0.0
2025-09-30,280.9,8396325.0,91396.3751,125.4018,7.7421,0.0
2025-10-31,284.3,6403381.0,92502.6324,126.9196,7.8359,0.0
2025-11-30,289.9,29700802.0,94324.7033,129.4196,7.9902,0.0
2025-12-31,286.25,47165176.0,93137.1035,127.7902,7.8896,0.0
2026-01-31,276.35,8771973.0,89915.9426,123.3705,7.6167,0.0
2026-02-28,303.0,39082589.0,98587.0476,135.2679,8.3513,0.0
2026-03-31,299.1,2377096.0,97318.1074,133.5268,8.2438,0.0
