COAL IN Equity,price,volume,mc,pe,bm,div
2010-11-30,317.25,1108737709.0,2003866.561,20.8443,7.7684,0.0
2010-12-31,314.75,121842031.0,1988075.65,20.68,7.7071,0.0
2011-01-31,304.35,73439741.0,1922385.462,19.9967,7.4525,0.0
2011-02-28,327.7,87227058.0,2069872.567,21.5309,8.0242,3.5
2011-03-31,346.5,99441528.0,2188620.215,20.1394,6.5696,3.5
2011-04-30,380.55,66978515.0,2403692.418,22.1185,7.2152,3.5
2011-05-31,408.45,122365378.0,2579918.981,23.7401,7.7442,3.5
2011-06-30,392.85,65851948.0,2481383.507,22.8334,7.4484,3.5
2011-07-31,388.25,101142868.0,2452328.234,22.566,7.3612,3.5
2011-08-31,375.6,92188905.0,2372426.232,21.8308,7.1214,3.5
2011-09-30,333.2,79090283.0,2104612.408,19.3664,6.3175,3.9
2011-10-31,332.0,135998762.0,2097032.772,19.2966,6.2947,3.9
2011-11-30,327.15,80304100.0,2066398.407,19.0147,6.2028,3.9
2011-12-31,300.65,73514716.0,1899014.767,17.4745,5.7003,3.9
2012-01-31,327.2,108513226.0,2066714.225,19.0176,6.2037,3.9
2012-02-29,334.5,114139920.0,2112823.681,19.4419,6.3421,3.9
2012-03-31,343.9,80288662.0,2172197.668,14.6887,5.3697,9.9
2012-04-30,352.35,44234451.0,2225570.946,15.0496,5.5016,9.9
2012-05-31,321.6,53476676.0,2031342.745,13.7362,5.0215,9.9
2012-06-30,346.8,37491664.0,2190515.125,14.8126,5.415,9.9
2012-07-31,359.35,34000520.0,2269785.496,15.3486,5.6109,9.9
2012-08-31,351.45,47982167.0,2219886.218,15.0112,5.4876,9.9
2012-09-30,358.95,44666217.0,2267258.95,15.3315,5.6047,10.0
2012-10-31,346.3,31912649.0,2187356.943,14.7912,5.4072,10.0
2012-11-30,366.55,41162978.0,2315263.319,15.6561,5.7233,10.0
2012-12-31,354.8,42801571.0,2241046.039,15.1543,5.5399,10.0
2013-01-31,353.35,45426559.0,2231887.311,15.0923,5.5172,10.0
2013-02-28,309.8,51703577.0,1956809.647,13.2322,4.8372,10.0
2013-03-31,309.1,48664266.0,1952388.192,11.2488,4.0279,10.2
2013-04-30,319.2,47396100.0,2016183.471,11.6164,4.1595,10.2
2013-05-31,324.7,65806046.0,2050923.475,11.8165,4.2312,10.2
2013-06-30,302.55,65715355.0,1911016.006,11.0105,3.9425,10.2
