EIH IN Equity,price,volume,mc,pe,bm,div
2004-06-30,28.42,254976.0,12854.7203,88.9678,1.4334,0.3475
2004-07-31,25.86,155501.0,11699.4458,80.9722,1.3046,0.3475
2004-08-31,26.48,401903.0,11979.7278,82.9122,1.3359,0.3475
2004-09-30,29.75,1197430.0,13459.8385,93.1561,1.5009,0.3475
2004-10-31,30.8,511989.0,13931.3782,96.4196,1.5535,0.3475
2004-11-30,32.42,1033441.0,14664.8844,101.4962,1.6353,0.3475
2004-12-31,31.75,5748588.0,14363.6229,99.4112,1.6017,0.3475
2005-01-31,31.9,3249263.0,14429.1146,99.8645,1.609,0.3475
2005-02-28,35.59,13685705.0,16097.8411,111.4138,1.7951,0.3475
2005-03-31,35.72,9226001.0,16160.7131,77.064,1.8744,0.3475
2005-04-30,37.45,4871952.0,16941.3733,80.7866,1.9649,0.3475
2005-05-31,44.14,9960466.0,19967.0863,95.2151,2.3159,0.3475
2005-06-30,41.09,15282777.0,18589.1425,88.6442,2.156,0.3475
2005-07-31,46.35,8721938.0,20968.0395,99.9871,2.4319,0.4633
2005-08-31,51.71,7387069.0,23393.8772,111.5548,2.7133,0.4633
2005-09-30,57.76,15266968.0,26131.4585,124.6091,3.0308,0.4633
2005-10-31,52.42,9701381.0,23713.48,113.0788,2.7504,0.4633
2005-11-30,59.54,5297513.0,26933.0852,128.4316,3.1238,0.4633
2005-12-31,68.21,9198380.0,30854.7688,147.1324,3.5786,1.1582
2006-01-31,82.64,10204209.0,37383.049,178.2628,4.3358,1.1582
2006-02-28,77.05,5337550.0,34857.6629,166.2204,4.0429,1.1582
2006-03-31,82.64,7258808.0,37383.049,19.1237,3.7691,1.1582
2006-04-30,80.89,4110384.0,35690.7259,18.719,3.6893,1.1582
2006-05-31,79.3,9022761.0,35871.4849,18.3505,3.6167,1.1582
2006-06-30,73.41,6900913.0,33207.255,16.9876,3.3481,1.1582
2006-07-31,72.13,3393626.0,32628.3024,16.6914,3.2897,1.1582
2006-08-31,84.62,4805875.0,38281.6044,19.5834,3.8597,1.1582
2006-09-30,88.78,20304066.0,40159.8998,20.5443,4.0491,1.1582
2006-10-31,88.91,5357758.0,40218.8304,20.5744,4.055,1.1582
2006-11-30,90.99,11454702.0,41161.9198,21.0569,4.1501,1.1582
2006-12-31,91.12,15258701.0,41220.8628,21.087,4.156,1.1582
2007-01-31,86.78,8716215.0,39256.0934,20.0819,3.9579,1.1582
2007-02-28,82.26,5732475.0,37212.7332,19.0366,3.7519,0.5791
2007-03-31,81.44,3273116.0,36839.427,23.8267,3.3009,0.5791
2007-04-30,83.87,3053767.0,37939.6979,24.5383,3.3995,0.5791
2007-05-31,86.65,6386333.0,39197.1503,25.3516,3.5122,0.5791
2007-06-30,90.47,8366972.0,40926.1474,26.4699,3.6671,0.5791
2007-07-31,91.21,4036173.0,41260.1582,26.6859,3.697,0.5791
2007-08-31,99.11,10772967.0,44836.0386,28.9987,4.0174,1.2161
2007-09-30,106.37,3164756.0,48117.2185,31.1209,4.3114,1.2161
2007-10-31,120.61,9447849.0,54561.6643,35.289,4.8889,1.2161
2007-11-30,142.24,3100066.0,64346.2191,41.6173,5.7656,1.2161
2007-12-31,160.87,16566391.0,72775.0827,47.0689,6.5208,1.2161
2008-01-31,143.11,20003272.0,64739.1731,41.8715,5.8008,1.2161
2008-02-29,150.23,8464983.0,67961.396,43.9555,6.0895,1.2161
2008-03-31,120.05,9228068.0,54306.2442,24.9173,4.4302,1.2161
2008-04-30,129.82,2690603.0,58726.9768,26.9457,4.7908,1.2161
2008-05-31,111.06,1637296.0,50239.1702,23.0512,4.0984,1.2161
2008-06-30,101.37,3399845.0,45857.733,21.0409,3.741,1.2161
2008-07-31,102.89,7618058.0,46545.4025,21.3564,3.7971,1.5636
2008-08-31,128.12,16523585.0,57960.7165,26.5941,4.7283,1.5636
2008-09-30,113.1,7852019.0,51162.6121,23.4749,4.1737,1.5636
2008-10-31,73.27,3086268.0,33145.6707,15.2082,2.7039,1.5636
2008-11-30,84.43,8807777.0,38195.1298,17.525,3.1159,1.5636
2008-12-31,107.45,20089930.0,48608.411,22.303,3.9654,1.5636
2009-01-31,85.56,5247579.0,38705.97,17.7594,3.1575,1.5636
2009-02-28,87.08,704605.0,39393.6395,18.075,3.2136,1.5636
2009-03-31,75.14,982813.0,33990.5219,19.9769,2.4064,1.5636
2009-04-30,97.51,6750775.0,44109.0876,25.9238,3.1228,1.5636
2009-05-31,106.06,2630481.0,47979.6846,28.1986,3.3968,1.5636
2009-06-30,109.32,5076781.0,49453.2622,29.0647,3.5011,1.5636
2009-07-31,102.8,3093931.0,46506.1071,27.3326,3.2925,1.0424
2009-08-31,101.33,3064990.0,45838.0853,26.94,3.2452,1.0424
2009-09-30,107.06,6129628.0,48431.5817,28.4642,3.4288,1.0424
2009-10-31,107.84,20594513.0,48785.2403,28.6721,3.4538,1.0424
2009-11-30,120.48,6854199.0,54502.7212,32.0323,3.8586,1.0424
2009-12-31,120.22,6438054.0,54384.835,31.963,3.8503,1.0424
2010-01-31,108.67,5945972.0,49158.5467,28.8915,3.4803,1.0424
2010-02-28,105.5,3523227.0,47724.2645,28.0485,3.3787,1.0424
2010-03-31,104.85,3422629.0,47429.549,71.4201,3.4006,1.0424
2010-04-30,111.23,6813762.0,50317.761,75.7692,3.6077,1.0424
2010-05-31,101.59,2526981.0,45955.9715,69.2012,3.2949,1.0424
2010-06-30,104.41,2175965.0,47233.072,71.1243,3.3865,1.0424
2010-07-31,111.45,6268707.0,50415.9995,75.9172,3.6147,1.0424
2010-08-31,121.78,52562928.0,55092.1522,82.9586,3.95,1.0424
2010-09-30,118.27,39236935.0,53500.6885,80.5621,3.8359,1.0424
2010-10-31,108.23,7450202.0,48962.0696,73.7278,3.5105,1.0424
2010-11-30,91.34,4456134.0,41319.1142,62.2189,2.9625,1.0424
2010-12-31,99.55,6333645.0,45032.5295,67.8107,3.2287,1.0424
2011-01-31,91.25,3603239.0,41279.8188,62.1598,2.9597,1.0424
2011-02-28,79.54,8287809.0,46354.2781,54.1855,2.58,1.0424
2011-03-31,79.1,9719858.0,46097.062,54.0853,1.8103,1.0424
2011-04-30,84.6,7512153.0,49297.85,54.0853,1.936,1.0424
2011-05-31,80.92,2104887.0,47154.4652,54.0853,1.8518,1.0424
2011-06-30,84.89,4155188.0,49469.3207,54.0853,1.9427,1.0424
2011-07-31,94.55,9482980.0,55099.2781,54.0853,2.1638,0.8827
2011-08-31,86.17,11080692.0,50212.3608,54.0853,1.9719,0.8827
2011-09-30,86.85,4590843.0,50612.4593,54.0853,1.9876,0.8827
2011-10-31,92.15,2779228.0,53698.9334,54.0853,2.1089,0.8827
2011-11-30,82.54,3081990.0,48097.5545,54.0853,1.8889,0.8827
2011-12-31,82.39,2876347.0,48011.8191,54.0853,1.8855,0.8827
2012-01-31,86.95,3513501.0,50669.6162,54.0853,1.9899,0.8827
2012-02-29,83.27,4028460.0,48526.2314,54.0853,1.9057,0.8827
2012-03-31,83.91,43492622.0,48897.7619,39.9766,1.8867,0.8827
2012-04-30,82.09,1360976.0,47840.3585,39.1121,1.8459,0.8827
2012-05-31,75.87,1529520.0,44210.8929,36.1449,1.7058,0.8827
2012-06-30,78.66,919784.0,45839.8656,37.4766,1.7687,0.8827
