KPR IN Equity,price,volume,mc,pe,bm,div
2007-08-31,16.41,193865070.0,6183.7638,8.0323,1.0967,0.0
2007-09-30,15.02,23870190.0,5658.1022,7.3495,1.0034,0.0
2007-10-31,12.81,6536500.0,4827.1921,6.2702,0.8561,0.2
2007-11-30,15.62,10598820.0,5886.0844,7.6456,1.0439,0.2
2007-12-31,19.18,6126000.0,7225.715,9.3857,1.2814,0.2
2008-01-31,13.24,4505110.0,4987.3449,6.4782,0.8845,0.2
2008-02-29,13.53,3073360.0,5098.5097,6.6226,0.9042,0.2
2008-03-31,9.61,4431290.0,3619.452,4.7014,0.6419,0.2
2008-04-30,10.81,1924110.0,4073.5322,5.2912,0.7224,0.2
2008-05-31,10.55,1466060.0,3973.6722,5.1615,0.7047,0.2
2008-06-30,9.26,685030.0,3489.4457,4.5326,0.6188,0.2
2008-07-31,9.11,714350.0,3432.9212,4.4591,0.6088,0.2
2008-08-31,9.06,18832270.0,3412.1955,4.4322,0.6051,0.5
2008-09-30,7.49,4190150.0,2820.5724,3.6637,0.5002,0.5
2008-10-31,4.81,524520.0,1810.6681,2.3519,0.3211,0.5
2008-11-30,4.3,5113700.0,1620.3689,2.1047,0.2874,0.5
2008-12-31,4.65,1576280.0,1752.2594,2.2761,0.3108,0.3
2009-01-31,2.72,2777960.0,1023.0934,1.3289,0.1814,0.3
2009-02-28,2.3,829200.0,866.709,1.1258,0.1537,0.3
2009-03-31,2.07,1755270.0,780.0381,7.7239,0.153,0.3
2009-04-30,3.2,2736060.0,1205.856,11.9403,0.2365,0.3
2009-05-31,5.45,2082240.0,2051.8393,20.3172,0.4024,0.3
2009-06-30,5.89,2325300.0,2217.6445,21.959,0.4349,0.3
2009-07-31,5.45,566760.0,2053.7234,20.3358,0.4028,0.3
2009-08-31,6.02,26729970.0,2268.5165,22.4627,0.4449,0.2
2009-09-30,7.89,9403260.0,2971.3044,29.4216,0.5827,0.2
2009-10-31,8.02,1884270.0,3020.2923,29.9067,0.5923,0.2
2009-11-30,8.15,957000.0,3073.0485,30.4291,0.6027,0.2
2009-12-31,10.13,2391560.0,3815.4036,37.7799,0.7482,0.2
2010-01-31,9.12,4027870.0,3434.8053,34.0112,0.6736,0.2
2010-02-28,10.54,29630700.0,3971.7881,39.3284,0.7789,0.2
2010-03-31,11.13,10894900.0,4192.2336,8.3146,0.7819,0.2
2010-04-30,14.97,44353900.0,5641.1449,11.1883,1.0521,0.4
2010-05-31,14.65,18506670.0,5520.5593,10.9492,1.0296,0.4
2010-06-30,14.37,4371960.0,5415.0469,10.7399,1.0099,0.4
2010-07-31,16.37,17163380.0,6166.8227,12.2309,1.1501,0.4
2010-08-31,18.3,39837720.0,6895.9888,13.6771,1.2861,0.15
2010-09-30,20.17,14014060.0,7598.7767,15.071,1.4172,0.15
2010-10-31,22.74,26385150.0,8570.998,16.9993,1.5985,0.15
2010-11-30,19.27,6078240.0,7259.6297,14.3984,1.3539,0.9
2010-12-31,20.34,3204080.0,7662.8378,15.1981,1.4291,0.9
2011-01-31,16.87,4352130.0,6357.1219,12.6084,1.1856,0.9
2011-02-28,15.95,3338630.0,6010.4383,11.9208,1.121,0.9
2011-03-31,18.36,3385250.0,6918.5986,9.6784,1.2375,0.9
2011-04-30,17.84,1909950.0,6722.647,9.4043,1.2024,0.9
2011-05-31,14.33,1795030.0,5398.0896,7.5514,0.9655,0.9
2011-06-30,11.91,1502050.0,4486.161,6.2757,0.8024,0.9
2011-07-31,11.12,1655100.0,4188.4653,5.8593,0.7491,0.3
2011-08-31,9.89,8574250.0,3726.8486,5.2135,0.6666,0.3
2011-09-30,10.17,1855110.0,3830.4768,5.3585,0.6851,0.3
2011-10-31,10.7,837740.0,4030.1967,5.6378,0.7208,0.3
2011-11-30,10.45,4592440.0,3937.8734,5.5087,0.7043,0.3
2011-12-31,8.0,953210.0,3012.7557,4.2145,0.5389,0.3
2012-01-31,8.71,10818210.0,3282.1892,4.5915,0.5871,0.3
2012-02-29,8.52,6723390.0,3208.7073,4.4887,0.5739,0.3
2012-03-31,8.54,2003330.0,3218.1196,10.1909,0.5535,0.3
2012-04-30,8.07,376170.0,3039.1258,9.6241,0.5227,0.3
2012-05-31,8.03,907440.0,3024.0527,9.5764,0.5201,0.6
2012-06-30,9.39,8828100.0,3538.4243,11.2053,0.6086,0.6
2012-07-31,9.89,6129150.0,3726.8388,11.8019,0.641,0.6
2012-08-31,12.15,5793600.0,4578.4723,14.4988,0.7875,0.5
2012-09-30,12.94,972810.0,4876.1672,15.4415,0.8387,0.5
2012-10-31,13.64,1700150.0,5138.0633,16.2709,0.8837,0.5
2012-11-30,12.99,5753390.0,4893.1245,15.4952,0.8416,0.5
