ADE IN Equity,price,volume,mc,pe,bm,div
2005-07-31,4.0,38235560.0,14524.7569,1.4564,0.243,0.2
2005-08-31,4.46,45018452.0,16182.4737,1.6226,0.2707,0.2
2005-09-30,3.91,43924666.0,14209.0013,1.4247,0.2377,0.2
2005-10-31,3.62,36957662.0,13170.9144,1.3185,0.2199,0.2
2005-11-30,3.94,34952050.0,14323.087,1.4338,0.2392,0.2
2005-12-31,3.66,39371102.0,13333.9006,1.3332,0.2224,0.2
2006-01-31,3.73,35406678.0,13571.4001,1.3569,0.2264,0.2
2006-02-28,3.58,34929846.0,13028.5441,1.3026,0.2173,0.2
2006-03-31,3.72,40773814.0,13537.4716,1.2485,0.1973,0.2
2006-04-30,3.77,31481770.0,13514.8526,1.2663,0.2001,0.2
2006-05-31,11.23,103987014.0,40895.1524,3.7717,0.5961,0.2
2006-06-30,8.07,29614592.0,29482.3547,2.7109,0.4285,0.2
2006-07-31,7.15,11745634.0,26101.9231,2.4001,0.3793,0.225
2006-08-31,7.45,26067244.0,27882.8219,2.5023,0.3955,0.225
2006-09-30,8.37,20122294.0,31299.8914,2.809,0.444,0.225
2006-10-31,8.4,23646696.0,31511.0237,2.8204,0.4458,0.225
2006-11-30,13.29,93824950.0,52233.0314,4.4622,0.7053,0.225
2006-12-31,14.18,78382272.0,55725.0012,4.7605,0.7524,0.225
2007-01-31,14.32,25722500.0,56802.929,4.8075,0.7598,0.225
2007-02-28,13.08,33108364.0,51885.5134,4.3913,0.6941,0.225
2007-03-31,13.05,26851336.0,51774.5942,3.5764,0.5592,0.225
2007-04-30,13.85,15646364.0,54941.9522,3.7951,0.5934,0.225
2007-05-31,14.59,19141694.0,57887.4718,3.9986,0.6252,0.225
2007-06-30,17.04,12767696.0,67611.384,4.6703,0.7303,0.225
2007-07-31,20.61,14255782.0,81772.0621,5.6484,0.8832,0.225
2007-08-31,21.26,20798350.0,84323.2025,5.8247,0.9108,0.225
2007-09-30,34.57,42476080.0,137133.0422,9.4725,1.4812,0.225
2007-10-31,49.44,55428324.0,196142.0299,13.5486,2.1185,0.225
2007-11-30,49.68,20899468.0,197091.0048,13.6141,2.1288,0.225
2007-12-31,71.42,18703292.0,283299.8329,19.5691,3.0599,0.225
2008-01-31,54.49,17841778.0,216169.0986,14.932,2.3348,0.225
2008-02-29,42.67,7895286.0,169287.2713,11.6936,1.8285,0.225
2008-03-31,37.26,13122298.0,147818.2536,4.9683,0.8645,0.225
2008-04-30,52.54,7142956.0,208404.7581,7.0047,1.2188,0.225
2008-05-31,49.19,6969788.0,195131.4332,6.5586,1.1412,0.0
2008-06-30,38.13,5642118.0,151244.4229,5.0835,0.8845,0.0
2008-07-31,39.6,5518394.0,157073.8404,5.2794,0.9186,0.0
2008-08-31,36.57,7292002.0,145129.5184,4.8756,0.8483,0.0
2008-09-30,29.1,10961630.0,115499.4222,3.8801,0.6751,0.3
2008-10-31,23.11,5671532.0,91726.2151,3.0815,0.5362,0.3
2008-11-30,18.69,2606302.0,74192.3157,2.4925,0.4337,0.3
2008-12-31,18.77,3246402.0,74512.9074,2.5032,0.4355,0.3
2009-01-31,17.6,5971564.0,69851.9974,2.3466,0.4083,0.3
2009-02-28,15.21,4488596.0,60357.5512,2.0277,0.3528,0.3
2009-03-31,16.63,5345588.0,66004.8971,1.6257,0.2717,0.3
2009-04-30,26.16,23881244.0,103834.7167,2.5574,0.4274,0.3
2009-05-31,41.94,15535448.0,166448.7402,4.0995,0.6852,0.3
2009-06-30,50.97,15508642.0,202293.3574,4.9824,0.8327,0.3
2009-07-31,51.58,18006690.0,204697.7951,5.0416,0.8426,0.3
2009-08-31,44.41,6824986.0,176239.1172,4.3407,0.7255,0.5
2009-09-30,41.37,5298406.0,164687.4757,4.0443,0.6759,0.5
2009-10-31,44.42,10321646.0,176819.2181,4.3422,0.7257,0.5
2009-11-30,50.63,10406022.0,201540.2712,4.9493,0.8272,0.5
2009-12-31,54.18,5765716.0,216269.6516,5.2964,0.8852,0.5
2010-01-31,55.08,12690374.0,220367.849,5.3845,0.8999,0.5
2010-02-28,60.47,9007539.0,241919.8992,5.9111,0.9879,0.5
2010-03-31,58.37,6314639.0,248543.2572,3.1466,0.4815,0.5
2010-04-30,69.91,10995043.0,299546.3383,3.7687,0.5766,0.5
2010-05-31,67.45,40807874.0,289007.2196,3.636,0.5564,0.5
2010-06-30,66.95,7772277.0,289330.1237,3.6092,0.5523,0.5
2010-07-31,72.56,19170914.0,313670.918,3.9113,0.5985,0.5
2010-08-31,80.79,40211838.0,397764.7405,4.3552,0.6664,1.0
2010-09-30,82.37,21653973.0,765809.3306,4.4403,0.6794,1.0
2010-10-31,87.54,21008990.0,813932.3822,4.7193,0.7221,1.0
2010-11-30,83.17,19788945.0,736047.8817,4.4835,0.686,1.0
2010-12-31,80.76,17130649.0,714766.5571,4.3538,0.6662,1.0
2011-01-31,70.11,32517170.0,620512.8351,3.7797,0.5783,1.0
2011-02-28,75.94,13962940.0,672093.9268,4.0939,0.6264,1.0
2011-03-31,82.83,9970408.0,733078.3946,3.5581,0.5139,1.0
2011-04-30,77.66,4312429.0,687326.2961,3.336,0.4818,1.0
2011-05-31,79.35,10829942.0,702283.7129,3.4086,0.4923,1.0
2011-06-30,88.84,6802749.0,786254.2109,3.8162,0.5512,1.0
2011-07-31,72.76,20543649.0,643938.7893,3.1255,0.4514,1.0
2011-08-31,65.8,25826049.0,582294.4355,2.8263,0.4082,1.0
2011-09-30,65.47,10566644.0,579434.9294,2.8124,0.4062,1.0
2011-10-31,59.39,11708501.0,525599.227,2.5511,0.3685,1.0
2011-11-30,37.46,25966783.0,331482.7517,1.6089,0.2324,1.0
2011-12-31,36.49,16292683.0,322904.2332,1.5673,0.2264,1.0
2012-01-31,51.68,56968755.0,457411.0034,2.2201,0.3207,1.0
2012-02-29,46.57,58516310.0,412153.8195,2.0004,0.2889,1.0
2012-03-31,37.88,46424215.0,335277.0964,2.2658,0.214,1.0
2012-04-30,34.91,24620093.0,308991.636,2.0882,0.1972,1.0
2012-05-31,32.38,23394366.0,286555.5108,1.9365,0.1829,1.0
2012-06-30,27.64,45099129.0,244597.757,1.653,0.1561,1.0
2012-07-31,22.48,107562010.0,198955.6396,1.3445,0.127,1.0
2012-08-31,19.36,52663902.0,171350.4071,1.158,0.1094,1.0
2012-09-30,25.0,71310273.0,221226.7933,1.495,0.1412,1.0
2012-10-31,26.76,90046938.0,236844.0961,1.6006,0.1512,1.0
2012-11-30,29.79,28282920.0,263679.4615,1.7819,0.1683,1.0
2012-12-31,33.72,77765522.0,298433.4594,2.0168,0.1905,1.0
2013-01-31,31.07,40073103.0,275007.5052,1.8585,0.1755,1.0
2013-02-28,26.8,33240751.0,237174.0391,1.6028,0.1514,1.0
2013-03-31,25.13,43022749.0,222381.5938,1.7129,0.1288,1.0
2013-04-30,27.1,37586157.0,239868.5738,1.8475,0.1389,1.0
2013-05-31,26.31,34754017.0,232829.7894,1.7933,0.1348,1.0
2013-06-30,25.61,43986779.0,226615.8626,1.7455,0.1312,1.0
2013-07-31,21.75,33848541.0,192466.7603,1.4824,0.1115,1.4
2013-08-31,17.58,51906748.0,155623.1233,1.1987,0.0901,1.4
2013-09-30,17.49,56904328.0,154798.2657,1.1923,0.0896,1.4
2013-10-31,25.8,62431772.0,228375.5587,1.759,0.1323,1.4
2013-11-30,32.7,63570147.0,289415.0169,2.2292,0.1676,1.4
2013-12-31,32.62,53694767.0,288700.1404,2.2237,0.1672,1.4
2014-01-31,29.68,43191505.0,262689.6325,2.0233,0.1521,1.4
2014-02-28,31.6,49887107.0,279626.7074,2.1538,0.1619,1.4
2014-03-31,45.73,66919759.0,404730.1016,2.2651,0.2117,1.4
2014-04-30,51.93,167401970.0,459555.633,2.5719,0.2404,1.4
2014-05-31,59.51,162327574.0,526699.0371,2.9477,0.2755,1.4
2014-06-30,56.55,67290633.0,500468.5672,2.8009,0.2618,1.4
2014-07-31,53.91,71432463.0,477097.6034,2.6701,0.2496,1.4
2014-08-31,59.51,55326907.0,526699.0371,2.9477,0.2755,1.4
2014-09-30,58.49,46890913.0,517680.5946,2.8972,0.2708,1.4
2014-10-31,60.18,26867019.0,532583.0209,2.9806,0.2786,1.4
2014-11-30,57.03,25739104.0,504757.8264,2.8249,0.264,1.4
2014-12-31,60.43,26669252.0,534837.6315,2.9932,0.2798,1.4
2015-01-31,77.96,55875731.0,689910.8498,3.8611,0.3609,1.4
2015-02-28,86.68,55194232.0,767117.5159,4.2932,0.4013,1.4
2015-03-31,76.47,33545545.0,676768.1196,4.3179,0.3269,1.4
2015-04-30,83.78,26327756.0,741491.9415,4.7308,0.3582,1.4
2015-05-31,87.77,58161544.0,776795.8444,4.9561,0.3752,1.4
2015-06-30,56.41,249444296.0,99917.7438,3.1853,0.2411,1.4
2015-07-31,54.11,102834844.0,95848.4466,3.0556,0.2313,1.4
2015-08-31,46.66,166074710.0,82650.7259,2.6348,0.1995,1.4
2015-09-30,50.2,105528940.0,88919.6432,2.8347,0.2146,1.4
2015-10-31,57.37,125535944.0,101622.4494,3.2396,0.2453,1.4
2015-11-30,51.16,75049796.0,90624.3488,2.889,0.2187,1.4
2015-12-31,51.79,74358078.0,91724.1589,2.9241,0.2214,1.4
2016-01-31,45.23,90220477.0,80121.1628,2.5542,0.1934,1.4
2016-02-29,36.48,91092459.0,64613.8409,2.0598,0.1559,1.4
2016-03-31,45.82,90357675.0,81165.9823,4.9864,0.3767,0.4
2016-04-30,53.83,91531519.0,95353.5321,5.858,0.4426,0.4
2016-05-31,45.23,75488733.0,80121.1628,4.9222,0.3719,0.4
2016-06-30,53.87,85494562.0,95408.5226,5.8613,0.4428,0.4
2016-07-31,50.08,96659471.0,88699.6812,5.4492,0.4117,0.4
2016-08-31,45.2,96866541.0,80066.1723,4.9188,0.3716,0.4
2016-09-30,40.8,59152793.0,72257.5208,4.4391,0.3354,0.4
2016-10-31,41.6,54598909.0,73687.2739,4.5269,0.342,0.4
2016-11-30,42.25,53757446.0,74842.0745,4.5979,0.3474,0.4
2016-12-31,47.53,52695655.0,84190.46,5.1722,0.3908,0.4
2017-01-31,54.11,88780415.0,95848.4466,5.8884,0.4449,0.4
2017-02-28,61.16,125171275.0,108331.2908,6.6552,0.5028,0.4
2017-03-31,67.4,106810134.0,119384.3819,7.2213,0.5244,0.4
2017-04-30,67.65,420372355.0,119824.3059,7.2479,0.5263,0.4
2017-05-31,72.52,288737048.0,128457.8148,7.7701,0.5643,0.0
2017-06-30,82.34,205667601.0,145834.8138,8.8212,0.6406,0.0
2017-07-31,85.63,103726456.0,151663.8071,9.1738,0.6662,0.4
2017-08-31,82.3,148030579.0,145779.8233,8.8179,0.6403,0.4
2017-09-30,72.21,114062432.0,127907.9098,7.7369,0.5618,0.4
2017-10-31,82.15,98917224.0,145504.8708,8.8013,0.6391,0.4
2017-11-30,91.03,144999644.0,161232.1546,9.7526,0.7082,0.4
2017-12-31,103.29,162620945.0,182953.4033,11.0664,0.8036,0.4
2018-01-31,132.38,211653953.0,234479.5046,14.1831,1.03,0.4
2018-02-28,126.39,116017924.0,223866.3424,13.5412,0.9833,0.4
2018-03-31,97.11,248240815.0,172010.297,15.0508,0.7078,0.4
2018-04-30,99.89,188715057.0,154083.3926,15.4805,0.728,0.4
2018-05-31,86.27,138980029.0,133077.02,13.3701,0.6288,0.4
2018-06-30,80.67,145602861.0,124443.5109,12.5027,0.588,0.4
2018-07-31,139.35,484038542.0,214957.8807,21.5965,1.0157,0.4
2018-08-31,160.6,372577213.0,247732.2212,24.8893,1.1705,0.4
2018-09-30,130.6,372989864.0,143635.1968,20.2406,0.9519,0.4
2018-10-31,170.0,197493065.0,186967.7141,26.3468,1.2391,0.4
2018-11-30,165.0,120004237.0,181468.6637,25.5719,1.2026,0.4
2018-12-31,161.0,107576340.0,177069.4234,24.952,1.1735,0.4
2019-01-31,137.15,81712216.0,150838.9529,21.2557,0.9997,0.4
2019-02-28,128.85,158248599.0,141710.5292,19.9694,0.9392,0.4
2019-03-31,146.75,115110958.0,161397.1297,25.7909,1.0938,0.4
2019-04-30,127.05,92637491.0,139730.871,22.3286,0.9469,0.4
2019-05-31,154.75,288434000.0,170195.6103,27.1968,1.1534,0.4
2019-06-30,150.5,105989622.0,165521.4175,26.4499,1.1217,0.4
2019-07-31,128.8,148618046.0,141655.5387,22.6362,0.96,0.4
2019-08-31,137.35,107731771.0,151058.9149,24.1388,1.0237,0.4
2019-09-30,145.85,95571582.0,160407.3006,25.6327,1.0871,0.4
2019-10-31,199.65,129145466.0,219577.0831,35.0879,1.4881,0.4
2019-11-30,214.9,103010585.0,236349.1868,37.768,1.6017,0.4
2019-12-31,208.35,63654527.0,229145.4308,36.6169,1.5529,0.4
2020-01-31,229.45,91907807.0,252351.4235,40.3251,1.7102,0.4
2020-02-29,218.65,85547047.0,240473.4746,38.4271,1.6297,0.4
2020-03-31,137.6,101105413.0,151333.8674,13.2947,0.893,1.0
2020-04-30,141.4,66016632.0,155513.1457,13.6618,0.9177,1.0
2020-05-31,148.35,72170066.0,163156.8258,14.3333,0.9628,1.0
2020-06-30,156.25,117439907.0,171845.3255,15.0966,1.014,1.0
2020-07-31,175.25,93784514.0,192741.717,16.9324,1.1373,1.0
2020-08-31,279.55,241756858.0,307451.9087,27.0097,1.8142,1.0
2020-09-30,297.1,183761044.0,326753.5757,28.7053,1.9281,1.0
2020-10-31,339.7,121183816.0,373605.477,32.8213,2.2046,1.0
2020-11-30,398.4,114010888.0,438164.3275,38.4928,2.5856,1.0
2020-12-31,479.55,141424833.0,527413.9138,46.3333,3.1122,1.0
2021-01-31,506.65,96928228.0,557218.7664,48.9517,3.2881,1.0
2021-02-28,833.65,209704801.0,916856.6557,80.5459,5.4103,1.0
2021-03-31,1031.15,210407461.0,1134069.142,122.9023,6.6093,1.0
2021-04-30,1158.7,214571107.0,1274349.915,138.1049,7.4269,1.0
2021-05-31,1316.3,164468463.0,1447679.981,156.8892,8.4371,0.0
2021-06-30,1507.55,358257108.0,1658018.654,179.6841,9.6629,0.0
2021-07-31,1420.25,104562632.0,1562005.27,169.2789,9.1034,1.0
2021-08-31,1587.6,98274350.0,1746058.488,189.2253,10.176,1.0
2021-09-30,1468.1,76086865.0,1614631.183,174.9821,9.4101,1.0
2021-10-31,1423.6,61456440.0,1565689.634,169.6782,9.1248,1.0
2021-11-30,1662.85,59493670.0,1828819.197,198.1943,10.6583,1.0
2021-12-31,1709.45,35134889.0,1880070.346,203.7485,10.957,1.0
2022-01-31,1714.95,41724322.0,1886119.302,204.4041,10.9923,1.0
2022-02-28,1644.45,31908813.0,1808582.691,196.0012,10.5404,1.0
2022-03-31,2014.75,36262004.0,2215842.365,285.3754,9.9559,1.0
2022-04-30,2332.0,42669162.0,2564757.114,330.3116,11.5236,1.0
2022-05-31,2167.55,36041065.0,2471009.43,307.0184,10.711,1.0
2022-06-30,2190.9,42135875.0,2497628.456,310.3258,10.8264,1.0
2022-07-31,2569.2,25012707.0,2928890.88,363.9093,12.6958,1.0
2022-08-31,3194.35,49891153.0,3641562.581,452.4575,15.7849,1.0
2022-09-30,3455.75,87412661.0,3939558.874,489.483,17.0767,1.0
2022-10-31,3347.45,42999469.0,3816096.753,474.1431,16.5415,1.0
2022-11-30,3917.9,55524145.0,4466410.392,554.9433,19.3604,1.0
2022-12-31,3858.35,42172106.0,4398523.325,546.5085,19.0661,1.0
2023-01-31,2973.9,83923731.0,3390249.334,421.2323,14.6956,1.0
2023-02-28,1363.85,329152397.0,1554790.529,193.1799,6.7395,1.0
2023-03-31,1750.45,283277042.0,1995514.962,80.9611,6.0377,1.0
2023-04-30,1924.95,61937888.0,2194445.158,89.0321,6.6396,1.0
2023-05-31,2493.35,174969063.0,2842421.795,115.3215,8.6001,1.0
2023-06-30,2388.05,138905287.0,2722379.677,110.4512,8.2369,1.0
2023-07-31,2492.2,55535684.0,2841110.794,115.2683,8.5961,1.2
2023-08-31,2419.25,143264503.0,2757947.712,111.8942,8.3445,1.2
2023-09-30,2413.9,69493044.0,2751848.706,111.6468,8.3261,1.2
2023-10-31,2294.65,31742049.0,2615903.572,106.1313,7.9147,1.2
2023-11-30,2358.55,44815774.0,2688749.644,109.0868,8.1352,1.2
2023-12-31,2848.95,109662998.0,3247806.194,131.7685,9.8266,1.2
2024-01-31,3142.0,82615833.0,3581883.522,145.3226,10.8374,1.2
2024-02-29,3285.4,41133663.0,3745359.683,151.9551,11.3321,1.2
2024-03-31,3197.1,30792135.0,3644697.584,112.549,9.3272,1.2
2024-04-30,3054.7,22609055.0,3482361.424,107.536,8.9117,1.2
2024-05-31,3411.35,60545502.0,3888942.824,120.0914,9.9522,1.2
2024-06-30,3177.15,95156773.0,3621954.562,111.8467,9.269,1.3
2024-07-31,3169.4,25418054.0,3613119.553,111.5739,9.2464,1.3
2024-08-31,3019.35,50291722.0,3442062.385,106.2916,8.8086,1.3
2024-09-30,3135.85,26694928.0,3574872.515,110.3928,9.1485,1.3
2024-10-31,2947.25,31598340.0,3401659.154,103.7534,8.5983,1.3
2024-11-30,2463.15,114691342.0,2842920.263,86.7114,7.186,1.3
2024-12-31,2528.65,44784589.0,2918519.1,89.0173,7.3771,1.3
2025-01-31,2287.8,36163941.0,2640534.672,80.5385,6.6744,1.3
2025-02-28,2096.0,30385894.0,2419162.808,73.7865,6.1148,1.3
2025-03-31,2315.8,31743061.0,2672851.732,37.3335,5.3123,1.3
2025-04-30,2301.3,18617566.0,2656116.112,37.0998,5.2791,1.3
2025-05-31,2519.9,27273061.0,2908420.019,40.6239,5.7805,1.3
2025-06-30,2619.4,25900867.0,3023261.002,42.228,6.0088,1.3
2025-07-31,2430.7,11970617.0,2805467.098,39.1859,5.5759,1.3
2025-08-31,2244.7,20609807.0,2590789.482,36.1873,5.1492,1.3
2025-09-30,2505.9,36866791.0,2892261.489,40.3982,5.7484,1.3
2025-10-31,2481.0,17749271.0,2863522.389,39.9968,5.6913,1.3
2025-11-30,2280.2,38641345.0,2693036.045,36.7596,5.2307,1.3
2025-12-31,2239.7,23668161.0,2585706.972,36.1067,5.1378,1.3
2026-01-31,2020.4,33468420.0,2332595.138,32.5713,4.6347,1.3
2026-02-28,2161.8,34697077.0,2796529.121,34.8509,4.9591,1.3
2026-03-31,2086.9,5228739.0,2710080.872,33.6434,4.7873,1.3
