ADE IN Equity,price,volume,mc,pe,bm,div
2002-03-31,1.0,16018100.0,3563.9621,0.5513,0.083,0.15
2002-04-30,1.35,23872500.0,4785.3881,0.7402,0.1115,0.15
2002-05-31,1.13,33687600.0,3996.0912,0.6181,0.0931,0.15
2002-06-30,1.13,30242240.0,4011.5243,0.6205,0.0935,0.15
2002-07-31,0.97,38666960.0,3439.3943,0.532,0.0801,0.15
2002-08-31,0.97,22698680.0,3425.0635,0.5298,0.0798,0.15
2002-09-30,0.87,15631140.0,3100.9667,0.4797,0.0723,0.15
2002-10-31,0.84,17194520.0,2986.3203,0.4619,0.0696,0.15
2002-11-30,0.96,14344140.0,3396.4019,0.5254,0.0791,0.15
2002-12-31,0.89,13095880.0,3170.4161,0.4904,0.0739,0.15
2003-01-31,0.83,17831580.0,2942.2255,0.4551,0.0686,0.15
2003-02-28,0.81,14495540.0,2871.6738,0.4442,0.0669,0.15
2003-03-31,0.76,16213440.0,2712.9325,0.3149,0.0557,0.15
2003-04-30,0.76,14044940.0,2689.7827,0.3122,0.0552,0.15
2003-05-31,1.03,17677320.0,3666.4825,0.4256,0.0753,0.15
2003-06-30,1.22,15708200.0,4333.4164,0.503,0.0889,0.15
2003-07-31,1.13,17335460.0,4014.8315,0.466,0.0824,0.15
2003-08-31,1.2,14222020.0,4252.9434,0.4937,0.0873,0.15
2003-09-30,1.22,15511340.0,4325.6998,0.5021,0.0888,0.15
2003-10-31,1.19,9216380.0,4217.6675,0.4896,0.0866,0.15
2003-11-30,1.33,12884120.0,4704.9151,0.5461,0.0966,0.15
2003-12-31,2.41,26195300.0,8547.7768,0.9922,0.1755,0.15
2004-01-31,2.22,16679600.0,7889.6619,0.9158,0.1619,0.15
2004-02-29,2.34,12399700.0,8287.6175,0.962,0.1701,0.15
2004-03-31,2.49,14371720.0,8822.2669,0.7891,0.1593,0.15
2004-04-30,2.65,23761100.0,9406.523,0.8413,0.1699,0.15
2004-05-31,2.96,29056660.0,10502.2788,0.9393,0.1897,0.15
2004-06-30,3.1,34088000.0,10993.9358,0.9833,0.1986,0.2
2004-07-31,4.34,33702894.0,15411.1325,1.3784,0.2784,0.2
2004-08-31,3.96,23537574.0,14055.2174,1.2571,0.2539,0.2
2004-09-30,3.79,23391570.0,13448.9139,1.2029,0.2429,0.2
2004-10-31,3.76,21717630.0,13327.6532,1.1921,0.2407,0.2
2004-11-30,3.78,20815640.0,13404.8191,1.199,0.2421,0.2
2004-12-31,4.78,33154388.0,16943.4268,1.5155,0.306,0.2
2005-01-31,4.68,37086190.0,16601.6921,1.4849,0.2999,0.2
2005-02-28,4.75,40419454.0,16866.2609,1.5086,0.3046,0.2
2005-03-31,3.72,44629764.0,13395.1644,1.3524,0.2256,0.2
2005-04-30,3.69,40765434.0,13397.0584,1.3433,0.2241,0.2
2005-05-31,3.97,44523728.0,14423.264,1.4462,0.2413,0.2
2005-06-30,3.88,42678750.0,14096.2315,1.4134,0.2358,0.2
