ARENM IN Equity,price,volume,mc,pe,bm,div
2020-11-30,946.8,21778222.0,161725.275,24.4714,4.4244,11.0
2020-12-31,923.95,17668900.0,157822.2094,23.8808,4.3176,11.0
2021-01-31,918.2,18315231.0,156840.0375,23.7322,4.2907,5.0
2021-02-28,882.15,29797716.0,150682.2469,22.8005,4.1223,10.0
2021-03-31,853.8,15867018.0,145839.7125,22.5456,3.4641,10.0
2021-04-30,810.75,19616232.0,138486.2344,21.4088,3.2895,10.0
2021-05-31,741.05,76412521.0,126580.6031,19.5683,3.0067,5.0
2021-06-30,745.05,33072621.0,127263.8531,19.6739,3.0229,5.0
2021-07-31,719.85,18312094.0,122959.3781,19.0084,2.9207,11.0
2021-08-31,699.25,25803110.0,119440.6406,18.4645,2.8371,11.0
2021-09-30,749.8,24418614.0,128075.2125,19.7993,3.0422,11.0
2021-10-31,680.65,25403475.0,116263.5281,17.9733,2.7616,11.0
2021-11-30,617.9,21055055.0,105545.0438,16.3163,2.507,15.0
2021-12-31,637.15,18224734.0,108833.1844,16.8247,2.5851,15.0
2022-01-31,619.2,20705301.0,105767.1,16.3507,2.5123,15.0
2022-02-28,560.85,20367049.0,95800.1906,14.8099,2.2755,10.0
2022-03-31,536.4,14962371.0,91623.825,17.874,2.0126,10.0
2022-04-30,562.5,10041872.0,96082.0313,18.7438,2.1105,10.0
2022-05-31,502.35,11778826.0,85807.6594,16.7394,1.8849,10.0
2022-06-30,458.7,8415014.0,78351.6937,15.2849,1.7211,10.0
2022-07-31,492.0,10715117.0,84039.75,16.3945,1.846,4.5
2022-08-31,509.15,11955392.0,86969.1844,16.966,1.9104,4.5
2022-09-30,491.0,16135603.0,83868.9375,16.3612,1.8423,4.5
2022-10-31,513.05,6857450.0,87635.3531,17.096,1.925,4.5
2022-11-30,650.15,51454657.0,111053.7469,21.6644,2.4394,3.4
2022-12-31,571.75,24695395.0,97662.0469,19.052,2.1452,3.4
2023-01-31,566.55,12553178.0,96773.8219,18.8787,2.1257,3.4
2023-02-28,554.95,10177700.0,94792.3969,18.4922,2.0822,3.4
2023-03-31,579.1,5457382.0,98917.5188,14.5029,1.6467,3.4
2023-04-30,601.1,5007319.0,102675.3938,15.0538,1.7093,3.4
2023-05-31,601.1,11040677.0,102675.3938,15.0538,1.7093,3.4
2023-06-30,681.2,11748572.0,116357.475,17.0599,1.937,3.4
2023-07-31,634.85,60639548.0,108440.3156,15.8991,1.8052,6.4
2023-08-31,628.35,16898764.0,107330.0344,15.7363,1.7867,6.4
2023-09-30,637.4,14996906.0,108875.8875,15.9629,1.8125,6.4
2023-10-31,613.2,9412324.0,104742.225,15.3569,1.7437,6.4
2023-11-30,710.05,13128260.0,121285.4156,17.7824,2.0191,8.0
2023-12-31,816.0,26193084.0,139383.0,20.4358,2.3203,8.0
2024-01-31,889.05,15683562.0,151860.8531,22.2652,2.528,8.0
2024-02-29,838.95,9668884.0,143303.1469,21.0105,2.3856,8.0
2024-03-31,760.4,13188857.0,139172.4868,14.8952,2.047,8.0
2024-04-30,1099.7,75876589.0,201272.9928,21.5416,2.9604,8.0
2024-05-31,1181.35,38458687.0,216217.0138,23.141,3.1803,8.0
2024-06-30,1663.15,107808854.0,304398.6341,32.5788,4.4773,8.0
2024-07-31,1626.3,26012594.0,297654.1495,31.857,4.3781,9.9
2024-08-31,1521.25,16885874.0,278427.335,29.7992,4.0953,9.9
2024-09-30,1425.95,13335642.0,260985.0178,27.9324,3.8387,9.9
2024-10-31,1390.6,16970749.0,254515.0712,27.24,3.7436,9.9
2024-11-30,1280.7,10923589.0,234400.5837,25.0872,3.4477,10.4
2024-12-31,1199.95,11914453.0,219621.2855,23.5054,3.2303,10.4
2025-01-31,1034.65,13777477.0,189367.1929,20.2674,2.7853,10.4
2025-02-28,979.15,21221065.0,179209.2852,19.1802,2.6359,10.4
2025-03-31,1003.3,16029902.0,183629.3477,19.4363,2.4851,10.4
2025-04-30,971.9,11642544.0,177882.3513,18.828,2.4074,10.4
2025-05-31,1030.75,16962490.0,188653.3939,19.968,2.5531,10.4
2025-06-30,964.7,11795335.0,176564.5687,18.6885,2.3895,10.4
2025-07-31,963.6,14396922.0,176363.2408,18.6672,2.3868,10.4
2025-08-31,990.25,11316788.0,181240.8667,19.1835,2.4528,10.5
2025-09-30,989.35,13737805.0,181076.1439,19.166,2.4506,10.5
2025-10-31,1004.75,6719078.0,183894.7345,19.4644,2.4887,10.5
2025-11-30,951.9,6833660.0,174221.844,18.4405,2.3578,10.6
2025-12-31,909.55,5191599.0,166470.7198,17.6201,2.2529,10.6
2026-01-31,839.4,7056319.0,153631.4905,16.2611,2.0792,10.6
2026-02-28,844.95,7743567.0,154647.2813,16.3687,2.0929,10.6
2026-03-31,805.75,1200676.0,147472.687,15.6093,1.9958,10.6
