ARENM IN Equity,price,volume,mc,pe,bm,div
2008-03-31,65.22,5702742.0,11139.9196,17.7307,3.3443,0.2333
2008-04-30,68.02,2942937.0,11618.1988,18.4919,3.4879,0.2333
2008-05-31,61.28,2930724.0,10468.0512,16.6613,3.1426,0.2333
2008-06-30,46.68,5652447.0,7974.1669,12.6919,2.3939,0.2333
2008-07-31,41.78,14298603.0,7137.1783,11.3598,2.1426,0.2333
2008-08-31,42.0,12359718.0,7174.188,11.4187,2.1537,0.2333
2008-09-30,33.4,4454298.0,5705.1876,9.0806,1.7127,0.2333
2008-10-31,25.0,3375972.0,4270.3499,6.7968,1.282,0.2333
2008-11-30,20.55,1872116.0,3510.1947,5.587,1.0538,0.2333
2008-12-31,23.68,3243092.0,4043.9834,6.4366,1.214,0.2333
2009-01-31,20.78,1674146.0,3548.6192,5.6482,1.0653,0.2333
2009-02-28,17.48,3209064.0,2984.9396,4.751,0.8961,0.2333
2009-03-31,18.33,3098270.0,3130.1298,3.8894,0.7718,0.2333
2009-04-30,26.73,5668644.0,4564.9506,5.6723,1.1255,0.2333
2009-05-31,42.2,6104620.0,7208.2663,8.9568,1.7773,0.2333
2009-06-30,46.85,7509610.0,8002.542,9.9437,1.9731,0.2333
2009-07-31,59.13,13532966.0,10099.2593,12.549,2.49,0.4
2009-08-31,63.35,14479236.0,10820.94,13.4458,2.668,0.4
2009-09-30,71.53,16683916.0,12217.328,15.1809,3.0123,0.4
2009-10-31,76.35,12926824.0,13041.4959,16.205,3.2155,0.4
2009-11-30,84.9,13017788.0,14501.9385,18.0197,3.5756,0.4
2009-12-31,81.7,8875824.0,13955.3401,17.3405,3.4408,0.4
2010-01-31,78.28,17694574.0,13370.309,16.6135,3.2965,0.4
2010-02-28,75.13,5121358.0,12832.2512,15.945,3.1639,0.4
2010-03-31,82.1,7973922.0,14023.6649,8.3947,2.5796,0.4
2010-04-30,85.05,17084566.0,14527.5603,8.6963,2.6723,0.4
2010-05-31,82.23,7624424.0,14045.0164,8.4075,2.5835,0.4
2010-06-30,91.95,10673884.0,15706.1631,9.4018,2.8891,0.4
2010-07-31,95.1,17475594.0,16244.2209,9.7239,2.988,1.45
2010-08-31,95.03,5196156.0,16231.41,9.7163,2.9857,1.45
2010-09-30,106.13,17645454.0,18127.4231,10.8512,3.3344,1.45
2010-10-31,98.95,10498172.0,16901.847,10.1176,3.109,1.45
2010-11-30,92.4,7173830.0,15783.0285,9.4479,2.9032,1.45
2010-12-31,95.83,3689178.0,16368.0596,9.7981,3.0108,1.45
2011-01-31,85.4,5747318.0,14587.3445,8.7321,2.6833,2.45
2011-02-28,81.5,1621678.0,13921.1777,8.3333,2.5607,2.45
2011-03-31,94.88,4682312.0,16205.7882,10.9429,2.5089,2.45
2011-04-30,96.23,1448908.0,16436.3844,11.0986,2.5446,2.45
2011-05-31,105.45,4324868.0,18012.125,12.1626,2.7886,2.45
2011-06-30,112.93,2634524.0,19288.9447,13.0248,2.9863,2.45
2011-07-31,119.38,4588490.0,20390.6821,13.7687,3.1568,1.0
2011-08-31,120.68,2824504.0,20612.7377,13.9187,3.1912,1.3
2011-09-30,104.78,2579562.0,17896.8269,12.0848,2.7707,1.3
2011-10-31,101.78,1787896.0,17384.3909,11.7388,2.6914,1.3
2011-11-30,105.78,2756574.0,18067.6389,12.2001,2.7972,1.3
2011-12-31,102.0,3590012.0,17422.8236,11.7647,2.6973,1.3
2012-01-31,108.08,1960820.0,18460.5065,12.4654,2.858,1.3
2012-02-29,137.68,5798808.0,23516.5416,15.8795,3.6408,1.3
2012-03-31,146.53,2159696.0,25028.2859,11.6376,3.1144,1.3
2012-04-30,146.68,2187076.0,25053.9078,11.6495,3.1176,1.3
2012-05-31,150.32,2652254.0,25677.373,11.9394,3.1952,1.3
2012-06-30,151.0,1359756.0,25792.6714,11.993,3.2095,1.3
2012-07-31,147.05,1106094.0,25117.9938,11.6793,3.1256,1.3
2012-08-31,187.5,17327936.0,32027.3638,14.892,3.9853,1.89
2012-09-30,219.15,8189442.0,37433.5594,17.4058,4.658,1.89
2012-10-31,226.1,5157115.0,38620.7062,17.9578,4.8058,1.89
2012-11-30,249.95,13440052.0,42694.5844,19.8521,5.3127,1.89
2012-12-31,237.7,2459056.0,40602.1313,18.8791,5.0523,1.89
2013-01-31,308.3,14831584.0,52661.4938,24.4865,6.5529,1.89
2013-02-28,272.25,3288961.0,46503.7031,21.6232,5.7867,1.89
2013-03-31,274.55,3657045.0,46896.5719,16.3617,4.425,1.89
2013-04-30,259.5,7359233.0,44325.8438,15.4648,4.1824,1.89
2013-05-31,266.6,10721113.0,45538.6125,15.888,4.2968,1.89
2013-06-30,256.8,3977806.0,43864.65,15.3039,4.1389,1.89
2013-07-31,239.85,4443300.0,40969.3781,14.2938,3.8657,1.89
2013-08-31,257.05,9467975.0,43907.3531,15.3188,4.1429,2.52
2013-09-30,290.8,5328000.0,49672.275,17.3302,4.6869,2.52
2013-10-31,313.85,4675220.0,53609.5031,18.7038,5.0584,2.52
2013-11-30,323.0,7427722.0,55172.4375,19.2491,5.2059,2.52
2013-12-31,336.0,5691509.0,57393.0,20.0238,5.4154,2.52
2014-01-31,332.9,6697720.0,56863.4813,19.8391,5.3654,2.52
2014-02-28,394.4,5295695.0,67368.45,23.5042,6.3566,2.52
2014-03-31,394.4,4768173.0,67368.45,18.3357,4.9437,2.52
2014-04-30,409.15,4466599.0,69887.9344,19.0214,5.1286,2.52
2014-05-31,407.25,8481126.0,69563.3906,18.9331,5.1048,2.52
2014-06-30,470.8,5717361.0,80418.525,21.8875,5.9014,2.52
2014-07-31,488.55,3956871.0,83450.4469,22.7127,6.1239,3.23
2014-08-31,552.15,8757122.0,94314.1219,25.6695,6.9211,3.23
2014-09-30,598.45,8008331.0,102222.7406,27.8219,7.5015,3.23
2014-10-31,654.65,4137455.0,111822.4031,30.4347,8.2059,3.23
2014-11-30,747.45,9368044.0,127673.8031,34.749,9.3692,3.23
2014-12-31,821.4,6864347.0,140305.3875,38.1869,10.2961,3.23
2015-01-31,860.45,6453403.0,146975.6156,40.0023,10.7856,3.23
2015-02-28,879.2,4035148.0,150178.7927,40.874,11.0206,3.23
2015-03-31,833.05,4139439.0,142295.3531,34.6383,8.3724,3.23
2015-04-30,794.8,3709238.0,135761.775,33.0478,7.988,3.23
2015-05-31,885.6,3653891.0,151271.55,36.8233,8.9006,3.23
2015-06-30,883.35,4723616.0,150887.2219,36.7297,8.878,3.23
2015-07-31,882.4,3802085.0,150724.95,36.6902,8.8684,3.23
2015-08-31,1008.05,12375144.0,172187.5406,41.9148,10.1312,3.61
2015-09-30,1029.65,8941095.0,175877.0906,42.8129,10.3483,3.61
2015-10-31,903.5,7572626.0,154329.0938,37.5676,9.0805,3.61
2015-11-30,874.65,5527631.0,149401.1531,36.368,8.7905,3.61
2015-12-31,861.8,7140272.0,147206.2125,35.8337,8.6614,3.61
2016-01-31,838.25,4586881.0,143183.5781,34.8545,8.4247,3.61
2016-02-29,850.55,7938656.0,145284.5719,35.3659,8.5483,3.61
2016-03-31,877.6,4781300.0,149905.05,30.4934,7.0848,7.86
2016-04-30,955.85,5624774.0,163271.1281,33.2123,7.7165,7.86
2016-05-31,839.6,6463469.0,143414.175,29.173,6.778,7.86
2016-06-30,868.55,5723125.0,148359.1969,30.1789,7.0117,7.86
2016-07-31,937.1,6612362.0,160068.3938,32.5608,7.5651,7.86
2016-08-31,956.35,7615821.0,163356.5344,33.2297,7.7205,4.25
2016-09-30,1010.8,12146014.0,172657.275,35.1216,8.1601,4.25
2016-10-31,1026.45,5329296.0,175330.4799,35.6654,8.2864,4.25
2016-11-30,939.05,7089289.0,160401.4781,32.6286,7.5809,4.25
2016-12-31,870.3,4420559.0,148658.1188,30.2397,7.0259,4.25
2017-01-31,897.95,6806921.0,153381.0844,31.2005,7.2491,4.25
2017-02-28,858.4,8035613.0,146625.45,29.8263,6.9298,4.25
2017-03-31,890.05,11434741.0,152031.6656,31.7762,5.863,4.25
2017-04-30,890.1,9036599.0,152040.2063,31.7779,5.8633,4.25
2017-05-31,874.4,10683256.0,149358.45,31.2174,5.7599,0.0
2017-06-30,839.6,6345836.0,143414.175,29.975,5.5307,0.0
2017-07-31,834.4,6130251.0,142525.95,29.7894,5.4964,4.25
2017-08-31,778.25,14683845.0,132934.8281,27.7847,5.1265,4.25
2017-09-30,709.0,12862168.0,121106.0625,25.3124,4.6704,4.25
2017-10-31,699.6,13837949.0,119500.425,24.9768,4.6085,4.25
2017-11-30,798.95,24341268.0,136470.6469,28.5237,5.2629,6.25
2017-12-31,840.2,11899446.0,143516.6625,29.9964,5.5346,6.25
2018-01-31,810.1,12293812.0,138375.2063,28.9218,5.3363,6.25
2018-02-28,822.25,10033296.0,140450.5781,29.3556,5.4164,6.25
2018-03-31,795.0,9325949.0,135795.9375,28.8148,4.623,6.25
2018-04-30,861.4,9756820.0,147137.8875,31.2215,5.0091,6.25
2018-05-31,798.45,14397566.0,136385.2406,28.9398,4.6431,6.25
2018-06-30,726.15,7508445.0,124035.4969,26.3193,4.2226,6.25
2018-07-31,823.85,11408038.0,140723.8781,29.8605,4.7908,2.0
2018-08-31,845.9,12732300.0,144490.2937,30.6597,4.919,4.3
2018-09-30,739.95,10981210.0,126392.7094,26.8195,4.3029,4.3
2018-10-31,744.75,10208269.0,127212.6094,26.9935,4.3308,4.3
2018-11-30,709.25,12224132.0,121148.7656,25.7068,4.1244,4.15
2018-12-31,742.85,7827849.0,126888.0656,26.9246,4.3198,4.15
2019-01-31,744.95,10722228.0,127246.7719,27.0007,4.332,4.15
2019-02-28,716.9,10248303.0,122455.4813,25.9841,4.1689,4.15
2019-03-31,719.95,10352827.0,122976.4594,25.4489,3.6874,4.15
2019-04-30,662.35,28439945.0,113137.6594,23.4129,3.3924,4.15
2019-05-31,636.9,10801570.0,108790.4813,22.5133,3.262,4.15
2019-06-30,619.95,11294108.0,105895.2094,21.9141,3.1752,4.15
2019-07-31,675.8,18736080.0,115435.0875,23.8883,3.4613,7.08
2019-08-31,620.2,12695280.0,105937.9125,21.9229,3.1765,7.08
2019-09-30,717.6,10440888.0,122575.05,25.3659,3.6754,7.08
2019-10-31,682.05,9182144.0,116502.6656,24.1092,3.4933,7.08
2019-11-30,750.65,20769844.0,128220.4031,26.5341,3.8446,11.08
2019-12-31,724.35,12082917.0,123728.0344,25.6045,3.7099,11.08
2020-01-31,767.1,16686700.0,131030.2688,27.1156,3.9289,11.08
2020-02-29,637.7,17070704.0,108927.1313,22.5415,3.2661,11.08
2020-03-31,478.05,17690891.0,81656.9156,12.3559,2.2339,11.0
2020-04-30,570.85,20312755.0,97508.3156,14.7545,2.6676,11.0
2020-05-31,614.6,36832819.0,104981.3625,15.8852,2.872,11.0
2020-06-30,650.4,29070143.0,111096.45,16.8105,3.0393,11.0
2020-07-31,709.2,25279042.0,121140.225,18.3303,3.3141,11.0
2020-08-31,727.95,23125045.0,124342.9594,18.8149,3.4017,11.0
2020-09-30,764.15,20142263.0,130526.3719,19.7506,3.5709,11.0
2020-10-31,766.05,21158581.0,130850.9156,19.7997,3.5797,11.0
