HEG IN Equity,price,volume,mc,pe,bm,div
2009-03-31,18.9,4455315.0,4188.0511,3.8793,0.6778,0.6
2009-04-30,24.03,29116990.0,5324.8078,4.9323,0.8618,0.6
2009-05-31,36.2,45297790.0,8021.5581,7.4302,1.2983,0.6
2009-06-30,38.01,13734440.0,8422.6361,7.8017,1.3632,0.6
2009-07-31,52.14,12320610.0,11553.7028,10.702,1.8699,0.6
2009-08-31,52.89,8504140.0,10848.3474,10.8559,1.8968,0.6
2009-09-30,51.7,9928410.0,10604.2647,10.6117,1.8542,1.3
2009-10-31,51.86,5975510.0,10637.0826,10.6445,1.8599,1.3
2009-11-30,61.07,9034650.0,12526.1595,12.5349,2.1902,1.3
2009-12-31,77.54,76170910.0,15904.346,15.9154,2.7809,1.3
2010-01-31,68.22,25107680.0,14456.0903,14.0025,2.4466,1.3
2010-02-28,64.8,15992465.0,13804.733,13.3005,2.324,1.3
2010-03-31,67.33,13045310.0,14343.7141,8.512,1.9625,1.3
2010-04-30,74.01,15597245.0,15850.5733,9.3565,2.1572,1.3
2010-05-31,63.16,6123460.0,13526.8506,7.9848,1.8409,1.3
2010-06-30,64.01,4540290.0,13708.8934,8.0923,1.8657,1.3
2010-07-31,61.43,14392725.0,13159.8105,7.7661,1.7905,1.3
2010-08-31,63.26,4906655.0,13551.8413,7.9975,1.8439,1.3
2010-09-30,59.83,7271535.0,12817.0513,7.5638,1.7439,2.0
2010-10-31,54.42,4288205.0,11658.0968,6.8799,1.5862,2.0
2010-11-30,52.34,5961980.0,11212.5099,6.6169,1.5256,2.0
2010-12-31,52.1,4043025.0,11161.096,6.5866,1.5186,2.0
2011-01-31,40.46,5181980.0,8667.5229,5.115,1.1793,2.0
2011-02-28,40.76,6734480.0,8731.7903,5.153,1.188,1.0
2011-03-31,42.67,22521845.0,9140.959,7.5309,1.004,1.0
2011-04-30,44.73,10439570.0,9582.2615,7.8945,1.0525,1.0
2011-05-31,46.48,2976330.0,9957.1543,8.2033,1.0937,1.0
2011-06-30,47.12,10660375.0,10094.258,8.3163,1.1087,1.0
2011-07-31,47.22,2670860.0,10115.6805,8.3339,1.1111,1.0
2011-08-31,44.18,4868965.0,9464.438,7.7974,1.0395,1.0
2011-09-30,43.1,2389630.0,9233.0756,7.6068,1.0141,2.0
2011-10-31,41.39,2839070.0,8866.7517,7.305,0.9739,2.0
2011-11-30,32.61,2591060.0,6985.8607,5.7554,0.7673,2.0
2011-12-31,30.96,1424140.0,6632.3902,5.4642,0.7285,2.0
2012-01-31,38.32,3864485.0,8209.0825,6.7631,0.9017,2.0
2012-02-29,48.18,7785625.0,10321.336,8.5034,1.1337,1.0
2012-03-31,42.85,1936025.0,9179.5194,15.2058,1.0079,1.0
2012-04-30,45.16,2003600.0,9022.7645,16.0256,1.0623,1.0
2012-05-31,39.16,1281125.0,7823.9915,13.8964,0.9211,1.0
2012-06-30,41.64,554025.0,8319.4844,14.7764,0.9795,1.0
2012-07-31,41.17,1147215.0,8225.5805,14.6097,0.9684,1.0
2012-08-31,40.52,4536050.0,8095.7134,14.379,0.9531,1.0
2012-09-30,42.38,3082395.0,8467.333,15.039,0.9969,1.0
2012-10-31,45.74,3224030.0,9138.6459,16.2314,1.0759,1.0
2012-11-30,46.97,1068680.0,9384.3944,16.6678,1.1048,1.0
2012-12-31,45.56,2498480.0,9102.6827,16.1675,1.0717,1.0
2013-01-31,41.03,1576170.0,8197.6091,14.56,0.9651,1.0
2013-02-28,36.62,1341290.0,7316.511,12.995,0.8614,1.0
2013-03-31,33.64,930260.0,6721.1204,6.6932,0.7112,1.0
2013-04-30,33.08,533950.0,6609.2349,6.5818,0.6993,1.0
2013-05-31,34.69,9043885.0,6930.9057,6.9021,0.7334,1.0
2013-06-30,31.79,659955.0,6351.506,6.3251,0.6721,1.0
2013-07-31,31.16,1723655.0,6225.6347,6.1998,0.6588,1.0
2013-08-31,31.04,1185280.0,6201.6592,6.1759,0.6562,1.0
2013-09-30,30.65,692290.0,6123.7389,6.0983,0.648,1.6
2013-10-31,34.4,1199785.0,6872.9729,6.8444,0.7272,1.6
2013-11-30,36.84,1273150.0,7360.4744,7.3299,0.7788,1.6
2013-12-31,39.85,1539775.0,7961.8596,7.9288,0.8425,1.6
2014-01-31,39.29,2302345.0,7849.974,7.8173,0.8306,1.6
2014-02-28,39.12,4553565.0,7816.0087,7.7835,0.827,1.6
2014-03-31,40.24,2495325.0,8039.7799,9.9604,0.804,1.6
2014-04-30,45.98,12141135.0,9186.6073,11.3812,0.9187,1.6
2014-05-31,47.39,5312295.0,9468.3193,11.7302,0.9469,1.6
2014-06-30,58.18,18506690.0,11624.1152,14.401,1.1625,1.6
2014-07-31,53.78,8253715.0,10745.014,13.3119,1.0746,1.6
2014-08-31,58.06,13251595.0,11600.1397,14.3713,1.1601,1.2
2014-09-30,57.47,16047275.0,11482.2602,14.2252,1.1483,1.2
2014-10-31,60.52,3260620.0,12091.6372,14.9802,1.2092,1.2
2014-11-30,52.42,5253965.0,10473.2918,12.9752,1.0474,1.2
2014-12-31,45.81,2653995.0,9152.6421,11.3391,0.9153,1.2
2015-01-31,44.6,4996415.0,8910.8892,11.0396,0.8911,1.2
2015-02-28,43.26,5356950.0,8643.1316,10.7079,0.8644,1.2
2015-03-31,43.48,3790195.0,8687.118,23.8377,0.8567,1.2
2015-04-30,42.8,2524935.0,8551.2569,23.4649,0.8433,1.2
2015-05-31,38.72,1450220.0,7736.0904,21.2281,0.7629,1.2
2015-06-30,38.98,3392590.0,7788.0373,21.3706,0.768,1.2
2015-07-31,37.73,3466360.0,7538.2926,20.6853,0.7434,1.2
2015-08-31,28.88,2314235.0,5770.1005,15.8333,0.569,1.2
2015-09-30,27.59,1396205.0,5512.364,15.1261,0.5436,0.6
2015-10-31,32.72,13438865.0,6537.3161,17.9386,0.6447,0.6
2015-11-30,33.1,3445140.0,6613.2384,18.1469,0.6522,0.6
2015-12-31,36.19,8408495.0,7230.6072,19.841,0.7131,0.6
2016-01-31,27.25,2656050.0,5444.4335,14.9397,0.5369,0.6
2016-02-29,23.81,1550815.0,4757.1362,13.0537,0.4691,0.6
2016-03-31,27.96,2514005.0,5586.2884,127.0909,0.561,0.6
2016-04-30,32.12,2367030.0,6417.4386,146.0,0.6444,0.6
2016-05-31,30.5,1309610.0,6093.7696,138.6364,0.6119,0.6
2016-06-30,31.68,1831005.0,6329.5285,144.0,0.6356,0.6
2016-07-31,37.44,6193980.0,7480.3519,170.1818,0.7511,0.6
2016-08-31,35.55,3355755.0,7102.738,161.5909,0.7132,0.6
2016-09-30,35.6,4036570.0,7112.7277,161.8182,0.7142,0.6
2016-10-31,34.92,1526750.0,6976.8666,158.7273,0.7006,0.0
2016-11-30,32.22,1399360.0,6437.4182,146.4545,0.6464,0.0
2016-12-31,30.02,484880.0,5997.8676,136.4545,0.6023,0.0
2017-01-31,35.14,4970340.0,7020.8217,159.7273,0.705,0.0
2017-02-28,42.17,5919405.0,8425.3856,191.6818,0.846,0.0
