ARTO IN Equity,price,volume,mc,pe,bm,div
2001-04-30,1.11,117600.0,360.2944,1.2129,0.3167,0.1458
2001-05-31,1.18,115896.0,382.377,1.2872,0.3361,0.15
2001-06-30,1.1,101328.0,357.3888,1.2031,0.3141,0.15
2001-07-31,0.96,131592.0,310.3181,1.0446,0.2728,0.15
2001-08-31,1.16,107592.0,374.8095,1.2618,0.3295,0.15
2001-09-30,1.17,147000.0,377.1339,1.2696,0.3315,0.15
2001-10-31,1.27,224736.0,411.4188,1.385,0.3616,0.1708
2001-11-30,1.27,166992.0,410.2566,1.3811,0.3606,0.1708
2001-12-31,1.2,101760.0,389.337,1.3107,0.3422,0.1708
2002-01-31,1.26,217608.0,406.77,1.3694,0.3576,0.1708
2002-02-28,1.47,405192.0,476.502,1.6041,0.4189,0.1708
2002-03-31,1.5,429768.0,485.2185,1.5613,0.355,0.1708
2002-04-30,1.85,616152.0,597.3708,1.9222,0.437,0.1708
2002-05-31,2.05,1290624.0,662.454,2.1316,0.4847,0.1708
2002-06-30,2.37,721080.0,800.9034,2.4682,0.5612,0.1708
2002-07-31,2.11,602880.0,712.9254,2.1971,0.4995,0.0833
2002-08-31,2.25,363576.0,761.465,2.3467,0.5336,0.0833
2002-09-30,2.12,267720.0,717.1726,2.2102,0.5025,0.0833
2002-10-31,2.27,260832.0,765.1055,2.3579,0.5361,0.0833
2002-11-30,2.19,184536.0,738.4087,2.2756,0.5174,0.0833
2002-12-31,2.24,345144.0,756.611,2.3317,0.5301,0.0
2003-01-31,2.29,577728.0,774.2066,2.3859,0.5425,0.0
2003-02-28,2.12,289680.0,715.9591,2.2064,0.5017,0.0
2003-03-31,2.05,293736.0,691.6893,2.3976,0.4304,0.0
2003-04-30,2.19,153408.0,740.2289,2.5659,0.4606,0.0
2003-05-31,2.35,376656.0,794.836,2.7552,0.4945,0.0
2003-06-30,3.01,3993552.0,1015.0844,3.5186,0.6316,0.0
2003-07-31,4.05,8261640.0,1367.6032,4.7406,0.8509,0.2708
2003-08-31,3.85,4213368.0,1300.8613,4.5092,0.8094,0.2708
2003-09-30,5.62,13549680.0,1899.7186,6.5851,1.182,0.2708
2003-10-31,5.78,28264104.0,1952.5054,6.7681,1.2148,0.2708
2003-11-30,5.36,15955680.0,1809.3136,6.2717,1.1257,0.4167
2003-12-31,8.15,54083208.0,2750.9819,9.5358,1.7116,0.4167
2004-01-31,6.82,15830232.0,2303.204,7.9837,1.433,0.4167
2004-02-29,7.18,15389112.0,2424.553,8.4043,1.5085,0.4167
2004-03-31,6.74,11637528.0,2275.9005,4.9907,1.1426,0.4167
2004-04-30,6.12,8096520.0,2065.36,4.529,1.0369,0.4167
2004-05-31,6.01,10846176.0,2028.3486,4.4478,1.0183,0.4167
2004-06-30,5.95,18949248.0,2010.7529,4.4092,1.0095,0.4167
2004-07-31,6.44,17082480.0,2176.3943,4.7725,1.0926,0.3125
2004-08-31,6.5,11219736.0,2193.9899,4.811,1.1015,0.3125
2004-09-30,6.52,17943576.0,2203.0911,4.831,1.1061,0.3125
2004-10-31,8.71,62505792.0,2940.2863,6.4475,1.4762,0.3125
2004-11-30,8.55,40337640.0,2887.4995,6.3318,1.4497,0.3333
2004-12-31,12.88,112235736.0,4351.5752,9.5423,2.1847,0.3333
2005-01-31,12.1,69400824.0,4086.4276,8.9608,2.0516,0.3333
2005-02-28,11.71,52843976.0,3955.3708,8.6734,1.9858,1.5
2005-03-31,10.1,26266688.0,3411.1205,5.466,0.466,1.5
2005-04-30,10.01,17084560.0,3381.9967,5.4193,0.462,1.5
2005-05-31,11.73,26072224.0,3960.8315,6.3469,0.5411,1.5
2005-06-30,12.78,31407192.0,4317.5976,6.9186,0.5898,1.5
2005-07-31,12.86,21348896.0,4344.9011,6.9623,0.5936,1.5
2005-08-31,15.28,33083424.0,5160.3664,8.269,0.705,1.5
2005-09-30,15.86,25968824.0,5355.1316,8.5811,0.7316,0.8812
2005-10-31,15.21,8317440.0,5138.5236,8.234,0.702,0.8812
2005-11-30,15.82,3497720.0,5342.3899,8.5607,0.7298,0.425
2005-12-31,16.26,12612408.0,5491.6492,8.7999,0.7502,0.425
2006-01-31,17.06,8061500.0,5762.8642,9.2345,0.7873,0.425
2006-02-28,16.44,4474940.0,5551.7169,8.8961,0.7584,0.525
2006-03-31,17.31,10081832.0,5846.595,9.1132,1.9931,0.525
2006-04-30,15.44,7542492.0,5165.8271,8.1259,1.7772,0.525
