ARTO IN Equity,price,volume,mc,pe,bm,div
2006-05-31,14.52,14311896.0,4903.7133,7.6435,1.6717,0.525
2006-06-30,7.98,10563588.0,2693.9479,4.1991,0.9184,0.525
2006-07-31,6.5,14464732.0,2195.2035,3.4217,0.7484,0.525
2006-08-31,6.93,16448428.0,2340.8223,3.6487,0.798,0.525
2006-09-30,7.85,16206452.0,2650.2622,4.131,0.9035,0.4125
2006-10-31,7.33,9266076.0,2475.5197,3.8587,0.8439,0.4125
2006-11-30,6.45,7907528.0,2177.0011,3.3933,0.7421,0.4125
2006-12-31,6.46,6455192.0,2180.6416,3.399,0.7434,0.4125
2007-01-31,6.5,15976116.0,2195.2035,3.4217,0.7484,0.4125
2007-02-28,5.5,6011828.0,1856.6398,2.894,0.6329,0.4
2007-03-31,5.07,5239300.0,1711.021,5.9023,0.5388,0.3
2007-04-30,5.92,6206864.0,1998.6181,6.8944,0.6294,0.3
2007-05-31,5.32,3016432.0,1798.3922,6.2037,0.5663,0.3
2007-06-30,9.45,162578540.0,3192.6923,11.0135,1.0054,0.3
2007-07-31,6.94,25714904.0,2344.4628,8.0874,0.7383,0.3
2007-08-31,6.45,15164776.0,2177.0011,7.5098,0.6856,0.3
2007-09-30,6.88,23298076.0,2322.607,8.0121,0.7314,0.2
2007-10-31,5.8,11702792.0,1958.562,6.7563,0.6168,0.2
2007-11-30,6.42,15136680.0,2169.7081,7.4846,0.6833,0.2
2007-12-31,10.01,118240188.0,3381.978,11.6665,1.065,0.2
2008-01-31,9.01,98411592.0,3043.4161,10.4986,0.9584,0.2
2008-02-29,7.72,15563300.0,2606.5621,8.9916,0.8208,0.325
2008-03-31,6.73,7925448.0,2271.6407,4.6457,0.6439,0.25
2008-04-30,7.38,11364096.0,2493.7082,5.0998,0.7068,0.25
2008-05-31,7.32,10166120.0,2471.8655,5.0552,0.7006,0.25
2008-06-30,7.21,14673244.0,2435.461,4.9807,0.6903,0.25
2008-07-31,10.04,26979340.0,3389.2589,6.9313,0.9606,0.375
2008-08-31,9.85,20694516.0,3327.3712,6.8047,0.9431,0.375
2008-09-30,8.83,5121276.0,2981.5285,6.0975,0.8451,0.375
2008-10-31,6.92,3757504.0,2337.1688,4.7797,0.6624,0.575
2008-11-30,5.97,1406604.0,2016.8092,4.1245,0.5716,0.575
2008-12-31,6.74,1598064.0,2275.2812,4.6531,0.6449,0.575
2009-01-31,6.23,1882132.0,2104.18,4.3032,0.5964,0.575
2009-02-28,6.09,1284536.0,2056.8542,4.2064,0.583,0.575
2009-03-31,6.11,1291608.0,2064.1351,1.9042,0.475,0.575
2009-04-30,7.89,14180436.0,2664.8093,2.4583,0.6132,0.575
2009-05-31,9.72,13943784.0,3283.6858,3.0292,0.7556,0.575
2009-06-30,8.49,27723916.0,2868.6745,2.6464,0.6601,0.575
2009-07-31,8.98,4853928.0,3032.4948,2.7975,0.6978,0.575
2009-08-31,9.29,26661532.0,3138.0678,2.8949,0.7221,0.575
2009-09-30,11.52,59432696.0,3891.6409,3.5901,0.8955,0.6
2009-10-31,9.47,14766296.0,3199.9555,2.952,0.7363,0.6
2009-11-30,9.25,12020932.0,3161.5197,2.8815,0.7187,0.6
2009-12-31,10.61,24944356.0,3625.7989,3.3046,0.8243,0.6
2010-01-31,10.13,19896048.0,3463.6696,3.1568,0.7874,0.6
2010-02-28,9.59,6398616.0,3279.4319,2.9889,0.7455,0.75
2010-03-31,10.28,21777828.0,3659.5488,3.8334,0.6944,0.75
2010-04-30,10.61,12294216.0,3774.6289,3.9539,0.7162,0.75
2010-05-31,10.3,7178136.0,3667.2208,3.8414,0.6959,0.75
2010-06-30,10.6,7313060.0,3770.7929,3.9499,0.7155,0.75
2010-07-31,11.12,24208688.0,3958.7572,4.1468,0.7512,0.75
2010-08-31,11.72,21289992.0,4169.7375,4.3678,0.7912,0.75
2010-09-30,12.7,17682332.0,4518.8139,4.7334,0.8575,0.625
2010-10-31,15.09,39257988.0,5370.407,5.6255,1.019,0.625
2010-11-30,14.04,36850560.0,4998.3145,5.2357,0.9484,0.625
2010-12-31,13.87,8407152.0,4936.9385,5.1714,0.9368,0.625
2011-01-31,11.47,7611376.0,4081.5093,4.2754,0.7745,0.625
2011-02-28,10.33,6544092.0,3674.8928,3.8494,0.6973,0.4875
2011-03-31,10.57,8346260.0,3763.1209,3.9827,0.6376,0.4875
2011-04-30,11.96,8641996.0,4257.9656,4.5064,0.7214,0.4875
2011-05-31,11.48,6922100.0,4085.3453,4.3237,0.6922,0.4875
2011-06-30,10.4,7852180.0,3701.7448,3.9177,0.6272,0.4875
2011-07-31,11.08,4707192.0,3943.4132,4.1735,0.6681,0.4875
2011-08-31,9.86,5692928.0,3509.9446,3.7147,0.5947,0.4875
2011-09-30,10.26,6617712.0,3651.8768,3.8649,0.6187,0.625
2011-10-31,10.37,4113204.0,3690.2368,3.9055,0.6252,0.625
2011-11-30,10.5,5223068.0,3736.2689,3.9543,0.633,0.625
2011-12-31,10.13,4061552.0,3605.8447,3.8162,0.6109,0.625
2012-01-31,12.02,10749548.0,4277.1456,4.5267,0.7247,0.625
2012-02-29,12.71,9536616.0,4522.6499,4.7865,0.7663,0.8125
2012-03-31,13.04,4261772.0,4641.5661,3.8788,0.6995,0.8125
2012-04-30,15.47,4937176.0,5504.6672,4.6,0.8295,0.8125
2012-05-31,14.36,5039688.0,5269.3988,4.2699,0.77,0.8125
2012-06-30,15.95,3893284.0,5854.8875,4.7443,0.8555,0.8125
2012-07-31,15.94,3722764.0,5850.9315,4.7411,0.855,0.8125
2012-08-31,15.41,2475456.0,5657.0873,4.584,0.8266,0.875
2012-09-30,16.94,6657768.0,6218.84,5.0392,0.9087,0.875
2012-10-31,19.96,9602664.0,7326.5214,5.9368,1.0706,0.875
2012-11-30,19.97,6332840.0,7330.4774,5.94,1.0712,1.25
2012-12-31,21.77,7107220.0,7991.1303,6.4753,1.1677,1.25
2013-01-31,21.62,5760152.0,7935.7462,6.4304,1.1596,1.25
2013-02-28,18.14,3354912.0,6657.9566,5.395,0.9729,1.0625
2013-03-31,17.36,2022148.0,6373.1242,4.5787,0.7267,1.0625
2013-04-30,19.82,1510596.0,7275.0934,5.2267,0.8295,1.0625
2013-05-31,18.92,1879880.0,7773.9215,4.988,0.7916,1.0625
2013-06-30,17.12,1996416.0,7034.1802,4.5133,0.7163,1.0625
2013-07-31,16.83,6157624.0,6914.5814,4.4366,0.7041,1.0625
2013-08-31,14.55,1369244.0,5979.9391,3.8369,0.609,0.6875
2013-09-30,15.14,1891536.0,6223.5662,3.9932,0.6338,1.0
2013-10-31,17.17,1496632.0,7056.3281,4.5275,0.7186,1.0
2013-11-30,18.19,1631628.0,7477.1386,4.7975,0.7614,1.0625
2013-12-31,21.35,6402936.0,8775.0069,5.6303,0.8936,1.0625
2014-01-31,21.17,2316108.0,8699.704,5.582,0.8859,1.0625
2014-02-28,23.23,5182060.0,9545.7546,6.1248,0.9721,1.0625
2014-03-31,26.48,15124156.0,10883.4891,5.7761,1.0778,1.0625
2014-04-30,28.29,5500324.0,11627.6593,6.1711,1.1515,1.0625
2014-05-31,34.9,12159180.0,14342.9946,7.6122,1.4204,1.0625
2014-06-30,43.71,10352356.0,17961.9652,9.5329,1.7788,1.0625
2014-07-31,46.36,17795340.0,19051.6429,10.1112,1.8867,1.0625
2014-08-31,60.51,20339040.0,24867.6874,13.1979,2.4626,1.0625
2014-09-30,60.08,8918288.0,24690.504,13.1039,2.4451,1.125
2014-10-31,65.76,4652336.0,27024.8951,14.3428,2.6763,1.125
2014-11-30,62.05,5886420.0,25501.118,13.5341,2.5254,1.6875
2014-12-31,54.36,4293960.0,22338.3946,11.8555,2.2122,1.6875
2015-01-31,61.36,11736468.0,25217.6246,13.3836,2.4973,1.6875
2015-02-28,62.22,11994004.0,25567.652,13.5693,2.5319,1.4063
2015-03-31,75.62,19849708.0,31077.9649,13.0162,2.6366,1.4063
2015-04-30,67.62,9015164.0,27786.7836,11.6378,2.3574,1.4063
2015-05-31,68.48,8664880.0,28141.1503,11.7862,2.3875,1.4063
2015-06-30,73.34,5740196.0,30138.893,12.6229,2.5569,1.4063
2015-07-31,90.07,8139452.0,37013.6081,15.5022,3.1402,1.4063
2015-08-31,91.37,17689736.0,37549.5878,15.7267,3.1857,1.4063
2015-09-30,118.62,10957436.0,48747.5775,20.4167,4.1357,1.375
2015-10-31,110.38,7830788.0,34096.1172,18.9974,3.8482,1.375
2015-11-30,106.96,4106976.0,41339.4109,18.4093,3.7291,1.5625
2015-12-31,112.77,4485332.0,43584.8954,19.4093,3.9316,1.5625
2016-01-31,106.21,2940568.0,41051.9556,18.2813,3.7031,1.5625
2016-02-29,91.84,2684628.0,35494.4856,15.8065,3.2018,1.6875
2016-03-31,111.12,3098756.0,42947.4944,14.417,3.2563,2.125
2016-04-30,114.7,1835012.0,44330.6129,14.8813,3.3612,2.125
2016-05-31,111.96,5034764.0,43272.4439,14.5261,3.2809,2.125
2016-06-30,112.22,2144084.0,43372.4284,14.5596,3.2885,2.125
2016-07-31,119.64,6649360.0,46242.8158,15.5232,3.5062,2.125
2016-08-31,133.55,6661212.0,51616.9809,17.3272,3.9136,2.125
2016-09-30,133.8,4459284.0,51712.7993,17.3594,3.9209,2.125
2016-10-31,163.41,6628768.0,63156.8547,21.201,4.7886,2.125
2016-11-30,156.27,3429104.0,60398.9498,20.2752,4.5795,2.125
2016-12-31,147.66,2835440.0,56248.3572,19.1578,4.3271,2.125
2017-01-31,154.85,2413524.0,58987.072,20.0906,4.5378,1.375
2017-02-28,166.72,2572096.0,63507.7991,21.6304,4.8856,1.375
2017-03-31,165.03,16886628.0,62867.2601,17.1687,3.9789,1.375
2017-04-30,189.23,5373644.0,72085.2733,19.6861,4.5623,0.875
2017-05-31,189.77,6026084.0,72290.5742,19.7422,4.5753,0.0
2017-06-30,197.64,9669676.0,75287.9682,20.5608,4.765,0.0
2017-07-31,209.55,3791352.0,79825.1195,21.7999,5.0521,0.0
2017-08-31,187.15,3223664.0,71292.8116,19.4697,4.5121,0.0
2017-09-30,192.5,5765512.0,73329.3971,20.0259,4.641,0.25
2017-10-31,205.51,3771492.0,78285.3623,21.3794,4.9547,0.25
2017-11-30,196.52,2725496.0,74860.9439,20.4442,4.7379,0.25
2017-12-31,244.44,10598700.0,93116.3057,25.4296,5.8933,0.25
2018-01-31,227.81,5290132.0,86780.7179,23.6994,5.4923,0.25
2018-02-28,252.88,3985280.0,96331.3153,26.3076,6.0968,0.25
2018-03-31,247.22,16797980.0,93234.84,24.1488,5.0935,0.25
2018-04-30,289.62,5033412.0,109222.485,28.2897,5.9669,0.25
2018-05-31,268.28,2545924.0,101177.85,26.2061,5.5274,0.25
2018-06-30,264.94,2858864.0,99917.7,25.8797,5.4586,0.25
2018-07-31,263.97,2561808.0,99551.85,25.7849,5.4386,0.25
2018-08-31,296.42,4278288.0,111787.5,28.9541,6.107,0.25
2018-09-30,250.54,2333360.0,94486.86,24.4731,5.1619,0.25
2018-10-31,279.87,3423744.0,105547.725,27.3379,5.7661,0.25
2018-11-30,309.55,6078812.0,116738.67,30.2365,6.3775,0.25
2018-12-31,311.23,4479736.0,117372.81,30.4008,6.4121,0.25
2019-01-31,350.45,6870956.0,132165.345,34.2322,7.2203,0.25
2019-02-28,299.67,13577672.0,113015.13,29.2721,6.1741,1.0
2019-03-31,340.1,12551412.0,136732.7909,32.7497,4.4818,1.0
2019-04-30,349.81,5057860.0,140632.8801,32.7497,4.6096,1.0
2019-05-31,402.94,9721024.0,161996.7015,32.7497,5.3099,1.0
2019-06-30,383.31,6886436.0,154101.1878,32.7497,5.0511,1.0
2019-07-31,363.44,4421484.0,144389.9659,32.7497,4.7893,1.0
2019-08-31,347.19,8267676.0,138647.0827,32.7497,4.5751,1.75
2019-09-30,349.35,5257148.0,139509.5433,32.7497,4.6036,1.75
2019-10-31,382.42,6253442.0,152716.5165,32.7497,5.0394,1.75
2019-11-30,368.08,4304768.0,146992.914,32.7497,4.8505,1.75
2019-12-31,362.46,6153120.0,144745.2893,32.7497,4.7763,1.75
2020-01-31,429.8,14899050.0,171638.3803,32.7497,5.6638,1.75
2020-02-29,425.85,11842868.0,170061.5583,32.7497,5.6117,2.5
2020-03-31,334.53,13862474.0,133594.2829,21.7441,3.9135,2.5
2020-04-30,480.98,15486502.0,192076.0841,31.2627,5.6267,2.5
2020-05-31,425.89,18720588.0,170078.9818,27.6824,4.9823,2.5
2020-06-30,406.37,46163624.0,162281.9891,26.4134,4.7539,2.5
2020-07-31,432.11,17269680.0,172561.823,28.0865,5.055,2.5
2020-08-31,457.11,29687110.0,182545.4584,29.7115,5.3475,2.5
2020-09-30,442.82,13116564.0,176839.2794,28.7828,5.1803,1.75
2020-10-31,436.54,8346544.0,174330.302,28.3744,5.1068,1.75
2020-11-30,504.06,12559118.0,201293.0867,32.7629,5.8967,1.25
2020-12-31,538.74,15967044.0,215144.7273,35.0174,6.3024,1.25
2021-01-31,505.78,16426440.0,201981.3128,32.8749,5.9168,1.25
2021-02-28,538.83,14049980.0,215179.5742,35.0231,6.3035,1.25
2021-03-31,574.8,18973682.0,229545.2065,38.2692,5.7182,1.25
2021-04-30,700.2,19471774.0,279620.194,46.6176,6.9656,1.25
2021-05-31,731.85,39148924.0,292260.905,48.725,7.2804,1.25
2021-06-30,760.69,37355107.0,303777.8028,50.6451,7.5673,1.25
2021-07-31,815.71,24354709.0,338868.7719,54.308,8.1147,1.25
2021-08-31,818.59,27302472.0,340065.0352,54.4997,8.1433,1.25
2021-09-30,811.39,25261750.0,337074.3769,54.0204,8.0717,2.25
2021-10-31,841.27,32472944.0,349490.1401,56.0102,8.369,2.25
2021-11-30,817.89,18311005.0,339775.032,54.4533,8.1364,2.5
2021-12-31,876.61,15837493.0,364171.5536,58.3631,8.7206,2.5
2022-01-31,861.17,16513669.0,357755.2321,57.3348,8.5669,2.5
2022-02-28,808.16,15923793.0,335733.112,53.8055,8.0396,2.0
2022-03-31,834.77,21173897.0,346789.4851,25.5204,6.7008,2.0
2022-04-30,774.83,10207742.0,321885.4579,23.6877,6.2196,2.0
2022-05-31,663.83,19545015.0,275774.9446,20.2944,5.3287,2.0
2022-06-30,609.69,21260739.0,253281.5693,18.6391,4.894,2.0
2022-07-31,680.72,15205799.0,282789.3977,20.8106,5.4642,2.0
2022-08-31,724.87,16773047.0,301132.1019,22.1605,5.8186,2.0
2022-09-30,650.13,19297034.0,270083.6313,19.8756,5.2187,2.5
2022-10-31,699.1,21672862.0,253426.5709,21.3727,5.6118,2.5
2022-11-30,674.6,16516563.0,244545.222,20.6237,5.4151,2.5
2022-12-31,610.1,12130076.0,221163.7118,18.6518,4.8974,2.5
2023-01-31,538.0,10659230.0,195027.1708,16.4476,4.3186,2.5
2023-02-28,529.15,19794474.0,191819.0101,16.177,4.2476,2.5
2023-03-31,518.15,15582329.0,187831.4657,34.4515,3.8177,2.5
2023-04-30,562.25,9407532.0,203817.8937,37.3836,4.1426,2.5
2023-05-31,512.3,31661988.0,185710.8171,34.0625,3.7745,2.5
2023-06-30,503.6,25027624.0,182557.032,33.484,3.7104,2.5
2023-07-31,467.5,34334206.0,169470.6364,31.0838,3.4445,2.5
2023-08-31,491.8,34811562.0,178279.4844,32.6995,3.6235,2.5
2023-09-30,491.4,36719834.0,178134.4828,32.6729,3.6206,2.5
2023-10-31,454.45,20561029.0,164739.9587,30.2161,3.3483,2.5
2023-11-30,554.35,49797823.0,200954.1118,36.8584,4.0844,2.5
2023-12-31,649.6,52996824.0,235482.6211,43.1915,4.7862,2.5
2024-01-31,659.1,62560146.0,238926.4095,43.8231,4.8561,2.5
2024-02-29,655.95,44498633.0,237784.5218,43.6137,4.8329,2.5
2024-03-31,665.55,18095240.0,241264.5605,57.9243,4.561,2.5
2024-04-30,741.75,31682501.0,268887.368,64.5561,5.0832,1.5
2024-05-31,611.65,38135961.0,221725.593,53.2332,4.1916,1.5
2024-06-30,686.25,30182456.0,248768.394,59.7258,4.7028,1.5
2024-07-31,748.85,22892007.0,271471.015,65.1741,5.1318,1.0
2024-08-31,627.05,69659558.0,227316.4184,54.5735,4.2971,1.0
2024-09-30,582.95,39809692.0,211329.4093,50.7354,3.9949,1.0
2024-10-31,510.9,30116742.0,185211.0848,44.4648,3.5012,1.0
2024-11-30,448.3,61336297.0,162517.3798,39.0165,3.0722,1.0
2024-12-31,410.05,28548915.0,148651.2891,35.6876,2.81,1.0
2025-01-31,444.7,70021216.0,161212.604,38.7032,3.0475,1.0
2025-02-28,376.0,32981799.0,136307.4862,32.7241,2.5767,1.0
2025-03-31,390.75,24652744.0,141654.6548,42.7985,2.5272,1.0
2025-04-30,421.25,40959148.0,152711.5121,46.1391,2.7245,1.0
2025-05-31,469.25,46332973.0,170112.5804,51.3965,3.0349,1.0
2025-06-30,479.45,30363645.0,173810.2859,52.5137,3.1009,1.0
2025-07-31,420.05,35374970.0,152290.5212,46.0077,2.7167,1.0
2025-08-31,376.1,24436316.0,136356.3029,41.1939,2.4325,1.0
2025-09-30,374.9,12938382.0,135936.4415,41.0624,2.4247,1.0
2025-10-31,379.95,8358224.0,137767.5405,41.6156,2.4574,1.0
2025-11-30,382.3,32327773.0,138619.6361,41.8729,2.4726,1.0
2025-12-31,373.9,23873006.0,135573.8476,40.9529,2.4183,1.0
2026-01-31,371.95,11959617.0,134866.9755,40.7393,2.4056,1.0
2026-02-28,447.15,39189317.0,162134.0721,48.9759,2.892,1.0
2026-03-31,422.5,3349032.0,153196.1209,46.276,2.7326,1.0
