BAF IN Equity,price,volume,mc,pe,bm,div
2013-03-31,11.48,58856300.0,57150.4677,8.4494,1.6968,0.1166
2013-04-30,12.26,69016600.0,61040.6419,9.0245,1.8123,0.1166
2013-05-31,14.72,178213100.0,73291.0818,10.8357,2.1761,0.1166
2013-06-30,13.85,100272900.0,68930.5449,10.191,2.0466,0.1166
2013-07-31,11.44,146876000.0,56943.9195,8.4188,1.6907,0.15
2013-08-31,10.27,159153200.0,51112.3942,7.5567,1.5176,0.15
2013-09-30,11.66,91241600.0,58016.6457,8.5774,1.7225,0.15
2013-10-31,13.53,73654400.0,67352.5749,9.9577,1.9997,0.15
2013-11-30,14.11,71049600.0,70214.829,10.3809,2.0847,0.15
2013-12-31,15.81,88751800.0,78711.9871,11.6371,2.337,0.15
2014-01-31,15.31,60167900.0,76775.4347,11.2684,2.263,0.15
2014-02-28,15.72,38396500.0,78798.6779,11.5654,2.3226,0.15
2014-03-31,17.91,110458900.0,89804.9202,12.3696,2.2326,0.15
2014-04-30,18.7,133799700.0,93761.1503,12.9146,2.331,0.15
2014-05-31,20.21,128319800.0,101330.1356,13.9571,2.5191,0.15
2014-06-30,20.07,89320900.0,100613.1034,13.8583,2.5013,0.15
2014-07-31,21.92,86196800.0,109932.0468,15.1419,2.733,0.16
2014-08-31,24.71,76000600.0,123921.7579,17.0689,3.0808,0.16
2014-09-30,27.21,58918000.0,136452.3366,18.7948,3.3923,0.16
2014-10-31,28.09,65540000.0,140824.745,19.3971,3.501,0.16
2014-11-30,30.92,51466600.0,155047.8083,21.354,3.8542,0.16
2014-12-31,34.84,50371700.0,174710.539,24.0621,4.343,0.16
2015-01-31,40.51,148626600.0,203123.9821,27.9753,5.0493,0.16
2015-02-28,43.85,69740200.0,219892.0942,30.2849,5.4661,0.16
2015-03-31,41.08,68914400.0,206027.5146,22.8323,4.2799,0.16
2015-04-30,40.44,73773700.0,202810.5617,22.4758,4.2131,0.16
2015-05-31,42.17,80214200.0,211448.4145,23.4331,4.3925,0.16
2015-06-30,54.43,132864300.0,291944.6372,30.2512,5.6706,0.16
2015-07-31,55.11,185287700.0,295586.2992,30.6285,5.7413,0.18
2015-08-31,50.21,168203400.0,269300.8966,27.9049,5.2308,0.18
2015-09-30,51.31,173885600.0,275203.1734,28.5164,5.3454,0.18
2015-10-31,52.22,145305100.0,280089.1258,29.0227,5.4403,0.18
2015-11-30,55.15,84425800.0,295792.7888,30.6499,5.7453,0.18
2015-12-31,60.1,91184600.0,322330.3023,33.3997,6.2608,0.18
2016-01-31,59.28,132244400.0,317956.5328,32.9465,6.1758,0.18
2016-02-29,59.32,248854700.0,319572.4156,32.9668,6.1796,0.18
2016-03-31,69.24,144094400.0,373019.1342,28.5768,4.9926,0.36
2016-04-30,68.29,182054500.0,367898.5957,28.1845,4.924,0.36
2016-05-31,75.89,420817800.0,408825.2835,31.3199,5.4718,0.36
2016-06-30,79.97,178505700.0,430799.7709,33.0033,5.7659,0.36
2016-07-31,103.73,458756800.0,558797.4165,42.8091,7.479,0.25
2016-08-31,110.11,416974100.0,593192.0773,45.4441,7.9394,0.25
2016-09-30,105.59,251054040.0,568836.4794,43.5782,7.6134,0.25
2016-10-31,108.04,168055560.0,582035.1665,44.5894,7.7901,0.25
2016-11-30,91.98,484958280.0,495516.4255,37.9612,6.6321,0.25
2016-12-31,84.22,381494200.0,461469.1072,34.7586,6.0726,0.25
2017-01-31,103.69,418110330.0,568151.6472,42.7941,7.4764,0.25
2017-02-28,110.82,207943010.0,609344.9261,45.7367,7.9905,0.25
2017-03-31,117.11,277113110.0,643930.593,34.434,6.6706,0.07
2017-04-30,127.62,186042110.0,701719.9066,37.5243,7.2693,0.07
2017-05-31,132.7,226447310.0,729624.8829,39.0165,7.5583,0.07
2017-06-30,137.31,158546600.0,755000.51,40.3734,7.8212,0.07
2017-07-31,170.31,213881610.0,936451.3645,50.0764,9.7009,0.36
2017-08-31,178.19,288713820.0,979779.6292,52.3934,10.1497,0.36
2017-09-30,183.81,326016290.0,1059595.999,54.0444,10.4696,0.36
2017-10-31,180.06,240677060.0,1038006.886,52.9433,10.2563,0.36
2017-11-30,172.71,167137180.0,995606.8826,50.7807,9.8373,0.36
2017-12-31,175.67,223702830.0,1012699.465,51.6525,10.0062,0.36
2018-01-31,167.79,205781740.0,967244.1492,49.334,9.5571,0.36
2018-02-28,164.03,232344110.0,945570.1849,48.2285,9.3429,0.36
2018-03-31,176.76,203635600.0,1021520.857,39.8276,6.4146,0.36
2018-04-30,190.77,200701420.0,1102517.801,42.9856,6.9232,0.36
2018-05-31,210.99,355968520.0,1219375.326,47.5417,7.657,0.36
