ACMESOLA IN Equity,price,volume,mc,pe,bm,div
2025-03-31,191.98,23433675.0,116164.7522,42.1934,2.5754,0.0
2025-04-30,209.21,18659387.0,126590.4147,45.9802,2.8065,0.0
2025-05-31,263.55,26394288.0,159470.8847,57.9231,3.5355,0.2
2025-06-30,249.2,14343299.0,150787.875,54.7692,3.343,0.2
2025-07-31,278.25,77624335.0,168365.6751,61.1538,3.7327,0.2
2025-08-31,284.6,30472115.0,172207.9825,62.5495,3.8179,0.2
2025-09-30,277.0,38866637.0,167609.3153,60.8791,3.7159,0.2
2025-10-31,281.8,19068140.0,170513.7367,61.9341,3.7803,0.2
2025-11-30,230.15,21629685.0,139464.4107,50.5824,3.0874,0.2
2025-12-31,237.49,27047853.0,143912.2437,52.1956,3.1859,0.2
2026-01-31,225.78,14024366.0,136816.3139,49.622,3.0288,0.2
2026-02-28,236.0,17753283.0,143009.3457,51.8681,3.1659,0.4
2026-03-31,231.4,1691929.0,140221.8717,50.8571,3.1042,0.4
